case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,target_graupel_diameter_m,target_hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
0,1,1, 1.0000000149011612E-001, 1.2799999713897705E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 2.3800000000000000E+002, 1.0499999523162842E+000, 1.9999999494757503E-004, 5.0000002374872565E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 2.3800000000000000E+002, 1.4166707114782184E-004, 2.4999999936881068E-007, 3.5107693481445312E+002, 1.4705882067644893E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3800000000000000E+002, 1.4166707114782184E-004, 2.5000292680488201E-007, 1.0402278137207031E+002, 1.4706054152213710E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 1.0000000000000000E+000, 1.2819999456405640E+000, 9.9650000000000000E+004, 9.9899810552597046E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 5.0000002374872565E-004, 5.0000002374872565E-004, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4524571228027344E+002, 2.9904540861025453E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999936881068E-007, 4.2441291809082031E+000, 2.7777777300563855E-010, 2.4524571228027344E+002, 2.9904540861025453E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000898062899068E-007, 4.2441291809082031E+000, 2.7779573086306186E-010
2,3,1, 5.0000000000000000E+000, 1.2839999198913574E+000, 9.9300000000000000E+004, 9.9799370765686035E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 1.0000000474974513E-003, 1.0000000474974513E-003, 3.0000000000000000E+002, 7.5000000000000000E+002, 2.5050257873535156E+002, 5.6821171892806888E-004, 1.2499999968440534E-007, 7.9577416181564331E-001, 4.1666667338624563E-010, 1.2499999968440534E-007, 3.1830969452857971E-001, 1.6666666657894069E-010, 2.5050257873535156E+002, 5.6821154430508614E-004, 1.2511182490015926E-007, 7.9577416181564331E-001, 4.1732448052833604E-010, 1.2506664859301964E-007, 3.1830969452857971E-001, 1.6679999048641037E-010
3,4,1, 3.0000000000000000E+001, 1.2860000133514404E+000, 9.8950000000000000E+004, 9.9698674678802490E-001, 2.5500000000000000E+002, 1.5000000000000000E+000, 3.0000000260770321E-003, 2.0000000949949026E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5577070617675781E+002, 1.1570235947147012E-003, 2.4999999936881068E-007, 3.5367749631404877E-002, 4.9999998585903427E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5577070617675781E+002, 1.1570227798074484E-003, 2.5084250410145614E-007, 3.5367749631404877E-002, 5.0495591041865850E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,2, 1.0000000000000000E+000, 1.2879999876022339E+000, 9.8600000000000000E+004, 9.9597728252410889E-001, 2.4000000000000000E+002, 9.4999998807907104E-001, 2.5000001187436283E-004, 5.0000002374872565E-004, 2.5000000000000000E+002, 9.0000000000000000E+002, 2.4096934509277344E+002, 1.6150357259903103E-004, 2.4999999936881068E-007, 1.2223091888427734E+002, 9.9999997171806854E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4096934509277344E+002, 1.6150360170286149E-004, 2.4997262926262920E-007, 7.0727737426757812E+001, 9.9989050372784050E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,2, 5.0000000000000000E+000, 1.2899999618530273E+000, 9.8250000000000000E+004, 9.9496525526046753E-001, 2.4800000000000000E+002, 8.9999997615814209E-001, 5.0000002374872565E-004, 1.0000000474974513E-003, 5.0000000000000000E+002, 8.0000000000000000E+002, 2.4925492858886719E+002, 3.5284311161376536E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999936881068E-007, 5.9683066606521606E-001, 3.1249999810079032E-010, 2.4925492858886719E+002, 3.5284316982142627E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4994639602482494E-007, 5.9670269489288330E-001, 3.1243299614125419E-010
6,3,2, 1.5000000000000000E+001, 1.2919999361038208E+000, 9.7900000000000000E+004, 9.9395060539245605E-001, 2.5800000000000000E+002, 7.5000000000000000E-001, 1.0000000474974513E-003, 3.0000000260770321E-003, 4.0000000000000000E+002, 7.0000000000000000E+002, 2.5957025146484375E+002, 7.7471951954066753E-004, 1.2499999968440534E-007, 5.9683066606521606E-001, 3.1249999810079032E-010, 1.2499999968440534E-007, 1.2631338089704514E-002, 1.7857142153854255E-010, 2.5957025146484375E+002, 7.7472033444792032E-004, 1.2430946583208424E-007, 5.9353357553482056E-001, 3.1077362905307382E-010, 1.2487134881666861E-007, 1.2618337757885456E-002, 1.7838762411681586E-010
7,4,2, 6.0000000000000000E+001, 1.2940000295639038E+000, 9.7550000000000000E+004, 9.9293339252471924E-001, 2.6500000000000000E+002, 2.0000000298023224E-001, 4.9999998882412910E-003, 8.0000003799796104E-003, 7.0000000000000000E+002, 8.5000000000000000E+002, 2.6688598632812500E+002, 3.8969074375927448E-004, 4.9999997031591192E-008, 1.0913475416600704E-003, 7.1428564452080678E-011, 1.9999998812636477E-007, 8.7769207311794162E-004, 2.3529411752321039E-010, 2.6688598632812500E+002, 3.8969234446994960E-004, 4.9513477762275215E-008, 1.0807282524183393E-003, 7.0733537083089715E-011, 1.9889907321157807E-007, 8.7286072084680200E-004, 2.3399890358710707E-010
8,1,3, 3.0000000000000000E+002, 1.2960000038146973E+000, 9.7200000000000000E+004, 9.9191355705261230E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 2.7018484497070312E+002, 2.5337033439427614E-003, 9.9999994063182385E-008, 1.1234461669921875E+003, 5.8823523829687474E-010, 1.4999999109477358E-007, 3.9788719177246094E+001, 1.6666665270115288E-010, 2.7018484497070312E+002, 2.5337047409266233E-003, 9.9009618281797884E-008, 4.1197021484375000E+001, 5.8240945399745669E-010, 1.4955821825424209E-007, 1.1754526138305664E+001, 1.6617579534639049E-010
9,2,3, 1.0000000000000000E+001, 1.2979999780654907E+000, 9.6850000000000000E+004, 9.9089109897613525E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 8.0000003799796104E-003, 1.0000000474974513E-003, 8.0000000000000000E+002, 9.0000000000000000E+002, 2.5229815673828125E+002, 4.9034296534955502E-004, 2.4999999936881068E-007, 1.1656848946586251E-003, 3.1249999810079032E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5229815673828125E+002, 4.9034296534955502E-004, 2.5000082359838416E-007, 1.1656848946586251E-003, 3.1250485532652306E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,3, 6.0000000000000000E+001, 1.2999999523162842E+000, 9.6500000000000000E+004, 9.8986601829528809E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 2.0000000949949026E-003, 1.9999999552965164E-002, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.6266180419921875E+002, 1.3854254502803087E-003, 4.9999997031591192E-008, 2.3873224854469299E-002, 9.9999994396249292E-011, 1.9999998812636477E-007, 5.3051615395816043E-005, 2.2222221285339572E-010, 2.6266180419921875E+002, 1.3854252174496651E-003, 5.0176680588265299E-008, 2.3873224854469299E-002, 1.0103929498628261E-010, 2.0003064093998546E-007, 5.3051615395816043E-005, 2.2228349716435503E-010
11,4,3, 1.0000000000000000E+003, 1.3019999265670776E+000, 9.6150000000000000E+004, 9.8883825540542603E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 9.9999997764825821E-003, 2.9999999329447746E-002, 8.0000000000000000E+002, 9.0000000000000000E+002, 2.7507025146484375E+002, 3.5969903692603111E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7507025146484375E+002, 3.5969903692603111E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1,4, 1.0000000149011612E-001, 1.1200000047683716E+000, 8.9500000000000000E+004, 9.6878272294998169E-001, 2.3800000000000000E+002, 1.0499999523162842E+000, 1.9999999494757503E-004, 5.0000002374872565E-004, 1.7000000000000000E+002, 9.0000000000000000E+002, 2.4566912841796875E+002, 1.5828722098376602E-004, 2.4999999368446879E-006, 3.5107692871093750E+003, 1.4705881845600288E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4566912841796875E+002, 1.5828719187993556E-004, 2.5000313144118991E-006, 1.0402276611328125E+003, 1.4706066586711586E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,4, 1.0000000000000000E+000, 1.1219999790191650E+000, 8.9150000000000000E+004, 9.6769803762435913E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 5.0000002374872565E-004, 5.0000002374872565E-004, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.5317814636230469E+002, 3.3426668960601091E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-006, 4.2441291809082031E+001, 2.7777777855675367E-009, 2.5317814636230469E+002, 3.3426660229451954E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000954337883741E-006, 4.2441291809082031E+001, 2.7779689659723772E-009
2,3,4, 5.0000000000000000E+000, 1.1239999532699585E+000, 8.8800000000000000E+004, 9.6661037206649780E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 1.0000000474974513E-003, 1.0000000474974513E-003, 3.0000000000000000E+002, 7.5000000000000000E+002, 2.5863574218750000E+002, 6.3539890106767416E-004, 1.2499999684223440E-006, 7.9577417373657227E+000, 4.1666665673290026E-009, 1.2499999684223440E-006, 3.1830968856811523E+000, 1.6666665825226801E-009, 2.5863574218750000E+002, 6.3539703842252493E-004, 1.2511849263319164E-006, 7.9577412605285645E+000, 4.1736365474775994E-009, 1.2507057363109197E-006, 3.1830968856811523E+000, 1.6680781200761885E-009
