case,column,k,dt_s,rho_kg_m3,dz_m,qg_before,ng_before_per_kg,qvolg_before_m3_per_kg,qg_after,ng_after_per_kg,qvolg_after_m3_per_kg,graupelncv_kg_m2
1,1,1, 5.0000000000000000E-001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 5.0000000000000000E-001, 1.2869999408721924E+000, 5.1500000000000000E+001, 2.4999999441206455E-003, 4.3754809570312500E+003, 3.4843205867218785E-006, 2.4955642875283957E-003, 4.3221147460937500E+003, 3.4466784200049005E-006, 7.6721380464732647E-003
1,3,1, 5.0000000000000000E-001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,1, 5.0000000000000000E-001, 1.3009999990463257E+000, 5.8500000000000000E+001, 7.9999997979030013E-004, 5.7520443201065063E-001, 4.7058820200618356E-006, 7.2679889854043722E-004, 7.6258226562500000E+004, 4.2324231799284462E-006, 6.6424366086721420E-003
1,5,1, 5.0000000000000000E-001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999999600419720E-012, 9.8739576515072258E-007, 2.8368793588123137E-014, 1.9114218888227619E-011, 1.0232872682536254E-006, 4.4888836300393392E-014, 4.3231727225867544E-011
1,6,1, 5.0000000000000000E-001, 1.3149999380111694E+000, 6.5500000000000000E+001, 2.0000000233721948E-007, 4.5693801879882812E+001, 3.7383177109440169E-010, 2.0402671907504555E-007, 4.5597000122070312E+001, 3.7814784636935883E-010, 2.3480960464894451E-007
1,1,2, 5.0000000000000000E-001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1334292341634864E-006, 5.4149997711181641E+001, 2.3704767038168484E-009, 0.0000000000000000E+000
1,2,2, 5.0000000000000000E-001, 1.2349998950958252E+000, 6.8500000000000000E+001, 1.9084487576037645E-003, 1.1999560546875000E+003, 2.1204987206147052E-006, 1.8513266695663333E-003, 1.1985134277343750E+003, 2.2006083781889174E-006, 7.6721380464732647E-003
1,3,2, 5.0000000000000000E-001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,2, 5.0000000000000000E-001, 1.2489999532699585E+000, 7.5500000000000000E+001, 1.1999999405816197E-003, 6.5016460000000000E+006, 3.4042550396407023E-006, 1.1886402498930693E-003, 6.4773720000000000E+006, 3.3720293686201330E-006, 6.6424366086721420E-003
1,5,2, 5.0000000000000000E-001, 1.2559999227523804E+000, 7.9000000000000000E+001, 1.0000000133514320E-010, 9.1765360821227659E-007, 1.8691588533036041E-013, 2.0536952693994692E-010, 1.0846096074601519E-006, 3.3002368741465171E-013, 4.3231727225867544E-011
1,6,2, 5.0000000000000000E-001, 1.2629998922348022E+000, 8.2500000000000000E+001, 3.7999998880877683E-007, 2.1234338760375977E+001, 5.2961668384199356E-010, 3.8869930563123489E-007, 2.1193105697631836E+001, 5.3770499164329522E-010, 2.3480960464894451E-007
1,1,3, 5.0000000000000000E-001, 1.1759999990463257E+000, 8.2000000000000000E+001, 9.9999997473787516E-005, 3.5773779296875000E+003, 1.1111110609363095E-007, 1.0057294275611639E-004, 3.7122868652343750E+003, 1.2290696815853153E-007, 0.0000000000000000E+000
1,2,3, 5.0000000000000000E-001, 1.1829999685287476E+000, 8.5500000000000000E+001, 1.4568705810233951E-003, 2.5849853515625000E+003, 8.5698266047984362E-006, 1.4633331447839737E-003, 2.5742172851562500E+003, 8.5115088950260542E-006, 7.6721380464732647E-003
