case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,hail_diameter_m,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qi_after,qs_after,qr_after
0,0, 1.0000000149011612E-001, 2.5000000000000000E+002, 1.2200000286102295E+000, 9.6000000000000000E+004, 9.8839694261550903E-001, 2.4500000000000000E+002, 1.9999999494757503E-005, 2.0000000949949026E-003, 7.0000000000000000E+002, 2.4787611389160156E+002, 3.8727663923054934E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4787611389160156E+002, 3.8727663923054934E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,0, 1.0000000149011612E-001, 3.5000000000000000E+002, 1.2220000028610229E+000, 9.5650000000000000E+004, 9.8736542463302612E-001, 2.4550000000000000E+002, 1.9999999494757503E-005, 2.0000000949949026E-003, 7.0000000000000000E+002, 2.4864147949218750E+002, 4.0728939347900450E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.8209243774414062E+001, 2.8571426469170547E-007, 2.4864147949218750E+002, 4.0728939347900450E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.8209243774414062E+001, 2.8571426469170547E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 1.0000000149011612E-001, 4.5000000000000000E+002, 1.2239999771118164E+000, 9.5300000000000000E+004, 9.8633110523223877E-001, 2.4600000000000000E+002, 3.9999999899009708E-006, 3.0000001424923539E-004, 5.0000000000000000E+002, 2.4940914916992188E+002, 4.2824677075259387E-004, 5.0000002374872565E-004, 1.4920776704000000E+010, 1.9999999494757503E-004, 2.8294205078125000E+004, 3.9999997625272954E-007, 2.4940914916992188E+002, 4.2824677075259387E-004, 4.9997505266219378E-004, 1.4920023040000000E+010, 2.0002496603410691E-004, 2.8294191406250000E+004, 4.0004997003961762E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 1.0000000149011612E-001, 5.5000000000000000E+002, 1.2260000705718994E+000, 9.4950000000000000E+004, 9.8529410362243652E-001, 2.4650000000000000E+002, 7.9999999798019417E-006, 5.0000002374872565E-004, 6.0000000000000000E+002, 2.5017910766601562E+002, 4.5018910896033049E-004, 5.0000002374872565E-004, 1.8650970880000000E+009, 1.9999999494757503E-004, 5.0929570312500000E+003, 3.3333333249174757E-007, 2.5017912292480469E+002, 4.5018910896033049E-004, 4.9994629807770252E-004, 1.8648968960000000E+009, 2.0005369151476771E-004, 5.0929570312500000E+003, 3.3344070970997564E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,0, 1.0000000149011612E-001, 6.5000000000000000E+002, 1.2280000448226929E+000, 9.4600000000000000E+004, 9.8425436019897461E-001, 2.4700000000000000E+002, 1.4999999621068127E-005, 1.0000000474974513E-003, 7.0000000000000000E+002, 2.5095138549804688E+002, 4.7315857955254614E-004, 5.0000002374872565E-004, 2.8294214400000000E+008, 2.0000000949949026E-003, 5.4567397460937500E+003, 2.8571430448209867E-006, 2.5095155334472656E+002, 4.7315857955254614E-004, 4.9937976291403174E-004, 2.8259113600000000E+008, 2.0006203558295965E-003, 5.4567397460937500E+003, 2.8583835955942050E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 1.0000000149011612E-001, 7.5000000000000000E+002, 1.2300000190734863E+000, 9.4250000000000000E+004, 9.8321193456649780E-001, 2.4750000000000000E+002, 2.9999999242136255E-005, 2.0000000949949026E-003, 8.0000000000000000E+002, 2.5172599792480469E+002, 4.9719831440597773E-004, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 5.9683090209960938E+001, 2.4999999936881068E-007, 2.5172601318359375E+002, 4.9719831440597773E-004, 4.9995165318250656E-004, 3.5364344000000000E+007, 2.0004838006570935E-004, 5.9683090209960938E+001, 2.5009677528942120E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,0, 1.0000000149011612E-001, 8.5000000000000000E+002, 1.2319999933242798E+000, 9.3900000000000000E+004, 9.8216664791107178E-001, 2.4800000000000000E+002, 4.9999998736893758E-005, 3.0000000260770321E-003, 9.0000000000000000E+002, 2.5250297546386719E+002, 5.2235386101529002E-004, 5.0000002374872565E-004, 7.6394375000000000E+006, 1.9999999494757503E-004, 1.5719005584716797E+001, 2.2222221218726190E-007, 2.5250299072265625E+002, 5.2235386101529002E-004, 4.9996236339211464E-004, 7.6388620000000000E+006, 2.0003764075227082E-004, 1.5719005584716797E+001, 2.2228448415262392E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,0, 1.0000000149011612E-001, 9.5000000000000000E+002, 1.2340000867843628E+000, 9.3550000000000000E+004, 9.8111861944198608E-001, 2.4850000000000000E+002, 5.9999998484272510E-005, 4.9999998882412910E-003, 5.0000000000000000E+002, 2.5328231811523438E+002, 5.4867210565134883E-004, 5.0000002374872565E-004, 4.4209710000000000E+006, 1.9999999494757503E-004, 6.1115493774414062E+000, 3.9999997625272954E-007, 2.5328233337402344E+002, 5.4867210565134883E-004, 4.9995910376310349E-004, 4.4206090000000000E+006, 2.0004090038128197E-004, 6.1115493774414062E+000, 4.0006133872338978E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,0, 1.0000000149011612E-001, 1.0500000000000000E+003, 1.2360000610351562E+000, 9.3200000000000000E+004, 9.8006778955459595E-001, 2.4500000000000000E+002, 7.0000001869630069E-005, 9.9999997764825821E-003, 7.0000000000000000E+002, 2.4998271179199219E+002, 3.9891159394755960E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 5.4567402601242065E-001, 2.8571426469170547E-007, 2.4998271179199219E+002, 3.9891159394755960E-004, 4.9997383030131459E-004, 2.7839052500000000E+006, 2.0002618839498609E-004, 5.4567402601242065E-001, 2.8574427801686397E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4358085607845080E-018, 0.0000000000000000E+000, 0.0000000000000000E+000
9,0, 1.0000000149011612E-001, 1.1500000000000000E+003, 1.2380000352859497E+000, 9.2850000000000000E+004, 9.7901415824890137E-001, 2.4550000000000000E+002, 2.4999999368446879E-005, 1.9999999552965164E-002, 8.0000000000000000E+002, 2.5076246643066406E+002, 4.1957167559303343E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 5.9683102369308472E-001, 2.5000001642183634E-006, 2.5076246643066406E+002, 4.1957167559303343E-004, 9.9963085631316062E-007, 1.2218586718750000E+005, 2.0000005606561899E-003, 5.9683102369308472E-001, 2.5000006189657142E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
