case,column,k,dt_s,rho_kg_m3,dz_m,qh_before,nh_before_per_kg,qvolh_before_m3_per_kg,qh_after,nh_after_per_kg,qvolh_after_m3_per_kg,hailncv_kg_m2
1,1,1, 5.0000000000000000E-001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 5.0000000000000000E-001, 1.2869999408721924E+000, 5.1500000000000000E+001, 3.5000001080334187E-003, 7.8471362304687500E+002, 4.3750001168518793E-006, 3.4863587934523821E-003, 7.6706207275390625E+002, 4.3291915972076822E-006, 1.4627481810748577E-002
1,3,1, 5.0000000000000000E-001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,1, 5.0000000000000000E-001, 1.3009999990463257E+000, 5.8500000000000000E+001, 1.3999999500811100E-003, 4.2780827730894089E-002, 2.7999999474559445E-006, 1.0860194452106953E-003, 2.7765628906250000E+004, 2.1622258827846963E-006, 2.6137178763747215E-002
1,5,1, 5.0000000000000000E-001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999999600419720E-012, 7.6980555263617134E-008, 1.6666665809505869E-014, 2.3582046038139737E-011, 8.3004792372776137E-008, 3.5850283245514314E-014, 7.4696138163687920E-011
1,6,1, 5.0000000000000000E-001, 1.3149999380111694E+000, 6.5500000000000000E+001, 3.0000001061125658E-007, 1.9090629577636719E+001, 4.2857145610142311E-010, 3.0724356747668935E-007, 1.9032649993896484E+001, 4.3680767336518045E-010, 3.9464453038817737E-007
1,1,2, 5.0000000000000000E-001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5696659779205220E-006, 2.7695703506469727E+001, 3.9662957362907036E-009, 0.0000000000000000E+000
1,2,2, 5.0000000000000000E-001, 1.2349998950958252E+000, 6.8500000000000000E+001, 2.7531976811587811E-003, 2.3955323791503906E+002, 3.0591086215281393E-006, 2.6976242661476135E-003, 2.3647245788574219E+002, 3.0921567031327868E-006, 1.4627481810748577E-002
1,3,2, 5.0000000000000000E-001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,2, 5.0000000000000000E-001, 1.2489999532699585E+000, 7.5500000000000000E+001, 2.0999999251216650E-003, 1.9805937500000000E+006, 3.4999998206330929E-006, 2.0762395579367876E-003, 1.9680877500000000E+006, 3.4603988297021715E-006, 2.6137178763747215E-002
1,5,2, 5.0000000000000000E-001, 1.2559999227523804E+000, 7.9000000000000000E+001, 1.0000000133514320E-010, 9.0427292320782726E-008, 1.4285714809453981E-013, 2.4496268902218787E-010, 1.1764178253770297E-007, 3.2194383335452936E-013, 7.4696138163687920E-011
1,6,2, 5.0000000000000000E-001, 1.2629998922348022E+000, 8.2500000000000000E+001, 5.6999999742401997E-007, 9.0375604629516602E+000, 7.1250000344136311E-010, 5.8435864502826007E-007, 9.0049924850463867E+000, 7.2709643861301743E-010, 3.9464453038817737E-007
