case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,ice_diameter_m,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qi_before,qni_before_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qi_after,qni_after_per_kg,qg_after,qng_after_per_kg
0,0, 1.0000000149011612E-001, 1.2200000286102295E+000, 9.6000000000000000E+004, 9.8839694261550903E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.6102871704101562E+002, 1.2190198758617043E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6102871704101562E+002, 1.2190198758617043E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,0, 1.0000000149011612E-001, 1.2220000028610229E+000, 9.5650000000000000E+004, 9.8736542463302612E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.6130142211914062E+002, 1.2234805617481470E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.6130142211914062E+002, 1.2234805617481470E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 1.0000000149011612E-001, 1.2239999771118164E+000, 9.5300000000000000E+004, 9.8633110523223877E-001, 2.5800000000000000E+002, 1.4000000192027073E-005, 7.9999997979030013E-005, 2.6157543945312500E+002, 1.2279739603400230E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.6157543945312500E+002, 1.2279739603400230E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 1.0000000149011612E-001, 1.2260000705718994E+000, 9.4950000000000000E+004, 9.8529410362243652E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 2.9000000722589903E-005, 2.6185073852539062E+002, 1.2325004208832979E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 2.6185073852539062E+002, 1.2325004208832979E-003, 5.0000002374872565E-004, 1.1936621600000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,0, 1.0000000149011612E-001, 1.2280000448226929E+000, 9.4600000000000000E+004, 9.8425436019897461E-001, 2.5800000000000000E+002, 1.4999999621068127E-005, 2.9999999242136255E-005, 2.6212734985351562E+002, 1.2370604090392590E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 2.6212734985351562E+002, 1.2370604090392590E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 1.0000000149011612E-001, 1.2300000190734863E+000, 9.4250000000000000E+004, 9.8321193456649780E-001, 2.6800000000000000E+002, 1.9999999494757503E-005, 4.9999998736893758E-005, 2.7257601928710938E+002, 2.7486269827932119E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 5.2635590000000000E+006, 2.7257604980468750E+002, 2.7486269827932119E-003, 4.9989169929176569E-004, 1.1934036800000000E+008, 2.0010831940453500E-004, 5.2635590000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
6,0, 1.0000000149011612E-001, 1.2319999933242798E+000, 9.3900000000000000E+004, 9.8216664791107178E-001, 2.5500000000000000E+002, 3.9999998989515007E-005, 9.9999997473787516E-005, 2.5963006591796875E+002, 9.6814392600208521E-004, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 6.9724456250000000E+005, 2.5963009643554688E+002, 9.6814392600208521E-004, 4.9992825370281935E-004, 1.4918636000000000E+007, 2.0007175044156611E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
7,0, 1.0000000149011612E-001, 1.2340000867843628E+000, 9.3550000000000000E+004, 9.8111861944198608E-001, 2.7314999389648438E+002, 2.9999999242136255E-005, 1.1999999696854502E-004, 2.7840670776367188E+002, 4.0619987994432449E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 2.7840670776367188E+002, 4.0619987994432449E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
8,0, 1.0000000149011612E-001, 1.2360000610351562E+000, 9.3200000000000000E+004, 9.8006778955459595E-001, 2.7200000000000000E+002, 5.9999998484272510E-005, 1.9999999494757503E-004, 2.7753182983398438E+002, 3.7483745254576206E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 1.0000000474974513E-003, 4.6180731250000000E+005, 2.7753198242187500E+002, 3.7483745254576206E-003, 9.9958979990333319E-004, 8.8383140000000000E+006, 1.0004102950915694E-003, 4.6180731250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
9,0, 1.0000000149011612E-001, 1.2380000352859497E+000, 9.2850000000000000E+004, 9.7901415824890137E-001, 2.4500000000000000E+002, 2.4999999368446879E-005, 7.0000001869630069E-005, 2.5025173950195312E+002, 4.0041527245193720E-004, 5.0000002374872565E-004, 6.1115500000000000E+007, 1.9999999494757503E-004, 1.9729948750000000E+006, 2.5025177001953125E+002, 4.0041527245193720E-004, 4.9991381820291281E-004, 6.1104960000000000E+007, 2.0008620049338788E-004, 1.9729948750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
10,0, 1.0000000149011612E-001, 1.2400000095367432E+000, 9.2500000000000000E+004, 9.7795766592025757E-001, 2.6000000000000000E+002, 7.9999997979030013E-005, 3.0000001424923539E-004, 2.6586016845703125E+002, 1.4915125211700797E-003, 9.9999999747524271E-007, 3.7301940917968750E+003, 2.0000000949949026E-003, 2.8311018750000000E+005, 2.6586016845703125E+002, 1.4915125211700797E-003, 9.9946623777213972E-007, 3.7282028808593750E+003, 2.0000005606561899E-003, 2.8311018750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
11,0, 1.0000000149011612E-001, 1.2419999837875366E+000, 9.2150000000000000E+004, 9.7689831256866455E-001, 2.5000000000000000E+002, 9.9999997473787516E-005, 3.0000001424923539E-004, 2.5591200256347656E+002, 6.3751020934432745E-004, 2.0000000949949026E-003, 3.8197187500000000E+006, 4.9999998882412910E-003, 7.0777543750000000E+005, 2.5591250610351562E+002, 6.3751020934432745E-004, 1.9982596859335899E-003, 3.8163950000000000E+006, 5.0017400644719601E-003, 7.0777543750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1, 1.0000000000000000E+000, 1.0900000333786011E+000, 8.8000000000000000E+004, 9.6411269903182983E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.6760357666015625E+002, 1.3298399280756712E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6760357666015625E+002, 1.3298399280756712E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1, 1.0000000000000000E+000, 1.0920000076293945E+000, 8.7650000000000000E+004, 9.6301484107971191E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.6790863037109375E+002, 1.3351500965654850E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.6790863037109375E+002, 1.3351500965654850E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
2,1, 1.0000000000000000E+000, 1.0939999818801880E+000, 8.7300000000000000E+004, 9.6191388368606567E-001, 2.5800000000000000E+002, 1.4000000192027073E-005, 7.9999997979030013E-005, 2.6821527099609375E+002, 1.3405031058937311E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.6821527099609375E+002, 1.3405031058937311E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
3,1, 1.0000000000000000E+000, 1.0960000753402710E+000, 8.6950000000000000E+004, 9.6080970764160156E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 2.9000000722589903E-005, 2.6852352905273438E+002, 1.3458988396450877E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 2.6852352905273438E+002, 1.3458988396450877E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1, 1.0000000000000000E+000, 1.0980000495910645E+000, 8.6600000000000000E+004, 9.5970243215560913E-001, 2.5800000000000000E+002, 1.4999999621068127E-005, 2.9999999242136255E-005, 2.6883334350585938E+002, 1.3513384619727731E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 2.6883334350585938E+002, 1.3513384619727731E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
5,1, 1.0000000000000000E+000, 1.1000000238418579E+000, 8.6250000000000000E+004, 9.5859193801879883E-001, 2.6800000000000000E+002, 1.9999999494757503E-005, 4.9999998736893758E-005, 2.7957672119140625E+002, 3.0035716481506824E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 5.2635590000000000E+006, 2.7957705688476562E+002, 3.0035716481506824E-003, 4.9897155258804560E-004, 1.1912069600000000E+008, 2.0102846610825509E-004, 5.2635590000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
6,1, 1.0000000000000000E+000, 1.1019999980926514E+000, 8.5900000000000000E+004, 9.5747816562652588E-001, 2.5500000000000000E+002, 3.9999998989515007E-005, 9.9999997473787516E-005, 2.6632461547851562E+002, 1.0583087569102645E-003, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 6.9724456250000000E+005, 2.6632482910156250E+002, 1.0583087569102645E-003, 4.9931241665035486E-004, 1.4900259000000000E+007, 2.0068758749403059E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
7,1, 1.0000000000000000E+000, 1.1040000915527344E+000, 8.5550000000000000E+004, 9.5636117458343506E-001, 2.7314999389648438E+002, 2.9999999242136255E-005, 1.1999999696854502E-004, 2.8561386108398438E+002, 4.4418470934033394E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 2.8561386108398438E+002, 4.4418470934033394E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1, 1.0000000000000000E+000, 1.1060000658035278E+000, 8.5200000000000000E+004, 9.5524096488952637E-001, 2.7200000000000000E+002, 5.9999998484272510E-005, 1.9999999494757503E-004, 2.8474490356445312E+002, 4.1003343649208546E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 1.0000000474974513E-003, 4.6180731250000000E+005, 2.8474627685546875E+002, 4.1003343649208546E-003, 9.9603459239006042E-004, 8.8068790000000000E+006, 1.0039655026048422E-003, 4.6180731250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
9,1, 1.0000000000000000E+000, 1.1080000400543213E+000, 8.4850000000000000E+004, 9.5411741733551025E-001, 2.4500000000000000E+002, 2.4999999368446879E-005, 7.0000001869630069E-005, 2.5678179931640625E+002, 4.3816803372465074E-004, 5.0000002374872565E-004, 6.1115500000000000E+007, 1.9999999494757503E-004, 1.9729948750000000E+006, 2.5678204345703125E+002, 4.3816803372465074E-004, 4.9917976139113307E-004, 6.1015240000000000E+007, 2.0082024275325239E-004, 1.9729950000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
10,1, 1.0000000000000000E+000, 1.1100000143051147E+000, 8.4500000000000000E+004, 9.5299053192138672E-001, 2.6000000000000000E+002, 7.9999997979030013E-005, 3.0000001424923539E-004, 2.7282537841796875E+002, 1.6327208140864968E-003, 9.9999999747524271E-007, 3.7301940917968750E+003, 2.0000000949949026E-003, 2.8311018750000000E+005, 2.7282537841796875E+002, 1.6327208140864968E-003, 9.9475164461182430E-007, 3.7106166992187500E+003, 2.0000054500997066E-003, 2.8311018750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
11,1, 1.0000000000000000E+000, 1.1119999885559082E+000, 8.4150000000000000E+004, 9.5186036825180054E-001, 2.5000000000000000E+002, 9.9999997473787516E-005, 3.0000001424923539E-004, 2.6264355468750000E+002, 6.9811724824830890E-004, 2.0000000949949026E-003, 3.8197187500000000E+006, 4.9999998882412910E-003, 7.0777543750000000E+005, 2.6264886474609375E+002, 6.9811724824830890E-004, 1.9819648005068302E-003, 3.7852737500000000E+006, 5.0180349498987198E-003, 7.0777543750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
0,2, 1.0000000000000000E+001, 9.6000003814697266E-001, 8.0000000000000000E+004, 9.3819642066955566E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.7499572753906250E+002, 1.4628238277509809E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7499572753906250E+002, 1.4628238277509809E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2, 1.0000000000000000E+001, 9.6200001239776611E-001, 7.9650000000000000E+004, 9.3702107667922974E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 7.9999997979030013E-005, 2.7534066772460938E+002, 1.4692519325762987E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.7534066772460938E+002, 1.4692519325762987E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2, 1.0000000000000000E+001, 9.6400004625320435E-001, 7.9300000000000000E+004, 9.3584203720092773E-001, 2.5800000000000000E+002, 1.4000000192027073E-005, 7.9999997979030013E-005, 2.7568756103515625E+002, 1.4757366152480245E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 2.7568756103515625E+002, 1.4757366152480245E-003, 5.0000002374872565E-004, 3.4800640000000000E+008, 1.9999999494757503E-004, 1.3366080000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
3,2, 1.0000000000000000E+001, 9.6600002050399780E-001, 7.8950000000000000E+004, 9.3465930223464966E-001, 2.5800000000000000E+002, 1.9999999494757503E-005, 2.9000000722589903E-005, 2.7603640747070312E+002, 1.4822788070887327E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 2.7603640747070312E+002, 1.4822788070887327E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 2.5774776000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,2, 1.0000000000000000E+001, 9.6800005435943604E-001, 7.8600000000000000E+004, 9.3347281217575073E-001, 2.5800000000000000E+002, 1.4999999621068127E-005, 2.9999999242136255E-005, 2.7638726806640625E+002, 1.4888792065903544E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 2.7638726806640625E+002, 1.4888792065903544E-003, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 2.3348420000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2, 1.0000000000000000E+001, 9.7000002861022949E-001, 7.8250000000000000E+004, 9.3228256702423096E-001, 2.6800000000000000E+002, 1.9999999494757503E-005, 4.9999998736893758E-005, 2.8746649169921875E+002, 3.3106463961303234E-003, 5.0000002374872565E-004, 1.1936622400000000E+008, 1.9999999494757503E-004, 5.2635590000000000E+006, 2.8746984863281250E+002, 3.3106463961303234E-003, 4.9030128866434097E-004, 1.1705082400000000E+008, 2.0969871548004448E-004, 5.2635590000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
6,2, 1.0000000000000000E+001, 9.7200006246566772E-001, 7.7900000000000000E+004, 9.3108844757080078E-001, 2.5500000000000000E+002, 3.9999998989515007E-005, 9.9999997473787516E-005, 2.7387301635742188E+002, 1.1669924715533853E-003, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 6.9724456250000000E+005, 2.7387506103515625E+002, 1.1669924715533853E-003, 4.9345294246450067E-004, 1.4725402000000000E+007, 2.0654707623180002E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
7,2, 1.0000000000000000E+001, 9.7400003671646118E-001, 7.7550000000000000E+004, 9.2989057302474976E-001, 2.7314999389648438E+002, 2.9999999242136255E-005, 1.1999999696854502E-004, 2.9374423217773438E+002, 4.9000643193721771E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 2.9374423217773438E+002, 4.9000643193721771E-003, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.0970259375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
8,2, 1.0000000000000000E+001, 9.7600001096725464E-001, 7.7200000000000000E+004, 9.2868876457214355E-001, 2.7200000000000000E+002, 5.9999998484272510E-005, 1.9999999494757503E-004, 2.9288607788085938E+002, 4.5252391137182713E-003, 1.0000000474974513E-003, 8.8419420000000000E+006, 1.0000000474974513E-003, 4.6180731250000000E+005, 2.9289962768554688E+002, 4.5252391137182713E-003, 9.6190406475216150E-004, 8.5050990000000000E+006, 1.0380960302427411E-003, 4.6180731250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2, 1.0000000000000000E+001, 9.7800004482269287E-001, 7.6850000000000000E+004, 9.2748308181762695E-001, 2.4500000000000000E+002, 2.4999999368446879E-005, 7.0000001869630069E-005, 2.6415576171875000E+002, 4.8378086648881435E-004, 5.0000002374872565E-004, 6.1115500000000000E+007, 1.9999999494757503E-004, 1.9729948750000000E+006, 2.6415798950195312E+002, 4.8378086648881435E-004, 4.9224693793803453E-004, 6.0167832000000000E+007, 2.0775305165443569E-004, 1.9729948750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
10,2, 1.0000000000000000E+001, 9.8000001907348633E-001, 7.6500000000000000E+004, 9.2627346515655518E-001, 2.6000000000000000E+002, 7.9999997979030013E-005, 3.0000001424923539E-004, 2.8069464111328125E+002, 1.8034628592431545E-003, 9.9999999747524271E-007, 3.7301940917968750E+003, 2.0000000949949026E-003, 2.8311018750000000E+005, 2.8069467163085938E+002, 1.8034628592431545E-003, 9.4870165412430651E-007, 3.5388415527343750E+003, 2.0000513177365065E-003, 2.8311018750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
11,2, 1.0000000000000000E+001, 9.8200005292892456E-001, 7.6150000000000000E+004, 9.2505991458892822E-001, 2.5000000000000000E+002, 9.9999997473787516E-005, 3.0000001424923539E-004, 2.7025277709960938E+002, 7.7145855175331235E-004, 2.0000000949949026E-003, 3.8197187500000000E+006, 4.9999998882412910E-003, 7.0777543750000000E+005, 2.7030899047851562E+002, 7.7145855175331235E-004, 1.8142578192055225E-003, 3.4649772500000000E+006, 5.1857423968613148E-003, 7.0777543750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
