case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,target_ice_diameter_m,theta_before_k,qv_before,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg
0,1,1, 1.0000000000000000E+000, 1.2500000000000000E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 2.3800000000000000E+002, 1.0049999952316284E+000, 9.8999997135251760E-005, 2.3800000000000000E+002, 1.3559561921283603E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3800000000000000E+002, 1.3559561921283603E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 1.0000000000000000E+000, 1.2530000209808350E+000, 9.9500000000000000E+004, 9.9856793880462646E-001, 2.4500000000000000E+002, 1.0049999952316284E+000, 9.9999997473787516E-005, 2.4535136413574219E+002, 2.8666068101301789E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4535136413574219E+002, 2.8666068101301789E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,1, 1.0000000000000000E+000, 1.2560000419616699E+000, 9.9000000000000000E+004, 9.9713075160980225E-001, 2.5000000000000000E+002, 1.0049999952316284E+000, 1.0099999781232327E-004, 2.5071937561035156E+002, 4.7731935046613216E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5071937561035156E+002, 4.7731935046613216E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,1, 1.0000000149011612E-001, 1.2589999437332153E+000, 9.8500000000000000E+004, 9.9568837881088257E-001, 2.5500000000000000E+002, 1.0001000165939331E+000, 1.5000000712461770E-004, 2.5610421752929688E+002, 7.7495048753917217E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5610421752929688E+002, 7.7495048753917217E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,2, 1.0000000000000000E+000, 1.2619999647140503E+000, 9.8000000000000000E+004, 9.9424076080322266E-001, 2.6000000000000000E+002, 1.0199999809265137E+000, 1.5000000712461770E-004, 2.6150607299804688E+002, 1.2650040443986654E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6150607299804688E+002, 1.2650040443986654E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,2, 2.0000000000000000E+000, 1.2649999856948853E+000, 9.7500000000000000E+004, 9.9278789758682251E-001, 2.6500000000000000E+002, 1.1000000238418579E+000, 1.9999999494757503E-004, 2.6692507934570312E+002, 2.1443984005600214E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6692507934570312E+002, 2.1443984005600214E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,2, 5.0000000000000000E+000, 1.2680000066757202E+000, 9.7000000000000000E+004, 9.9132961034774780E-001, 2.6800000000000000E+002, 1.2000000476837158E+000, 3.0000001424923539E-004, 2.7034399414062500E+002, 3.0497631523758173E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7034399414062500E+002, 3.0497631523758173E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,4,2, 1.0000000000000000E+001, 1.2710000276565552E+000, 9.6500000000000000E+004, 9.8986601829528809E-001, 2.7000000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 2.7276419067382812E+002, 3.1796279363334179E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7276419067382812E+002, 3.1796279363334179E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1,3, 3.0000000000000000E+001, 1.2740000486373901E+000, 9.6000000000000000E+004, 9.8839694261550903E-001, 2.7200000000000000E+002, 1.0099999904632568E+000, 1.1999999696854502E-004, 2.7519308471679688E+002, 3.6350016016513109E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7519308471679688E+002, 3.6350016016513109E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2,3, 6.0000000000000000E+001, 1.2769999504089355E+000, 9.5500000000000000E+004, 9.8692244291305542E-001, 2.5800000000000000E+002, 1.5000000000000000E+000, 1.8000000272877514E-004, 2.6141873168945312E+002, 1.5883776359260082E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6141873168945312E+002, 1.5883776359260082E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
