case,column,k,dt_s,rho_kg_m3,dz_m,qi_before,ni_before_per_kg,qi_after,ni_after_per_kg,icencv_kg_m2
1,1,1, 5.0000000000000000E-001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 5.0000000000000000E-001, 1.2869999408721924E+000, 5.1500000000000000E+001, 7.9999997979030013E-004, 3.1999998000000000E+007, 7.9971511149778962E-004, 3.1983578000000000E+007, 8.5446503362618387E-005
1,3,1, 5.0000000000000000E-001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,1, 5.0000000000000000E-001, 1.3009999990463257E+000, 5.8500000000000000E+001, 3.9999998989515007E-004, 2.0000000000000000E+004, 3.9873644709587097E-004, 4.3128580000000000E+006, 1.2883958697784692E-004
1,5,1, 5.0000000000000000E-001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999998245167004E-014, 6.3195146620273590E-002, 1.0091386548009146E-013, 6.3446238636970520E-002, 0.0000000000000000E+000
1,6,1, 5.0000000000000000E-001, 1.3149999380111694E+000, 6.5500000000000000E+001, 1.0000000116860974E-007, 1.0000000000000000E+005, 1.0006560557940247E-007, 1.0000998437500000E+005, 5.9840270516531291E-009
1,1,2, 5.0000000000000000E-001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9244404231576482E-008, 1.7389271484375000E+004, 0.0000000000000000E+000
1,2,2, 5.0000000000000000E-001, 1.2349998950958252E+000, 6.8500000000000000E+001, 6.1070360243320465E-004, 1.9542516000000000E+007, 6.1052921228110790E-004, 1.9534488000000000E+007, 8.5446503362618387E-005
1,3,2, 5.0000000000000000E-001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,2, 5.0000000000000000E-001, 1.2489999532699585E+000, 7.5500000000000000E+001, 5.9999997029080987E-004, 6.0000000000000000E+009, 5.9965351829305291E-004, 5.9970718720000000E+009, 1.2883958697784692E-004
1,5,2, 5.0000000000000000E-001, 1.2559999227523804E+000, 7.9000000000000000E+001, 9.9999999600419720E-013, 2.7476149797439575E-001, 1.0077723161180940E-012, 2.7557399868965149E-001, 0.0000000000000000E+000
1,6,2, 5.0000000000000000E-001, 1.2629998922348022E+000, 8.2500000000000000E+001, 1.8000000068241206E-007, 1.0588235156250000E+005, 1.8010526048328757E-007, 1.0589173437500000E+005, 5.9840270516531291E-009
1,1,3, 5.0000000000000000E-001, 1.1759999990463257E+000, 8.2000000000000000E+001, 3.7500001781154424E-005, 2.2298202000000000E+007, 3.7552730645984411E-005, 2.2313324000000000E+007, 0.0000000000000000E+000
1,2,3, 5.0000000000000000E-001, 1.1829999685287476E+000, 8.5500000000000000E+001, 4.6619857312180102E-004, 1.1934684000000000E+007, 4.6608463162556291E-004, 1.1930497000000000E+007, 8.5446503362618387E-005
1,3,3, 5.0000000000000000E-001, 1.1900000572204590E+000, 8.9000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,3, 5.0000000000000000E-001, 1.1970000267028809E+000, 9.2500000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.4178687959356466E-008, 9.4178693750000000E+005, 1.2883958697784692E-004
1,5,3, 5.0000000000000000E-001, 1.2039999961853027E+000, 9.6000000000000000E+001, 9.9999999600419720E-012, 1.1946153640747070E+000, 1.0076025083738394E-011, 1.1980702877044678E+000, 0.0000000000000000E+000
1,6,3, 5.0000000000000000E-001, 1.2109999656677246E+000, 9.9500000000000000E+001, 3.2399998417531606E-007, 1.1211071875000000E+005, 3.2417645456916944E-007, 1.1211992187500000E+005, 5.9840270516531291E-009
1,1,4, 5.0000000000000000E-001, 1.1239999532699585E+000, 9.9000000000000000E+001, 1.1250000534346327E-004, 4.3157816000000000E+007, 1.1255092977080494E-004, 4.3161348000000000E+007, 0.0000000000000000E+000
1,2,4, 5.0000000000000000E-001, 1.1309999227523804E+000, 1.0250000000000000E+002, 3.5588644095696509E-004, 7.2885540000000000E+006, 3.5575893707573414E-004, 7.2924370000000000E+006, 8.5446503362618387E-005
1,3,4, 5.0000000000000000E-001, 1.1380000114440918E+000, 1.0600000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,4, 5.0000000000000000E-001, 1.1449999809265137E+000, 1.0950000000000000E+002, 1.9999999494757503E-004, 2.0000000000000000E+009, 2.0085871801711619E-004, 1.9992971520000000E+009, 1.2883958697784692E-004
1,5,4, 5.0000000000000000E-001, 1.1519999504089355E+000, 1.1300000000000000E+002, 1.0000000133514320E-010, 5.1939797401428223E+000, 1.0076836587380456E-010, 5.2091588973999023E+000, 0.0000000000000000E+000
1,6,4, 5.0000000000000000E-001, 1.1589999198913574E+000, 1.1650000000000000E+002, 5.8319994877820136E-007, 1.1870545312500000E+005, 5.8518503465165850E-007, 1.1864957031250000E+005, 5.9840270516531291E-009
1,1,5, 5.0000000000000000E-001, 1.0720000267028809E+000, 1.1600000000000000E+002, 1.8750000162981451E-004, 4.6406252000000000E+007, 1.8755049677565694E-004, 4.6405256000000000E+007, 0.0000000000000000E+000
1,2,5, 5.0000000000000000E-001, 1.0789999961853027E+000, 1.1950000000000000E+002, 2.7167639927938581E-004, 1.3583820000000000E+007, 2.7163207414560020E-004, 1.3580650000000000E+007, 8.5446503362618387E-005
1,3,5, 5.0000000000000000E-001, 1.0860000848770142E+000, 1.2300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,5, 5.0000000000000000E-001, 1.0930000543594360E+000, 1.2650000000000000E+002, 3.9999998989515007E-004, 2.0000000000000000E+004, 3.9914587978273630E-004, 1.9963912109375000E+004, 1.2883958697784692E-004
1,5,5, 5.0000000000000000E-001, 1.1000000238418579E+000, 1.3000000000000000E+002, 9.9999997171806854E-010, 2.2582519531250000E+001, 1.0027213503960297E-009, 2.7635250091552734E+001, 0.0000000000000000E+000
1,6,5, 5.0000000000000000E-001, 1.1069999933242798E+000, 1.3350000000000000E+002, 1.0497599305381300E-006, 0.0000000000000000E+000, 1.0487640338396886E-006, 7.8503105163574219E+001, 5.9840270516531291E-009
1,1,6, 5.0000000000000000E-001, 1.0199999809265137E+000, 1.3300000000000000E+002, 2.6250001974403858E-004, 4.1915324000000000E+007, 2.6250796508975327E-004, 4.1909176000000000E+007, 0.0000000000000000E+000
1,2,6, 5.0000000000000000E-001, 1.0269999504089355E+000, 1.3650000000000000E+002, 2.0739219326060265E-004, 8.2956875000000000E+006, 2.0736041187774390E-004, 8.2938740000000000E+006, 8.5446503362618387E-005
1,3,6, 5.0000000000000000E-001, 1.0340000391006470E+000, 1.4000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6262541180367407E-007, 5.4208465576171875E+002, 0.0000000000000000E+000
1,4,6, 5.0000000000000000E-001, 1.0410000085830688E+000, 1.4350000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5039596519272891E-006, 7.5197982788085938E+001, 1.2883958697784692E-004
1,5,6, 5.0000000000000000E-001, 1.0479999780654907E+000, 1.4700000000000000E+002, 9.9999999392252903E-009, 1.4534883789062500E+004, 9.9967616407070636E-009, 1.4530906250000000E+004, 0.0000000000000000E+000
1,6,6, 5.0000000000000000E-001, 1.0549999475479126E+000, 1.5050000000000000E+002, 1.8895677840191638E-006, 1.3308153125000000E+005, 1.8905371916844160E-006, 1.3309160937500000E+005, 5.9840270516531291E-009
1,1,7, 5.0000000000000000E-001, 9.6799993515014648E-001, 1.5000000000000000E+002, 2.6250001974403858E-004, 2.7042146000000000E+007, 2.6246524066664279E-004, 2.7035842000000000E+007, 0.0000000000000000E+000
1,2,7, 5.0000000000000000E-001, 9.7499996423721313E-001, 1.5350000000000000E+002, 1.5831892960704863E-004, 5.0662060000000000E+006, 1.5829574840608984E-004, 5.0651505000000000E+006, 8.5446503362618387E-005
1,3,7, 5.0000000000000000E-001, 9.8199993371963501E-001, 1.5700000000000000E+002, 1.5999999595806003E-004, 5.3333331250000000E+005, 1.6008438251446933E-004, 5.3338881250000000E+005, 0.0000000000000000E+000
1,4,7, 5.0000000000000000E-001, 9.8899996280670166E-001, 1.6050000000000000E+002, 7.9999997979030013E-004, 4.0000000000000000E+004, 7.9864403232932091E-004, 6.3419987500000000E+005, 1.2883958697784692E-004
1,5,7, 5.0000000000000000E-001, 9.9599993228912354E-001, 1.6400000000000000E+002, 9.9999998245167004E-015, 6.3195144757628441E-003, 9.9999998245167004E-015, 6.3195144757628441E-003, 0.0000000000000000E+000
1,6,7, 5.0000000000000000E-001, 1.0029999017715454E+000, 1.6750000000000000E+002, 3.4012218748102896E-006, 1.4090984375000000E+005, 3.4029892503895098E-006, 1.4092056250000000E+005, 5.9840270516531291E-009
1,1,8, 5.0000000000000000E-001, 9.1599994897842407E-001, 1.6700000000000000E+002, 1.8750000162981451E-004, 1.2461819000000000E+007, 1.8746292334981263E-004, 1.2458470000000000E+007, 0.0000000000000000E+000
1,2,8, 5.0000000000000000E-001, 9.2299997806549072E-001, 1.7050000000000000E+002, 1.2085742491763085E-004, 3.0939500000000000E+006, 1.2084027548553422E-004, 3.0933270000000000E+006, 8.5446503362618387E-005
1,3,8, 5.0000000000000000E-001, 9.2999994754791260E-001, 1.7400000000000000E+002, 2.3999999393709004E-004, 5.7142856250000000E+005, 2.4008537002373487E-004, 5.7142137500000000E+005, 0.0000000000000000E+000
1,4,8, 5.0000000000000000E-001, 9.3699997663497925E-001, 1.7750000000000000E+002, 1.9999999494757503E-004, 2.0000000000000000E+009, 1.9994327158201486E-004, 1.9995206400000000E+009, 1.2883958697784692E-004
1,5,8, 5.0000000000000000E-001, 9.4399994611740112E-001, 1.8100000000000000E+002, 9.9999998245167004E-014, 2.7476148679852486E-002, 1.0042582542467426E-013, 2.7527017518877983E-002, 0.0000000000000000E+000
1,6,8, 5.0000000000000000E-001, 9.5099997520446777E-001, 1.8450000000000000E+002, 6.1221994656079914E-006, 1.4919867187500000E+005, 6.1254581851244438E-006, 1.4921018750000000E+005, 5.9840270516531291E-009
1,1,9, 5.0000000000000000E-001, 8.6399996280670166E-001, 1.8400000000000000E+002, 1.1250000534346327E-004, 4.8239300000000000E+006, 1.1246027133893222E-004, 4.8222150000000000E+006, 0.0000000000000000E+000
1,2,9, 5.0000000000000000E-001, 8.7099999189376831E-001, 1.8750000000000000E+002, 9.2260081146378070E-005, 1.8894865000000000E+006, 9.2239235527813435E-005, 1.8901007500000000E+006, 8.5446503362618387E-005
1,3,9, 5.0000000000000000E-001, 8.7799996137619019E-001, 1.9100000000000000E+002, 3.1999999191612005E-004, 5.4421768750000000E+005, 3.2008695416152477E-004, 5.4418362500000000E+005, 0.0000000000000000E+000
1,4,9, 5.0000000000000000E-001, 8.8499999046325684E-001, 1.9450000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5501245798077434E-007, 1.5501248750000000E+006, 1.2883958697784692E-004
