phase,case,i,k,rho_kg_m3,qv,qc,qr,qi,qs,qg,qh,nc_per_kg,nr_per_kg,ni_per_kg,ns_per_kg,ng_per_kg,nh_per_kg,qnn_per_kg,qvolg_m3_per_kg,qvolh_m3_per_kg
before,0,1,1, 1.2250000238418579E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,1, 1.2250000238418579E+000, 9.9999997764825821E-003, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999122583502E-014, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999800209860E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,2,3,1, 1.2250000238418579E+000, 9.9999997764825821E-003, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 4.9999998585903427E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,3,4,1, 1.2250000238418579E+000, 9.9999997764825821E-003, 3.4999997296836227E-005, 6.9999994593672454E-005, 5.2499999583233148E-005, 8.7499996880069375E-005, 1.0499999916646630E-004, 1.2250000145286322E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,4,1,2, 1.1507810354232788E+000, 9.9999997764825821E-003, 1.9999999494757503E-004, 3.0000001424923539E-004, 1.5000000712461770E-004, 2.5000001187436283E-004, 3.4999998752027750E-004, 4.4999999227002263E-004, 8.0000000000000000E+007, 4.0000000000000000E+005, 2.0000000000000000E+006, 3.0000000000000000E+005, 2.0000000000000000E+005, 8.0000000000000000E+004, 4.0816326400000000E+008, 5.3846150649405899E-007, 5.2941174999432405E-007
before,5,2,2, 1.1507810354232788E+000, 9.9999997764825821E-003, 4.5000000682193786E-005, 9.0000001364387572E-005, 6.7499997385311872E-005, 1.1249999806750566E-004, 1.3499999477062374E-004, 1.5750000602565706E-004,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.0816326400000000E+008,-1.0000000000000000E+000,-1.0000000000000000E+000
before,6,3,2, 1.1507810354232788E+000, 9.9999997764825821E-003, 4.9999998736893758E-005, 9.9999997473787516E-005, 7.4999996286351234E-005, 1.2499999138526618E-004, 1.4999999257270247E-004, 1.7500000831205398E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,7,4,2, 1.1507810354232788E+000, 9.9999997764825821E-003, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,0,1,3, 1.0810587406158447E+000, 9.9999997764825821E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,3, 1.0810587406158447E+000, 9.9999997764825821E-003, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999122583502E-014, 4.9999999122583502E-014, 4.9999999800209860E-013, 4.9999999800209860E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
