case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,rain_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qr_before,qnr_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qr_after,qnr_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
0,0, 1.0000000149011612E-001, 3.5000000000000000E+002, 1.2200000286102295E+000, 9.7000000000000000E+004, 9.9132961034774780E-001, 2.4200000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4411659240722656E+002, 2.8819098952226341E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4411659240722656E+002, 2.8819098952226341E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,0, 1.0000000149011612E-001, 4.2500000000000000E+002, 1.2215000391006470E+000, 9.6775000000000000E+004, 9.9067169427871704E-001, 2.4314999389648438E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4543952941894531E+002, 3.2254066900350153E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394350585937500E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4543986511230469E+002, 3.2254066900350153E-004, 7.9875712981447577E-004, 5.6500512000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0012429449707270E-003, 7.6394350585937500E+003, 4.0039685700321570E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 1.0000000149011612E-001, 5.0000000000000000E+002, 1.2230000495910645E+000, 9.6550000000000000E+004, 9.9001264572143555E-001, 2.4319999694824219E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4565342712402344E+002, 3.2483728136867285E-004, 7.9999997979030013E-004, 5.6588428000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394350585937500E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4565376281738281E+002, 3.2483728136867285E-004, 7.9875637311488390E-004, 5.6500460000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0012436434626579E-003, 7.6394350585937500E+003, 4.0039690247795079E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 1.0000000149011612E-001, 5.7500000000000000E+002, 1.2245000600814819E+000, 9.6325000000000000E+004, 9.8935246467590332E-001, 2.5500000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.5774435424804688E+002, 9.4377080677077174E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394345703125000E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5774472045898438E+002, 9.4377080677077174E-004, 7.9875520896166563E-004, 5.6500376000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0012448076158762E-003, 7.6394345703125000E+003, 4.0031877688306849E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,0, 1.0000000149011612E-001, 6.5000000000000000E+002, 1.2260000705718994E+000, 9.6100000000000000E+004, 9.8869121074676514E-001, 2.7000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 3.0000000260770321E-003, 3.0000000260770321E-003, 8.0000000000000000E+002, 7.0000000000000000E+002, 2.7308828735351562E+002, 3.1344348099082708E-003, 7.9999997979030013E-004, 5.6588420000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 1.7683882141113281E+002, 2.5000001642183634E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7308850097656250E+002, 3.1344348099082708E-003, 7.9937669215723872E-004, 5.6544328000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0006233826279640E-003, 1.7683882141113281E+002, 2.5006925170600880E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 1.0000000149011612E-001, 7.2500000000000000E+002, 1.2275000810623169E+000, 9.5875000000000000E+004, 9.8802888393402100E-001, 2.7289999389648438E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7620648193359375E+002, 3.8919583894312382E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 2.0210151672363281E+002, 2.8571430448209867E-006, 2.7620651245117188E+002, 3.8919583894312382E-003, 7.9931004438549280E-004, 5.6539624000000000E+007, 6.0376362398528727E-007, 6.4516365528106689E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000862423330545E-003, 2.0210151672363281E+002, 2.8571430448209867E-006
6,0, 1.0000000149011612E-001, 8.0000000000000000E+002, 1.2289999723434448E+000, 9.5650000000000000E+004, 9.8736542463302612E-001, 2.6000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 4.0000001899898052E-003, 3.0000000260770321E-003, 9.0000000000000000E+002, 7.0000000000000000E+002, 2.6332702636718750E+002, 1.4423931716009974E-003, 1.5000000130385160E-003, 1.0610329600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 6.6314544677734375E+001, 2.2222222924028756E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6332733154296875E+002, 1.4423931716009974E-003, 1.4990492491051555E-003, 1.0603604000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0009509753435850E-003, 6.6314544677734375E+001, 2.2235158212424722E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,0, 1.0000000149011612E-001, 3.5000000000000000E+002, 1.2304999828338623E+000, 9.5425000000000000E+004, 9.8670083284378052E-001, 2.6000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 8.0000003799796104E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.6350439453125000E+002, 1.4457941288128495E-003, 2.4999999441206455E-003, 2.2104852000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999998882412910E-003, 3.7301925659179688E+001, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6350555419921875E+002, 1.4457941288128495E-003, 2.4959358852356672E-003, 2.2068918000000000E+007, 2.7684836823027581E-007, 8.8123515248298645E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0037871114909649E-003, 3.7301925659179688E+001, 9.9999997473787516E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,0, 1.0000000149011612E-001, 4.2500000000000000E+002, 1.2319999933242798E+000, 9.5200000000000000E+004, 9.8603510856628418E-001, 2.6000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 9.9999997764825821E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.6368228149414062E+002, 1.4492112677544355E-003, 2.4999999441206455E-003, 2.2104852000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999998882412910E-003, 1.0610328674316406E+001, 5.5555556173203513E-006, 2.6368301391601562E+002, 1.4492112677544355E-003, 2.4971850216388702E-003, 2.2079964000000000E+007, 4.8477960490345140E-007, 3.5270866751670837E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0023300573229790E-003, 1.0610328674316406E+001, 5.5581444939889479E-006
9,0, 1.0000000149011612E-001, 5.0000000000000000E+002, 1.2335000038146973E+000, 9.4975000000000000E+004, 9.8536831140518188E-001, 2.7314999389648438E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 3.0000001424923539E-004, 1.0000000474974513E-003, 3.0000000260770321E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7720599365234375E+002, 4.0010530501604080E-003, 7.9999997979030013E-004, 5.6588428000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000949949026E-003, 7.6394350585937500E+003, 3.9999999899009708E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7720599365234375E+002, 4.0010530501604080E-003, 7.9875008668750525E-004, 5.6500016000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0012499298900366E-003, 7.6394350585937500E+003, 4.0012496356212068E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
