case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,w_m_s,dz_m,nuclei_minus_m3,nuclei_center_m3,nuclei_plus_m3,theta_before_k,qv_before,qi_before,qni_before_per_kg,theta_after_k,qv_after,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg
0,0, 1.0000000149011612E-001, 1.2000000476837158E+000, 9.5000000000000000E+004, 9.8544239997863770E-001, 2.5000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 1.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 3.0000000000000000E+003, 2.5369316101074219E+002, 5.1968940533697605E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5369316101074219E+002, 5.1968940533697605E-004, 5.7333331875478177E-013, 8.3333331346511841E-001, 0.0000000000000000E+000, 0.0000000000000000E+000
1,0, 1.0000000149011612E-001, 1.2020000219345093E+000, 9.4700000000000000E+004, 9.8455172777175903E-001, 2.6000000000000000E+002, 1.0499999523162842E+000, 0.0000000000000000E+000, 1.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 3.0000000000000000E+003, 2.6407955932617188E+002, 1.3475880259647965E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6407955932617188E+002, 1.3475880259647965E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 1.0000000149011612E-001, 1.2039999961853027E+000, 9.4400000000000000E+004, 9.8365902900695801E-001, 2.6000000000000000E+002, 1.0499999523162842E+000,-2.0000000000000000E+000, 1.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 3.0000000000000000E+003, 2.6431924438476562E+002, 1.3518705964088440E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6431924438476562E+002, 1.3518705964088440E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 1.0000000149011612E-001, 1.2060000896453857E+000, 9.4100000000000000E+004, 9.8276430368423462E-001, 2.5500000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 1.0000000000000000E+002, 5.0000000000000000E+003, 3.0000000000000000E+003, 1.0000000000000000E+003, 2.5947219848632812E+002, 8.5166026838123798E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5947219848632812E+002, 8.5166026838123798E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,0, 1.0000000149011612E-001, 1.2080000638961792E+000, 9.3800000000000000E+004, 9.8186749219894409E-001, 2.6816000366210938E+002, 1.0499999523162842E+000, 1.0000000000000000E+000, 1.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 3.0000000000000000E+003, 2.7311221313476562E+002, 2.7976504061371088E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7311221313476562E+002, 2.7976504061371088E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 1.0000000149011612E-001, 1.2100000381469727E+000, 9.3500000000000000E+004, 9.8096871376037598E-001, 2.4500000000000000E+002, 9.9000000953674316E-001, 1.0000000000000000E+000, 1.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 3.0000000000000000E+003, 2.4975312805175781E+002, 3.0050295754335821E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4975312805175781E+002, 3.0050295754335821E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,0, 1.0000000149011612E-001, 1.2120000123977661E+000, 9.3200000000000000E+004, 9.8006778955459595E-001, 2.6789999389648438E+002, 1.0001000165939331E+000, 2.0000000298023224E-001, 1.0000000000000000E+002, 1.0000000000000000E+003, 2.0000000000000000E+003, 3.0000000000000000E+003, 2.7334841918945312E+002, 2.6227759663015604E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7334841918945312E+002, 2.6227759663015604E-003, 1.1353136313008161E-013, 1.6501653194427490E-001, 0.0000000000000000E+000, 0.0000000000000000E+000
7,0, 1.0000000149011612E-001, 1.2140001058578491E+000, 9.2900000000000000E+004, 9.7916483879089355E-001, 2.4000000000000000E+002, 1.0499999523162842E+000, 1.0000000000000000E+001, 1.0000000000000000E+002, 1.0000000000000000E+003, 5.0000000000000000E+008, 1.0000000000000000E+009, 2.4510684204101562E+002, 1.8945630290545523E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4510746765136719E+002, 1.8924051255453378E-004, 2.1579602105248341E-007, 3.1365700000000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
8,0, 1.0000000149011612E-001, 1.2160000801086426E+000, 9.2600000000000000E+004, 9.7825980186462402E-001, 2.3500000000000000E+002, 1.0499999523162842E+000, 5.0000000000000000E+000, 1.0000000000000000E+002, 0.0000000000000000E+000, 2.5000000000000000E+005, 5.0000000000000000E+005, 2.4022248840332031E+002, 1.0968941205646843E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4022248840332031E+002, 1.0968870628857985E-004, 7.0723676914852263E-010, 1.0279604492187500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
9,0, 1.0000000149011612E-001, 1.2180000543594360E+000, 9.2300000000000000E+004, 9.7735261917114258E-001, 2.6500000000000000E+002, 1.0010000467300415E+000, 3.0000000000000000E+000, 1.0000000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+005, 2.0000000000000000E+005, 2.7114062500000000E+002, 2.0613407250493765E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7114062500000000E+002, 2.0613404922187328E-003, 1.6928865254062231E-010, 2.4605911254882812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
