case,temperature_initial_k,pressure_pa,exner,theta_base_k,theta_perturbation_k,qv_base,qv_perturbation,qc_initial,target_supersaturation_percent,latent_over_cp_k,condensation_factor_k,rho_kg_m3,cloud_number_initial_m3,ccn_initial_m3,background_ccn_m3,cloud_mean_mass_kg,couple_number,iteration1_branch,iteration1_target_qv,iteration1_qv,iteration1_qc,iteration1_theta_perturbation_k,iteration2_branch,iteration2_target_qv,iteration2_qv,iteration2_qc,iteration2_theta_perturbation_k,qvex,theta_direct_after_k,theta_split_after_k,qv_direct_after,qv_split_after,qc_after,cloud_number_after_m3,ccn_after_m3,new_cloud_number_m3,workspace_qvex
0, 1.6314900207519531E+002, 1.5000000000000000E+004, 5.8136308193206787E-001, 2.8063186645507812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5925053710937500E+003, 1.0624154000000000E+007, 3.2030552625656128E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3073695200000000E+008, 3.3510334399933575E-014, 0.0000000000000000E+000,-2.0000000000000000E+000, 8.3642808235140365E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000000000000E+000, 8.3642808235140365E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8063186645507812E+002, 2.8063186645507812E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1, 1.6314999389648438E+002, 1.5000000000000000E+004, 5.8136308193206787E-001, 2.8063357543945312E+002, 0.0000000000000000E+000, 4.1988688082028602E-009, 0.0000000000000000E+000, 1.0000000036274937E-015, 4.0000000596046448E-001, 2.5925053710937500E+003, 1.0624154000000000E+007, 3.2030355930328369E-001, 1.0000000000000000E+006, 0.0000000000000000E+000, 1.3073614400000000E+008, 5.2359895932885259E-013, 0.0000000000000000E+000,-2.0000000000000000E+000, 8.3977376164057205E-009, 4.1988696963812799E-009, 0.0000000000000000E+000,-4.4593569288597923E-012,-2.0000000000000000E+000, 8.3977376164057205E-009, 4.1988696963812799E-009, 0.0000000000000000E+000,-4.4593569288597923E-012, 0.0000000000000000E+000, 2.8063357543945312E+002, 2.8063357543945312E+002, 4.1988688082028602E-009, 4.1988688082028602E-009, 1.0000000036274937E-015, 1.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2, 1.8000000000000000E+002, 3.0000000000000000E+004, 7.0877897739410400E-001, 2.5395787048339844E+002, 0.0000000000000000E+000, 3.4242489732605463E-007, 0.0000000000000000E+000, 9.9999999600419720E-013, 9.0000000000000000E+001, 2.5925053710937500E+003, 1.0624154000000000E+007, 5.8063900470733643E-001, 2.0000000000000000E+008, 5.0000000000000000E+006, 2.3699550400000000E+008, 1.6755166698523283E-011, 0.0000000000000000E+000,-1.0000000000000000E+000, 3.4242523838656780E-007, 3.4242523838656780E-007, 6.5893948283934911E-013,-1.2474992150401931E-009, 0.0000000000000000E+000, 3.4242523838656780E-007, 3.4242523838656780E-007, 6.5893948283934911E-013,-1.2474992150401931E-009, 0.0000000000000000E+000, 2.5395787048339844E+002, 2.5395787048339844E+002, 3.4242489732605463E-007, 3.4242489732605463E-007, 9.9999999600419720E-013, 2.0000000000000000E+008, 5.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
3, 2.3314999389648438E+002, 3.0000000000000000E+004, 7.0877897739410400E-001, 3.2894598388671875E+002, 0.0000000000000000E+000, 1.0027379030361772E-003, 3.3424596767872572E-004, 9.9999999392252903E-009, 2.5000000000000000E+002, 2.5925053710937500E+003, 1.0624154000000000E+007, 4.4790977239608765E-001, 1.0000000000000000E+009, 5.0000000000000000E+006, 1.8282032000000000E+008, 3.3510333397046566E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3369838707149029E-003, 1.3369838707149029E-003, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3369838707149029E-003, 1.3369838707149029E-003, 9.9999999392252903E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2894598388671875E+002, 3.2894598388671875E+002, 1.3369838707149029E-003, 1.3369838707149029E-003, 9.9999999392252903E-009, 1.0000000000000000E+009, 5.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
4, 2.4412298583984375E+002, 5.0000000000000000E+004, 8.2023179531097412E-001, 3.1762683105468750E+002,-2.0000000000000000E+001, 5.1346316467970610E-004, 1.7115438822656870E-004, 9.9999999600419720E-013, 0.0000000000000000E+000, 2.5637255859375000E+003, 1.0506214000000000E+007, 7.1324402093887329E-001, 0.0000000000000000E+000, 2.0000000000000000E+008, 2.9112000000000000E+008, 6.7020666794093131E-011, 0.0000000000000000E+000, 1.0000000000000000E+000, 6.8461691262200475E-004, 6.8461697082966566E-004, 5.5020776823511142E-010,-1.9999998092651367E+001, 1.0000000000000000E+000, 6.8461691262200475E-004, 6.8461697082966566E-004, 6.0013571889783179E-010,-1.9999998092651367E+001, 5.9913574101955192E-010, 2.9762683105468750E+002, 2.9762683105468750E+002, 6.8461697082966566E-004, 6.8461697082966566E-004, 6.0013571889783179E-010, 0.0000000000000000E+000, 2.0000000000000000E+008, 0.0000000000000000E+000, 6.4906374719342352E-010
5, 2.6314999389648438E+002, 5.0000000000000000E+004, 8.2023179531097412E-001, 3.4082394409179688E+002,-2.0000000000000000E+001, 2.6771766133606434E-003, 8.9239235967397690E-004, 9.9999999600419720E-013, 4.0000000596046448E-001, 2.5154814453125000E+003, 1.0308508000000000E+007, 6.6051495075225830E-001, 1.0000000000000000E+006, 2.0000000000000000E+008, 2.6959795200000000E+008, 9.9999999392252903E-009, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.5692120436578989E-003, 3.5693605896085501E-003, 2.0846232473559212E-007,-1.9999361038208008E+001, 1.0000000000000000E+000, 3.5692120436578989E-003, 3.5692737437784672E-003, 2.9521939381993434E-007,-1.9999095916748047E+001, 2.9521839906010428E-007, 3.2082485961914062E+002, 3.2082485961914062E+002, 3.5692737437784672E-003, 3.5692737437784672E-003, 2.9521939381993434E-007, 1.0000000000000000E+006, 2.0000000000000000E+008, 0.0000000000000000E+000, 2.9521839906010428E-007
6, 2.7314898681640625E+002, 7.0000000000000000E+004, 9.0305477380752563E-001, 3.2247222900390625E+002,-2.0000000000000000E+001, 1.3148813508450985E-002,-2.6297625154256821E-003, 4.9999998882412910E-003, 9.0000000000000000E+001, 2.4908762207031250E+003, 1.0207676000000000E+007, 8.8713002204895020E-001, 2.0000000000000000E+008, 8.0000000000000000E+008, 3.6209388800000000E+008, 3.3510334399933575E-014, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0448674671351910E-002, 1.0447175242006779E-002, 5.0718756392598152E-003,-1.9801746368408203E+001,-1.0000000000000000E+000, 1.0445640422403812E-002, 1.0448674671351910E-002, 5.0703762099146843E-003,-1.9805881500244141E+001, 7.0376321673393250E-005, 3.0266635131835938E+002, 3.0266635131835938E+002, 1.0448674671351910E-002, 1.0448674671351910E-002, 5.0703762099146843E-003, 2.0000000000000000E+008, 8.0000000000000000E+008, 0.0000000000000000E+000, 7.0376321673393250E-005
7, 2.7314999389648438E+002, 7.0000000000000000E+004, 9.0305477380752563E-001, 3.2247332763671875E+002,-2.0000000000000000E+001, 3.5624995827674866E-002,-7.1249976754188538E-003, 2.0000000298023224E-001, 2.5000000000000000E+002, 2.4908737792968750E+003, 1.0207666000000000E+007, 8.7759351730346680E-001, 1.0000000000000000E+009, 8.0000000000000000E+008, 3.5820144000000000E+008, 5.2359895932885259E-013, 0.0000000000000000E+000, 1.0000000000000000E+000, 2.7754679322242737E-002, 2.6362506672739983E-002, 2.0213750004768372E-001,-1.4104207992553711E+001,-1.0000000000000000E+000, 2.1725026890635490E-002, 2.7754679322242737E-002, 2.0074532926082611E-001,-1.7944202423095703E+001, 7.4532628059387207E-004, 3.0452914428710938E+002, 3.0452914428710938E+002, 2.7754671871662140E-002, 2.7754671871662140E-002, 2.0074532926082611E-001, 1.0000000000000000E+009, 8.0000000000000000E+008, 0.0000000000000000E+000, 7.4532628059387207E-004
8, 3.0000000000000000E+002, 8.5000000000000000E+004, 9.5459932088851929E-001, 3.0901797485351562E+002, 5.2500000000000000E+000, 6.1433918774127960E-002,-1.2286782264709473E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4269912109375000E+003, 9.9458730000000000E+006, 9.5844674110412598E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9120275200000000E+008, 1.6755166698523283E-011, 1.0000000000000000E+000, 1.0000000000000000E+000, 5.0909221172332764E-002, 4.4180572032928467E-002, 4.9665630795061588E-003, 1.7877082824707031E+001,-2.0000000000000000E+000, 2.5866914540529251E-002, 4.9147136509418488E-002, 0.0000000000000000E+000, 5.2499990463256836E+000, 0.0000000000000000E+000, 3.1426797485351562E+002, 3.1426797485351562E+002, 4.9147136509418488E-002, 4.9147136509418488E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9, 3.1314999389648438E+002, 8.5000000000000000E+004, 9.5459932088851929E-001, 3.2279339599609375E+002, 5.2500000000000000E+000, 1.3549969298765063E-003, 1.3414470851421356E-001, 1.0000000036274937E-015, 4.0000000596046448E-001, 2.3967297363281250E+003, 9.8218600000000000E+006, 8.9143681526184082E-001, 1.0000000000000000E+006, 0.0000000000000000E+000, 3.6385177600000000E+008, 3.3510333397046566E-011, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.8064729869365692E-001, 1.2523907423019409E-001, 1.0260636918246746E-002, 3.1011566162109375E+001,-2.0000000000000000E+000, 5.4199878126382828E-002, 1.3549970090389252E-001, 0.0000000000000000E+000, 5.2499980926513672E+000, 0.0000000000000000E+000, 3.2804339599609375E+002, 3.2804339599609375E+002, 1.3549970090389252E-001, 1.3549970090389252E-001, 1.0000000036274937E-015, 1.0000000000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
