case,i,k,dt_s,rho_kg_m3,cloud_radius_m,rain_volume_diameter_m,qc_before,nc_before_per_kg,qr_before,nr_before_per_kg,qc_after_accretion,qr_after_accretion,nc_after_accretion_per_kg,nr_after_accretion_per_kg
0,1,1, 1.0000000149011612E-001, 1.2999999523162842E+000, 4.9999998736893758E-006, 5.0000002374872565E-004, 2.4999999368446879E-005, 4.7746484000000000E+007, 4.8049998440546915E-005, 7.3414941406250000E+002, 2.4999999368446879E-005, 4.8049998440546915E-005, 4.7746484000000000E+007, 7.3414941406250000E+002
1,2,1, 1.0000000000000000E+000, 1.3099999427795410E+000, 4.9999998736893758E-006, 8.2999997539445758E-004, 4.1249997593695298E-005, 7.8781696000000000E+007, 7.4477487942203879E-005, 2.4876652526855469E+002, 4.1249997593695298E-005, 7.4477487942203879E-005, 7.8781696000000000E+007, 2.4876652526855469E+002
2,3,1, 5.0000000000000000E+000, 1.3199999332427979E+000, 4.9999998736893758E-006, 8.9999998454004526E-004, 6.8062494392506778E-005, 1.2998980000000000E+008, 1.1544011067599058E-004, 3.0243383789062500E+002, 6.7762761318590492E-005, 1.1573984374990687E-004, 1.2941735200000000E+008, 3.0243383789062500E+002
3,4,1, 1.0000000000000000E+001, 1.3299999237060547E+000, 4.9999998736893758E-006, 2.0999999251216650E-003, 1.1230312520638108E-004, 2.1448318400000000E+008, 1.7893216863740236E-004, 3.6900459289550781E+001, 1.1075836664531380E-004, 1.8047692719846964E-004, 2.1153292800000000E+008, 3.6900459289550781E+001
4,1,2, 3.0000000000000000E+001, 1.2249999046325684E+000, 6.0000002122251317E-006, 2.6000000070780516E-003, 1.8530014494899660E-004, 2.0480158400000000E+008, 1.9999999494757503E-005, 2.1732571125030518E+000, 1.8451292999088764E-004, 2.0787210814887658E-005, 2.0393152000000000E+008, 2.1732571125030518E+000
5,2,2, 6.0000000000000000E+001, 1.2349998950958252E+000, 7.4999998105340637E-006, 2.7199999894946814E-003, 3.0574522679671645E-004, 1.7301640000000000E+008, 3.0999999580672011E-005, 2.9420912265777588E+000, 3.0168576631695032E-004, 3.5059452784480527E-005, 1.7071921600000000E+008, 3.3065967559814453E+000
6,3,2, 1.0000000000000000E+001, 1.2449998855590820E+000, 7.4999998105340637E-006, 3.4999998752027750E-004, 2.4999999368446879E-005, 1.4147106000000000E+007, 4.8049998440546915E-005, 2.1403776855468750E+003, 2.4913542802096345E-005, 4.8136455006897449E-005, 1.4098186000000000E+007, 2.1403776855468750E+003
7,4,2, 5.0000000000000000E+000, 1.2549998760223389E+000, 9.9999997473787516E-006, 2.0999999833293259E-004, 4.1249997593695298E-005, 9.8477120000000000E+006, 7.4477487942203879E-005, 1.5359190429687500E+004, 4.1138377127936110E-005, 7.4589108407963067E-005, 9.8210880000000000E+006, 1.5359189453125000E+004
8,1,3, 5.0000000000000000E-001, 1.1499999761581421E+000, 1.9999999494757503E-005, 8.4999999671708792E-005, 6.8062494392506778E-005, 2.0310906250000000E+006, 1.1544011067599058E-004, 3.5900553125000000E+005, 6.7787324951495975E-005, 1.1571528011700138E-004, 2.0228970000000000E+006, 3.5900553125000000E+005
9,2,3, 1.0000000000000000E+000, 1.1599999666213989E+000, 2.4999999368446879E-005, 9.8999997135251760E-005, 1.1230312520638108E-004, 1.7158653750000000E+006, 1.7893216863740236E-004, 3.5219568750000000E+005, 1.1005613487213850E-004, 1.8117915897164494E-004, 1.6816472500000000E+006, 3.5219568750000000E+005
