case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,relative_humidity,qv_before,theta_before_k,qr_before,nr_before_per_kg,qv_after,theta_after_k,qr_after,nr_after_per_kg
0,1,1, 1.0000000000000000E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.2423628568649292E+000, 2.8000000000000000E+002, 4.0000000596046448E-001, 2.4676090106368065E-003, 2.8000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4676090106368065E-003, 2.8000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 1.0000000149011612E-001, 9.0000000000000000E+004, 9.7032696008682251E-001, 1.1394956111907959E+000, 2.7500000000000000E+002, 2.0000000298023224E-001, 9.6514303004369140E-004, 2.8340963745117188E+002, 4.9999998736893758E-006, 1.8650962890625000E+004, 9.6517690690234303E-004, 2.8340954589843750E+002, 4.9661275625112467E-006, 1.8524611328125000E+004
2,3,1, 1.0000000000000000E+000, 8.0000000000000000E+004, 9.3819642066955566E-001, 9.8540967702865601E-001, 2.8200000000000000E+002, 5.5000001192092896E-001, 4.8609385266900063E-003, 3.0057672119140625E+002, 1.9999999494757503E-005, 3.8197171875000000E+004, 4.8616528511047363E-003, 3.0057482910156250E+002, 1.9285551388747990E-005, 3.6832679687500000E+004
3,4,1, 5.0000000000000000E+000, 9.5000000000000000E+004, 9.8544239997863770E-001, 1.1430321931838989E+000, 2.8800000000000000E+002, 8.0000001192092896E-001, 8.8484883308410645E-003, 2.9225451660156250E+002, 9.9999997473787516E-005, 7.0735488281250000E+003, 8.8501982390880585E-003, 2.9225024414062500E+002, 9.8289739980828017E-005, 6.9525722656250000E+003
4,1,2, 1.0000000000000000E+001, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.1699467897415161E+000, 2.9500000000000000E+002, 9.4999998807907104E-001, 1.5484156087040901E-002, 2.9500000000000000E+002, 5.0000002374872565E-004, 2.7840502929687500E+003, 1.5485783107578754E-002, 2.9499603271484375E+002, 4.9837277038022876E-004, 2.7749895019531250E+003
5,2,2, 6.0000000000000000E+001, 9.0000000000000000E+004, 9.7032696008682251E-001, 1.0219419002532959E+000, 3.0500000000000000E+002, 3.0000001192092896E-001, 9.7771361470222473E-003, 3.1432702636718750E+002, 2.0000000949949026E-003, 1.1317679443359375E+003, 9.9771358072757721E-003, 3.1382916259765625E+002, 1.8000000854954123E-003, 1.0185910644531250E+003
6,3,2, 3.0000000000000000E+001, 7.0000000000000000E+004, 9.0305477380752563E-001, 7.9781121015548706E-001, 3.0000000000000000E+002, 9.9000000953674316E-001, 3.1095724552869797E-002, 3.3220574951171875E+002, 1.0000000474974513E-003, 1.0262746429443359E+002, 3.1096149235963821E-002, 3.3220462036132812E+002, 9.9957501515746117E-004, 1.0258384704589844E+002
7,4,2, 2.0000000000000000E+001, 6.5000000000000000E+004, 8.8412278890609741E-001, 8.1415671110153198E-001, 2.7800000000000000E+002, 1.0000000149011612E-001, 8.2621577894315124E-004, 3.1443597412109375E+002, 4.9999998736893758E-005, 2.8294195312500000E+004, 8.3121575880795717E-004, 3.1442196655273438E+002, 4.5000000682193786E-005, 2.5464773437500000E+004
8,1,3, 2.0000000000000000E+000, 6.0000000000000000E+004, 8.6412036418914795E-001, 7.2928863763809204E-001, 2.8500000000000000E+002, 6.4999997615814209E-001, 9.3599380925297737E-003, 3.2981515502929688E+002, 7.9999997979030013E-004, 1.2223091796875000E+004, 9.3645639717578888E-003, 3.2980197143554688E+002, 7.9537410056218505E-004, 1.2152414062500000E+004
9,2,3, 5.0000000000000000E-001, 8.5000000000000000E+004, 9.5459932088851929E-001, 1.0092415809631348E+000, 2.9200000000000000E+002, 5.0000000000000000E-001, 7.9667111858725548E-003, 3.0588751220703125E+002, 9.9999997473787516E-005, 1.9098580932617188E+002, 7.9668089747428894E-003, 3.0588726806640625E+002, 9.9902405054308474E-005, 1.9079942321777344E+002
