case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rain_diameter_m,ice_diameter_m,theta_before_k,qv_before,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,theta_after_k,qv_after,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qc_after,qs_after,qh_after
0,0, 1.0000000149011612E-001, 1.2200000286102295E+000, 9.6000000000000000E+004, 9.8839694261550903E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.6811090087890625E+002, 2.1416782401502132E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6811090087890625E+002, 2.1416782401502132E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,0, 1.0000000149011612E-001, 1.2220000028610229E+000, 9.5650000000000000E+004, 9.8736542463302612E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.6839099121093750E+002, 2.1495150867849588E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6839099121093750E+002, 2.1495150867849588E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 1.0000000149011612E-001, 1.2239999771118164E+000, 9.5300000000000000E+004, 9.8633110523223877E-001, 2.6500000000000000E+002, 7.9999997979030013E-005, 9.9999997473787516E-005, 2.6867245483398438E+002, 2.1574094425886869E-003, 5.0000002374872565E-004, 1.8650972500000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6867245483398438E+002, 2.1574094425886869E-003, 4.9999495968222618E-004, 1.8650776250000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 5.0415494001754269E-009, 4.8999381065368652E-001, 5.6017217774095851E-012, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 1.0000000149011612E-001, 1.2260000705718994E+000, 9.4950000000000000E+004, 9.8529410362243652E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 7.9999999798019417E-006, 2.6895523071289062E+002, 2.1653620060533285E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.1023156000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6895523071289062E+002, 2.1653620060533285E-003, 5.0000002374872565E-004, 7.6394355468750000E+003, 1.9999290088890120E-005, 2.9068736000000000E+007, 7.0864458745489856E-010, 1.3189581371531034E-011, 7.8738285422957910E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,0, 1.0000000149011612E-001, 1.2280000448226929E+000, 9.4600000000000000E+004, 9.8425436019897461E-001, 2.7100000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.7533532714843750E+002, 3.4301767591387033E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7533612060546875E+002, 3.4301767591387033E-003, 4.9761822447180748E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0089809375000000E+006, 2.3817865439923480E-006, 0.0000000000000000E+000, 2.6464297420147886E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 1.0000000149011612E-001, 1.2300000190734863E+000, 9.4250000000000000E+004, 9.8321193456649780E-001, 2.6900000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.7359310913085938E+002, 2.9648246709257364E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7359393310546875E+002, 2.9648246709257364E-003, 4.9746350850909948E-004, 3.5358597656250000E+004, 1.9999999494757503E-005, 1.0089808750000000E+006, 2.5364904558955459E-006, 9.1652421951293945E+000, 2.8183226863376376E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,0, 1.0000000149011612E-001, 1.2319999933242798E+000, 9.3900000000000000E+004, 9.8216664791107178E-001, 2.6700000000000000E+002, 5.0000002374872565E-004, 7.9999997979030013E-005, 2.7184796142578125E+002, 2.5560175999999046E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.3366079687500000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7184906005859375E+002, 2.5560175999999046E-003, 4.9664248945191503E-004, 7.6355629882812500E+003, 1.9999284631921910E-005, 1.3365601562500000E+005, 3.3582659852982033E-006, 3.8720953464508057E+000, 3.7314071832383888E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,0, 1.0000000149011612E-001, 1.2340000867843628E+000, 9.3550000000000000E+004, 9.8111861944198608E-001, 2.6300000000000000E+002, 7.9999997979030013E-004, 1.5000000712461770E-004, 2.6806137084960938E+002, 1.8775619100779295E-003, 5.0000002374872565E-004, 1.8650970458984375E+003, 1.9999999494757503E-005, 2.1372230468750000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6806204223632812E+002, 1.8775619100779295E-003, 4.9792183563113213E-004, 1.8643472900390625E+003, 1.9999280993943103E-005, 2.1371462890625000E+004, 2.0788845631614095E-006, 7.4980473518371582E-001, 2.3098718493486103E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,0, 1.0000000149011612E-001, 1.2360000610351562E+000, 9.3200000000000000E+004, 9.8006778955459595E-001, 2.5800000000000000E+002, 1.2000000569969416E-003, 2.5000001187436283E-004, 2.6324710083007812E+002, 1.2556428555399179E-003, 1.0000000474974513E-003, 1.1052425537109375E+003, 4.9999998736893758E-005, 1.2045140625000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6324905395507812E+002, 1.2556428555399179E-003, 9.9365343339741230E-004, 1.1044614257812500E+003, 4.9996389861917123E-005, 1.2044271484375000E+004, 6.3501861404802185E-006, 7.8113341331481934E-001, 7.0557617526390004E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,0, 1.0000000149011612E-001, 1.2380000352859497E+000, 9.2850000000000000E+004, 9.7901415824890137E-001, 2.4800000000000000E+002, 2.0000000949949026E-003, 5.0000002374872565E-004, 2.5331605529785156E+002, 5.2826094906777143E-004, 2.0000000949949026E-003, 4.7746469116210938E+002, 9.9999997473787516E-005, 3.1911520996093750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5332023620605469E+002, 5.2826094906777143E-004, 1.9851319957524538E-003, 4.7705545043945312E+002, 9.9985612905584276E-005, 9.9985605468750000E+003, 1.4882498362567276E-005, 4.0925222635269165E-001, 1.6536109370690610E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
