case,column,k,dt_s,rho_kg_m3,dz_m,qr_before,nr_before_per_kg,qr_after,nr_after_per_kg,rainncv_mm
1,1,1, 5.0000000000000000E-001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 5.0000000000000000E-001, 1.2869999408721924E+000, 5.1500000000000000E+001, 2.4999999441206455E-003, 5.2396664062500000E+004, 2.4875453673303127E-003, 5.2108617187500000E+004, 5.9980819933116436E-003
1,3,1, 5.0000000000000000E-001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,1, 5.0000000000000000E-001, 1.3009999990463257E+000, 5.8500000000000000E+001, 6.0000002849847078E-004, 9.1673202514648438E+000, 5.6154438061639667E-004, 1.8775407812500000E+005, 3.4056312870234251E-003
1,5,1, 5.0000000000000000E-001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999999600419720E-013, 1.5278868886525743E-005, 1.4628281225226303E-012, 1.6414029232691973E-005, 0.0000000000000000E+000
1,6,1, 5.0000000000000000E-001, 1.3149999380111694E+000, 6.5500000000000000E+001, 9.9999999747524271E-007, 1.1052421875000000E+003, 1.0132097258974682E-006, 1.1053347167968750E+003, 7.9684986076244968E-007
1,1,2, 5.0000000000000000E-001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3203347154776566E-006, 7.3134490966796875E+001, 0.0000000000000000E+000
1,2,2, 5.0000000000000000E-001, 1.2349998950958252E+000, 6.8500000000000000E+001, 1.9084487576037645E-003, 2.1907539062500000E+004, 1.8983548507094383E-003, 2.1804626953125000E+004, 5.9980819933116436E-003
1,3,2, 5.0000000000000000E-001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,2, 5.0000000000000000E-001, 1.2489999532699585E+000, 7.5500000000000000E+001, 9.0000004274770617E-004, 2.6857388000000000E+007, 8.9492229744791985E-004, 2.6818218000000000E+007, 3.4056312870234251E-003
1,5,2, 5.0000000000000000E-001, 1.2559999227523804E+000, 7.9000000000000000E+001, 9.9999999600419720E-012, 2.4526616471121088E-005, 1.4058671761463248E-011, 2.7120695449411869E-005, 0.0000000000000000E+000
1,6,2, 5.0000000000000000E-001, 1.2629998922348022E+000, 8.2500000000000000E+001, 1.8999999156221747E-006, 8.7276354980468750E+002, 1.9260878616478294E-006, 8.7281134033203125E+002, 7.9684986076244968E-007
1,1,3, 5.0000000000000000E-001, 1.1759999990463257E+000, 8.2000000000000000E+001, 9.9999997473787516E-005, 4.8591948242187500E+003, 1.0522366937948391E-004, 4.9015747070312500E+003, 0.0000000000000000E+000
1,2,3, 5.0000000000000000E-001, 1.1829999685287476E+000, 8.5500000000000000E+001, 1.4568705810233951E-003, 1.0131696289062500E+004, 1.4490148751065135E-003, 1.0089146484375000E+004, 5.9980819933116436E-003
1,3,3, 5.0000000000000000E-001, 1.1900000572204590E+000, 8.9000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,3, 5.0000000000000000E-001, 1.1970000267028809E+000, 9.2500000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3802128933093627E-006, 4.1187683593750000E+004, 3.4056312870234251E-003
1,5,3, 5.0000000000000000E-001, 1.2039999961853027E+000, 9.6000000000000000E+001, 1.0000000133514320E-010, 7.9375546192750335E-005, 1.3743792215414885E-010, 9.0801724581979215E-005, 0.0000000000000000E+000
1,6,3, 5.0000000000000000E-001, 1.2109999656677246E+000, 9.9500000000000000E+001, 3.6099997942073969E-006, 6.8918499755859375E+002, 3.6631577131629456E-006, 6.8921563720703125E+002, 7.9684986076244968E-007
1,1,4, 5.0000000000000000E-001, 1.1239999532699585E+000, 9.9000000000000000E+001, 2.9999998514540493E-004, 5.6985395507812500E+003, 3.0570791568607092E-004, 5.6978471679687500E+003, 0.0000000000000000E+000
1,2,4, 5.0000000000000000E-001, 1.1309999227523804E+000, 1.0250000000000000E+002, 1.1121451389044523E-003, 5.0347607421875000E+003, 1.0950382566079497E-003, 5.4892368164062500E+003, 5.9980819933116436E-003
