case,repetition,dt_s,cell_depth_m,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,rain_diameter_m,ice_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
0,0, 1.0000000149011612E-001, 3.5000000000000000E+002, 1.2400000095367432E+000, 9.8000000000000000E+004, 9.9424076080322266E-001, 2.6000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.6150607299804688E+002, 1.4078051317483187E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.6150607299804688e+02,1.4078051317483187e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,0, 1.0000000149011612E-001, 4.1500000000000000E+002, 1.2415000200271606E+000, 9.7825000000000000E+004, 9.9373286962509155E-001, 2.7114999389648438E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7286004638671875E+002, 3.3541510347276926E-003, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.7286004638671875e+02,3.3541510347276926e-03,7.9999997979030013e-04,5.6588424000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0, 1.0000000149011612E-001, 4.8000000000000000E+002, 1.2430000305175781E+000, 9.7650000000000000E+004, 9.9322426319122314E-001, 2.7114001464843750E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.7298971557617188E+002, 3.3576809801161289E-003, 7.9999997979030013E-004, 5.6588428000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.7298971557617188e+02,3.3576809801161289e-03,7.9999997979030013e-04,5.6588428000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,7.6304211311662958e-16,5.3974188631400466e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,0, 1.0000000149011612E-001, 5.4500000000000000E+002, 1.2445000410079956E+000, 9.7475000000000000E+004, 9.9271506071090698E-001, 2.6800000000000000E+002, 7.9999999798019417E-006, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.6996670532226562E+002, 2.6576872915029526E-003, 7.9999997979030013E-004, 2.9841551360000000E+009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.6996670532226562e+02,2.6576872915029526e-03,7.9999997979030013e-04,2.9841551360000000e+09,0.0000000000000000e+00,0.0000000000000000e+00,4.6124358579565272e-16,9.7878882661461830e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4,0, 1.0000000149011612E-001, 6.1000000000000000E+002, 1.2460000514984131E+000, 9.7300000000000000E+004, 9.9220520257949829E-001, 2.6000000000000000E+002, 5.9999998484272510E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.6204257202148438E+002, 1.4179332647472620E-003, 7.9999997979030013E-004, 7.0735525000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.6204257202148438e+02,1.4179332647472620e-03,7.9999997979030013e-04,7.0735525000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,2.7812187909691602e-14,2.4591371766291559e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5,0, 1.0000000149011612E-001, 6.7500000000000000E+002, 1.2475000619888306E+000, 9.7125000000000000E+004, 9.9169468879699707E-001, 2.6000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.6217745971679688E+002, 1.4204879989847541E-003, 2.0000000233721948E-007, 1.4147106445312500E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.6217745971679688e+02,1.4204879989847541e-03,2.0000000233721948e-07,1.4147106445312500e+04,0.0000000000000000e+00,0.0000000000000000e+00,3.4778080935853002e-18,2.4600461756563163e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6,0, 1.0000000149011612E-001, 7.4000000000000000E+002, 1.2489999532699585E+000, 9.6950000000000000E+004, 9.9118351936340332E-001, 2.4000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4213478088378906E+002, 2.3731318651698530E-004, 7.9999997979030013E-004, 5.6588420000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.4217324829101562e+02,2.3731318651698530e-04,6.4982700860127807e-04,5.3983936000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.5017295663710684e-04,2.6044820000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7,0, 1.0000000149011612E-001, 8.0500000000000000E+002, 1.2504999637603760E+000, 9.6775000000000000E+004, 9.9067169427871704E-001, 2.3800000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.4024104309082031E+002, 1.9491727289278060E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.4042837524414062e+02,1.9491727289278060e-04,5.2854593377560377e-05,1.9282012000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,7.4714538641273975e-04,3.7306412000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8,0, 1.0000000149011612E-001, 8.7000000000000000E+002, 1.2519999742507935E+000, 9.6600000000000000E+004, 9.9015915393829346E-001, 2.3500000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.3733558654785156E+002, 1.4388101408258080E-004, 7.9999997979030013E-004, 5.6588424000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.3752947998046875e+02,1.4388101408258080e-04,1.6979174688458443e-07,1.1617380000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,7.9983018804341555e-04,5.5426684000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
9,0, 1.0000000149011612E-001, 3.5000000000000000E+002, 1.2534999847412109E+000, 9.6425000000000000E+004, 9.8964601755142212E-001, 2.3000000000000000E+002, 2.9999999242136255E-005, 1.0000000474974513E-003, 9.9999997473787516E-005, 5.0000002374872565E-004, 3.0000000260770321E-003, 4.9999998882412910E-003, 5.0000000000000000E+002, 7.0000000000000000E+002, 2.3240632629394531E+002, 8.4845160017721355E-005, 7.9999997979030013E-004, 5.6588428000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,2.3258876037597656e+02,8.4845160017721355e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.9999997979030013e-04,5.6580520000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
