case,i,k,dt_s,rho_kg_m3,qr_before,nr_before_per_kg,qr_after,nr_after_per_kg
0,1,1, 5.0000000745058060E-002, 1.2999999523162842E+000, 2.4999999368446879E-005, 9.6841140625000000E+004, 2.4999999368446879E-005, 9.3247140625000000E+004
1,2,1, 5.0000000745058060E-002, 1.3099999427795410E+000, 3.8749996747355908E-005, 1.4454495312500000E+005, 3.8749996747355908E-005, 1.4452637500000000E+005
2,3,1, 1.0000000149011612E-001, 1.3199999332427979E+000, 6.0062495322199538E-005, 1.1822217968750000E+005, 6.0062495322199538E-005, 1.1813227343750000E+005
3,4,1, 1.0000000149011612E-001, 1.3299999237060547E+000, 9.3096859927754849E-005, 1.7780184375000000E+005, 9.3096859927754849E-005, 1.7758420312500000E+005
4,1,2, 2.0000000000000000E+003, 1.2249999046325684E+000, 1.4430013834498823E-004, 1.7637937500000000E+004, 1.4430013834498823E-004, 0.0000000000000000E+000
5,2,2, 1.0000000149011612E-001, 1.2349998950958252E+000, 2.2366520715877414E-004, 1.9875545654296875E+003, 2.2366520715877414E-004, 1.9872373046875000E+003
6,3,2, 1.0000000149011612E-001, 1.2449998855590820E+000, 2.4999999368446879E-005, 2.1035446166992188E+002, 2.4999999368446879E-005, 2.1035067749023438E+002
7,4,2, 2.5000000000000000E-001, 1.2549998760223389E+000, 3.8749996747355908E-005, 1.0151853179931641E+002, 3.8749996747355908E-005, 1.0151516723632812E+002
8,1,3, 5.0000000000000000E-001, 1.1499999761581421E+000, 6.0062495322199538E-005, 3.3988403320312500E+001, 6.0062495322199538E-005, 3.3987686157226562E+001
9,2,3, 1.0000000000000000E+000, 1.1599999666213989E+000, 9.3096859927754849E-005, 2.2561967849731445E+001, 9.3096859927754849E-005, 2.2561532974243164E+001
10,3,3, 1.0000000000000000E+001, 1.1699999570846558E+000, 1.4430013834498823E-004, 3.3937496185302734E+001, 1.4430013834498823E-004, 3.3937496185302734E+001
11,4,3, 6.0000000000000000E+001, 1.1799999475479126E+000, 2.2366520715877414E-004, 2.7338808059692383E+001, 2.2366520715877414E-004, 2.7338808059692383E+001
0,1,4, 5.0000000745058060E-002, 1.0749999284744263E+000, 2.4999999368446879E-005, 9.6841140625000000E+004, 2.4999999368446879E-005, 9.3248468750000000E+004
1,2,4, 5.0000000745058060E-002, 1.0849999189376831E+000, 3.8749996747355908E-005, 1.4454495312500000E+005, 3.8749996747355908E-005, 1.4452957812500000E+005
2,3,4, 1.0000000149011612E-001, 1.0949999094009399E+000, 6.0062495322199538E-005, 1.1822217968750000E+005, 6.0062495322199538E-005, 1.1814760156250000E+005
3,4,4, 1.0000000149011612E-001, 1.1049998998641968E+000, 9.3096859927754849E-005, 1.7780184375000000E+005, 9.3096859927754849E-005, 1.7762103125000000E+005
4,1,5, 2.0000000000000000E+003, 9.9999994039535522E-001, 1.4430013834498823E-004, 1.7637937500000000E+004, 1.4430013834498823E-004, 0.0000000000000000E+000
5,2,5, 1.0000000149011612E-001, 1.0099999904632568E+000, 2.2366520715877414E-004, 1.9875545654296875E+003, 2.2366520715877414E-004, 1.9872950439453125E+003
6,3,5, 1.0000000149011612E-001, 1.0199999809265137E+000, 2.4999999368446879E-005, 2.1035446166992188E+002, 2.4999999368446879E-005, 2.1035137939453125E+002
7,4,5, 2.5000000000000000E-001, 1.0299999713897705E+000, 3.8749996747355908E-005, 1.0151853179931641E+002, 3.8749996747355908E-005, 1.0151576995849609E+002
8,1,6, 5.0000000000000000E-001, 9.2499995231628418E-001, 6.0062495322199538E-005, 3.3988403320312500E+001, 6.0062495322199538E-005, 3.3987827301025391E+001
9,2,6, 1.0000000000000000E+000, 9.3499994277954102E-001, 9.3096859927754849E-005, 2.2561967849731445E+001, 9.3096859927754849E-005, 2.2561616897583008E+001
10,3,6, 1.0000000000000000E+001, 9.4499993324279785E-001, 1.4430013834498823E-004, 3.3937496185302734E+001, 1.4430013834498823E-004, 3.3937496185302734E+001
11,4,6, 6.0000000000000000E+001, 9.5499992370605469E-001, 2.2366520715877414E-004, 2.7338808059692383E+001, 2.2366520715877414E-004, 2.7338809967041016E+001
0,1,7, 5.0000000745058060E-002, 8.4999990463256836E-001, 2.4999999368446879E-005, 9.6841140625000000E+004, 2.4999999368446879E-005, 9.3249789062500000E+004
1,2,7, 5.0000000745058060E-002, 8.5999989509582520E-001, 3.8749996747355908E-005, 1.4454495312500000E+005, 3.8749996747355908E-005, 1.4453275000000000E+005
2,3,7, 1.0000000149011612E-001, 8.6999988555908203E-001, 6.0062495322199538E-005, 1.1822217968750000E+005, 6.0062495322199538E-005, 1.1816292187500000E+005
3,4,7, 1.0000000149011612E-001, 8.7999987602233887E-001, 9.3096859927754849E-005, 1.7780184375000000E+005, 9.3096859927754849E-005, 1.7765784375000000E+005
4,1,8, 2.0000000000000000E+003, 7.7499991655349731E-001, 1.4430013834498823E-004, 1.7637937500000000E+004, 1.4430013834498823E-004, 0.0000000000000000E+000
5,2,8, 1.0000000149011612E-001, 7.8499990701675415E-001, 2.2366520715877414E-004, 1.9875545654296875E+003, 2.2366520715877414E-004, 1.9873527832031250E+003
6,3,8, 1.0000000149011612E-001, 7.9499989748001099E-001, 2.4999999368446879E-005, 2.1035446166992188E+002, 2.4999999368446879E-005, 2.1035205078125000E+002
7,4,8, 2.5000000000000000E-001, 8.0499988794326782E-001, 3.8749996747355908E-005, 1.0151853179931641E+002, 3.8749996747355908E-005, 1.0151636505126953E+002
8,1,9, 5.0000000000000000E-001, 6.9999992847442627E-001, 6.0062495322199538E-005, 3.3988403320312500E+001, 6.0062495322199538E-005, 3.3987968444824219E+001
9,2,9, 1.0000000000000000E+000, 7.0999991893768311E-001, 9.3096859927754849E-005, 2.2561967849731445E+001, 9.3096859927754849E-005, 2.2561702728271484E+001
10,3,9, 1.0000000000000000E+001, 7.1999990940093994E-001, 1.4430013834498823E-004, 3.3937496185302734E+001, 1.4430013834498823E-004, 3.3937496185302734E+001
11,4,9, 6.0000000000000000E+001, 7.2999989986419678E-001, 2.2366520715877414E-004, 2.7338808059692383E+001, 2.2366520715877414E-004, 2.7338808059692383E+001
0,1,10, 5.0000000745058060E-002, 6.2499994039535522E-001, 2.4999999368446879E-005, 9.6841140625000000E+004, 2.4999999368446879E-005, 9.3251132812500000E+004
1,2,10, 5.0000000745058060E-002, 6.3499993085861206E-001, 3.8749996747355908E-005, 1.4454495312500000E+005, 3.8749996747355908E-005, 1.4453593750000000E+005
2,3,10, 1.0000000149011612E-001, 6.4499992132186890E-001, 6.0062495322199538E-005, 1.1822217968750000E+005, 6.0062495322199538E-005, 1.1817825000000000E+005
3,4,10, 1.0000000149011612E-001, 6.5499991178512573E-001, 9.3096859927754849E-005, 1.7780184375000000E+005, 9.3096859927754849E-005, 1.7769467187500000E+005
4,1,11, 2.0000000000000000E+003, 5.4999995231628418E-001, 1.4430013834498823E-004, 1.7637937500000000E+004, 1.4430013834498823E-004, 1.4558310546875000E+003
5,2,11, 1.0000000149011612E-001, 5.5999994277954102E-001, 2.2366520715877414E-004, 1.9875545654296875E+003, 2.2366520715877414E-004, 1.9874106445312500E+003
6,3,11, 1.0000000149011612E-001, 5.6999993324279785E-001, 2.4999999368446879E-005, 2.1035446166992188E+002, 2.4999999368446879E-005, 2.1035273742675781E+002
7,4,11, 2.5000000000000000E-001, 5.7999992370605469E-001, 3.8749996747355908E-005, 1.0151853179931641E+002, 3.8749996747355908E-005, 1.0151697540283203E+002
8,1,12, 5.0000000000000000E-001, 4.7499990463256836E-001, 6.0062495322199538E-005, 3.3988403320312500E+001, 6.0062495322199538E-005, 3.3988109588623047E+001
9,2,12, 1.0000000000000000E+000, 4.8499989509582520E-001, 9.3096859927754849E-005, 2.2561967849731445E+001, 9.3096859927754849E-005, 2.2561784744262695E+001
10,3,12, 1.0000000000000000E+001, 4.9499991536140442E-001, 1.4430013834498823E-004, 3.3937496185302734E+001, 1.4430013834498823E-004, 3.3937496185302734E+001
11,4,12, 6.0000000000000000E+001, 5.0499987602233887E-001, 2.2366520715877414E-004, 2.7338808059692383E+001, 2.2366520715877414E-004, 2.7338808059692383E+001
