case,i,k,dt_s,rho_kg_m3,temperature_k,target_snow_diameter_m,qs_before,qns_before_per_kg,qs_after,qns_after_per_kg
0,1,1, 1.0000000000000000E+001, 1.2999999523162842E+000, 2.5814001464843750E+002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 1.0000000000000000E+001, 1.3069999217987061E+000, 2.5814999389648438E+002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,1, 1.0000000000000000E+001, 1.3140000104904175E+000, 2.5816000366210938E+002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,1, 1.0000000000000000E+001, 1.3209999799728394E+000, 2.6314001464843750E+002, 5.0000002374872565E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,2, 1.0000000000000000E+001, 1.2819999456405640E+000, 2.6314999389648438E+002, 5.0000002374872565E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,2, 1.0000000000000000E+001, 1.2889999151229858E+000, 2.6316000366210938E+002, 5.0000002374872565E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,2, 1.0000000000000000E+001, 1.2960000038146973E+000, 2.7314001464843750E+002, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,4,2, 1.0000000000000000E+001, 1.3029999732971191E+000, 2.7314999389648438E+002, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1,3, 5.0000000000000000E+000, 1.2639999389648438E+000, 2.6000000000000000E+002, 9.0000003183376975E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2,3, 3.0000000000000000E+001, 1.2709999084472656E+000, 2.6800000000000000E+002, 9.4999996945261955E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,3, 6.0000000000000000E+001, 1.2779999971389771E+000, 2.6800000000000000E+002, 1.0099999606609344E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,4,3, 1.0000000000000000E+003, 1.2849999666213989E+000, 2.6800000000000000E+002, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1,4, 1.0000000000000000E+001, 1.2459999322891235E+000, 2.5814001464843750E+002, 3.0000001424923539E-004, 9.9999998245167004E-014, 7.0735492045059800E-005, 9.9999998245167004E-014, 7.0735492045059800E-005
1,2,4, 1.0000000000000000E+001, 1.2529999017715454E+000, 2.5814999389648438E+002, 3.0000001424923539E-004, 9.9999998245167004E-014, 7.0735492045059800E-005, 9.9999998245167004E-014, 7.0735492045059800E-005
