case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,snow_diameter_m,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg
0,0, 1.0000000149011612E-001, 1.2200000286102295E+000, 9.6000000000000000E+004, 9.8839694261550903E-001, 2.5000000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.5293481445312500E+002, 6.1194336740300059E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5293481445312500E+002, 6.1194336740300059E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,0, 1.0000000149011612E-001, 1.2220000028610229E+000, 9.5650000000000000E+004, 9.8736542463302612E-001, 2.5050000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.5370545959472656E+002, 6.4218079205602407E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 2.5370545959472656E+002, 6.4218079205602407E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 1.0000000149011612E-001, 1.2239999771118164E+000, 9.5300000000000000E+004, 9.8633110523223877E-001, 2.5100000000000000E+002, 7.9999999798019417E-006, 1.9999999494757503E-005, 2.5447843933105469E+002, 6.7378184758126736E-004, 5.0000002374872565E-004, 1.8650970880000000E+009, 1.9999999494757503E-004, 4.7746486400000000E+008, 2.5447846984863281E+002, 6.7378184758126736E-004, 4.9991701962426305E-004, 1.8647874560000000E+009, 2.0008298452012241E-004, 4.7746483200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 1.0000000149011612E-001, 1.2260000705718994E+000, 9.4950000000000000E+004, 9.8529410362243652E-001, 2.5150000000000000E+002, 1.4999999621068127E-005, 7.9999997979030013E-005, 2.5525373840332031E+002, 7.0680194767192006E-004, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 7.4603885000000000E+006, 2.5525375366210938E+002, 7.0680194767192006E-004, 4.9992534331977367E-004, 2.8289990400000000E+008, 2.0007466082461178E-004, 7.4603885000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
4,0, 1.0000000149011612E-001, 1.2280000448226929E+000, 9.4600000000000000E+004, 9.8425436019897461E-001, 2.5200000000000000E+002, 2.9999999242136255E-005, 1.9999999494757503E-004, 2.5603137207031250E+002, 7.4129889253526926E-004, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.7746484375000000E+005, 2.5603140258789062E+002, 7.4129889253526926E-004, 4.9992569256573915E-004, 3.5362512000000000E+007, 2.0007431157864630E-004, 4.7746487500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 1.0000000149011612E-001, 1.2300000190734863E+000, 9.4250000000000000E+004, 9.8321193456649780E-001, 2.5250000000000000E+002, 3.9999998989515007E-005, 5.0000002374872565E-004, 2.5681137084960938E+002, 7.7733240323141217E-004, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 3.0557742187500000E+004, 2.5681140136718750E+002, 7.7733240323141217E-004, 4.9992598360404372E-004, 1.4918571000000000E+007, 2.0007400598842651E-004, 3.0557742187500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
6,0, 1.0000000149011612E-001, 1.2319999933242798E+000, 9.3900000000000000E+004, 9.8216664791107178E-001, 2.5300000000000000E+002, 4.9999998736893758E-005, 1.0000000474974513E-003, 2.5759375000000000E+002, 8.1496452912688255E-004, 5.0000002374872565E-004, 7.6394375000000000E+006, 1.9999999494757503E-004, 3.8197177734375000E+003, 2.5759378051757812E+002, 8.1496452912688255E-004, 4.9992592539638281E-004, 7.6383060000000000E+006, 2.0007406419608742E-004, 3.8197175292968750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
7,0, 1.0000000149011612E-001, 1.2340000867843628E+000, 9.3550000000000000E+004, 9.8111861944198608E-001, 2.5350000000000000E+002, 5.9999998484272510E-005, 3.0000000260770321E-003, 2.5837854003906250E+002, 8.5425912402570248E-004, 5.0000002374872565E-004, 4.4209710000000000E+006, 1.9999999494757503E-004, 1.4147105407714844E+002, 2.5837857055664062E+002, 8.5425912402570248E-004, 4.9992586718872190E-004, 4.4203150000000000E+006, 2.0007418061140925E-004, 1.4147105407714844E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
8,0, 1.0000000149011612E-001, 1.2360000610351562E+000, 9.3200000000000000E+004, 9.8006778955459595E-001, 2.5000000000000000E+002, 7.0000001869630069E-005, 8.0000003799796104E-003, 2.5508439636230469E+002, 6.3032796606421471E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 7.4603862762451172E+000, 2.5508441162109375E+002, 6.3032796606421471E-004, 4.9992575077340007E-004, 2.7836375000000000E+006, 2.0007429702673107E-004, 7.4603862762451172E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,0, 1.0000000149011612E-001, 1.2380000352859497E+000, 9.2850000000000000E+004, 9.7901415824890137E-001, 2.5050000000000000E+002, 2.4999999368446879E-005, 6.9999997504055500E-004, 2.5586964416503906E+002, 6.6154648084193468E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 1.1136206250000000E+005, 2.5586964416503906E+002, 6.6154648084193468E-004, 9.9851149570895359E-007, 1.2204903906250000E+005, 2.0000014919787645E-003, 1.1136206250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
