case,column,k,dt_s,rho_kg_m3,dz_m,qs_before,ns_before_per_kg,qs_after,ns_after_per_kg,snowncv_kg_m2
1,1,1, 5.0000000000000000E-001, 1.2799999713897705E+000, 4.8000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 5.0000000000000000E-001, 1.2869999408721924E+000, 5.1500000000000000E+001, 2.0000000949949026E-003, 5.9683068750000000E+005, 1.9988773856312037E-003, 5.9591962500000000E+005, 5.1254511345177889E-004
1,3,1, 5.0000000000000000E-001, 1.2940000295639038E+000, 5.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,1, 5.0000000000000000E-001, 1.3009999990463257E+000, 5.8500000000000000E+001, 7.9999997979030013E-004, 8.8419361114501953E+000, 7.9037790419533849E-004, 1.2917192000000000E+008, 7.9666590318083763E-004
1,5,1, 5.0000000000000000E-001, 1.3079999685287476E+000, 6.2000000000000000E+001, 9.9999998245167004E-014, 3.5937353004555916E-006, 1.0560285691697466E-013, 3.6193762298353249E-006, 0.0000000000000000E+000
1,6,1, 5.0000000000000000E-001, 1.3149999380111694E+000, 6.5500000000000000E+001, 2.0000000233721948E-007, 3.0557740234375000E+004, 2.0023794888857083E-007, 3.0549585937500000E+004, 2.1632557078987702E-008
1,1,2, 5.0000000000000000E-001, 1.2279999256134033E+000, 6.5000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4926794139901176E-007, 1.2662900543212891E+002, 0.0000000000000000E+000
1,2,2, 5.0000000000000000E-001, 1.2349998950958252E+000, 6.8500000000000000E+001, 1.5267591224983335E-003, 1.7526032812500000E+005, 1.5258620260283351E-003, 1.7505085937500000E+005, 5.1254511345177889E-004
1,3,2, 5.0000000000000000E-001, 1.2419999837875366E+000, 7.2000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,2, 5.0000000000000000E-001, 1.2489999532699585E+000, 7.5500000000000000E+001, 1.1999999405816197E-003, 1.8334641356800000E+011, 1.1993176303803921E-003, 1.8328508825600000E+011, 7.9666590318083763E-004
1,5,2, 5.0000000000000000E-001, 1.2559999227523804E+000, 7.9000000000000000E+001, 9.9999999600419720E-013, 4.5763958951283712E-006, 1.0485325715320348E-012, 4.6279064918053336E-006, 0.0000000000000000E+000
1,6,2, 5.0000000000000000E-001, 1.2629998922348022E+000, 8.2500000000000000E+001, 3.4000001392087142E-007, 1.7039863281250000E+004, 3.4038239959954808E-007, 1.7035552734375000E+004, 2.1632557078987702E-008
1,1,3, 5.0000000000000000E-001, 1.1759999990463257E+000, 8.2000000000000000E+001, 8.7499996880069375E-005, 4.4450312500000000E+004, 8.8006643636617810E-005, 4.4457765625000000E+004, 0.0000000000000000E+000
1,2,3, 5.0000000000000000E-001, 1.1829999685287476E+000, 8.5500000000000000E+001, 1.1654965346679091E-003, 6.4896007812500000E+004, 1.1648155050352216E-003, 6.4831765625000000E+004, 5.1254511345177889E-004
1,3,3, 5.0000000000000000E-001, 1.1900000572204590E+000, 8.9000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,3, 5.0000000000000000E-001, 1.1970000267028809E+000, 9.2500000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8547035551819135E-007, 2.8337770000000000E+007, 7.9666590318083763E-004
1,5,3, 5.0000000000000000E-001, 1.2039999961853027E+000, 9.6000000000000000E+001, 9.9999999600419720E-012, 1.3644262253365014E-005, 1.0457452612189222E-011, 1.3872518138668966E-005, 0.0000000000000000E+000
1,6,3, 5.0000000000000000E-001, 1.2109999656677246E+000, 9.9500000000000000E+001, 5.7800002650765236E-007, 9.5019101562500000E+003, 5.7864224345394177E-007, 9.4995263671875000E+003, 2.1632557078987702E-008
1,1,4, 5.0000000000000000E-001, 1.1239999532699585E+000, 9.9000000000000000E+001, 2.6249999064020813E-004, 4.1334710937500000E+004, 2.6301332400180399E-004, 4.1322707031250000E+004, 0.0000000000000000E+000
1,2,4, 5.0000000000000000E-001, 1.1309999227523804E+000, 1.0250000000000000E+002, 8.8971614604815841E-004, 2.7669146484375000E+004, 8.8831415632739663E-004, 2.8969818359375000E+004, 5.1254511345177889E-004
1,3,4, 5.0000000000000000E-001, 1.1380000114440918E+000, 1.0600000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,4, 5.0000000000000000E-001, 1.1449999809265137E+000, 1.0950000000000000E+002, 3.9999998989515007E-004, 6.1115473920000000E+010, 4.0566027746535838E-004, 6.1100752896000000E+010, 7.9666590318083763E-004
1,5,4, 5.0000000000000000E-001, 1.1519999504089355E+000, 1.1300000000000000E+002, 1.0000000133514320E-010, 5.7741235650610179E-005, 1.0434553221472243E-010, 5.8902718592435122E-005, 0.0000000000000000E+000
1,6,4, 5.0000000000000000E-001, 1.1589999198913574E+000, 1.1650000000000000E+002, 9.8260011327511165E-007, 5.2985361328125000E+003, 9.9278406651137630E-007, 5.2947924804687500E+003, 2.1632557078987702E-008
1,1,5, 5.0000000000000000E-001, 1.0720000267028809E+000, 1.1600000000000000E+002, 4.3749998440034688E-004, 2.9734136718750000E+004, 4.3800298590213060E-004, 2.9725115234375000E+004, 0.0000000000000000E+000
1,2,5, 5.0000000000000000E-001, 1.0789999961853027E+000, 1.1950000000000000E+002, 6.7919102730229497E-004, 8.3018143750000000E+005, 6.7909696372225881E-004, 8.2961356250000000E+005, 5.1254511345177889E-004
1,3,5, 5.0000000000000000E-001, 1.0860000848770142E+000, 1.2300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,4,5, 5.0000000000000000E-001, 1.0930000543594360E+000, 1.2650000000000000E+002, 7.9999997979030013E-004, 8.8419361114501953E+000, 7.9471874050796032E-004, 8.8076009750366211E+000, 7.9666590318083763E-004
1,5,5, 5.0000000000000000E-001, 1.1000000238418579E+000, 1.3000000000000000E+002, 9.9999997171806854E-010, 2.9618843109346926E-004, 9.9907226935869176E-010, 6.5598724365234375E+001, 0.0000000000000000E+000
1,6,5, 5.0000000000000000E-001, 1.1069999933242798E+000, 1.3350000000000000E+002, 1.6704202607797924E-006, 0.0000000000000000E+000, 1.6640994999761460E-006, 2.3568434715270996E+000, 2.1632557078987702E-008
1,1,6, 5.0000000000000000E-001, 1.0199999809265137E+000, 1.3300000000000000E+002, 6.1250000726431608E-004, 2.1608992187500000E+004, 6.1256991466507316E-004, 2.1597849609375000E+004, 0.0000000000000000E+000
1,2,6, 5.0000000000000000E-001, 1.0269999504089355E+000, 1.3650000000000000E+002, 5.1848049042746425E-004, 1.5472253125000000E+005, 5.1835371414199471E-004, 1.5462251562500000E+005, 5.1254511345177889E-004
1,3,6, 5.0000000000000000E-001, 1.0340000391006470E+000, 1.4000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0776384442579001E-006, 6.0981826782226562E+000, 0.0000000000000000E+000
1,4,6, 5.0000000000000000E-001, 1.0410000085830688E+000, 1.4350000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.2995751401758753E-006, 1.0278281569480896E-001, 7.9666590318083763E-004
1,5,6, 5.0000000000000000E-001, 1.0479999780654907E+000, 1.4700000000000000E+002, 9.9999999392252903E-009, 1.9098585937500000E+005, 9.9968113786985668E-009, 1.9095004687500000E+005, 0.0000000000000000E+000
1,6,6, 5.0000000000000000E-001, 1.0549999475479126E+000, 1.5050000000000000E+002, 2.8397143978509121E-006, 1.6475764160156250E+003, 2.8432591534510721E-006, 1.6471060791015625E+003, 2.1632557078987702E-008
1,1,7, 5.0000000000000000E-001, 9.6799993515014648E-001, 1.5000000000000000E+002, 6.1250000726431608E-004, 1.2620990234375000E+004, 6.1214645393192768E-004, 1.2612225585937500E+004, 0.0000000000000000E+000
1,2,7, 5.0000000000000000E-001, 9.7499996423721313E-001, 1.5350000000000000E+002, 3.9579736767336726E-004, 4.5434523437500000E+004, 3.9567728526890278E-004, 4.5407144531250000E+004, 5.1254511345177889E-004
1,3,7, 5.0000000000000000E-001, 9.8199993371963501E-001, 1.5700000000000000E+002, 3.9999998989515007E-004, 2.2635356445312500E+003, 4.0058273589238524E-004, 2.2632392578125000E+003, 0.0000000000000000E+000
1,4,7, 5.0000000000000000E-001, 9.8899996280670166E-001, 1.6050000000000000E+002, 1.5999999595806003E-003, 1.7683872222900391E+001, 1.5913652023300529E-003, 1.7881242000000000E+007, 7.9666590318083763E-004
1,5,7, 5.0000000000000000E-001, 9.9599993228912354E-001, 1.6400000000000000E+002, 9.9999998245167004E-015, 3.5937353004555916E-007, 9.9999998245167004E-015, 3.5937353004555916E-007, 0.0000000000000000E+000
1,6,7, 5.0000000000000000E-001, 1.0029999017715454E+000, 1.6750000000000000E+002, 4.8275146582454909E-006, 9.1873559570312500E+002, 4.8339875320380088E-006, 9.1845245361328125E+002, 2.1632557078987702E-008
1,1,8, 5.0000000000000000E-001, 9.1599994897842407E-001, 1.6700000000000000E+002, 4.3749998440034688E-004, 5.7146777343750000E+003, 4.3713193736039102E-004, 5.7103681640625000E+003, 0.0000000000000000E+000
1,2,8, 5.0000000000000000E-001, 9.2299997806549072E-001, 1.7050000000000000E+002, 3.0214359867386520E-004, 1.6823656250000000E+004, 3.0204060021787882E-004, 1.6814150390625000E+004, 5.1254511345177889E-004
1,3,8, 5.0000000000000000E-001, 9.2999994754791260E-001, 1.7400000000000000E+002, 5.9999997029080987E-004, 1.9648748779296875E+003, 6.0058059170842171E-004, 1.9644956054687500E+003, 0.0000000000000000E+000
1,4,8, 5.0000000000000000E-001, 9.3699997663497925E-001, 1.7750000000000000E+002, 3.9999998989515007E-004, 6.1115473920000000E+010, 3.9988828939385712E-004, 6.1105434624000000E+010, 7.9666590318083763E-004
1,5,8, 5.0000000000000000E-001, 9.4399994611740112E-001, 1.8100000000000000E+002, 9.9999998245167004E-014, 4.5763957245981146E-007, 1.0265476890845143E-013, 4.6126180563987873E-007, 0.0000000000000000E+000
1,6,8, 5.0000000000000000E-001, 9.5099997520446777E-001, 1.8450000000000000E+002, 8.2067754192394204E-006, 5.1231311035156250E+002, 8.2187307270942256E-006, 5.1214056396484375E+002, 2.1632557078987702E-008
1,1,9, 5.0000000000000000E-001, 8.6399996280670166E-001, 1.8400000000000000E+002, 2.6249999064020813E-004, 2.3084538574218750E+003, 2.6212481316179037E-004, 2.3062192382812500E+003, 0.0000000000000000E+000
1,2,9, 5.0000000000000000E-001, 8.7099999189376831E-001, 1.8750000000000000E+002, 2.3065022833179682E-004, 7.1729560546875000E+003, 2.3042250541038811E-004, 7.3813940429687500E+003, 5.1254511345177889E-004
1,3,9, 5.0000000000000000E-001, 8.7799996137619019E-001, 1.9100000000000000E+002, 7.9999997979030013E-004, 1.6498072509765625E+003, 8.0057210288941860E-004, 1.6494609375000000E+003, 0.0000000000000000E+000
1,4,9, 5.0000000000000000E-001, 8.8499999046325684E-001, 1.9450000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0527303351846058E-007, 4.6642272000000000E+007, 7.9666590318083763E-004
1,5,9, 5.0000000000000000E-001, 8.9199995994567871E-001, 1.9800000000000000E+002, 9.9999999600419720E-013, 1.3644262253365014E-006, 1.0255435823475212E-012, 1.3771541489404626E-006, 0.0000000000000000E+000
1,6,9, 5.0000000000000000E-001, 8.9899998903274536E-001, 2.0150000000000000E+002, 1.3951518667454366E-005, 2.8568029785156250E+002, 1.4032717444933951E-005, 2.8539120483398438E+002, 2.1632557078987702E-008
1,1,10, 5.0000000000000000E-001, 8.1199997663497925E-001, 2.0100000000000000E+002, 8.7499996880069375E-005, 5.4252557373046875E+002, 8.7312291725538671E-005, 5.4184094238281250E+002, 0.0000000000000000E+000
1,2,10, 5.0000000000000000E-001, 8.1900000572204590E-001, 2.0450000000000000E+002, 1.7607366316951811E-004, 2.1521645312500000E+005, 1.7605601169634610E-004, 2.1511748437500000E+005, 5.1254511345177889E-004
1,3,10, 5.0000000000000000E-001, 8.2599997520446777E-001, 2.0800000000000000E+002, 9.9999993108212948E-004, 1.3815524902343750E+003, 9.9746370688080788E-004, 1.3794913330078125E+003, 0.0000000000000000E+000
1,4,10, 5.0000000000000000E-001, 8.3300000429153442E-001, 2.1150000000000000E+002, 1.1999999405816197E-003, 1.8334641356800000E+011, 1.2067087227478623E-003, 1.8331960934400000E+011, 7.9666590318083763E-004
