case,i,k,dt_s,rho_kg_m3,target_cloud_radius_m,qc_before,nc_before_per_kg,qr_before,nr_before_per_kg,qc_after,nc_after_per_kg,qr_after,nr_after_per_kg
0,1,1, 1.0000000149011612E-001, 1.2999999523162842E+000, 1.9999999949504854E-006, 2.4999999368446879E-005, 7.4603878400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 7.4603840000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 2.5000000000000000E-001, 1.3099999427795410E+000, 3.5000000480067683E-006, 4.1249997593695298E-005, 2.2968420800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1249997593695298E-005, 2.2968420800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,1, 1.0000000000000000E+000, 1.3199999332427979E+000, 7.4899999162880704E-006, 6.8062494392506778E-005, 3.8669964000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8062494392506778E-005, 3.8669848000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,1, 2.0000000000000000E+000, 1.3299999237060547E+000, 7.4999998105340637E-006, 1.1230312520638108E-004, 6.3550568000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1230312520638108E-004, 6.3549936000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,2, 5.0000000000000000E+000, 1.2249999046325684E+000, 7.5100001595274080E-006, 1.8530014494899660E-004, 1.0444010400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 1.0443613600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,2, 1.0000000000000000E+001, 1.2349998950958252E+000, 7.5200000537734013E-006, 3.0574522679671645E-004, 1.7163961600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 1.7161782400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,2, 2.0000000000000000E+001, 1.2449998855590820E+000, 7.9999999798019417E-006, 2.4999999368446879E-005, 1.1656856000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 1.1656562000000000E+007, 5.4214271960617566E-013, 1.8974995473399758E-003
7,4,2, 6.0000000000000000E+001, 1.2549998760223389E+000, 9.9999997473787516E-006, 4.1249997593695298E-005, 9.8477120000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1248604247812182E-005, 9.8452930000000000E+006, 1.3949319477291056E-009, 4.8822622299194336E+000
8,1,3, 1.2000000000000000E+002, 1.1499999761581421E+000, 1.2000000424450263E-005, 6.8062494392506778E-005, 9.4031950000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8027547968085855E-005, 9.3911250000000000E+006, 3.4944498850109085E-008, 1.2230576324462891E+002
9,2,3, 3.0000000000000000E+002, 1.1599999666213989E+000, 1.8000000636675395E-005, 1.1230312520638108E-004, 4.5971180000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0892566206166521E-004, 4.5142540000000000E+006, 3.3774626899685245E-006, 1.1821118164062500E+004
10,3,3, 9.0000000000000000E+002, 1.1699999570846558E+000, 2.9999999242136255E-005, 1.8530014494899660E-004, 1.6384130000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 8.1920648437500000E+004
11,4,3, 1.8000000000000000E+003, 1.1799999475479126E+000, 4.9999998736893758E-005, 3.0574522679671645E-004, 5.8393037500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 2.9196519531250000E+004
0,1,4, 1.0000000149011612E-001, 1.0749999284744263E+000, 1.9999999949504854E-006, 2.4999999368446879E-005, 7.4603878400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 7.4603840000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,4, 2.5000000000000000E-001, 1.0849999189376831E+000, 3.5000000480067683E-006, 4.1249997593695298E-005, 2.2968420800000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1249997593695298E-005, 2.2968419200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,4, 1.0000000000000000E+000, 1.0949999094009399E+000, 7.4899999162880704E-006, 6.8062494392506778E-005, 3.8669964000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8062494392506778E-005, 3.8669868000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,4, 2.0000000000000000E+000, 1.1049998998641968E+000, 7.4999998105340637E-006, 1.1230312520638108E-004, 6.3550568000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1230312520638108E-004, 6.3550036000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,5, 5.0000000000000000E+000, 9.9999994039535522E-001, 7.5100001595274080E-006, 1.8530014494899660E-004, 1.0444010400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8530014494899660E-004, 1.0443686400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,5, 1.0000000000000000E+001, 1.0099999904632568E+000, 7.5200000537734013E-006, 3.0574522679671645E-004, 1.7163961600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0574522679671645E-004, 1.7162179200000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,5, 2.0000000000000000E+001, 1.0199999809265137E+000, 7.9999999798019417E-006, 2.4999999368446879E-005, 1.1656856000000000E+007, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999368446879E-005, 1.1656615000000000E+007, 4.4416513110719091E-013, 1.5545780770480633E-003
7,4,5, 6.0000000000000000E+001, 1.0299999713897705E+000, 9.9999997473787516E-006, 4.1249997593695298E-005, 9.8477120000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1248851630371064E-005, 9.8457260000000000E+006, 1.1448447745365797E-009, 4.0069561004638672E+000
8,1,6, 1.2000000000000000E+002, 9.2499995231628418E-001, 1.2000000424450263E-005, 6.8062494392506778E-005, 9.4031950000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.8034387368243188E-005, 9.3934870000000000E+006, 2.8107539407074000E-008, 9.8376388549804688E+001
9,2,6, 3.0000000000000000E+002, 9.3499994277954102E-001, 1.8000000636675395E-005, 1.1230312520638108E-004, 4.5971180000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0958077473333105E-004, 4.5303270000000000E+006, 2.7223511551710544E-006, 9.5282285156250000E+003
