case,dx,k,pmfd,pmfds,pmfdq,pdmfdp,pdmfup,pmfdde_rate,pmfude_rate
1,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,3C4A5AF3
1,1500.0,3,00000000,00000000,00000000,00000000,368AC8C9,00000000,3B6E8874
1,1500.0,4,00000000,00000000,00000000,00000000,36EE127B,00000000,3AA30525
1,1500.0,5,00000000,00000000,00000000,00000000,3720954E,00000000,399DC1AC
1,1500.0,6,00000000,00000000,00000000,00000000,374267F8,00000000,32A8388F
1,1500.0,7,00000000,00000000,00000000,00000000,375D1E24,00000000,338EFDFF
1,1500.0,8,00000000,00000000,00000000,00000000,37720048,00000000,34508056
1,1500.0,9,00000000,00000000,00000000,00000000,37806692,00000000,35065CDE
1,1500.0,10,00000000,00000000,00000000,00000000,37853C0C,00000000,358AE09A
1,1500.0,11,00000000,00000000,00000000,00000000,37863A40,00000000,360252C6
1,1500.0,12,00000000,00000000,00000000,00000000,3777D0D0,00000000,3666EAB8
1,1500.0,13,00000000,00000000,00000000,00000000,375EC7E0,00000000,36C41CD7
1,1500.0,14,00000000,00000000,00000000,00000000,3742ED40,00000000,37227E5F
1,1500.0,15,00000000,00000000,00000000,00000000,3732CC30,00000000,37837CC4
1,1500.0,16,00000000,00000000,00000000,00000000,372F1B50,00000000,37CE760E
1,1500.0,17,00000000,00000000,00000000,00000000,3729AAB0,00000000,381C8184
1,1500.0,18,00000000,00000000,00000000,00000000,37238C90,00000000,3864614B
1,1500.0,19,00000000,00000000,00000000,00000000,37265230,00000000,38A00FF5
1,1500.0,20,00000000,00000000,00000000,00000000,37255400,00000000,38D73E4E
1,1500.0,21,00000000,00000000,00000000,00000000,36A6D860,00000000,390AB37C
1,1500.0,22,00000000,00000000,00000000,00000000,36691DC0,00000000,392B2190
1,1500.0,23,00000000,00000000,00000000,00000000,3660E000,00000000,394B3B56
1,1500.0,24,00000000,00000000,00000000,00000000,3658E3C0,00000000,396BA458
1,1500.0,25,00000000,00000000,00000000,00000000,3650FE60,00000000,398A277C
1,1500.0,26,00000000,00000000,00000000,00000000,36492280,00000000,39A2CFB6
1,1500.0,27,00000000,00000000,00000000,00000000,36415600,00000000,39BD6B63
1,1500.0,28,00000000,00000000,00000000,00000000,36398E00,00000000,39D9B00D
1,1500.0,29,00000000,00000000,00000000,00000000,3631C180,00000000,39F73CFC
1,1500.0,30,00000000,00000000,00000000,00000000,3629EB40,00000000,3A0ACCE2
1,1500.0,31,00000000,00000000,00000000,00000000,36220980,00000000,3A1A1EED
1,1500.0,32,00000000,00000000,00000000,00000000,361A1C40,00000000,3A29461A
1,1500.0,33,00000000,00000000,00000000,00000000,36122780,00000000,3A37EDD2
1,1500.0,34,00000000,00000000,00000000,00000000,360A3380,00000000,3A45BD41
1,1500.0,35,00000000,00000000,00000000,00000000,36024B80,00000000,3A525A89
1,1500.0,36,00000000,00000000,00000000,00000000,35F4FE00,00000000,3A5D6D87
1,1500.0,37,00000000,00000000,00000000,00000000,35E5BD00,00000000,3A66A1FF
1,1500.0,38,00000000,00000000,00000000,00000000,35D6F600,00000000,3A6DAD0C
1,1500.0,39,00000000,00000000,00000000,00000000,35C89900,00000000,3A724B3C
1,1500.0,40,00000000,00000000,00000000,00000000,35BA9C00,00000000,3A781783
1,1500.0,41,00000000,00000000,00000000,00000000,35AE4A00,00000000,3A7C8426
1,1500.0,42,00000000,00000000,00000000,00000000,35A4F500,00000000,3A7DAC8F
1,1500.0,43,BB503DCD,3F4CFC00,B538CF5A,00000000,34848800,00000000,3A7B3A64
1,1500.0,44,BB503DCD,3FE75A00,B61A0220,00000000,34F9C000,38A204B6,3A74CFD6
1,1500.0,45,BB22CE89,40086300,B57F7300,00000000,339FC000,3A35BD10,3A69F4FF
1,1500.0,46,BAF0EBA2,40043700,B3EC5C00,00000000,B498C800,3A2962E0,00000000
1,1500.0,47,BAA361F0,3FD98B00,34A0AEC0,00000000,B41C0000,3A1B1364,00000000
1,1500.0,48,BA3D05BC,3FA89B80,349C5F40,00000000,B34B0000,3A09BE24,00000000
1,1500.0,49,B9944DE3,3EF31D00,3484D2E0,00000000,00000000,39E5BD95,00000000
2,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
2,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,3C8FDFC8
2,1500.0,3,00000000,00000000,00000000,00000000,371308C3,00000000,3B0057A1
2,1500.0,4,00000000,00000000,00000000,00000000,37542FED,00000000,3AF57E70
2,1500.0,5,00000000,00000000,00000000,00000000,378CFBFA,00000000,3AEDBA40
2,1500.0,6,00000000,00000000,00000000,00000000,37AEC2F0,00000000,3AE7EDC0
2,1500.0,7,00000000,00000000,00000000,00000000,37CCC116,00000000,3AE35D58
2,1500.0,8,00000000,00000000,00000000,00000000,37E5E8B4,00000000,3ADF9E78
2,1500.0,9,00000000,00000000,00000000,00000000,37FABE54,00000000,3ADC70E9
2,1500.0,10,00000000,00000000,00000000,00000000,37FD03B0,00000000,3ACEA8DA
2,1500.0,11,00000000,00000000,00000000,00000000,37EE61B0,00000000,3ABFA49E
2,1500.0,12,00000000,00000000,00000000,00000000,37D88668,00000000,3AB2A2D2
2,1500.0,13,00000000,00000000,00000000,00000000,37CFD328,00000000,3AA744CE
2,1500.0,14,00000000,00000000,00000000,00000000,37D2ED50,00000000,3A9DAAF5
2,1500.0,15,00000000,00000000,00000000,00000000,37D378C0,00000000,3A959EA1
2,1500.0,16,00000000,00000000,00000000,00000000,37D30230,00000000,3A8E9933
2,1500.0,17,00000000,00000000,00000000,00000000,37DE9B90,00000000,3A8832B1
2,1500.0,18,00000000,00000000,00000000,00000000,37E328C0,00000000,3A822072
2,1500.0,19,00000000,00000000,00000000,00000000,37E45D50,00000000,3A785627
2,1500.0,20,00000000,00000000,00000000,00000000,37E265F0,00000000,3A6C5745
2,1500.0,21,00000000,00000000,00000000,00000000,37DE7F80,00000000,3A600D4C
2,1500.0,22,00000000,00000000,00000000,00000000,37D9A070,00000000,3A53535E
2,1500.0,23,00000000,00000000,00000000,00000000,37D3DD10,00000000,3A4623CB
2,1500.0,24,00000000,00000000,00000000,00000000,37CD42E0,00000000,3A395360
2,1500.0,25,00000000,00000000,00000000,00000000,3722ABE0,00000000,3A2EF7D0
2,1500.0,26,00000000,00000000,00000000,00000000,37001DC0,00000000,3A268573
2,1500.0,27,00000000,00000000,00000000,00000000,36F83D00,00000000,3A1E26A0
2,1500.0,28,00000000,00000000,00000000,00000000,36EFD400,00000000,3A15D731
2,1500.0,29,00000000,00000000,00000000,00000000,36E70000,00000000,3A0D95B5
2,1500.0,30,00000000,00000000,00000000,00000000,36DDC180,00000000,3A0561A9
2,1500.0,31,00000000,00000000,00000000,00000000,36D41F80,00000000,39FA7C67
2,1500.0,32,00000000,00000000,00000000,00000000,36CA2300,00000000,39EA5DEF
2,1500.0,33,00000000,00000000,00000000,00000000,36BFDC80,00000000,39DA73DB
2,1500.0,34,00000000,00000000,00000000,00000000,36B55E00,00000000,39CACC0C
2,1500.0,35,00000000,00000000,00000000,00000000,36AABE00,00000000,39BB76B8
2,1500.0,36,00000000,00000000,00000000,00000000,36A01580,00000000,39AC8549
2,1500.0,37,00000000,00000000,00000000,00000000,36957980,00000000,399E0856
2,1500.0,38,00000000,00000000,00000000,00000000,368AF900,00000000,399010CD
2,1500.0,39,00000000,00000000,00000000,00000000,36808700,00000000,3982ACFC
2,1500.0,40,00000000,00000000,00000000,00000000,366BD800,00000000,396CE0CD
2,1500.0,41,00000000,00000000,00000000,00000000,3655BE00,00000000,3955CB4E
2,1500.0,42,00000000,00000000,00000000,00000000,363CA500,00000000,393F9B45
2,1500.0,43,00000000,00000000,00000000,00000000,361AF600,00000000,392A6582
2,1500.0,44,00000000,00000000,00000000,00000000,35CB1800,00000000,39162E1A
2,1500.0,45,BB806D6A,3F835DE1,B4F8172F,00000000,B5867000,00000000,390B5165
2,1500.0,46,BB806D6A,4006F2D6,B5CEBDFC,00000000,B5758000,80000000,00000000
2,1500.0,47,BB806D6A,4045F00B,B469FDF6,00000000,B558A400,80000000,00000000
