case,dx,prsfc,pssfc
1,1500.0,3988FE39,00000000
2,1500.0,3A26DBFF,00000000
3,1500.0,3A278A79,00000000
4,1500.0,3A3D7F27,00000000
5,1500.0,3A272247,00000000
6,1500.0,39E962C9,00000000
7,1500.0,3A2C09BF,00000000
8,1500.0,00000000,00000000
9,1500.0,00000000,00000000
10,1500.0,00000000,00000000
11,1500.0,35B91BBB,00000000
12,1500.0,00000000,00000000
13,1500.0,00000000,00000000
14,1500.0,00000000,00000000
15,1500.0,00000000,00000000
16,1500.0,00000000,00000000
17,1500.0,00000000,00000000
18,1500.0,00000000,00000000
1,4500.0,3A604C3C,00000000
2,4500.0,3B089947,00000000
3,4500.0,3B09281D,00000000
4,4500.0,3B1B217A,00000000
5,4500.0,3B08D2D2,00000000
6,4500.0,3ABF0F79,00000000
7,4500.0,3B0CD69C,00000000
8,4500.0,00000000,00000000
9,4500.0,00000000,00000000
10,4500.0,00000000,00000000
11,4500.0,36277BFD,00000000
12,4500.0,00000000,00000000
13,4500.0,00000000,00000000
14,4500.0,00000000,00000000
15,4500.0,00000000,00000000
16,4500.0,00000000,00000000
17,4500.0,00000000,00000000
18,4500.0,00000000,00000000
1,9000.0,3B27BF78,00000000
2,9000.0,3BCC51B7,00000000
3,9000.0,3BCD2759,00000000
4,9000.0,3BE809E2,00000000
5,9000.0,3BCCA7C4,00000000
6,9000.0,3B8EE3F2,00000000
7,9000.0,3BD2A915,00000000
8,9000.0,00000000,00000000
9,9000.0,00000000,00000000
10,9000.0,00000000,00000000
11,9000.0,3690D731,00000000
12,9000.0,00000000,00000000
13,9000.0,00000000,00000000
14,9000.0,00000000,00000000
15,9000.0,00000000,00000000
16,9000.0,00000000,00000000
17,9000.0,00000000,00000000
18,9000.0,00000000,00000000
1,13500.0,3BCD3B94,00000000
2,13500.0,3C79F9E9,00000000
3,13500.0,3C7AFF47,00000000
4,13500.0,3C8DF1E2,00000000
5,13500.0,3C7A6332,00000000
6,13500.0,3C2ED212,00000000
7,13500.0,3C80DE05,00000000
8,13500.0,00000000,00000000
9,13500.0,00000000,00000000
10,13500.0,00000000,00000000
11,13500.0,36E2919A,00000000
12,13500.0,00000000,00000000
13,13500.0,00000000,00000000
14,13500.0,00000000,00000000
15,13500.0,00000000,00000000
16,13500.0,00000000,00000000
17,13500.0,00000000,00000000
18,13500.0,00000000,00000000
1,15000.0,3C07DB81,00000000
2,15000.0,3CA579E2,00000000
3,15000.0,3CA626E9,00000000
4,15000.0,3CBBED01,00000000
5,15000.0,3CA5BF98,00000000
6,15000.0,3C67737D,00000000
7,15000.0,3CAA9CA8,00000000
8,15000.0,00000000,00000000
9,15000.0,00000000,00000000
10,15000.0,00000000,00000000
11,15000.0,370EC24E,00000000
12,15000.0,00000000,00000000
13,15000.0,00000000,00000000
14,15000.0,00000000,00000000
15,15000.0,00000000,00000000
16,15000.0,00000000,00000000
17,15000.0,00000000,00000000
18,15000.0,00000000,00000000
1,27000.0,3BEFCEA3,00000000
2,27000.0,3C920B4C,00000000
3,27000.0,3C92A401,00000000
4,27000.0,3CA5DB8A,00000000
5,27000.0,3C9248D1,00000000
6,27000.0,3C4C458A,00000000
7,27000.0,3C9693AB,00000000
8,27000.0,00000000,00000000
9,27000.0,00000000,00000000
10,27000.0,00000000,00000000
11,27000.0,370EC24E,00000000
12,27000.0,00000000,00000000
13,27000.0,00000000,00000000
14,27000.0,00000000,00000000
15,27000.0,00000000,00000000
16,27000.0,00000000,00000000
17,27000.0,00000000,00000000
18,27000.0,00000000,00000000
