case,dx,zheat,zcape,zcape1,zcape2,ztauc,ztaubl,ztau,zmfub,zmfub1,zmfs,upbl,scale_fac,scale_fac2
1,1500.0,3CE20CC2,449EF457,449F231E,3FBB1D33,446FDD51,41DDDF1A,470EAA8B,3C0987C2,3C2D88D5,00000000,40E41352,42184362,40C56E96
2,1500.0,3FB8CA1C,45123D70,45124FA7,3F91B5F6,446F4A51,416AB5E4,470E531C,3F158E39,3CD4E357,00000000,41A057E3,42184362,40C56E96
3,1500.0,3FB89DB9,45128098,45131865,4117CCFB,446F4ACE,42230370,470E5366,3F158E39,3CD577F2,00000000,40E6DDB3,42184362,40C56E96
4,1500.0,3FA80031,452077E5,452077E5,00000000,4470F258,41DF282E,470F4F50,3F08EBA5,3CE99ECC,00000000,40E4197E,42184362,40C56E96
5,1500.0,3FBB38C7,451093D4,45153AD6,4294E03E,446FB21D,446FB21D,470E90D9,3F158E39,3CCF61D3,00000000,00000000,42184362,40C56E96
6,1500.0,3FE4967F,450150E1,45018362,404A04BE,4472178C,42230370,470FFDB4,3F158E39,3C966B8D,00000000,40E6DDB3,42184362,40C56E96
7,1500.0,3FB86545,45155C0D,45158EAD,404A81D8,446F6028,42231461,470E601A,3F158E39,3CD9D0F1,00000000,40E6DE70,42184362,40C56E96
8,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3BB211F3,00000000,00000000,00000000,42184362,40C56E96
9,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3B798E49,00000000,00000000,00000000,42184362,40C56E96
10,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3BA4E4A3,00000000,00000000,00000000,42184362,40C56E96
11,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3C0987C2,3AB2541C,00000000,46312590,42184362,40C56E96
12,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3D109FA5,00000000,00000000,00000000,42184362,40C56E96
13,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3D0F34EF,00000000,00000000,00000000,42184362,40C56E96
14,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3D0F86FA,00000000,00000000,00000000,42184362,40C56E96
15,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,00000000,00000000,00000000,00000000,42184362,40C56E96
16,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,2EDBE6FF,00000000,00000000,00000000,42184362,40C56E96
17,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3C9636B1,3C9636B1,00000000,00000000,42184362,40C56E96
18,1500.0,00000000,00000000,00000000,00000000,00000000,00000000,450EBF2C,3D007A5E,3D007A5E,00000000,00000000,42184362,40C56E96
1,4500.0,3CE20CC2,449EF457,449F231E,3FBB1D33,446FDD51,41DDDF1A,462E4556,3C0987C2,3D0E103A,3F800000,40E41352,4139FE70,405A3513
2,4500.0,3FB8CA1C,45123D70,45124FA7,3F91B5F6,446F4A51,416AB5E4,462DDA89,3F158E39,3DAE47AF,3F800000,41A057E3,4139FE70,405A3513
3,4500.0,3FB89DB9,45128098,45131865,4117CCFB,446F4ACE,42230370,462DDAE4,3F158E39,3DAEC156,3F800000,40E6DDB3,4139FE70,405A3513
4,4500.0,3FA80031,452077E5,452077E5,00000000,4470F258,41DF282E,462F0E9B,3F08EBA5,3DBF409E,3F800000,40E4197E,4139FE70,405A3513
5,4500.0,3FBB38C7,451093D4,45153AD6,4294E03E,446FB21D,446FB21D,462E25F3,3F158E39,3DA9C5CA,3F800000,00000000,4139FE70,405A3513
6,4500.0,3FE4967F,450150E1,45018362,404A04BE,4472178C,42230370,462FE3A1,3F158E39,3D764821,3F800000,40E6DDB3,4139FE70,405A3513
7,4500.0,3FB86545,45155C0D,45158EAD,404A81D8,446F6028,42231461,462DEA67,3F158E39,3DB2507D,3F800000,40E6DE70,4139FE70,405A3513
8,4500.0,00000000,00000000,00000000,00000000,00000000,00000000,442E5E89,3BB211F3,00000000,3F800000,00000000,4139FE70,405A3513
9,4500.0,00000000,00000000,00000000,00000000,00000000,00000000,442E5E89,3B798E49,00000000,3F800000,00000000,4139FE70,405A3513
