case,dx,k,ztp1,zqp1,zqsat,pgeo,pgeoh,pverv,ptte,pqte
1,1500.0,1,43458000,36D299B5,3724F7BD,483A2DF1,4845E594,80000000,00000000,00000000
1,1500.0,2,43458000,3694C443,36E910C8,48264EA5,482E764D,80000000,00000000,00000000
1,1500.0,3,434AE83E,37002FF6,375289AB,4817BB69,481E26FE,BC1B8399,358B90C0,308EEA3E
1,1500.0,4,43523707,378F1240,37FB8978,480BED31,48114FD4,BD17C652,362417EB,3128081C
1,1500.0,5,435887ED,380777FD,387D5057,4801E303,48068A8D,BD94CBE3,36759AE3,317B7FE3
1,1500.0,6,435E1AE6,386501E8,38E26968,47F23FCC,47FA76F3,BDDE255B,369EC560,31A294DD
1,1500.0,7,436319D4,38B23B0F,393965ED,47E2ABAD,47EA08A3,BE12A492,36BF0209,31C39797
1,1500.0,8,4367A1B7,39025218,398E02AB,47D4A134,47DB4EB6,BE3440EF,36DC3E81,31E187AF
1,1500.0,9,436BC786,393587E9,39CE71E2,47C7D6BF,47CDF3B3,BE535D9D,36F7021C,31FCEFBA
1,1500.0,10,436F9AF3,398A652E,3A0FDE11,47BC1641,47C1B9CB,BE6FA665,3707D911,320B1BB8
1,1500.0,11,4373280D,39CC8FAF,3A41B620,47B136D5,47B672B8,BE847732,37134E30,3216D73B
1,1500.0,12,43767850,3A100668,3A7D6DB0,47A718BA,47ABFAF1,BE8F91CB,371DFF01,3221C9BC
1,1500.0,13,43799354,3A432C36,3AA1CC3B,479DA2C5,47A23682,BE99235F,37280406,322C0C50
1,1500.0,14,437C7F46,3A802DF8,3ACACEB1,4794C0AA,47990F09,BEA13304,37317132,3235B367
1,1500.0,15,437F4142,3AA40ED0,3AFADB82,478C61C7,4790724B,BEA7CC73,373A56F8,323ECFD7
1,1500.0,16,4380EEC4,3ACD6F68,3B18F973,47847850,47885143,BEACFEB2,3742C317,32476FB6
1,1500.0,17,43822BD9,3AFC7A27,3B37E4FD,4779F167,47809F5D,BEB0DADB,374AC125,324F9EDF
1,1500.0,18,43835967,3B18A6AC,3B59E96B,476BB247,4772A412,BEB3737C,37525B03,32576770
1,1500.0,19,438478BE,3B35FDFE,3B7EA05E,475E227E,4764C07B,BEB4DBEE,37599923,325ED210
1,1500.0,20,43858B00,3B564722,3B92C35A,475133A6,47578483,BEB527E5,376082DC,3265E642
1,1500.0,21,43869129,3B798118,3BA6FFE5,4744D93A,474AE2C7,BEB46B2E,37671E86,326CAA86
1,1500.0,22,43878C16,3B8FD320,3BBBAC9D,4739085E,473ECFAD,BEB2B962,376D71AF,3273248A
1,1500.0,23,43887C86,3BA455EE,3BD0670A,472DB78E,4733410F,BEB025CF,37738132,3279594A
1,1500.0,24,43896326,3BBA41EB,3BE54C34,4722DE6B,47282E0C,BEACC345,3779515E,327F4D2D
1,1500.0,25,438A4088,3BCF9F19,3BFAEC7D,471875A4,471D8ECB,BEA8A5B0,377EE5E6,328281FF
1,1500.0,26,438B1530,3BE49954,3C089D80,470E76CA,47135C7E,BEA3DE93,37822110,32854094
1,1500.0,27,438BE194,3BFA6A9F,3C141482,4704DC21,47099116,BE9E7DF4,3784B480,3287E3D7
1,1500.0,28,438CA61A,3C088296,3C1FD375,46F74124,4700272C,BE98944A,37872E91,328A6D20
1,1500.0,29,438D6320,3C142D59,3C2BD2A6,46E57F32,46EE33F1,BE92315E,3789906D,328CDD9E
1,1500.0,30,438E18F6,3C202DB4,3C3809DC,46D46A76,46DCCA74,BE8B6462,378BDB18,328F365E
1,1500.0,31,438EC7E3,3C2C7B4C,3C4470A7,46C3FBED,46CC0A79,BE843BEF,378E0F7B,3291784D
1,1500.0,32,438F7026,3C390D4A,3C50FE74,46B42D6F,46BBED62,BE798C12,37902E5B,3293A434
1,1500.0,33,439011F4,3C45DA2C,3C5DAA30,46A4F9AC,46AC6D7C,BE6A2066,37923866,3295BAC7
1,1500.0,34,4390AD7A,3C52D7CA,3C6A6A6F,46965C1B,469D85DC,BE5A4EEF,37942E2D,3297BC99
1,1500.0,35,439142DD,3C5FFB4B,3C77354C,468850F4,468F325A,BE4A30E9,37961028,3299AA25
1,1500.0,36,4391D23B,3C6D3922,3C820045,4675AA4E,46816F8D,BE39DEDA,3797DEB5,329B83CC
1,1500.0,37,43925BA7,3C7A84A1,3C88606D,465BCCD2,46687581,BE2970C7,37999A17,329D49D2
1,1500.0,38,4392DF2E,3C83E823,3C8EB548,46430674,464F2422,BE18FE59,379B4274,329EFC5F
1,1500.0,39,43935CD3,3C8A86A6,3C94F87E,462B55EF,4636E8C8,BE089F22,379CD7D3,32A09B78
1,1500.0,40,4393D48A,3C9083DF,3C9B22D0,4614BBFC,461FC317,BDF0D8B4,379E5A12,32A226FC
1,1500.0,41,4394463E,3C9628FD,3CA12C7D,45FE772C,4609B4E1,BDD0FAAA,379FC8EB,32A39EA3
1,1500.0,42,4394B1C7,3C9BA7BE,3CA70C84,45D5B4B1,45E98497,BDB1D619,37A123E1,32A501ED
1,1500.0,43,439516EC,3CA0F6A3,3CACB8C2,45AF427D,45C1E4CB,BD93A207,37A26A36,32A65017
1,1500.0,44,43957553,3CA609F3,3CB224D5,458B3BE2,459CA02E,BD6D379F,37A39AC9,32A787F9
1,1500.0,45,4395CC77,3CAAD321,3CB74134,45539398,4573AF2C,BD36169C,37A4B3EE,32A8A7DE
1,1500.0,46,43961B8A,3CAF3EA8,3CBBF91E,45165521,45337804,BD029446,37A5B30E,32A9AD1D
1,1500.0,47,43966139,3CB32FE1,3CC02E29,44BF0A94,44F2647A,BCA74C5C,37A693E1,32AA9355
1,1500.0,48,43969AF0,3CB67400,3CC3AA28,44425071,448BB0AF,BC2B5A02,37A74E19,32AB5205
1,1500.0,49,4396C000,3CB8697E,3CC5C0E4,435A7F09,43DA7F09,BB41B38D,37A7C5AC,32ABCC77
2,1500.0,1,43468000,36F520CD,3741A6B7,483ADECD,4846A5A1,80000000,00000000,00000000
2,1500.0,2,43468000,36AD2812,3708CB70,4826E5C0,482F17FA,80000000,00000000,00000000
2,1500.0,3,434B9019,370CC500,376893F8,481842A1,481EB386,BC1138DF,3582ADB6,3085D09A
2,1500.0,4,4352E4EE,379C702D,380A6B32,480C6AA5,4811D1BD,BD11DC37,361FF473,3123CB36
2,1500.0,5,43593B0F,38139E9C,388AFAC3,48025828,4807038C,BD91A17B,3671BADC,3177880C
2,1500.0,6,435ED2A6,3878D94F,38F7D255,47F31B92,47FB5988,BDDAE6B2,369CF328,31A0B775
2,1500.0,7,4363D5B8,38C1374E,394A800F,47E37A8C,47EADD9D,BE11079E,36BD4A87,31C1D588
2,1500.0,8,4368615C,390CFDFC,399AD35E,47D56472,47DC177C,BE32AF9D,36DA9F3B,31DFDE72
2,1500.0,9,436C8A9C,39440CD9,39E0B65D,47C88F61,47CEB167,BE51DE9C,36F5790C,31FB5D3B
2,1500.0,10,43706136,3994E2EC,3A1C5FB3,47BCC521,47C26D5A,BE6E3E50,37071EC9,320A5CF7
2,1500.0,11,4373F146,39DD7779,3A524831,47B1DCA9,47B71CE9,BE83D00B,37129D72,3216223F
2,1500.0,12,4377444D,3A1C9D6D,3A89652B,47A7B61E,47AC9C6A,BE8EF85B,371D5733,32211DE6
2,1500.0,13,437A61EB,3A54E96C,3AAF41BB,479E383F,47A2CFD3,BE9897FD,3727649E,322B6915
2,1500.0,14,437D5054,3A8C2A1E,3ADBD588,47954EAE,4799A0AD,BEA0B5A0,3730D9BA,3235184C
2,1500.0,15,43800A52,3AB3BA08,3B07F6D4,478CE8B9,4790FCAE,BEA75CB5,3739C709,323E3C74
2,1500.0,16,43815993,3AE16178,3B25B7AD,4784F88A,4788D4C4,BEAC9BFF,37423A56,3246E3AC
2,1500.0,17,438297B8,3B0AA764,3B46F9D2,477AE506,47811C4F,BEB0847F,374A3F40,324F19DC
2,1500.0,18,4383C64B,3B27D1C6,3B6B65DA,476C99A0,4773916D,BEB3289A,3751DFB1,3256E928
2,1500.0,19,4384E69C,3B483A2E,3B894111,475EFE0F,4765A1D2,BEB49B98,37592425,325E5A43
2,1500.0,20,4385F9D0,3B6BE547,3B9DDB63,475203DC,47585A4B,BEB4F11F,376013F5,326574B1
2,1500.0,21,438700E3,3B8968E3,3BB32826,47459E7F,474BAD6D,BEB43CF7,3766B583,326C3EFD
2,1500.0,22,4387FCB1,3B9E7C82,3BC8C210,4739C30D,473F8F91,BEB292C4,376D0E5D,3272BED7
2,1500.0,23,4388EDFE,3BB527EA,3BDE52B8,472E67FB,4733F689,BEB005CB,37732369,3278F940
2,1500.0,24,4389D572,3BCD62B4,3BF47D3F,472384E4,4728D96D,BEACA8F3,3778F8F1,327EF2A2
2,1500.0,25,438AB3A4,3BE4FA2B,3C05B6FF,47191271,471E305B,BEA89056,377E92B2,32825766
2,1500.0,26,438B8914,3BFBACC7,3C118A84,470F0A31,4713F485,BEA3CDE5,3781F9FE,32851892
2,1500.0,27,438C563B,3C099F6F,3C1DB19F,4705666B,470A1FDD,BE9E7147,37848FE3,3287BE59
2,1500.0,28,438D1B7E,3C15D0A4,3C2A23F6,46F84406,4700ACF9,BE988AF8,37870C57,328A4A13
2,1500.0,29,438DD93C,3C22625B,3C36D977,46E670E6,46EF2E1C,BE922AD2,37897084,328CBCF2
2,1500.0,30,438E8FC4,3C2F4BF9,3C43C95F,46D54B78,46DDB3B0,BE8B601C,378BBD70,328F1800
2,1500.0,31,438F3F60,3C3C84D1,3C50EB16,46C4CCB7,46CCE340,BE843973,378DF402,32915C2B
2,1500.0,32,438FE84B,3C4A0312,3C5E3522,46B4EE75,46BCB62C,BE7989E2,37901502,32938A40
2,1500.0,33,43908ABD,3C57BCE1,3C6B9E44,46A5AB64,46AD26BF,BE6A204E,3792211D,3295A2EF
2,1500.0,34,439126E2,3C65A75B,3C791C74,4696FEF6,469E3009,BE5A5050,379418E6,3297A6CF
2,1500.0,35,4391BCDF,3C73B6F8,3C8352A2,4688E562,468FCDE3,BE4A3349,3795FCD2,32999658
2,1500.0,36,43924CD2,3C80EFC6,3C8A16F4,4676B735,4681FCE2,BE39E1CE,3797CD41,329B71ED
2,1500.0,37,4392D6CF,3C8809E2,3C90D553,465CBEA7,466974A6,BE2973F7,37998A75,329D39D0
2,1500.0,38,43935AE2,3C8F22A3,3C978784,4643DE1F,465008A8,BE190186,379B3494,329EEE29
2,1500.0,39,4393D90C,3C96321E,3C9E26B4,462C1457,4637B395,BE08A21E,379CCBA5,32A08EFF
2,1500.0,40,43945145,3C9CA8F0,3CA4AB94,46156211,46207519,BDF0DDD3,379E4F86,32A21C30
2,1500.0,41,4394C375,3CA2C125,3CAB0DBC,45FF94A2,460A4F09,BDD0FEE4,379FBFEF,32A39570
2,1500.0,42,43952F75,3CA8AFE1,3CB143C6,45D6A57A,45EA8B2F,BDB1D969,37A11C64,32A4FA41
2,1500.0,43,4395950A,3CAE6AB5,3CB742E8,45B008C7,45C2BFC5,BD93A473,37A26423,32A649DE
2,1500.0,44,4395F3DB,3CB3E52E,3CBCFE27,458BDA08,459D51CA,BD6D3AE4,37A3960A,32A7831D
2,1500.0,45,43964B61,3CB90F7B,3CC26502,455484C8,4574C48E,BD361893,37A4B06D,32A8A446
2,1500.0,46,43969ACD,3CBDD48F,3CC76193,4517010F,45344503,BD029548,37A5B0AF,32A9AAAF
2,1500.0,47,4396E0CC,3CC215AE,3CCBD3D3,44BFE5AF,44F37A35,BCA74D24,37A69282,32AA91EE
2,1500.0,48,43971AC5,3CC59BD5,3CCF8265,44432FC8,448C5129,BC2B5A4F,37A74D8F,32AB5178
2,1500.0,49,43974000,3CC7B8C5,3CD1B73F,435B7A80,43DB7A80,BB41B38B,37A7C5AC,32ABCC77
3,1500.0,1,43468000,36F520CD,3741A6B7,483ADF1E,4846A5F2,80000000,00000000,00000000
3,1500.0,2,43468000,36AD2812,3708CB70,4826E611,482F184B,80000000,00000000,00000000
3,1500.0,3,434B8FE0,370CC08D,37688C24,481842F4,481EB3D7,BC1132B3,3643FBF7,3148B017
3,1500.0,4,4352E4B4,379C6B8C,380A66C9,480C6AFA,4811D211,BD11D8AF,36EFEA30,31F5AC39
3,1500.0,5,43593AD2,38139A4C,388AF666,48025881,480703E4,BD919F9D,373549D7,3239A3AD
3,1500.0,6,435ED267,3878D23C,38F7CAAE,47F31C49,47FB5A3C,BDDAE4D4,376B6A5B,327110C0
3,1500.0,7,4363D578,38C13206,394A7A02,47E37B48,47EADE56,BE1106BD,378DF6AC,32915EE6
3,1500.0,8,4368611A,390CFA2E,399ACEC6,47D56531,47DC183A,BE32AED5,37A3F62E,32A7E58F
3,1500.0,9,436C8A58,3944079E,39E0AFC1,47C89025,47CEB229,BE51DDF9,37B81984,32BC84A0
3,1500.0,10,437060F2,39953003,3A1C5B3E,47BCC5E8,47C26E1F,BE6E3DD6,37CAACE5,32CF8A22
3,1500.0,11,4373F101,39DE5F2F,3A524249,47B1DD73,47B71DB1,BE83CFE1,37DBEAE0,32E1320C
3,1500.0,12,43774408,3A1D7D6E,3A896169,47A7B6EA,47AC9D34,BE8EF843,37EC017E,32F1AB83
3,1500.0,13,437A61A6,3A565814,3AAF3D0D,479E390B,47A2D09E,BE9897F6,37FB159F,33008E24
3,1500.0,14,437D500F,3A8D3BAE,3ADBCFB0,47954F79,4799A178,BEA0B5A3,3804A2A5,3307D18F
3,1500.0,15,43800A30,3AB53A40,3B07F34E,478CE983,4790FD79,BEA75CC1,380B54A1,330EACAD
3,1500.0,16,43815971,3AE365C8,3B25B379,4784F952,4788D58D,BEAC9C0F,3811AB1D,33152A1A
3,1500.0,17,43829797,3B0BF6F2,3B46F50C,477AE68E,47811D16,BEB08487,3817AED0,331B52C0
3,1500.0,18,4383C62A,3B297A4A,3B6B6062,476C9B1F,477392F2,BEB32893,381D6728,33212E3E
3,1500.0,19,4384E67D,3B4A47CE,3B893E2D,475EFF83,4765A34D,BEB49B79,3822DA86,3326C318
3,1500.0,20,4385F9B2,3B6E6405,3B9DD84D,47520542,47585BB9,BEB4F0E6,38280E68,332C16F2
3,1500.0,21,438700C7,3B8AE700,3BB32506,47459FD2,474BAECB,BEB43C98,382D079B,33312EB3
3,1500.0,22,4387FC97,3BA03F7A,3BC8BEFD,4739C44C,473F90DA,BEB29233,3831CA48,33360EA0
3,1500.0,23,4388EDE6,3BB735D1,3BDE4FB0,472E6920,4733F7BC,BEB00501,38365A1C,333ABA7B
3,1500.0,24,4389D55D,3BCFC1A4,3BF47A5F,472385ED,4728DA84,BEACA7E7,383ABA4F,333F3590
3,1500.0,25,438AB391,3BE78111,3C05B597,4719135B,471E3156,BEA88F2D,383EEDAC,334382BD
3,1500.0,26,438B8904,3BFE2D5E,3C118942,470F0AFE,4713F560,BEA3CCC1,3842F6B0,3347A48B
3,1500.0,27,438C562D,3C0AD963,3C1DB06E,4705671B,470A209B,BE9E7028,3846D792,334B9D41
3,1500.0,28,438D1B73,3C17012F,3C2A22F6,46F84534,4700AD9C,BE9889E4,384A9249,334F6EE2
3,1500.0,29,438DD933,3C238647,3C36D89A,46E671E0,46EF2F2F,BE9229CE,384E2897,33531B3A
3,1500.0,30,438E8FBD,3C306031,3C43C8AA,46D54C45,46DDB492,BE8B5F25,38519C02,3356A3D9
3,1500.0,31,438F3F59,3C3D8614,3C50EA55,46C4CD58,46CCE3F7,BE843894,3854EDE6,335A0A22
3,1500.0,32,438FE846,3C4AEE9F,3C5E3492,46B4EEF4,46BCB6BB,BE798855,38581F6D,335D4F48
3,1500.0,33,43908AB9,3C588FC5,3C6B9DC8,46A5ABC1,46AD272B,BE6A1EF2,385B319D,33607456
3,1500.0,34,439126DF,3C665EDF,3C791C15,4696FF38,469E3058,BE5A4F2C,385E254E,33637A2B
3,1500.0,35,4391BCDD,3C745093,3C835283,4688E58E,468FCE18,BE4A325C,3860FB34,3366617D
3,1500.0,36,43924CD1,3C812C73,3C8A16E5,4676B768,4681FD03,BE39E118,3863B3DE,33692ADF
3,1500.0,37,4392D6CE,3C883547,3C90D540,465CBEBF,466974CA,BE29737B,38664FAE,336BD6B6
3,1500.0,38,43935AE2,3C8F3BE1,3C978784,4643DE26,465008B6,BE190142,3868CEDE,336E653E
3,1500.0,39,4393D90C,3C963854,3C9E26B4,462C1458,4637B397,BE08A20F,386B3177,3370D67E
3,1500.0,40,43945145,3C9CA8F0,3CA4AB94,46156211,46207519,BDF0DDD3,386D774A,33732A47
3,1500.0,41,4394C375,3CA2C125,3CAB0DBC,45FF94A2,460A4F09,BDD0FEE4,386F9FE7,33756028
3,1500.0,42,43952F75,3CA8AFE1,3CB143C6,45D6A57A,45EA8B2F,BDB1D969,3871AA96,33777762
3,1500.0,43,4395950A,3CAE6AB5,3CB742E8,45B008C7,45C2BFC5,BD93A473,38739634,33796ECD
3,1500.0,44,4395F3DB,3CB3E52E,3CBCFE27,458BDA08,459D51CA,BD6D3AE4,38756110,337B44AB
3,1500.0,45,43964B61,3CB90F7B,3CC26502,455484C8,4574C48E,BD361893,387708A3,337CF669
3,1500.0,46,43969ACD,3CBDD48F,3CC76193,4517010F,45344503,BD029548,38788906,337E8006
3,1500.0,47,4396E0CC,3CC215AE,3CCBD3D3,44BFE5AF,44F37A35,BCA74D24,3879DBC3,337FDAE4
3,1500.0,48,43971AC5,3CC59BD5,3CCF8265,44432FC8,448C5129,BC2B5A4F,387AF457,33807D1A
3,1500.0,49,43974000,3CC7B8C5,3CD1B73F,435B7A80,43DB7A80,BB41B38B,387BA882,3380D959
4,1500.0,1,4346CCCC,37003AF3,374B2013,483B1480,4846DFE3,80000000,80000000,80000000
4,1500.0,2,4346CCCC,36B5295E,370F7CB3,482713B7,482F491E,80000000,80000000,80000000
4,1500.0,3,434BC200,3710B934,376F88B6,48186BD9,481EDE52,BC0E1869,B63FF348,B1448E9F
4,1500.0,4,435318A2,37A0A09B,380E66E8,480C90F5,4811F960,BD100FFE,B6EE08D6,B1F3BF52
4,1500.0,5,43597050,38176B46,388EDA1B,48027C00,4807288A,BD90AAF5,B7346847,B238BCB3
4,1500.0,6,435F0946,387F0AC3,38FE89F5,47F35EF3,47FB9EEE,BDD9E9EE,B76A9621,B270376D
4,1500.0,7,43640D92,38C5E2E2,394FDBB2,47E3BA18,47EB1EF8,BE1089FC,B78D928B,B290F85D
4,1500.0,8,43689A54,3910504B,399ED602,47D5A088,47DC5536,BE32359D,B7A3977A,B2A78495
4,1500.0,9,436CC49A,3948907E,39E66C52,47C8C850,47CEEBD8,BE516A56,B7B7BFC9,B2BC28BD
4,1500.0,10,43709C27,3998730A,3A2047C4,47BCFB29,47C2A4C7,BE6DD132,B7CA57C1,B2CF32F3
4,1500.0,11,43742D17,39E3B8AB,3A57740D,47B21002,47B7518C,BE839D82,B7DB9A01,B2E0DF3D
4,1500.0,12,437780F2,3A218462,3A8CB9F4,47A7E6F3,47ACCE76,BE8ECA1B,B7EBB49F,B2F15CCC
4,1500.0,13,437A9F57,3A5C0F26,3AB376D0,479E66B8,47A2FF6F,BE986E1E,B7FACC84,B30068B6
4,1500.0,14,437D8E7C,3A911D36,3AE12900,47957AEA,4799CE00,BEA09019,B8047FDF,B307ADF3
4,1500.0,15,438029C0,3ABA522B,3B0B4119,478D12D7,479127D5,BEA73B6B,B80B338B,B30E8ACC
4,1500.0,16,43817956,3AE9E66B,3B29B047,478520A3,4788FDDA,BEAC7EC0,B8118BA4,B31509DF
4,1500.0,17,4382B7CE,3B100598,3B4BAA60,477B315C,4781436C,BEB06B04,B81790E2,B31B341B
4,1500.0,18,4383E6B0,3B2E71C1,3B70D25C,476CE23D,4773DBDD,BEB3129E,B81D4AB5,B321111C
4,1500.0,19,4385074E,3B5042BB,3B8C545B,475F4315,4765E89C,BEB488C3,B822BF80,B326A76C
4,1500.0,20,43861ACB,3B757D31,3BA14731,4752456C,47589D90,BEB4E123,B827F4C2,B32BFCAE
4,1500.0,21,43872226,3B8F1026,3BB6E49C,4745DCB1,474BED48,BEB42F7E,B82CEF48,B33115CB
4,1500.0,22,43881E3B,3BA51292,3BCCC38F,4739FDFA,473FCC1B,BEB28770,B831B340,B335F70A
4,1500.0,23,43890FCC,3BBCBFDB,3BE2A006,472E9FB9,47342FDA,BEAFFC4A,B8364453,B33AA42B
4,1500.0,24,4389F783,3BD60F6A,3BF92FD1,4723B985,47290F97,BEACA0F1,B83AA5BD,B33F2080
4,1500.0,25,438AD5F6,3BEE9979,3C084458,47194407,471E6373,BEA889B5,B83EDA4A,B3436EE3
4,1500.0,26,438BABA6,3C02F4C2,3C144D51,470F38D0,4714249A,BEA3C8AF,B842E474,B34791DF
4,1500.0,27,438C790A,3C0F0BC9,3C20AAF4,47059229,470A4D06,BE9E6D45,B846C675,B34B8BBB
4,1500.0,28,438D3E89,3C1B8A25,3C2D54EF,46F895EC,4700D74C,BE9887FA,B84A8244,B34F5E7A
4,1500.0,29,438DFC81,3C2867E1,3C3A42FB,46E6BD5B,46EF7D40,BE9228B0,B84E19A1,B3530BE8
4,1500.0,30,438EB342,3C359C4B,3C476C43,46D592A5,46DDFD77,BE8B5EAA,B8518E15,B3569596
4,1500.0,31,438F6314,3C431E56,3C54C7D8,46C50EC0,46CD27D2,BE843893,B854E0FB,B359FCE8
4,1500.0,32,43900C35,3C50E451,3C624C6C,46B52B82,46BCF5AD,BE798908,B858137E,B35D4310
4,1500.0,33,4390AEDA,3C5EE3EC,3C6FF046,46A5E396,46AD6155,BE6A2023,B85B26A1,B3606917
4,1500.0,34,43914B32,3C6D1271,3C7DA98B,46973274,469E65D9,BE5A50AA,B85E1B41,B3636FE0
4,1500.0,35,4391E160,3C7B640A,3C85B6B6,46891451,468FFF10,BE4A33FF,B860F20F,B3665820
4,1500.0,36,43927182,3C84E62E,3C8C9874,46770C3C,46822992,BE39E2C1,B863AB9A,B3692269
4,1500.0,37,4392FBAC,3C8C1EFE,3C93740B,465D0B21,4669C554,BE297512,B8664845,B36BCF20
4,1500.0,38,43937FEB,3C93554E,3C9A433F,46442257,465050EE,BE1902B2,B868C849,B36E5E80
4,1500.0,39,4393FE40,3C9A8123,3CA0FF1A,462C509A,4637F3BF,BE08A34E,B86B2BAF,B370D092
