case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,plu,pmfu,pmfub_s,pqsen,pap,paph,pgeoh,pgeo,klab
1,1500.0,1,43458000,36D299B5,00000000,43458000,36D299B5,00000000,00000000,3C0987C2,3724F7BD,45C56DA0,459C4000,4845E594,483A2DF1,0
1,1500.0,2,4351556F,383E86F7,384D71AF,4351556F,383E86F7,00000000,00000000,3C0987C2,36E910C8,460BBE28,45EE9B40,482E764D,48264EA5,0
1,1500.0,3,434DC570,37A140AC,37B653CD,434DC570,37A140AC,00000000,00000000,3C0987C2,375289AB,46347860,46202EB0,481E26FE,4817BB69,0
1,1500.0,4,4351677C,37CD7805,37F6A4E0,4351677C,37CD7805,00000000,00000000,3C0987C2,37FB8978,465CE468,4648C210,48114FD4,480BED31,0
1,1500.0,5,4357A020,383CCCBE,3873085A,4357A020,383CCCBE,00000000,00000000,3C0987C2,387D5057,46828094,467106C0,48068A8D,4801E303,0
1,1500.0,6,435D2805,389BF9A4,38D6E5D1,435D2805,389BF9A4,00000000,00000000,3C0987C2,38E26968,469666B6,468C7DC8,47FA76F3,47F23FCC,0
1,1500.0,7,43622031,38EDC5E4,392ED72C,43622031,38EDC5E4,00000000,00000000,3C0987C2,393965ED,46AA2402,46A04FA4,47EA08A3,47E2ABAD,0
1,1500.0,8,4366A25C,392A5350,39854DDB,4366A25C,392A5350,00000000,00000000,3C0987C2,398E02AB,46BDB7DA,46B3F860,47DB4EB6,47D4A134,0
1,1500.0,9,436AC257,39686766,39C10D52,436AC257,39686766,00000000,00000000,3C0987C2,39CE71E2,46D1219A,46C77754,47CDF3B3,47C7D6BF,0
1,1500.0,10,436E8FA8,39987F8A,3A0616BC,436E8FA8,39987F8A,00000000,00000000,3C0987C2,3A0FDE11,46E46098,46DACBE0,47C1B9CB,47BC1641,0
1,1500.0,11,4372168E,39D2B3F2,3A340573,4372168E,39D2B3F2,00000000,00000000,3C0987C2,3A41B620,46F7741C,46EDF550,47B672B8,47B136D5,0
1,1500.0,12,437560CC,3A0F8044,3A6AEE8C,437560CC,3A0F8044,00000000,00000000,3C0987C2,3A7D6DB0,47052DB5,47007974,47ABFAF1,47A718BA,0
1,1500.0,13,43787648,3A3DF624,3A95AEB6,43787648,3A3DF624,00000000,00000000,3C0987C2,3AA1CC3B,470E8AE0,4709E1F6,47A23682,479DA2C5,0
1,1500.0,14,437B5D0B,3A75904C,3ABAFE46,437B5D0B,3A75904C,00000000,00000000,3C0987C2,3ACACEB1,4717D12A,471333CA,47990F09,4794C0AA,0
1,1500.0,15,437E18BC,3A9BD159,3AE67212,437E18BC,3A9BD159,00000000,00000000,3C0987C2,3AFADB82,47210026,471C6E89,4790724B,478C61C7,0
1,1500.0,16,4380586F,3AC1C7FE,3B0C4A58,4380586F,3AC1C7FE,00000000,00000000,3C0987C2,3B18F973,472A1768,472591C4,47885143,47847850,0
1,1500.0,17,438194AA,3AECD722,3B28AD50,438194AA,3AECD722,00000000,00000000,3C0987C2,3B37E4FD,47331678,472E9D0C,47809F5D,4779F167,0
1,1500.0,18,4382C28B,3B0E94D6,3B483CC0,4382C28B,3B0E94D6,00000000,00000000,3C0987C2,3B59E96B,473BFCDA,47378FE4,4772A412,476BB247,0
1,1500.0,19,4383E34E,3B2971DE,3B6AB49D,4383E34E,3B2971DE,00000000,00000000,3C0987C2,3B7EA05E,4744CA0D,474069D0,4764C07B,475E227E,0
1,1500.0,20,4384F7F8,3B470FF4,3B87D92A,4384F7F8,3B470FF4,00000000,00000000,3C0987C2,3B92C35A,474D7D88,47492A4A,47578483,475133A6,0
1,1500.0,21,43860164,3B677702,3B9B5B4A,43860164,3B677702,00000000,00000000,3C0987C2,3BA6FFE5,475616BC,4751D0C6,474AE2C7,4744D93A,0
1,1500.0,22,43870053,3B855477,3BAF93D0,43870053,3B855477,00000000,00000000,3C0987C2,3BBBAC9D,475E9510,475A5CB1,473ECFAD,4739085E,0
1,1500.0,23,4387F570,3B985105,3BC42A82,4387F570,3B985105,00000000,00000000,3C0987C2,3BD0670A,4766F7E1,4762CD6E,4733410F,472DB78E,0
1,1500.0,24,4388E07C,3BACA22B,3BD8B347,4388E07C,3BACA22B,00000000,00000000,3C0987C2,3BE54C34,476F3E84,476B2254,47282E0C,4722DE6B,0
1,1500.0,25,4389C065,3BC27CAB,3BED86F4,4389C065,3BC27CAB,00000000,00000000,3C0987C2,3BFAEC7D,47776842,47735AB4,471D8ECB,471875A4,0
1,1500.0,26,438A97AB,3BD7C3EA,3C0188A7,438A97AB,3BD7C3EA,00000000,00000000,3C0987C2,3C089D80,477F7458,477B75D0,47135C7E,470E76CA,0
1,1500.0,27,438B66C5,3BECA3BE,3C0CA2B5,438B66C5,3BECA3BE,00000000,00000000,3C0987C2,3C141482,4783B0FB,4781B970,47099116,4704DC21,0
1,1500.0,28,438C2E17,3C012B6C,3C180A9E,438C2E17,3C012B6C,00000000,00000000,3C0987C2,3C1FD375,4787981E,4785A886,4700272C,46F74124,0
1,1500.0,29,438CEDFC,3C0C67EE,3C23B8CD,438CEDFC,3C0C67EE,00000000,00000000,3C0987C2,3C2BD2A6,478B6F1C,478987B5,46EE33F1,46E57F32,0
1,1500.0,30,438DA6C1,3C18008F,3C2FA5DC,438DA6C1,3C18008F,00000000,00000000,3C0987C2,3C3809DC,478F3572,478D5682,46DCCA74,46D46A76,0
1,1500.0,31,438E58AB,3C23ED6A,3C3BC992,438E58AB,3C23ED6A,00000000,00000000,3C0987C2,3C4470A7,4792EA95,47911463,46CC0A79,46C3FBED,0
1,1500.0,32,438F03F8,3C30267C,3C481BD7,438F03F8,3C30267C,00000000,00000000,3C0987C2,3C50FE74,47968DEA,4794C0C7,46BBED62,46B42D6F,0
1,1500.0,33,438FA8DD,3C3CA2D9,3C549403,438FA8DD,3C3CA2D9,00000000,00000000,3C0987C2,3C5DAA30,479A1ECA,47985B0D,46AC6D7C,46A4F9AC,0
1,1500.0,34,43904787,3C495930,3C612934,43904787,3C495930,00000000,00000000,3C0987C2,3C6A6A6F,479D9C7B,479BE286,469D85DC,46965C1B,0
1,1500.0,35,4390E01B,3C563F5F,3C6DD204,4390E01B,3C563F5F,00000000,00000000,3C0987C2,3C77354C,47A10632,479F5670,468F325A,468850F4,0
