case,dx,k,puen,pven,pten,pqen,pqte,pverv,puu,pvu,pmfus,pmfuq,pmful,plude
1,1500.0,1,4225AFFB,00000000,43458000,36D299B5,00000000,80000000,4225AFFB,00000000,00000000,00000000,00000000,00000000
1,1500.0,2,42181152,00000000,43458000,3694C443,00000000,80000000,4225AFFB,00000000,00000000,00000000,00000000,00000000
1,1500.0,3,420D5852,00000000,434AE83E,37002FF6,308EEA3E,BC1B8399,42181152,00000000,00000000,00000000,00000000,00000000
1,1500.0,4,420459D0,00000000,43523707,378F1240,3128081C,BD17C652,420D5852,00000000,00000000,00000000,00000000,00000000
1,1500.0,5,41F92792,00000000,435887ED,380777FD,317B7FE3,BD94CBE3,420459D0,00000000,00000000,00000000,00000000,00000000
1,1500.0,6,41EB6F06,00000000,435E1AE6,386501E8,31A294DD,BDDE255B,41F92792,00000000,00000000,00000000,00000000,00000000
1,1500.0,7,41DF22E2,00000000,436319D4,38B23B0F,31C39797,BE12A492,41EB6F06,00000000,00000000,00000000,00000000,00000000
1,1500.0,8,41D3FBC8,00000000,4367A1B7,39025218,31E187AF,BE3440EF,41DF22E2,00000000,00000000,00000000,00000000,00000000
1,1500.0,9,41C9C61A,00000000,436BC786,393587E9,31FCEFBA,BE535D9D,41D3FBC8,00000000,00000000,00000000,00000000,00000000
1,1500.0,10,41C05B35,00000000,436F9AF3,398A652E,320B1BB8,BE6FA665,41C9C61A,00000000,00000000,00000000,00000000,00000000
1,1500.0,11,41B79D6A,00000000,4373280D,39CC8FAF,3216D73B,BE847732,41C05B35,00000000,00000000,00000000,00000000,00000000
1,1500.0,12,41AF7563,00000000,43767850,3A100668,3221C9BC,BE8F91CB,41B79D6A,00000000,00000000,00000000,00000000,00000000
1,1500.0,13,41A7D06E,00000000,43799354,3A432C36,322C0C50,BE99235F,41AF7563,00000000,00000000,00000000,00000000,00000000
1,1500.0,14,41A09F54,00000000,437C7F46,3A802DF8,3235B367,BEA13304,41A7D06E,00000000,00000000,00000000,00000000,00000000
1,1500.0,15,4199D586,00000000,437F4142,3AA40ED0,323ECFD7,BEA7CC73,41A09F54,00000000,00000000,00000000,00000000,00000000
1,1500.0,16,41936888,00000000,4380EEC4,3ACD6F68,32476FB6,BEACFEB2,4199D586,00000000,00000000,00000000,00000000,00000000
1,1500.0,17,418D4F84,00000000,43822BD9,3AFC7A27,324F9EDF,BEB0DADB,41936888,00000000,00000000,00000000,00000000,00000000
1,1500.0,18,418782F1,00000000,43835967,3B18A6AC,32576770,BEB3737C,418D4F84,00000000,00000000,00000000,00000000,00000000
1,1500.0,19,4181FC5A,00000000,438478BE,3B35FDFE,325ED210,BEB4DBEE,418782F1,00000000,00000000,00000000,00000000,00000000
1,1500.0,20,41796C52,00000000,43858B00,3B564722,3265E642,BEB527E5,4181FC5A,00000000,00000000,00000000,00000000,00000000
1,1500.0,21,416F570C,00000000,43869129,3B798118,326CAA86,BEB46B2E,41796C52,00000000,00000000,00000000,00000000,00000000
1,1500.0,22,4165B068,00000000,43878C16,3B8FD320,3273248A,BEB2B962,416F570C,00000000,00000000,00000000,00000000,00000000
1,1500.0,23,415C70FB,00000000,43887C86,3BA455EE,3279594A,BEB025CF,4165B068,00000000,00000000,00000000,00000000,00000000
1,1500.0,24,4153923A,00000000,43896326,3BBA41EB,327F4D2D,BEACC345,415C70FB,00000000,00000000,00000000,00000000,00000000
1,1500.0,25,414B0E74,00000000,438A4088,3BCF9F19,328281FF,BEA8A5B0,4153923A,00000000,00000000,00000000,00000000,00000000
1,1500.0,26,4142E09A,00000000,438B1530,3BE49954,32854094,BEA3DE93,414B0E74,00000000,00000000,00000000,00000000,00000000
1,1500.0,27,413B042A,00000000,438BE194,3BFA6A9F,3287E3D7,BE9E7DF4,4142E09A,00000000,00000000,00000000,00000000,00000000
1,1500.0,28,41337525,00000000,438CA61A,3C088296,328A6D20,BE98944A,413B042A,00000000,00000000,00000000,00000000,00000000
1,1500.0,29,412C3000,00000000,438D6320,3C142D59,328CDD9E,BE92315E,41337525,00000000,00000000,00000000,00000000,00000000
1,1500.0,30,412531A0,00000000,438E18F6,3C202DB4,328F365E,BE8B6462,412C3000,00000000,00000000,00000000,00000000,00000000
1,1500.0,31,411E7743,00000000,438EC7E3,3C2C7B4C,3291784D,BE843BEF,412531A0,00000000,00000000,00000000,00000000,00000000
1,1500.0,32,4117FE88,00000000,438F7026,3C390D4A,3293A434,BE798C12,411E7743,00000000,00000000,00000000,00000000,00000000
1,1500.0,33,4111C562,00000000,439011F4,3C45DA2C,3295BAC7,BE6A2066,4117FE88,00000000,00000000,00000000,00000000,00000000
1,1500.0,34,410BCA14,00000000,4390AD7A,3C52D7CA,3297BC99,BE5A4EEF,4111C562,00000000,00000000,00000000,00000000,00000000
1,1500.0,35,41060B31,00000000,439142DD,3C5FFB4B,3299AA25,BE4A30E9,410BCA14,00000000,00000000,00000000,00000000,00000000
1,1500.0,36,41008798,00000000,4391D23B,3C6D3922,329B83CC,BE39DEDA,41060B31,00000000,00000000,00000000,00000000,00000000
1,1500.0,37,40F67D01,00000000,43925BA7,3C7A84A1,329D49D2,BE2970C7,41008798,00000000,00000000,00000000,00000000,00000000
1,1500.0,38,40EC5EE6,00000000,4392DF2E,3C83E823,329EFC5F,BE18FE59,40F67D01,00000000,00000000,00000000,00000000,00000000
1,1500.0,39,40E2B4BA,00000000,43935CD3,3C8A86A6,32A09B78,BE089F22,40EC5EE6,00000000,00000000,00000000,00000000,00000000
1,1500.0,40,40D97F3F,00000000,4393D48A,3C9083DF,32A226FC,BDF0D8B4,40E2B4BA,00000000,00000000,00000000,00000000,00000000
1,1500.0,41,40D0C030,00000000,4394463E,3C9628FD,32A39EA3,BDD0FAAA,40D97F3F,00000000,00000000,00000000,00000000,00000000
1,1500.0,42,40C87A81,00000000,4394B1C7,3C9BA7BE,32A501ED,BDB1D619,40D0C030,00000000,00000000,00000000,00000000,00000000
1,1500.0,43,40C0B2BE,00000000,439516EC,3CA0F6A3,32A65017,BD93A207,40C87A81,00000000,00000000,00000000,00000000,00000000
1,1500.0,44,40B96FC3,00000000,43957553,3CA609F3,32A787F9,BD6D379F,40C0B2BE,00000000,00000000,00000000,00000000,00000000
1,1500.0,45,40B2BBCA,00000000,4395CC77,3CAAD321,32A8A7DE,BD36169C,40B96FC3,00000000,00000000,00000000,00000000,00000000
1,1500.0,46,40ACA69F,00000000,43961B8A,3CAF3EA8,32A9AD1D,BD029446,40B2BBCA,00000000,00000000,00000000,00000000,00000000
1,1500.0,47,40A74A69,00000000,43966139,3CB32FE1,32AA9355,BCA74C5C,40ACA69F,00000000,00000000,00000000,00000000,00000000
1,1500.0,48,40A2D9D6,00000000,43969AF0,3CB67400,32AB5205,BC2B5A02,40A74A69,00000000,00000000,00000000,00000000,00000000
1,1500.0,49,40A00000,00000000,4396C000,3CB8697E,32ABCC77,BB41B38D,40A2D9D6,00000000,00000000,00000000,00000000,00000000
2,1500.0,1,41CA7C65,00000000,43468000,36F520CD,00000000,80000000,41CA7C65,00000000,00000000,00000000,00000000,00000000
2,1500.0,2,41C502AB,00000000,43468000,36AD2812,00000000,80000000,41CA7C65,00000000,00000000,00000000,00000000,00000000
2,1500.0,3,41C0B51F,00000000,434B9019,370CC500,3085D09A,BC1138DF,41C502AB,00000000,00000000,00000000,00000000,00000000
2,1500.0,4,41BD1924,00000000,4352E4EE,379C702D,3123CB36,BD11DC37,41C0B51F,00000000,00000000,00000000,00000000,00000000
