case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,plude,pdmfup,plglac,pmfude_rate,ptenh_out,pqenh_out,klab
1,1500.0,1,43458000,36D299B5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43458000,36D299B5,0
1,1500.0,2,4351556F,383E86F7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,4351556F,383E86F7,0
1,1500.0,3,433B4F91,358F7220,3A014DFD,3C205F18,45562E64,3233B93A,36A2018C,361F0A4B,365BFADA,00000000,3B3D0B10,4348341F,36CA9218,2
1,1500.0,4,434861C5,37002B92,3A575ECC,3C4FA1DC,458AA470,33CFE889,372EADD3,35A42C6A,36BCAD92,00000000,3A813288,434E8FA2,374F2A3B,2
1,1500.0,5,43534AE3,380625E1,3AA2A6E6,3C5FC82D,45956577,34EA87C8,378E2E91,34DDD92B,36FE8840,00000000,397A0D40,43555F7A,37CF011D,2
1,1500.0,6,435C9A1E,38C8348C,3AE3202B,3C63B05E,4597ED13,35B21086,37CA0200,2E1A8EF1,371A1252,00000000,328551B5,435B516A,38363CF2,2
1,1500.0,7,43649C24,396BC1E0,3B14644D,3C63B060,4597C417,3651AF57,3803FB2D,2F225001,372F3DBE,00000000,3362A648,43622031,38EDC5E4,2
1,1500.0,8,436B7F03,39E86DA5,3B3754DE,3C63B066,45977EE3,36CEB961,38230E94,300BAB10,373FCAB1,00000000,34253E0B,4366A25C,392A5350,2
1,1500.0,9,4371667C,3A47ABCF,3B586128,3C63B07A,45971A12,373196FE,38407350,30CD0BE2,374B8574,00000000,34D4F8B5,436AC257,39686766,2
1,1500.0,10,43767552,3A9A1357,3B767946,3C63B0B5,45969722,37890980,385B37AB,316B7A23,37532EE7,366748A4,355C209A,436E8FA8,39987F8A,2
1,1500.0,11,437AD210,3ADA1418,3B88ECF4,3C63B113,4595FC97,37C1F6A9,387391A5,31F04CA1,3754C1D8,392A0DCC,35CE919D,4372168E,39D2B3F2,2
1,1500.0,12,437E8C0E,3B10EEBC,3B94E6AC,3C63B182,4595492F,3800E82F,38846FCA,3260DC24,37446661,39BAAF92,363701DA,437560CC,3A0F8044,2
1,1500.0,13,4380DE78,3B377A8B,3B9D45DA,3C63B1DC,459481C9,38233123,388BE235,32C4F3D4,37308F22,3A00C0FA,369B6C8E,43787648,3A3DF624,2
1,1500.0,14,438242CE,3B5F6986,3BA2336C,3C63B1CD,4593AF8F,3846B5BD,38904440,3324D6AE,371A7BF2,3A186F3D,3700C7B8,437B5D0B,3A75904C,2
1,1500.0,15,43837F84,3B83ECB2,3BA3D70A,3C63B0BC,4592D8F5,386AABEB,3891B8CA,33856287,370DB397,3A28A4FA,375069F3,437E18BC,3A9BD159,2
1,1500.0,16,43849DD0,3B9817A7,3BA3D70A,3C63ADC2,4592021D,38874434,3891B6E2,33D170CB,370AC6C0,3A353668,37A3A01F,4380586F,3AC1C7FE,2
1,1500.0,17,4385A45F,3BAC03F5,3BA3D70A,3C63A776,45912D2B,3898F808,3891B2DB,341EC3B4,3706770C,3A3FA5E8,37F811C9,438194AA,3AECD722,2
1,1500.0,18,43869834,3BBF940E,3BA3D70A,3C639BB8,45905AD6,38AA54D1,3891AB57,3467AD02,37019DDA,3A4837CC,3834FF2A,4382C28B,3B0E94D6,2
1,1500.0,19,43877C68,3BD2CD7D,3BA3D70A,3C63877E,458F89F4,38BB5BC8,38919E65,34A25F49,3703D03D,3A461B18,387DB4E2,4383E34E,3B2971DE,2
1,1500.0,20,43884A11,3BE6CB07,3BA3D70A,3C63669C,458EB03A,38CD0289,38918959,34DA597D,370306D0,39983DD7,38AA95EA,4384F7F8,3B470FF4,2
1,1500.0,21,43891B93,3BFB3F6E,3BA3D70A,3C6333A0,458DDFE4,38DEFBE9,389168B8,350541C9,36843A9B,00000000,38DBD917,43860164,3B677702,2
1,1500.0,22,4389EEF1,3C07EA8E,3B9B2B7C,3C62E7D6,458D11DE,38F0F04F,388988E9,3518E3BE,3638C015,00000000,3907A024,43870053,3B855477,2
1,1500.0,23,438AB712,3C12344D,3B904B1C,3C627B95,458C3510,390158C0,387F4FEE,35286C00,3632381C,00000000,392110ED,4387F570,3B985105,2
1,1500.0,24,438B74C8,3C1C73DF,3B85D87D,3C61E5E2,458B43E5,390A0E55,386C36ED,3534AB78,362BE3E4,00000000,393AC082,4388E07C,3BACA22B,2
1,1500.0,25,438C291E,3C26A83B,3B77A99B,3C611C8E,458A3871,39128C73,3859C7B1,35438BEA,3625A1ED,00000000,395AFB2E,4389C065,3BC27CAB,2
1,1500.0,26,438CD549,3C30D89B,3B649A8F,3C601AB4,45891055,391ACFFA,38481F16,35544BFC,361F6764,00000000,3981082F,438A97AB,3BD7C3EA,2
1,1500.0,27,438D7A5C,3C3B0DB9,3B529952,3C5EDAAF,4587C8B9,3922D5B0,383754DC,35631DFB,36193948,00000000,39961E9A,438B66C5,3BECA3BE,2
1,1500.0,28,438E1908,3C454AC3,3B41A6FC,3C5D53D3,45865CB5,392A9224,38276C90,356F932F,36130E6A,00000000,39AC85D5,438C2E17,3C012B6C,2
1,1500.0,29,438EB1DD,3C4F920C,3B31BF82,3C5B7D9B,4584C772,3931F7C8,3818660A,35794CC3,360CE04E,00000000,39C3F13A,438CEDFC,3C0C67EE,2
1,1500.0,30,438F454D,3C59E489,3B22DB24,3C595001,45830469,3938F6D0,380A3EA7,357FFC00,3606AA2B,00000000,39DC0159,438DA6C1,3C18008F,2
