case,dx,k,ptenh,pqenh,pgeo,pgeoh,paph,pmfu,ptd,pqd,pmfd,pmfds,pmfdq,pdmfdp
1,1500.0,1,43458000,36D299B5,483A2DF1,4845E594,459C4000,00000000,43458000,36D299B5,00000000,00000000,00000000,00000000
1,1500.0,2,4351556F,383E86F7,48264EA5,482E764D,45EE9B40,00000000,4351556F,383E86F7,00000000,00000000,00000000,00000000
1,1500.0,3,4348341F,36CA9218,4817BB69,481E26FE,46202EB0,3C205F18,434DC570,37A140AC,00000000,00000000,00000000,00000000
1,1500.0,4,434E8FA2,374F2A3B,480BED31,48114FD4,4648C210,3C4FA1DC,4351677C,37CD7805,00000000,00000000,00000000,00000000
1,1500.0,5,43555F7A,37CF011D,4801E303,48068A8D,467106C0,3C5FC82D,4357A020,383CCCBE,00000000,00000000,00000000,00000000
1,1500.0,6,435B516A,38363CF2,47F23FCC,47FA76F3,468C7DC8,3C63B05E,435D2805,389BF9A4,00000000,00000000,00000000,00000000
1,1500.0,7,43622031,38EDC5E4,47E2ABAD,47EA08A3,46A04FA4,3C63B060,43622031,38EDC5E4,00000000,00000000,00000000,00000000
1,1500.0,8,4366A25C,392A5350,47D4A134,47DB4EB6,46B3F860,3C63B066,4366A25C,392A5350,00000000,00000000,00000000,00000000
1,1500.0,9,436AC257,39686766,47C7D6BF,47CDF3B3,46C77754,3C63B07A,436AC257,39686766,00000000,00000000,00000000,00000000
1,1500.0,10,436E8FA8,39987F8A,47BC1641,47C1B9CB,46DACBE0,3C63B0B5,436E8FA8,39987F8A,00000000,00000000,00000000,00000000
1,1500.0,11,4372168E,39D2B3F2,47B136D5,47B672B8,46EDF550,3C63B113,4372168E,39D2B3F2,00000000,00000000,00000000,00000000
1,1500.0,12,437560CC,3A0F8044,47A718BA,47ABFAF1,47007974,3C63B182,437560CC,3A0F8044,00000000,00000000,00000000,00000000
1,1500.0,13,43787648,3A3DF624,479DA2C5,47A23682,4709E1F6,3C63B1DC,43787648,3A3DF624,00000000,00000000,00000000,00000000
1,1500.0,14,437B5D0B,3A75904C,4794C0AA,47990F09,471333CA,3C63B1CD,437B5D0B,3A75904C,00000000,00000000,00000000,00000000
1,1500.0,15,437E18BC,3A9BD159,478C61C7,4790724B,471C6E89,3C63B0BC,437E18BC,3A9BD159,00000000,00000000,00000000,00000000
1,1500.0,16,4380586F,3AC1C7FE,47847850,47885143,472591C4,3C63ADC2,4380586F,3AC1C7FE,00000000,00000000,00000000,00000000
1,1500.0,17,438194AA,3AECD722,4779F167,47809F5D,472E9D0C,3C63A776,438194AA,3AECD722,00000000,00000000,00000000,00000000
1,1500.0,18,4382C28B,3B0E94D6,476BB247,4772A412,47378FE4,3C639BB8,4382C28B,3B0E94D6,00000000,00000000,00000000,00000000
1,1500.0,19,4383E34E,3B2971DE,475E227E,4764C07B,474069D0,3C63877E,4383E34E,3B2971DE,00000000,00000000,00000000,00000000
1,1500.0,20,4384F7F8,3B470FF4,475133A6,47578483,47492A4A,3C63669C,4384F7F8,3B470FF4,00000000,00000000,00000000,00000000
1,1500.0,21,43860164,3B677702,4744D93A,474AE2C7,4751D0C6,3C6333A0,43860164,3B677702,00000000,00000000,00000000,00000000
1,1500.0,22,43870053,3B855477,4739085E,473ECFAD,475A5CB1,3C62E7D6,43870053,3B855477,00000000,00000000,00000000,00000000
1,1500.0,23,4387F570,3B985105,472DB78E,4733410F,4762CD6E,3C627B95,4387F570,3B985105,00000000,00000000,00000000,00000000
1,1500.0,24,4388E07C,3BACA22B,4722DE6B,47282E0C,476B2254,3C61E5E2,4388E07C,3BACA22B,00000000,00000000,00000000,00000000
1,1500.0,25,4389C065,3BC27CAB,471875A4,471D8ECB,47735AB4,3C611C8E,4389C065,3BC27CAB,00000000,00000000,00000000,00000000
1,1500.0,26,438A97AB,3BD7C3EA,470E76CA,47135C7E,477B75D0,3C601AB4,438A97AB,3BD7C3EA,00000000,00000000,00000000,00000000
1,1500.0,27,438B66C5,3BECA3BE,4704DC21,47099116,4781B970,3C5EDAAF,438B66C5,3BECA3BE,00000000,00000000,00000000,00000000
1,1500.0,28,438C2E17,3C012B6C,46F74124,4700272C,4785A886,3C5D53D3,438C2E17,3C012B6C,00000000,00000000,00000000,00000000
1,1500.0,29,438CEDFC,3C0C67EE,46E57F32,46EE33F1,478987B5,3C5B7D9B,438CEDFC,3C0C67EE,00000000,00000000,00000000,00000000
1,1500.0,30,438DA6C1,3C18008F,46D46A76,46DCCA74,478D5682,3C595001,438DA6C1,3C18008F,00000000,00000000,00000000,00000000
1,1500.0,31,438E58AB,3C23ED6A,46C3FBED,46CC0A79,47911463,3C56C3DD,438E58AB,3C23ED6A,00000000,00000000,00000000,00000000
1,1500.0,32,438F03F8,3C30267C,46B42D6F,46BBED62,4794C0C7,3C53D33C,438F03F8,3C30267C,00000000,00000000,00000000,00000000
1,1500.0,33,438FA8DD,3C3CA2D9,46A4F9AC,46AC6D7C,47985B0D,3C5079CC,438FA8DD,3C3CA2D9,00000000,00000000,00000000,00000000
1,1500.0,34,43904787,3C495930,46965C1B,469D85DC,479BE286,3C4CB538,43904787,3C495930,00000000,00000000,00000000,00000000
1,1500.0,35,4390E01B,3C563F5F,468850F4,468F325A,479F5670,3C48857A,4390E01B,3C563F5F,00000000,00000000,00000000,00000000
1,1500.0,36,439172BC,3C634A93,4675AA4E,46816F8D,47A2B5F3,3C43ED22,439172BC,3C634A93,00000000,00000000,00000000,00000000
1,1500.0,37,4391FF7C,3C706F3E,465BCCD2,46687581,47A60021,3C3EF186,4391FF7C,3C706F3E,00000000,00000000,00000000,00000000
1,1500.0,38,4392866D,3C7DA0AF,46430674,464F2422,47A933EB,3C399AE2,4392866D,3C7DA0AF,00000000,00000000,00000000,00000000
1,1500.0,39,43930794,3C8568A8,462B55EF,4636E8C8,47AC501F,3C33F455,43930794,3C8568A8,00000000,00000000,00000000,00000000
1,1500.0,40,439382F0,3C8BF911,4614BBFC,461FC317,47AF535C,3C2E0BD6,439382F0,3C8BF911,00000000,00000000,00000000,00000000
1,1500.0,41,4393F870,3C91E7A0,45FE772C,4609B4E1,47B23C0A,3C27F38F,4393F870,3C91E7A0,00000000,00000000,00000000,00000000
1,1500.0,42,439467F8,3C977D49,45D5B4B1,45E98497,47B50844,3C21BE8A,439467F8,3C977D49,00000000,00000000,00000000,B4E98A5D
1,1500.0,43,4394D15B,3C9CEBA9,45AF427D,45C1E4CB,47B7B5C4,3C1B814E,4394B13E,3CA5DFD6,BB250950,C43FF8AA,B855DE9B,00000000
1,1500.0,44,43953459,3CA2291B,458B3BE2,459CA02E,47BA41BE,3C15528D,43953459,3CA2291B,00000000,00000000,00000000,00000000
1,1500.0,45,4395908F,3CA72989,45539398,4573AF2C,47BCA8A3,3C0F4B59,4395908F,3CA72989,00000000,00000000,00000000,00000000
1,1500.0,46,4395E569,3CABDDD9,45165521,45337804,47BEE5BD,3C0987C2,4395E569,3CABDDD9,00000000,00000000,00000000,00000000
1,1500.0,47,43963206,3CB031B6,44BF0A94,44F2647A,47C0F26C,3C0987C2,43963206,3CB031B6,00000000,00000000,00000000,00000000
1,1500.0,48,43969592,3CB32FE1,44425071,448BB0AF,47C2C476,00000000,43969592,3CB32FE1,00000000,00000000,00000000,00000000
1,1500.0,49,4396A428,3CB8697E,435A7F09,43DA7F09,47C4491D,00000000,4396A428,3CB8697E,00000000,00000000,00000000,00000000
2,1500.0,1,43468000,36F520CD,483ADECD,4846A5A1,459C4000,00000000,43468000,36F520CD,00000000,00000000,00000000,00000000
2,1500.0,2,43526078,385C7CEA,4826E5C0,482F17FA,45EE9B40,00000000,43526078,385C7CEA,00000000,00000000,00000000,00000000
2,1500.0,3,4349080C,36E35909,481842A1,481EB386,46202EB0,3ECA253E,434ECE7D,37BB3D2C,00000000,00000000,00000000,00000000
2,1500.0,4,434F3A84,3762D2AD,480C6AA5,4811D1BD,4648C210,3EE0AF94,43521392,37E17BA4,00000000,00000000,00000000,00000000
2,1500.0,5,435850B1,384E563A,48025828,4807038C,467106C0,3EF63E57,435850B1,384E563A,00000000,00000000,00000000,00000000
2,1500.0,6,435DDC66,38A9D85F,47F31B92,47FB5988,468C7DC8,3F058F41,435DDC66,38A9D85F,00000000,00000000,00000000,00000000
2,1500.0,7,4362D7D2,3901093A,47E37A8C,47EADD9D,46A04FA4,3F0FBE24,4362D7D2,3901093A,00000000,00000000,00000000,00000000
2,1500.0,8,43675CD9,3938523A,47D56472,47DC177C,46B3F860,3F19B9AB,43675CD9,3938523A,00000000,00000000,00000000,00000000
2,1500.0,9,436B7F71,397AD47A,47C88F61,47CEB167,46C77754,3F238AF0,436B7F71,397AD47A,00000000,00000000,00000000,00000000
2,1500.0,10,436F4F31,39A43180,47BCC521,47C26D5A,46DACBE0,3F2D3817,436F4F31,39A43180,00000000,00000000,00000000,00000000
2,1500.0,11,4372D86B,39E217B0,47B1DCA9,47B71CE9,46EDF550,3F36498C,4372D86B,39E217B0,00000000,00000000,00000000,00000000
2,1500.0,12,437624F3,3A1A9460,47A7B61E,47AC9C6A,47007974,3F3EB0BF,437624F3,3A1A9460,00000000,00000000,00000000,00000000
2,1500.0,13,43793CBC,3A4D4C3F,479E383F,47A2CFD3,4709E1F6,3F468322,43793CBC,3A4D4C3F,00000000,00000000,00000000,00000000
2,1500.0,14,437C2513,3A853669,47954EAE,4799A0AD,471333CA,3F4DD13D,437C2513,3A853669,00000000,00000000,00000000,00000000
2,1500.0,15,437EE330,3AA9641D,478CE8B9,4790FCAE,471C6E89,3F54ABD1,437EE330,3AA9641D,00000000,00000000,00000000,00000000
2,1500.0,16,4380BEFF,3AD3018C,4784F88A,4788D4C4,472591C4,3F5B1F9C,4380BEFF,3AD3018C,00000000,00000000,00000000,00000000
2,1500.0,17,4381FC9B,3B0123DE,477AE506,47811C4F,472E9D0C,3F613182,4381FC9B,3B0123DE,00000000,00000000,00000000,00000000
2,1500.0,18,43832BE4,3B1BB403,476C99A0,4773916D,47378FE4,3F66DFB6,43832BE4,3B1BB403,00000000,00000000,00000000,00000000
2,1500.0,19,43844E0C,3B3945C8,475EFE0F,4765A1D2,474069D0,3F6C2338,43844E0C,3B3945C8,00000000,00000000,00000000,00000000
2,1500.0,20,43856416,3B59E7BA,475203DC,47585A4B,47492A4A,3F70F160,43856416,3B59E7BA,00000000,00000000,00000000,00000000
2,1500.0,21,43866EDC,3B7DA229,47459E7F,474BAD6D,4751D0C6,3F753DE1,43866EDC,3B7DA229,00000000,00000000,00000000,00000000
2,1500.0,22,43876F21,3B923B5C,4739C30D,473F8F91,475A5CB1,3F78FD31,43876F21,3B923B5C,00000000,00000000,00000000,00000000
2,1500.0,23,4388656D,3BA72BAD,472E67FB,4733F689,4762CD6E,3F7C26B7,4388656D,3BA72BAD,00000000,00000000,00000000,00000000
2,1500.0,24,4389504C,3BBDB098,472384E4,4728D96D,476B2254,3F7EB1B7,4389504C,3BBDB098,00000000,00000000,00000000,00000000
2,1500.0,25,438A311D,3BD5D78A,47191271,471E305B,47735AB4,3F804C55,438A311D,3BD5D78A,00000000,00000000,00000000,00000000
2,1500.0,26,438B094B,3BED5601,470F0A31,4713F485,477B75D0,3F80EB32,438B094B,3BED5601,00000000,00000000,00000000,00000000
2,1500.0,27,438BD945,3C01F5AA,4705666B,470A1FDD,4781B970,3F812F59,438BD945,3C01F5AA,00000000,00000000,00000000,00000000
2,1500.0,28,438CA172,3C0DAE42,46F84406,4700ACF9,4785A886,3F81128D,438CA172,3C0DAE42,00000000,00000000,00000000,00000000
2,1500.0,29,438D6227,3C19CD54,46E670E6,46EF2E1C,478987B5,3F808F5A,438D6227,3C19CD54,00000000,00000000,00000000,00000000
2,1500.0,30,438E1BB9,3C264BA8,46D54B78,46DDB3B0,478D5682,3F7F42E5,438E1BB9,3C264BA8,00000000,00000000,00000000,00000000
2,1500.0,31,438ECE68,3C332097,46C4CCB7,46CCE340,47911463,3F7C8C0A,438ECE68,3C332097,00000000,00000000,00000000,00000000
2,1500.0,32,438F7A76,3C4043C4,46B4EE75,46BCB62C,4794C0C7,3F78F819,438F7A76,3C4043C4,00000000,00000000,00000000,00000000
2,1500.0,33,43902013,3C4DAB61,46A5AB64,46AD26BF,47985B0D,3F748921,43902013,3C4DAB61,00000000,00000000,00000000,00000000
2,1500.0,34,4390BF71,3C5B4DA2,4696FEF6,469E3009,479BE286,3F6F45B1,4390BF71,3C5B4DA2,00000000,00000000,00000000,00000000
2,1500.0,35,439158B5,3C691FB8,4688E562,468FCDE3,479F5670,3F693908,439158B5,3C691FB8,00000000,00000000,00000000,00000000
2,1500.0,36,4391EBFC,3C77162E,4676B735,4681FCE2,47A2B5F3,3F627312,4391EBFC,3C77162E,00000000,00000000,00000000,00000000
2,1500.0,37,43927960,3C829266,465CBEA7,466974A6,47A60021,3F5B0839,43927960,3C829266,00000000,00000000,00000000,00000000
2,1500.0,38,439300EC,3C899F06,4643DE1F,465008A8,47A933EB,3F531103,439300EC,3C899F06,00000000,00000000,00000000,00000000
2,1500.0,39,439382AC,3C90A9DF,462C1457,4637B395,47AC501F,3F4AA97B,439382AC,3C90A9DF,00000000,00000000,00000000,00000000
2,1500.0,40,4393FE98,3C97AAE8,46156211,46207519,47AF535C,3F41F080,4393FE98,3C97AAE8,00000000,00000000,00000000,00000000
2,1500.0,41,439474A4,3C9E12A8,45FF94A2,460A4F09,47B23C0A,3F38F191,439474A4,3C9E12A8,00000000,00000000,00000000,00000000
2,1500.0,42,4394E4B2,3CA41B0B,45D6A57A,45EA8B2F,47B50844,3F2FC6D7,4394E4B2,3CA41B0B,00000000,00000000,00000000,00000000
2,1500.0,43,43954E96,3CA9F918,45B008C7,45C2BFC5,47B7B5C4,3F26971B,43954E96,3CA9F918,00000000,00000000,00000000,00000000
2,1500.0,44,4395B20D,3CAFA214,458BDA08,459D51CA,47BA41BE,3F1D8A89,4395B20D,3CAFA214,00000000,00000000,00000000,B7BA5555
