case,dx,lddraf,prfl,paph_sfc
1,1500.0,1,395ACE17,47C54400
2,1500.0,1,3C6B5363,47C54400
3,1500.0,1,3C6BA4A3,47C54400
4,1500.0,1,3C5F0CC6,47C54400
5,1500.0,1,3C721D1B,47C54400
6,1500.0,1,3C68EE17,47C54400
7,1500.0,1,3C6D2263,47C54400
8,1500.0,0,00000000,47C54400
9,1500.0,0,00000000,47C54400
10,1500.0,0,00000000,47C54400
11,1500.0,0,370EC24E,47C54400
12,1500.0,0,00000000,47C54400
13,1500.0,0,00000000,47C54400
14,1500.0,0,00000000,47C54400
15,1500.0,0,00000000,47C54400
16,1500.0,0,00000000,47C54400
17,1500.0,0,00000000,47C54400
18,1500.0,0,00000000,47C54400
1,4500.0,1,395ACE17,47C54400
2,4500.0,1,3C6B5363,47C54400
3,4500.0,1,3C6BA4A3,47C54400
4,4500.0,1,3C5F0CC6,47C54400
5,4500.0,1,3C721D1B,47C54400
6,4500.0,1,3C68EE17,47C54400
7,4500.0,1,3C6D2263,47C54400
8,4500.0,0,00000000,47C54400
9,4500.0,0,00000000,47C54400
10,4500.0,0,00000000,47C54400
11,4500.0,0,370EC24E,47C54400
12,4500.0,0,00000000,47C54400
13,4500.0,0,00000000,47C54400
14,4500.0,0,00000000,47C54400
15,4500.0,0,00000000,47C54400
16,4500.0,0,00000000,47C54400
17,4500.0,0,00000000,47C54400
18,4500.0,0,00000000,47C54400
1,9000.0,1,395ACE17,47C54400
2,9000.0,1,3C6B5363,47C54400
3,9000.0,1,3C6BA4A3,47C54400
4,9000.0,1,3C5F0CC6,47C54400
5,9000.0,1,3C721D1B,47C54400
6,9000.0,1,3C68EE17,47C54400
7,9000.0,1,3C6D2263,47C54400
8,9000.0,0,00000000,47C54400
9,9000.0,0,00000000,47C54400
10,9000.0,0,00000000,47C54400
11,9000.0,0,370EC24E,47C54400
12,9000.0,0,00000000,47C54400
13,9000.0,0,00000000,47C54400
14,9000.0,0,00000000,47C54400
15,9000.0,0,00000000,47C54400
16,9000.0,0,00000000,47C54400
17,9000.0,0,00000000,47C54400
18,9000.0,0,00000000,47C54400
1,13500.0,1,395ACE17,47C54400
2,13500.0,1,3C6B5363,47C54400
3,13500.0,1,3C6BA4A3,47C54400
4,13500.0,1,3C5F0CC6,47C54400
5,13500.0,1,3C721D1B,47C54400
6,13500.0,1,3C68EE17,47C54400
7,13500.0,1,3C6D2263,47C54400
8,13500.0,0,00000000,47C54400
9,13500.0,0,00000000,47C54400
10,13500.0,0,00000000,47C54400
11,13500.0,0,370EC24E,47C54400
12,13500.0,0,00000000,47C54400
13,13500.0,0,00000000,47C54400
14,13500.0,0,00000000,47C54400
15,13500.0,0,00000000,47C54400
16,13500.0,0,00000000,47C54400
17,13500.0,0,00000000,47C54400
18,13500.0,0,00000000,47C54400
1,15000.0,1,395ACE17,47C54400
2,15000.0,1,3C6B5363,47C54400
3,15000.0,1,3C6BA4A3,47C54400
4,15000.0,1,3C5F0CC6,47C54400
5,15000.0,1,3C721D1B,47C54400
6,15000.0,1,3C68EE17,47C54400
7,15000.0,1,3C6D2263,47C54400
8,15000.0,0,00000000,47C54400
9,15000.0,0,00000000,47C54400
10,15000.0,0,00000000,47C54400
11,15000.0,0,370EC24E,47C54400
12,15000.0,0,00000000,47C54400
13,15000.0,0,00000000,47C54400
14,15000.0,0,00000000,47C54400
15,15000.0,0,00000000,47C54400
16,15000.0,0,00000000,47C54400
17,15000.0,0,00000000,47C54400
18,15000.0,0,00000000,47C54400
1,27000.0,1,395ACE17,47C54400
2,27000.0,1,3C6B5363,47C54400
3,27000.0,1,3C6BA4A3,47C54400
4,27000.0,1,3C5F0CC6,47C54400
5,27000.0,1,3C721D1B,47C54400
6,27000.0,1,3C68EE17,47C54400
7,27000.0,1,3C6D2263,47C54400
8,27000.0,0,00000000,47C54400
9,27000.0,0,00000000,47C54400
10,27000.0,0,00000000,47C54400
11,27000.0,0,370EC24E,47C54400
12,27000.0,0,00000000,47C54400
13,27000.0,0,00000000,47C54400
14,27000.0,0,00000000,47C54400
15,27000.0,0,00000000,47C54400
16,27000.0,0,00000000,47C54400
17,27000.0,0,00000000,47C54400
18,27000.0,0,00000000,47C54400
