case,dx,prfl_out
1,1500.0,3958AF3E
2,1500.0,3C68D714
3,1500.0,3C692854
4,1500.0,3C5D6F81
5,1500.0,3C709F29
6,1500.0,3C6671C8
7,1500.0,3C6AA521
8,1500.0,00000000
9,1500.0,00000000
10,1500.0,00000000
11,1500.0,370EC24E
12,1500.0,00000000
13,1500.0,00000000
14,1500.0,00000000
15,1500.0,00000000
16,1500.0,00000000
17,1500.0,00000000
18,1500.0,00000000
1,4500.0,3958AF3E
2,4500.0,3C68D714
3,4500.0,3C692854
4,4500.0,3C5D6F81
5,4500.0,3C709F29
6,4500.0,3C6671C8
7,4500.0,3C6AA521
8,4500.0,00000000
9,4500.0,00000000
10,4500.0,00000000
11,4500.0,370EC24E
12,4500.0,00000000
13,4500.0,00000000
14,4500.0,00000000
15,4500.0,00000000
16,4500.0,00000000
17,4500.0,00000000
18,4500.0,00000000
1,9000.0,3958AF3E
2,9000.0,3C68D714
3,9000.0,3C692854
4,9000.0,3C5D6F81
5,9000.0,3C709F29
6,9000.0,3C6671C8
7,9000.0,3C6AA521
8,9000.0,00000000
9,9000.0,00000000
10,9000.0,00000000
11,9000.0,370EC24E
12,9000.0,00000000
13,9000.0,00000000
14,9000.0,00000000
15,9000.0,00000000
16,9000.0,00000000
17,9000.0,00000000
18,9000.0,00000000
1,13500.0,3958AF3E
2,13500.0,3C68D714
3,13500.0,3C692854
4,13500.0,3C5D6F81
5,13500.0,3C709F29
6,13500.0,3C6671C8
7,13500.0,3C6AA521
8,13500.0,00000000
9,13500.0,00000000
10,13500.0,00000000
11,13500.0,370EC24E
12,13500.0,00000000
13,13500.0,00000000
14,13500.0,00000000
15,13500.0,00000000
16,13500.0,00000000
17,13500.0,00000000
18,13500.0,00000000
1,15000.0,3958AF3E
2,15000.0,3C68D714
3,15000.0,3C692854
4,15000.0,3C5D6F81
5,15000.0,3C709F29
6,15000.0,3C6671C8
7,15000.0,3C6AA521
8,15000.0,00000000
9,15000.0,00000000
10,15000.0,00000000
11,15000.0,370EC24E
12,15000.0,00000000
13,15000.0,00000000
14,15000.0,00000000
15,15000.0,00000000
16,15000.0,00000000
17,15000.0,00000000
18,15000.0,00000000
1,27000.0,3958AF3E
2,27000.0,3C68D714
3,27000.0,3C692854
4,27000.0,3C5D6F81
5,27000.0,3C709F29
6,27000.0,3C6671C8
7,27000.0,3C6AA521
8,27000.0,00000000
9,27000.0,00000000
10,27000.0,00000000
11,27000.0,370EC24E
12,27000.0,00000000
13,27000.0,00000000
14,27000.0,00000000
15,27000.0,00000000
16,27000.0,00000000
17,27000.0,00000000
18,27000.0,00000000
