case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
1,1500.0,1,43458000,36D299B5,4225AFFB,00000000,43458000,3724F7BD,483A2DF1,4845E594,459C4000,43458000,36D299B5,00000000,4225AFFB,00000000,43458000,36D299B5,00000000,00000000,00000000,00000000
1,1500.0,2,4351556F,383E86F7,42181152,00000000,43458000,36E910C8,48264EA5,482E764D,45EE9B40,4351556F,383E86F7,00000000,4225AFFB,00000000,4351556F,383E86F7,00000000,00000000,00000000,00000000
1,1500.0,3,4348341F,36CA9218,420D5852,00000000,434AE83E,375289AB,4817BB69,481E26FE,46202EB0,433B4F91,358F7220,3A014DFD,42181152,00000000,434DC570,37A140AC,00000000,00000000,00000000,00000000
1,1500.0,4,434E8FA2,374F2A3B,420459D0,00000000,43523707,37FB8978,480BED31,48114FD4,4648C210,434861C5,37002B92,3A575ECC,420D5852,00000000,4351677C,37CD7805,00000000,00000000,00000000,00000000
1,1500.0,5,43555F7A,37CF011D,41F92792,00000000,435887ED,387D5057,4801E303,48068A8D,467106C0,43534AE3,380625E1,3AA2A6E6,420459D0,00000000,4357A020,383CCCBE,00000000,00000000,00000000,00000000
1,1500.0,6,435B516A,38363CF2,41EB6F06,00000000,435E1AE6,38E26968,47F23FCC,47FA76F3,468C7DC8,435C9A1E,38C8348C,3AE3202B,41F92792,00000000,435D2805,389BF9A4,00000000,00000000,00000000,00000000
1,1500.0,7,43622031,38EDC5E4,41DF22E2,00000000,436319D4,393965ED,47E2ABAD,47EA08A3,46A04FA4,43649C24,396BC1E0,3B14644D,41EB6F06,00000000,43622031,38EDC5E4,00000000,00000000,00000000,00000000
1,1500.0,8,4366A25C,392A5350,41D3FBC8,00000000,4367A1B7,398E02AB,47D4A134,47DB4EB6,46B3F860,436B7F03,39E86DA5,3B3754DE,41DF22E2,00000000,4366A25C,392A5350,00000000,00000000,00000000,00000000
1,1500.0,9,436AC257,39686766,41C9C61A,00000000,436BC786,39CE71E2,47C7D6BF,47CDF3B3,46C77754,4371667C,3A47ABCF,3B586128,41D3FBC8,00000000,436AC257,39686766,00000000,00000000,00000000,00000000
1,1500.0,10,436E8FA8,39987F8A,41C05B35,00000000,436F9AF3,3A0FDE11,47BC1641,47C1B9CB,46DACBE0,43767552,3A9A1357,3B767946,41C9C61A,00000000,436E8FA8,39987F8A,00000000,00000000,00000000,00000000
1,1500.0,11,4372168E,39D2B3F2,41B79D6A,00000000,4373280D,3A41B620,47B136D5,47B672B8,46EDF550,437AD210,3ADA1418,3B88ECF4,41C05B35,00000000,4372168E,39D2B3F2,00000000,00000000,00000000,00000000
1,1500.0,12,437560CC,3A0F8044,41AF7563,00000000,43767850,3A7D6DB0,47A718BA,47ABFAF1,47007974,437E8C0E,3B10EEBC,3B94E6AC,41B79D6A,00000000,437560CC,3A0F8044,00000000,00000000,00000000,00000000
1,1500.0,13,43787648,3A3DF624,41A7D06E,00000000,43799354,3AA1CC3B,479DA2C5,47A23682,4709E1F6,4380DE78,3B377A8B,3B9D45DA,41AF7563,00000000,43787648,3A3DF624,00000000,00000000,00000000,00000000
1,1500.0,14,437B5D0B,3A75904C,41A09F54,00000000,437C7F46,3ACACEB1,4794C0AA,47990F09,471333CA,438242CE,3B5F6986,3BA2336C,41A7D06E,00000000,437B5D0B,3A75904C,00000000,00000000,00000000,00000000
1,1500.0,15,437E18BC,3A9BD159,4199D586,00000000,437F4142,3AFADB82,478C61C7,4790724B,471C6E89,43837F84,3B83ECB2,3BA3D70A,41A09F54,00000000,437E18BC,3A9BD159,00000000,00000000,00000000,00000000
1,1500.0,16,4380586F,3AC1C7FE,41936888,00000000,4380EEC4,3B18F973,47847850,47885143,472591C4,43849DD0,3B9817A7,3BA3D70A,4199D586,00000000,4380586F,3AC1C7FE,00000000,00000000,00000000,00000000
1,1500.0,17,438194AA,3AECD722,418D4F84,00000000,43822BD9,3B37E4FD,4779F167,47809F5D,472E9D0C,4385A45F,3BAC03F5,3BA3D70A,41936888,00000000,438194AA,3AECD722,00000000,00000000,00000000,00000000
1,1500.0,18,4382C28B,3B0E94D6,418782F1,00000000,43835967,3B59E96B,476BB247,4772A412,47378FE4,43869834,3BBF940E,3BA3D70A,418D4F84,00000000,4382C28B,3B0E94D6,00000000,00000000,00000000,00000000
1,1500.0,19,4383E34E,3B2971DE,4181FC5A,00000000,438478BE,3B7EA05E,475E227E,4764C07B,474069D0,43877C68,3BD2CD7D,3BA3D70A,418782F1,00000000,4383E34E,3B2971DE,00000000,00000000,00000000,00000000
