case,dx,ldcum,ktype,kcbot,kctop,lndj,pmfub,prfl
1,1500.0,1,1,47,3,0,3C0987C2,395B42DC
2,1500.0,1,1,46,3,0,3F158E39,3C6BB08E
3,1500.0,1,1,46,3,0,3F158E39,3C6C01CE
4,1500.0,1,1,47,3,0,3F08EBA5,3C5F514F
5,1500.0,1,1,46,3,1,3F158E39,3C728D61
6,1500.0,1,1,46,3,0,3F158E39,3C694B42
7,1500.0,1,1,46,3,0,3F158E39,3C6D7FB1
8,1500.0,0,3,34,-1,0,3BB211F3,00000000
9,1500.0,0,3,38,-1,0,3B798E49,00000000
10,1500.0,0,3,35,-1,1,3BA4E4A3,00000000
11,1500.0,1,2,47,37,0,3C0987C2,370EC24E
12,1500.0,0,3,21,-1,0,3D109FA5,00000000
13,1500.0,0,3,22,-1,0,3D0F34EF,00000000
14,1500.0,0,3,22,-1,1,3D0F86FA,00000000
15,1500.0,0,0,-1,-1,0,00000000,00000000
16,1500.0,0,3,18,-1,0,2EDBE6FF,00000000
17,1500.0,1,3,41,41,1,3C9636B1,00000000
18,1500.0,1,3,35,35,0,3D007A5E,00000000
1,4500.0,1,1,47,3,0,3C0987C2,395B42DC
2,4500.0,1,1,46,3,0,3F158E39,3C6BB08E
3,4500.0,1,1,46,3,0,3F158E39,3C6C01CE
4,4500.0,1,1,47,3,0,3F08EBA5,3C5F514F
5,4500.0,1,1,46,3,1,3F158E39,3C728D61
6,4500.0,1,1,46,3,0,3F158E39,3C694B42
7,4500.0,1,1,46,3,0,3F158E39,3C6D7FB1
8,4500.0,0,3,34,-1,0,3BB211F3,00000000
9,4500.0,0,3,38,-1,0,3B798E49,00000000
10,4500.0,0,3,35,-1,1,3BA4E4A3,00000000
11,4500.0,1,2,47,37,0,3C0987C2,370EC24E
12,4500.0,0,3,21,-1,0,3D109FA5,00000000
13,4500.0,0,3,22,-1,0,3D0F34EF,00000000
14,4500.0,0,3,22,-1,1,3D0F86FA,00000000
15,4500.0,0,0,-1,-1,0,00000000,00000000
16,4500.0,0,3,18,-1,0,2EDBE6FF,00000000
17,4500.0,1,3,41,41,1,3C9636B1,00000000
18,4500.0,1,3,35,35,0,3D007A5E,00000000
1,9000.0,1,1,47,3,0,3C0987C2,395B42DC
2,9000.0,1,1,46,3,0,3F158E39,3C6BB08E
3,9000.0,1,1,46,3,0,3F158E39,3C6C01CE
4,9000.0,1,1,47,3,0,3F08EBA5,3C5F514F
5,9000.0,1,1,46,3,1,3F158E39,3C728D61
6,9000.0,1,1,46,3,0,3F158E39,3C694B42
7,9000.0,1,1,46,3,0,3F158E39,3C6D7FB1
8,9000.0,0,3,34,-1,0,3BB211F3,00000000
9,9000.0,0,3,38,-1,0,3B798E49,00000000
10,9000.0,0,3,35,-1,1,3BA4E4A3,00000000
11,9000.0,1,2,47,37,0,3C0987C2,370EC24E
12,9000.0,0,3,21,-1,0,3D109FA5,00000000
13,9000.0,0,3,22,-1,0,3D0F34EF,00000000
14,9000.0,0,3,22,-1,1,3D0F86FA,00000000
15,9000.0,0,0,-1,-1,0,00000000,00000000
16,9000.0,0,3,18,-1,0,2EDBE6FF,00000000
17,9000.0,1,3,41,41,1,3C9636B1,00000000
18,9000.0,1,3,35,35,0,3D007A5E,00000000
1,13500.0,1,1,47,3,0,3C0987C2,395B42DC
2,13500.0,1,1,46,3,0,3F158E39,3C6BB08E
3,13500.0,1,1,46,3,0,3F158E39,3C6C01CE
4,13500.0,1,1,47,3,0,3F08EBA5,3C5F514F
5,13500.0,1,1,46,3,1,3F158E39,3C728D61
6,13500.0,1,1,46,3,0,3F158E39,3C694B42
7,13500.0,1,1,46,3,0,3F158E39,3C6D7FB1
8,13500.0,0,3,34,-1,0,3BB211F3,00000000
9,13500.0,0,3,38,-1,0,3B798E49,00000000
10,13500.0,0,3,35,-1,1,3BA4E4A3,00000000
11,13500.0,1,2,47,37,0,3C0987C2,370EC24E
12,13500.0,0,3,21,-1,0,3D109FA5,00000000
13,13500.0,0,3,22,-1,0,3D0F34EF,00000000
14,13500.0,0,3,22,-1,1,3D0F86FA,00000000
15,13500.0,0,0,-1,-1,0,00000000,00000000
16,13500.0,0,3,18,-1,0,2EDBE6FF,00000000
17,13500.0,1,3,41,41,1,3C9636B1,00000000
18,13500.0,1,3,35,35,0,3D007A5E,00000000
1,15000.0,1,1,47,3,0,3C0987C2,395B42DC
2,15000.0,1,1,46,3,0,3F158E39,3C6BB08E
3,15000.0,1,1,46,3,0,3F158E39,3C6C01CE
