case,dx,k,ptd,pqd,pud,pvd,pmfd,pmfds,pmfdq,pdmfdp
1,1500.0,1,43458000,36D299B5,4225AFFB,00000000,00000000,00000000,00000000,00000000
1,1500.0,2,4351556F,383E86F7,4225AFFB,00000000,00000000,00000000,00000000,00000000
1,1500.0,3,434DC570,37A140AC,42181152,00000000,00000000,00000000,00000000,00000000
1,1500.0,4,4351677C,37CD7805,420D5852,00000000,00000000,00000000,00000000,00000000
1,1500.0,5,4357A020,383CCCBE,420459D0,00000000,00000000,00000000,00000000,00000000
1,1500.0,6,435D2805,389BF9A4,41F92792,00000000,00000000,00000000,00000000,00000000
1,1500.0,7,43622031,38EDC5E4,41EB6F06,00000000,00000000,00000000,00000000,00000000
1,1500.0,8,4366A25C,392A5350,41DF22E2,00000000,00000000,00000000,00000000,00000000
1,1500.0,9,436AC257,39686766,41D3FBC8,00000000,00000000,00000000,00000000,00000000
1,1500.0,10,436E8FA8,39987F8A,41C9C61A,00000000,00000000,00000000,00000000,00000000
1,1500.0,11,4372168E,39D2B3F2,41C05B35,00000000,00000000,00000000,00000000,00000000
1,1500.0,12,437560CC,3A0F8044,41B79D6A,00000000,00000000,00000000,00000000,00000000
1,1500.0,13,43787648,3A3DF624,41AF7563,00000000,00000000,00000000,00000000,00000000
1,1500.0,14,437B5D0B,3A75904C,41A7D06E,00000000,00000000,00000000,00000000,00000000
1,1500.0,15,437E18BC,3A9BD159,41A09F54,00000000,00000000,00000000,00000000,00000000
1,1500.0,16,4380586F,3AC1C7FE,4199D586,00000000,00000000,00000000,00000000,00000000
1,1500.0,17,438194AA,3AECD722,41936888,00000000,00000000,00000000,00000000,00000000
1,1500.0,18,4382C28B,3B0E94D6,418D4F84,00000000,00000000,00000000,00000000,00000000
1,1500.0,19,4383E34E,3B2971DE,418782F1,00000000,00000000,00000000,00000000,00000000
1,1500.0,20,4384F7F8,3B470FF4,4181FC5A,00000000,00000000,00000000,00000000,00000000
1,1500.0,21,43860164,3B677702,41796C52,00000000,00000000,00000000,00000000,00000000
1,1500.0,22,43870053,3B855477,416F570C,00000000,00000000,00000000,00000000,00000000
1,1500.0,23,4387F570,3B985105,4165B068,00000000,00000000,00000000,00000000,00000000
1,1500.0,24,4388E07C,3BACA22B,415C70FB,00000000,00000000,00000000,00000000,00000000
1,1500.0,25,4389C065,3BC27CAB,4153923A,00000000,00000000,00000000,00000000,00000000
1,1500.0,26,438A97AB,3BD7C3EA,414B0E74,00000000,00000000,00000000,00000000,00000000
1,1500.0,27,438B66C5,3BECA3BE,4142E09A,00000000,00000000,00000000,00000000,00000000
1,1500.0,28,438C2E17,3C012B6C,413B042A,00000000,00000000,00000000,00000000,00000000
1,1500.0,29,438CEDFC,3C0C67EE,41337525,00000000,00000000,00000000,00000000,00000000
1,1500.0,30,438DA6C1,3C18008F,412C3000,00000000,00000000,00000000,00000000,00000000
1,1500.0,31,438E58AB,3C23ED6A,412531A0,00000000,00000000,00000000,00000000,00000000
1,1500.0,32,438F03F8,3C30267C,411E7743,00000000,00000000,00000000,00000000,00000000
1,1500.0,33,438FA8DD,3C3CA2D9,4117FE88,00000000,00000000,00000000,00000000,00000000
1,1500.0,34,43904787,3C495930,4111C562,00000000,00000000,00000000,00000000,00000000
1,1500.0,35,4390E01B,3C563F5F,410BCA14,00000000,00000000,00000000,00000000,00000000
1,1500.0,36,439172BC,3C634A93,41060B31,00000000,00000000,00000000,00000000,00000000
1,1500.0,37,4391FF7C,3C706F3E,41008798,00000000,00000000,00000000,00000000,00000000
1,1500.0,38,4392866D,3C7DA0AF,40F67D01,00000000,00000000,00000000,00000000,00000000
1,1500.0,39,43930794,3C8568A8,40EC5EE6,00000000,00000000,00000000,00000000,00000000
1,1500.0,40,439382F0,3C8BF911,40E2B4BA,00000000,00000000,00000000,00000000,00000000
1,1500.0,41,4393F870,3C91E7A0,40D97F3F,00000000,00000000,00000000,00000000,00000000
1,1500.0,42,439467F8,3C977D49,40D0C030,00000000,00000000,00000000,00000000,B4E98A5D
1,1500.0,43,4394B13E,3CA5DFD6,40C87A81,00000000,BB250950,C43FF8AA,B855DE9B,00000000
1,1500.0,44,43953459,3CA2291B,40C0B2BE,00000000,00000000,00000000,00000000,00000000
1,1500.0,45,4395908F,3CA72989,40B96FC3,00000000,00000000,00000000,00000000,00000000
1,1500.0,46,4395E569,3CABDDD9,40B2BBCA,00000000,00000000,00000000,00000000,00000000
1,1500.0,47,43963206,3CB031B6,40ACA69F,00000000,00000000,00000000,00000000,00000000
1,1500.0,48,43969592,3CB32FE1,40A74A69,00000000,00000000,00000000,00000000,00000000
1,1500.0,49,4396A428,3CB8697E,40A2D9D6,00000000,00000000,00000000,00000000,00000000
2,1500.0,1,43468000,36F520CD,41CA7C65,00000000,00000000,00000000,00000000,00000000
2,1500.0,2,43526078,385C7CEA,41CA7C65,00000000,00000000,00000000,00000000,00000000
2,1500.0,3,434ECE7D,37BB3D2C,41C502AB,00000000,00000000,00000000,00000000,00000000
2,1500.0,4,43521392,37E17BA4,41C0B51F,00000000,00000000,00000000,00000000,00000000
2,1500.0,5,435850B1,384E563A,41BD1924,00000000,00000000,00000000,00000000,00000000
2,1500.0,6,435DDC66,38A9D85F,41B9FA8E,00000000,00000000,00000000,00000000,00000000
2,1500.0,7,4362D7D2,3901093A,41B739C6,00000000,00000000,00000000,00000000,00000000
2,1500.0,8,43675CD9,3938523A,41B4C21C,00000000,00000000,00000000,00000000,00000000
2,1500.0,9,436B7F71,397AD47A,41B2853D,00000000,00000000,00000000,00000000,00000000
2,1500.0,10,436F4F31,39A43180,41B078CF,00000000,00000000,00000000,00000000,00000000
2,1500.0,11,4372D86B,39E217B0,41AE9510,00000000,00000000,00000000,00000000,00000000
2,1500.0,12,437624F3,3A1A9460,41ACD40D,00000000,00000000,00000000,00000000,00000000
2,1500.0,13,43793CBC,3A4D4C3F,41AB3115,00000000,00000000,00000000,00000000,00000000
2,1500.0,14,437C2513,3A853669,41A9A869,00000000,00000000,00000000,00000000,00000000
2,1500.0,15,437EE330,3AA9641D,41A836FA,00000000,00000000,00000000,00000000,00000000
2,1500.0,16,4380BEFF,3AD3018C,41A6DA44,00000000,00000000,00000000,00000000,00000000
2,1500.0,17,4381FC9B,3B0123DE,41A5902C,00000000,00000000,00000000,00000000,00000000
2,1500.0,18,43832BE4,3B1BB403,41A456EC,00000000,00000000,00000000,00000000,00000000
2,1500.0,19,43844E0C,3B3945C8,41A32D01,00000000,00000000,00000000,00000000,00000000
2,1500.0,20,43856416,3B59E7BA,41A2111F,00000000,00000000,00000000,00000000,00000000
2,1500.0,21,43866EDC,3B7DA229,41A10228,00000000,00000000,00000000,00000000,00000000
2,1500.0,22,43876F21,3B923B5C,419FFF21,00000000,00000000,00000000,00000000,00000000
2,1500.0,23,4388656D,3BA72BAD,419F0732,00000000,00000000,00000000,00000000,00000000
2,1500.0,24,4389504C,3BBDB098,419E199C,00000000,00000000,00000000,00000000,00000000
2,1500.0,25,438A311D,3BD5D78A,419D35B7,00000000,00000000,00000000,00000000,00000000
2,1500.0,26,438B094B,3BED5601,419C5AF1,00000000,00000000,00000000,00000000,00000000
2,1500.0,27,438BD945,3C01F5AA,419B88C8,00000000,00000000,00000000,00000000,00000000
2,1500.0,28,438CA172,3C0DAE42,419ABECA,00000000,00000000,00000000,00000000,00000000
2,1500.0,29,438D6227,3C19CD54,4199FC8F,00000000,00000000,00000000,00000000,00000000
2,1500.0,30,438E1BB9,3C264BA8,419941BD,00000000,00000000,00000000,00000000,00000000
2,1500.0,31,438ECE68,3C332097,41988E03,00000000,00000000,00000000,00000000,00000000
2,1500.0,32,438F7A76,3C4043C4,4197E11C,00000000,00000000,00000000,00000000,00000000
2,1500.0,33,43902013,3C4DAB61,41973ACA,00000000,00000000,00000000,00000000,00000000
2,1500.0,34,4390BF71,3C5B4DA2,41969AD8,00000000,00000000,00000000,00000000,00000000
2,1500.0,35,439158B5,3C691FB8,4196011A,00000000,00000000,00000000,00000000,00000000
2,1500.0,36,4391EBFC,3C77162E,41956D6C,00000000,00000000,00000000,00000000,00000000
2,1500.0,37,43927960,3C829266,4194DFB0,00000000,00000000,00000000,00000000,00000000
2,1500.0,38,439300EC,3C899F06,419457D2,00000000,00000000,00000000,00000000,00000000
2,1500.0,39,439382AC,3C90A9DF,4193D5C7,00000000,00000000,00000000,00000000,00000000
2,1500.0,40,4393FE98,3C97AAE8,4193598D,00000000,00000000,00000000,00000000,00000000
2,1500.0,41,439474A4,3C9E12A8,4192E32E,00000000,00000000,00000000,00000000,00000000
2,1500.0,42,4394E4B2,3CA41B0B,419272C0,00000000,00000000,00000000,00000000,00000000
2,1500.0,43,43954E96,3CA9F918,41920869,00000000,00000000,00000000,00000000,00000000
2,1500.0,44,4395B20D,3CAFA214,4191A464,00000000,00000000,00000000,00000000,B7BA5555
2,1500.0,45,4395ED58,3CBB3EA1,41914709,00000000,BE337778,C750E370,BB83442C,00000000
2,1500.0,46,439663FC,3CBA1E60,4190F0DC,00000000,00000000,00000000,00000000,00000000
