case,dx,kdtop,lddraf,prfl_out
1,1500.0,43,1,395ACE17
2,1500.0,45,1,3C6B5363
3,1500.0,45,1,3C6BA4A3
4,1500.0,46,1,3C5F0CC6
5,1500.0,44,1,3C721D1B
6,1500.0,45,1,3C68EE17
7,1500.0,45,1,3C6D2263
8,1500.0,50,0,00000000
9,1500.0,50,0,00000000
10,1500.0,50,0,00000000
11,1500.0,50,0,370EC24E
12,1500.0,50,0,00000000
13,1500.0,50,0,00000000
14,1500.0,50,0,00000000
15,1500.0,50,0,00000000
16,1500.0,50,0,00000000
17,1500.0,50,0,00000000
18,1500.0,50,0,00000000
1,4500.0,43,1,395ACE17
2,4500.0,45,1,3C6B5363
3,4500.0,45,1,3C6BA4A3
4,4500.0,46,1,3C5F0CC6
5,4500.0,44,1,3C721D1B
6,4500.0,45,1,3C68EE17
7,4500.0,45,1,3C6D2263
8,4500.0,50,0,00000000
9,4500.0,50,0,00000000
10,4500.0,50,0,00000000
11,4500.0,50,0,370EC24E
12,4500.0,50,0,00000000
13,4500.0,50,0,00000000
14,4500.0,50,0,00000000
15,4500.0,50,0,00000000
16,4500.0,50,0,00000000
17,4500.0,50,0,00000000
18,4500.0,50,0,00000000
1,9000.0,43,1,395ACE17
2,9000.0,45,1,3C6B5363
3,9000.0,45,1,3C6BA4A3
4,9000.0,46,1,3C5F0CC6
5,9000.0,44,1,3C721D1B
6,9000.0,45,1,3C68EE17
7,9000.0,45,1,3C6D2263
8,9000.0,50,0,00000000
9,9000.0,50,0,00000000
10,9000.0,50,0,00000000
11,9000.0,50,0,370EC24E
12,9000.0,50,0,00000000
13,9000.0,50,0,00000000
14,9000.0,50,0,00000000
15,9000.0,50,0,00000000
16,9000.0,50,0,00000000
17,9000.0,50,0,00000000
18,9000.0,50,0,00000000
1,13500.0,43,1,395ACE17
2,13500.0,45,1,3C6B5363
3,13500.0,45,1,3C6BA4A3
4,13500.0,46,1,3C5F0CC6
5,13500.0,44,1,3C721D1B
6,13500.0,45,1,3C68EE17
7,13500.0,45,1,3C6D2263
8,13500.0,50,0,00000000
9,13500.0,50,0,00000000
10,13500.0,50,0,00000000
11,13500.0,50,0,370EC24E
12,13500.0,50,0,00000000
13,13500.0,50,0,00000000
14,13500.0,50,0,00000000
15,13500.0,50,0,00000000
16,13500.0,50,0,00000000
17,13500.0,50,0,00000000
18,13500.0,50,0,00000000
1,15000.0,43,1,395ACE17
2,15000.0,45,1,3C6B5363
3,15000.0,45,1,3C6BA4A3
4,15000.0,46,1,3C5F0CC6
5,15000.0,44,1,3C721D1B
6,15000.0,45,1,3C68EE17
7,15000.0,45,1,3C6D2263
8,15000.0,50,0,00000000
9,15000.0,50,0,00000000
10,15000.0,50,0,00000000
11,15000.0,50,0,370EC24E
12,15000.0,50,0,00000000
13,15000.0,50,0,00000000
14,15000.0,50,0,00000000
15,15000.0,50,0,00000000
16,15000.0,50,0,00000000
17,15000.0,50,0,00000000
18,15000.0,50,0,00000000
1,27000.0,43,1,395ACE17
2,27000.0,45,1,3C6B5363
3,27000.0,45,1,3C6BA4A3
4,27000.0,46,1,3C5F0CC6
5,27000.0,44,1,3C721D1B
6,27000.0,45,1,3C68EE17
7,27000.0,45,1,3C6D2263
8,27000.0,50,0,00000000
9,27000.0,50,0,00000000
10,27000.0,50,0,00000000
11,27000.0,50,0,370EC24E
12,27000.0,50,0,00000000
13,27000.0,50,0,00000000
14,27000.0,50,0,00000000
15,27000.0,50,0,00000000
16,27000.0,50,0,00000000
17,27000.0,50,0,00000000
18,27000.0,50,0,00000000
