case,dx,k,paph,pten,plglac,plude,pmfus,pmfds,pmfuq,pmfdq,pmful,pdmfup,pdmfdp,pdpmel,ptent_in,ptenq_in,pcte_in,pmfu,pmfd
1,1500.0,1,459C4000,43458000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1,1500.0,2,45EE9B40,43458000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1,1500.0,3,46202EB0,434AE83E,00000000,3648ACEE,C31FF3E0,00000000,B383C67E,00000000,36CC6AF3,368AC8C9,00000000,00000000,358B90C0,308EEA3E,00000000,3C4A5AF3,00000000
1,1500.0,4,4648C210,43523707,00000000,35CF2713,C2C68140,00000000,B3A1AF72,00000000,375C688C,36EE127B,00000000,00000000,362417EB,3128081C,00000000,3C82FE88,00000000
1,1500.0,5,467106C0,435887ED,00000000,350BF68E,C2101080,00000000,34073552,00000000,37B36762,3720954E,00000000,00000000,36759AE3,317B7FE3,00000000,3C8D2EDA,00000000
1,1500.0,6,468C7DC8,435E1AE6,00000000,2E430536,41B4EE00,00000000,3574D80B,00000000,37FEE442,374267F8,00000000,00000000,369EC560,31A294DD,00000000,3C8FA5DE,00000000
1,1500.0,7,46A04FA4,436319D4,00000000,2F4CCDF2,422F0600,00000000,36032881,00000000,3826885B,375D1E24,00000000,00000000,36BF0209,31C39797,00000000,3C8FA5E0,00000000
1,1500.0,8,46B3F860,4367A1B7,00000000,30303B6A,42AB4740,00000000,36A544D0,00000000,384DBE69,37720048,00000000,00000000,36DC3E81,31E187AF,00000000,3C8FA5E3,00000000
1,1500.0,9,46C77754,436BC786,00000000,31015CE4,42E9F500,00000000,371EE098,00000000,3872D50D,37806692,00000000,00000000,36F7021C,31FCEFBA,00000000,3C8FA5F0,00000000
1,1500.0,10,46DACBE0,436F9AF3,3381C7A0,31948FBA,430B19E0,00000000,3782206E,00000000,388A4DA5,37853C0C,00000000,00000000,3707D911,320B1BB8,00000000,3C8FA615,00000000
1,1500.0,11,46EDF550,4373280D,363ED85E,32179A90,4319D100,00000000,37B9A01B,00000000,3899AAA2,37863A40,00000000,00000000,37134E30,3216D73B,00000000,3C8FA650,00000000
1,1500.0,12,47007974,43767850,36D1831D,328DDCF5,43218180,00000000,37F4C8A4,00000000,38A71B7F,3777D0D0,00000000,00000000,371DFF01,3221C9BC,00000000,3C8FA697,00000000
1,1500.0,13,4709E1F6,43799354,37107F62,32F88349,43236480,00000000,38189DE1,00000000,38B080FF,375EC7E0,00000000,00000000,37280406,322C0C50,00000000,3C8FA6CF,00000000
1,1500.0,14,471333CA,437C7F46,372D1626,334FFDEA,43215260,00000000,3835D530,00000000,38B608C8,3742ED40,00000000,00000000,37317132,3235B367,00000000,3C8FA6C6,00000000
1,1500.0,15,471C6E89,437F4142,37460934,33A84DC8,431CC240,00000000,3850AC36,00000000,38B7DED9,3732CC30,00000000,00000000,373A56F8,323ECFD7,00000000,3C8FA61A,00000000
1,1500.0,16,472591C4,4380EEC4,375F027C,34042298,43167400,00000000,3868A016,00000000,38B7DC71,372F1B50,00000000,00000000,3742C317,32476FB6,00000000,3C8FA439,00000000
1,1500.0,17,472E9D0C,43822BD9,37784C85,344853DC,430F0D40,00000000,387D271E,00000000,38B7D75C,3729AAB0,00000000,00000000,374AC125,324F9EDF,00000000,3C8FA040,00000000
1,1500.0,18,47378FE4,43835967,37889C22,349229C9,430709A0,00000000,3886F1E6,00000000,38B7CDE0,37238C90,00000000,00000000,37525B03,32576770,00000000,3C8F98D7,00000000
1,1500.0,19,474069D0,438478BE,379170B3,34CCE13A,42FD53C0,00000000,388D64F1,00000000,38B7BD8B,37265230,00000000,00000000,37599923,325ED210,00000000,3C8F8C15,00000000
1,1500.0,20,47492A4A,43858B00,372EDAAB,3509C179,42E9AAC0,00000000,38931F4A,00000000,38B7A2FC,37255400,00000000,00000000,376082DC,3265E642,00000000,3C8F7756,00000000
1,1500.0,21,4751D0C6,43869129,3663187C,35282477,42DA1B80,00000000,3897C1AC,00000000,38B779D1,36A6D860,00000000,00000000,37671E86,326CAA86,00000000,3C8F572B,00000000
1,1500.0,22,475A5CB1,43878C16,36412006,3540EA2D,42CDDF80,00000000,389AE64D,00000000,38AD8A49,36691DC0,00000000,00000000,376D71AF,3273248A,00000000,3C8F275B,00000000
1,1500.0,23,4762CD6E,43887C86,365D3AF9,35548361,42C12D00,00000000,389C62AB,00000000,38A11349,3660E000,00000000,00000000,37738132,3279594A,00000000,3C8EE30F,00000000
1,1500.0,24,476B2254,43896326,00000000,3563F7B0,42B44B80,00000000,389C2E83,00000000,389506D6,3658E3C0,00000000,38D14EE1,3779515E,327F4D2D,00000000,3C8E849D,00000000
1,1500.0,25,47735AB4,438A4088,00000000,3576BD26,42A7D040,00000000,389A0908,00000000,3889657E,3650FE60,00000000,38FAC051,377EE5E6,328281FF,00000000,3C8E0598,00000000
1,1500.0,26,477B75D0,438B1530,00000000,3585EFE6,429B6280,00000000,389859FC,00000000,387C82EC,36492280,00000000,00000000,37822110,32854094,00000000,3C8D62EB,00000000
1,1500.0,27,4781B970,438BE194,00000000,358F4983,428F3240,00000000,3896FF44,00000000,38675376,36415600,00000000,00000000,3784B480,3287E3D7,00000000,3C8C9905,00000000
1,1500.0,28,4785A886,438CA61A,00000000,35972591,42835740,00000000,3894A0F4,00000000,38534112,36398E00,00000000,00000000,37872E91,328A6D20,00000000,3C8BA26E,00000000
1,1500.0,29,478987B5,438D6320,00000000,359D483B,426FC600,00000000,3891529A,00000000,38404B90,3631C180,00000000,00000000,3789906D,328CDD9E,00000000,3C8A79C5,00000000
1,1500.0,30,478D5682,438E18F6,00000000,35A17FD8,4259C880,00000000,388D26C2,00000000,382E6F9B,3629EB40,00000000,00000000,378BDB18,328F365E,00000000,3C8919FB,00000000
