case,dx,k,ptent,ptenq,pcte
1,1500.0,1,00000000,00000000,00000000
1,1500.0,2,BA2D826B,32C23EA6,00000000
1,1500.0,3,39715E6E,303B18F5,324211D2
1,1500.0,4,39811F21,30EDADBF,31C9DCDA
1,1500.0,5,397B1EC5,312A567A,31097438
1,1500.0,6,38E8C7E6,AD2F0600,2A410E04
1,1500.0,7,395CD961,3120BDBC,2B4C659F
1,1500.0,8,3948C67A,312AA486,2C315A92
1,1500.0,9,3938DE07,312F3DA0,2D034D47
1,1500.0,10,392BE3ED,2FADDFC0,2D981D04
1,1500.0,11,39211108,B0CEED70,2E1CA0D9
1,1500.0,12,3918153B,B15CBCC4,2E93EBD4
1,1500.0,13,3911150B,B1B35634,2F02CB54
1,1500.0,14,390C17C1,B2039951,2F5D1306
1,1500.0,15,3907514C,B22B8825,2FB4B033
1,1500.0,16,390369E6,B255B37A,300F5356
1,1500.0,17,39004775,B280EA3E,305B9C6F
1,1500.0,18,38FB9687,B297B70A,30A1FEC6
1,1500.0,19,38F8A4AE,B2AEEFB0,30E5A692
1,1500.0,20,38F6D51C,B2C6641D,311C3931
1,1500.0,21,38EB6DD1,B2DE0CC1,3140FFC5
1,1500.0,22,38E102B4,B2F618F5,3160380B
1,1500.0,23,38D99427,B306E842,317A38B8
1,1500.0,24,B88750D3,B3156A66,31880736
1,1500.0,25,B8D3E875,B30CCE90,31954E30
1,1500.0,26,38C5FC4C,B3050D2B,31A479EE
1,1500.0,27,38C2ED7C,B30A61DE,31B2A829
1,1500.0,28,38BFE153,B30F1184,31BF7AE9
1,1500.0,29,38BCCE2E,B313245A,31CA99F9
1,1500.0,30,38B9981E,B31694A0,31D3B57F
1,1500.0,31,38B638A2,B3197250,31DA871F
1,1500.0,32,38B2A271,B31BC1D4,31DED1E8
1,1500.0,33,38AECB9A,B31D9598,31E06130
1,1500.0,34,38AAAD22,B31EFD34,31DF0B63
1,1500.0,35,38A63500,B3200F18,31DAAFCA
1,1500.0,36,38A17C5D,B320E4FB,31D33396
1,1500.0,37,389C6857,B32197D8,31C88757
1,1500.0,38,38970856,B3224BEC,31BAA3A4
1,1500.0,39,38915445,B32321DA,31A98646
1,1500.0,40,388B8A12,B306F3F4,31983A19
1,1500.0,41,3885A154,B2F0AE3F,31852B5A
1,1500.0,42,388B81F3,B309B7D2,315FE485
1,1500.0,43,384889EA,B306DBF4,31333A70
1,1500.0,44,3838E08E,B22598C0,3105BF1E
1,1500.0,45,382E874E,B2714990,306D07B3
1,1500.0,46,3831B4E9,B2DFEAB7,00000000
1,1500.0,47,37A6429D,B292819B,00000000
1,1500.0,48,37834666,B29DCD3B,00000000
1,1500.0,49,379B74F0,B2C73DAD,00000000
2,1500.0,1,00000000,00000000,00000000
2,1500.0,2,B9ED846C,33505BA1,00000000
2,1500.0,3,39F9D10F,303024A9,321A3909
2,1500.0,4,39352682,2F0BA3F0,325ABB85
2,1500.0,5,39C7831E,31205332,328F93C0
2,1500.0,6,39C6C56A,31880FC8,32B089F0
2,1500.0,7,39C5FDAF,31D157BE,32CE2AC6
2,1500.0,8,39C4BD8B,3214837B,32E801A2
2,1500.0,9,39C2F6CA,324430AC,32FEEA28
2,1500.0,10,39BE06AA,321DFDC4,33010E69
2,1500.0,11,39B8662E,31D355A4,32FAAA70
2,1500.0,12,39B35F6E,3142FD74,32EE6B22
2,1500.0,13,39AF622A,B10C4334,32E15E85
2,1500.0,14,39AC2FB9,B20DD8B6,32D6823B
2,1500.0,15,39A8E3F9,B281A3AD,32CD9AFB
2,1500.0,16,39A610B1,B2C5957A,32C5FBE3
2,1500.0,17,39A4177F,B308929B,32BF1D62
2,1500.0,18,39A2F31B,B3327EC4,32B89A91
2,1500.0,19,39A26448,B3607401,32B226C0
2,1500.0,20,399F1A66,B389187B,32AB8936
2,1500.0,21,399AC4D8,B3A39FDF,32A4975A
2,1500.0,22,399669FB,B3BF4823,329D31F2
2,1500.0,23,394608C5,B3DD006C,32954F81
2,1500.0,24,B8A39F05,B3FC6708,328D8C19
2,1500.0,25,B94FF9FD,B3FC01BA,327E0BD3
2,1500.0,26,396A0B46,B3F69844,32639EBA
2,1500.0,27,39637B0C,B404DA8C,324B3993
2,1500.0,28,395CDF0B,B40DF0BC,3234BDA9
2,1500.0,29,3956287A,B416763E,32200EA8
2,1500.0,30,394F5B37,B41E3D6D,320D123C
2,1500.0,31,39487015,B425317B,31F75F47
2,1500.0,32,39416B86,B42B28E5,31D79F01
2,1500.0,33,393A4461,B43014A7,31BAB743
2,1500.0,34,39330678,B433DB8A,31A07D92
2,1500.0,35,392BB3A2,B436720F,3188C91C
2,1500.0,36,39245888,B437D1A0,3166E264
2,1500.0,37,391CFE7A,B437F694,31409DAB
2,1500.0,38,3915AF60,B436EF3F,311E776B
2,1500.0,39,390E7872,B434C384,310020BB
2,1500.0,40,39077795,B4221B5B,30CBC00E
2,1500.0,41,39009568,B41647C3,309DB2FF
2,1500.0,42,38F3E132,B410CB3E,30699DCD
2,1500.0,43,38E73E65,B40AB417,301FBB5C
2,1500.0,44,38EC6974,B4081EA6,2FB2BC60
2,1500.0,45,38B6F410,B3FBDDB6,2E06AED8
2,1500.0,46,37DBDA6F,B30872DC,00000000
2,1500.0,47,381AC227,B31AA78D,00000000
2,1500.0,48,37308484,B29E81C6,00000000
2,1500.0,49,B8461D3A,B3DCC970,00000000
3,1500.0,1,00000000,00000000,00000000
3,1500.0,2,B9EAC1B6,3351DC4C,00000000
3,1500.0,3,39FBD8D5,3131FD52,321B4617
3,1500.0,4,393B57C8,31A84E67,325C20FD
3,1500.0,5,39CC1C0D,32242B42,32906A22
3,1500.0,6,39CC75F6,32656262,32B176A9
3,1500.0,7,39CCA77F,3295C271,32CF226E
3,1500.0,8,39CC4A26,32BAE30E,32E8FFA3
3,1500.0,9,39CB5096,32E0A78D,32FFEBD6
3,1500.0,10,39C70F71,32D9781D,33015EA5
3,1500.0,11,39C20F51,32CA1DE8,32FAD4A6
3,1500.0,12,39BDA3C9,32B7AE60,32EE2985
3,1500.0,13,39BA3443,3296EC88,32E0DC35
