case,dx,k,paph,puen,pven,pmfu,pmfd,puu,pud,pvu,pvd,ptenu_in,ptenv_in
1,1500.0,1,459C4000,4225AFFB,00000000,00000000,00000000,4225AFFB,4225AFFB,00000000,00000000,00000000,00000000
1,1500.0,2,45EE9B40,42181152,00000000,00000000,00000000,4225AFFB,4225AFFB,00000000,00000000,00000000,00000000
1,1500.0,3,46202EB0,420D5852,00000000,3C4A5AF3,00000000,41E3F739,42181152,00000000,00000000,00000000,00000000
1,1500.0,4,4648C210,420459D0,00000000,3C82FE88,00000000,41D44EFF,420D5852,00000000,00000000,00000000,00000000
1,1500.0,5,467106C0,41F92792,00000000,3C8D2EDA,00000000,41C825DE,420459D0,00000000,00000000,00000000,00000000
1,1500.0,6,468C7DC8,41EB6F06,00000000,3C8FA5DE,00000000,41BDD1FD,41F92792,00000000,00000000,00000000,00000000
1,1500.0,7,46A04FA4,41DF22E2,00000000,3C8FA5E0,00000000,41B4B6BC,41EB6F06,00000000,00000000,00000000,00000000
1,1500.0,8,46B3F860,41D3FBC8,00000000,3C8FA5E3,00000000,41AC818E,41DF22E2,00000000,00000000,00000000,00000000
1,1500.0,9,46C77754,41C9C61A,00000000,3C8FA5F0,00000000,41A5075C,41D3FBC8,00000000,00000000,00000000,00000000
1,1500.0,10,46DACBE0,41C05B35,00000000,3C8FA615,00000000,419E287B,41C9C61A,00000000,00000000,00000000,00000000
1,1500.0,11,46EDF550,41B79D6A,00000000,3C8FA650,00000000,4197CCE3,41C05B35,00000000,00000000,00000000,00000000
1,1500.0,12,47007974,41AF7563,00000000,3C8FA697,00000000,4191E1D9,41B79D6A,00000000,00000000,00000000,00000000
1,1500.0,13,4709E1F6,41A7D06E,00000000,3C8FA6CF,00000000,418C5864,41AF7563,00000000,00000000,00000000,00000000
1,1500.0,14,471333CA,41A09F54,00000000,3C8FA6C6,00000000,41872446,41A7D06E,00000000,00000000,00000000,00000000
1,1500.0,15,471C6E89,4199D586,00000000,3C8FA61A,00000000,41823B3B,41A09F54,00000000,00000000,00000000,00000000
1,1500.0,16,472591C4,41936888,00000000,3C8FA439,00000000,417B28E4,4199D586,00000000,00000000,00000000,00000000
1,1500.0,17,472E9D0C,418D4F84,00000000,3C8FA040,00000000,4172507E,41936888,00000000,00000000,00000000,00000000
1,1500.0,18,47378FE4,418782F1,00000000,3C8F98D7,00000000,4169DFB6,418D4F84,00000000,00000000,00000000,00000000
1,1500.0,19,474069D0,4181FC5A,00000000,3C8F8C15,00000000,4161CAA6,418782F1,00000000,00000000,00000000,00000000
1,1500.0,20,47492A4A,41796C52,00000000,3C8F7756,00000000,415A0701,4181FC5A,00000000,00000000,00000000,00000000
1,1500.0,21,4751D0C6,416F570C,00000000,3C8F572B,00000000,41528C2D,41796C52,00000000,00000000,00000000,00000000
1,1500.0,22,475A5CB1,4165B068,00000000,3C8F275B,00000000,414B536B,416F570C,00000000,00000000,00000000,00000000
1,1500.0,23,4762CD6E,415C70FB,00000000,3C8EE30F,00000000,41445802,4165B068,00000000,00000000,00000000,00000000
