case,dx,k,ptenu,ptenv
1,1500.0,1,00000000,00000000
1,1500.0,2,B9E72D25,00000000
1,1500.0,3,B8B6E335,00000000
1,1500.0,4,36CDF1E4,00000000
1,1500.0,5,38110377,00000000
1,1500.0,6,38240ADD,00000000
1,1500.0,7,38129380,00000000
1,1500.0,8,3804D449,00000000
1,1500.0,9,37F36853,00000000
1,1500.0,10,37E1006F,00000000
1,1500.0,11,37D17AC2,00000000
1,1500.0,12,37C428BE,00000000
1,1500.0,13,37B88996,00000000
1,1500.0,14,37AE37E7,00000000
1,1500.0,15,37A4E0F5,00000000
1,1500.0,16,379C44C1,00000000
1,1500.0,17,37943084,00000000
1,1500.0,18,378C844E,00000000
1,1500.0,19,37852F2E,00000000
1,1500.0,20,377C65AF,00000000
1,1500.0,21,376F40E8,00000000
1,1500.0,22,37633282,00000000
1,1500.0,23,37585461,00000000
1,1500.0,24,374E6BC5,00000000
1,1500.0,25,37444A93,00000000
1,1500.0,26,3739F877,00000000
1,1500.0,27,373010B5,00000000
1,1500.0,28,37269448,00000000
1,1500.0,29,371D8458,00000000
1,1500.0,30,3714E044,00000000
1,1500.0,31,370CAA87,00000000
1,1500.0,32,3704E2B7,00000000
1,1500.0,33,36FB0FE7,00000000
1,1500.0,34,36ED3636,00000000
1,1500.0,35,36E0360D,00000000
1,1500.0,36,36D41278,00000000
1,1500.0,37,36C8CB51,00000000
1,1500.0,38,36BE64F2,00000000
1,1500.0,39,36B4E7F8,00000000
1,1500.0,40,36AA8426,00000000
1,1500.0,41,36A06D0A,00000000
1,1500.0,42,37230E2D,00000000
1,1500.0,43,B5CB9132,00000000
1,1500.0,44,B4A77FA0,00000000
1,1500.0,45,36083EC0,00000000
1,1500.0,46,36E0F26C,00000000
1,1500.0,47,37966D48,00000000
1,1500.0,48,37966D49,00000000
1,1500.0,49,37966D49,00000000
2,1500.0,1,00000000,00000000
2,1500.0,2,B908279B,00000000
2,1500.0,3,B5EAA92F,00000000
2,1500.0,4,B595AC65,00000000
2,1500.0,5,B51A6870,00000000
2,1500.0,6,B3C8F437,00000000
2,1500.0,7,34B9D925,00000000
2,1500.0,8,354A5FAB,00000000
2,1500.0,9,35986B38,00000000
2,1500.0,10,35FD888D,00000000
2,1500.0,11,362F276D,00000000
2,1500.0,12,3656492A,00000000
2,1500.0,13,36762AC8,00000000
2,1500.0,14,3687CD3B,00000000
2,1500.0,15,3691ED29,00000000
2,1500.0,16,369A481A,00000000
2,1500.0,17,36A163E9,00000000
2,1500.0,18,36A7973C,00000000
2,1500.0,19,36AD0EA1,00000000
2,1500.0,20,36B1E917,00000000
2,1500.0,21,36B634D6,00000000
2,1500.0,22,36B9EB84,00000000
2,1500.0,23,36BD12B8,00000000
2,1500.0,24,36BF6CB7,00000000
2,1500.0,25,36C0771F,00000000
2,1500.0,26,36C0786C,00000000
2,1500.0,27,36BFE68D,00000000
2,1500.0,28,36BEC871,00000000
2,1500.0,29,36BD0ADD,00000000
2,1500.0,30,36BAC492,00000000
2,1500.0,31,36B7E01D,00000000
