case,dx,k,pten,pqen,pqsen,ptenh,pqenh,paph,pap,pgeoh,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,pdmfup,pdmfdp,plglac_in,plude_in,pmfdde_rate_in
1,1500.0,1,43458000,36D299B5,3724F7BD,43458000,36D299B5,459C4000,45C56DA0,4845E594,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1,1500.0,2,43458000,3694C443,36E910C8,4351556F,383E86F7,45EE9B40,460BBE28,482E764D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
1,1500.0,3,434AE83E,37002FF6,375289AB,4348341F,36CA9218,46202EB0,46347860,481E26FE,3C4A5AF3,00000000,4587203F,00000000,3262C607,00000000,36CC6AF3,368AC8C9,00000000,00000000,3648ACEE,00000000
1,1500.0,4,43523707,378F1240,37FB8978,434E8FA2,374F2A3B,4648C210,465CE468,48114FD4,3C82FE88,00000000,45AEF00A,00000000,34032B1F,00000000,375C688C,36EE127C,00000000,00000000,35CF2713,00000000
1,1500.0,5,435887ED,380777FD,387D5057,43555F7A,37CF011D,467106C0,46828094,48068A8D,3C8D2EDA,00000000,45BC81C8,00000000,3513F6D4,00000000,37B36762,3720954F,00000000,00000000,350BF68E,00000000
1,1500.0,6,435E1AE6,386501E8,38E26968,435B516A,38363CF2,468C7DC8,469666B6,47FA76F3,3C8FA5DE,00000000,45BFB2EE,00000000,35E0AE24,00000000,37FEE442,374267F7,00000000,00000000,2E430536,00000000
1,1500.0,7,436319D4,38B23B0F,393965ED,43622031,38EDC5E4,46A04FA4,46AA2402,47EA08A3,3C8FA5E0,00000000,45BF7F38,00000000,36844A0E,00000000,3826885B,375D1E24,00000000,00000000,2F4CCDF2,00000000
1,1500.0,8,4367A1B7,39025218,398E02AB,4366A25C,392A5350,46B3F860,46BDB7DA,47DB4EB6,3C8FA5E3,00000000,45BF27E6,00000000,37026BDC,00000000,384DBE69,37720049,00000000,00000000,30303B6A,00000000
1,1500.0,9,436BC786,393587E9,39CE71E2,436AC257,39686766,46C77754,46D1219A,47CDF3B3,3C8FA5F0,00000000,45BEA8B0,00000000,376014CB,00000000,3872D50D,37806692,00000000,00000000,31015CE4,00000000
1,1500.0,10,436F9AF3,398A652E,3A0FDE11,436E8FA8,39987F8A,46DACBE0,46E46098,47C1B9CB,3C8FA615,00000000,45BE0379,00000000,37ACE985,00000000,388A4DA5,37853C0B,00000000,366748A4,31948FBA,00000000
1,1500.0,11,4373280D,39CC8FAF,3A41B620,4372168E,39D2B3F2,46EDF550,46F7741C,47B672B8,3C8FA650,00000000,45BD4079,00000000,37F4BDCE,00000000,3899AAA2,37863A41,00000000,392A0DCC,32179A90,00000000
1,1500.0,12,43767850,3A100668,3A7D6DB0,437560CC,3A0F8044,47007974,47052DB5,47ABFAF1,3C8FA697,00000000,45BC5E19,00000000,3822A756,00000000,38A71B7F,3777D0CE,00000000,39BAAF92,328DDCF5,00000000
1,1500.0,13,43799354,3A432C36,3AA1CC3B,43787648,3A3DF624,4709E1F6,470E8AE0,47A23682,3C8FA6CF,00000000,45BB6280,00000000,384DEA04,00000000,38B080FF,375EC7DC,00000000,3A00C0FA,32F88349,00000000
1,1500.0,14,437C7F46,3A802DF8,3ACACEB1,437B5D0B,3A75904C,471333CA,4717D12A,47990F09,3C8FA6C6,00000000,45BA593D,00000000,387ABAFA,00000000,38B608C8,3742ED3E,00000000,3A186F3D,334FFDEA,00000000
1,1500.0,15,437F4142,3AA40ED0,3AFADB82,437E18BC,3A9BD159,471C6E89,47210026,4790724B,3C8FA61A,00000000,45B94A74,00000000,38940DA0,00000000,38B7DED9,3732CC36,00000000,3A28A4FA,33A84DC8,00000000
1,1500.0,16,4380EEC4,3ACD6F68,3B18F973,4380586F,3AC1C7FE,472591C4,472A1768,47885143,3C8FA439,00000000,45B83B5E,00000000,38AAAD8E,00000000,38B7DC71,372F1B55,00000000,3A353668,34042298,00000000
