case,dx,k,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,plglac,pdmfup,pdmfdp,pdpmel,pmflxr,pmflxs,pqsen,plude,pmfdde_rate,pmfude_rate
1,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3724F7BD,00000000,00000000,00000000
1,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,36E910C8,00000000,00000000,00000000
1,1500.0,3,3C4A5AF3,00000000,C31FF3E0,00000000,B383C67E,00000000,36CC6AF3,00000000,368AC8C9,00000000,00000000,00000000,00000000,375289AB,3648ACEE,00000000,3B6E8874
1,1500.0,4,3C82FE88,00000000,C2C68140,00000000,B3A1AF72,00000000,375C688C,00000000,36EE127C,00000000,00000000,00000000,368AC8C9,37FB8978,35CF2713,00000000,3AA30525
1,1500.0,5,3C8D2EDA,00000000,C2101080,00000000,34073552,00000000,37B36762,00000000,3720954F,00000000,00000000,00000000,373C6DA2,387D5057,350BF68E,00000000,399DC1AC
1,1500.0,6,3C8FA5DE,00000000,41B4EE00,00000000,3574D80B,00000000,37FEE442,00000000,374267F7,00000000,00000000,00000000,37AE8178,38E26968,2E430536,00000000,32A8388F
1,1500.0,7,3C8FA5E0,00000000,422F0600,00000000,36032881,00000000,3826885B,00000000,375D1E24,00000000,00000000,00000000,3807DABA,393965ED,2F4CCDF2,00000000,338EFDFF
1,1500.0,8,3C8FA5E3,00000000,42AB4740,00000000,36A544D0,00000000,384DBE69,00000000,37720049,00000000,00000000,00000000,383F2243,398E02AB,30303B6A,00000000,34508056
1,1500.0,9,3C8FA5F0,00000000,42E9F500,00000000,371EE098,00000000,3872D50D,00000000,37806692,00000000,00000000,00000000,387BA255,39CE71E2,31015CE4,00000000,35065CDE
1,1500.0,10,3C8FA615,00000000,430B19E0,00000000,3782206E,00000000,388A4DA5,3381C7A0,37853C0B,00000000,00000000,00000000,389DEACF,3A0FDE11,31948FBA,00000000,358AE09A
1,1500.0,11,3C8FA650,00000000,4319D100,00000000,37B9A01B,00000000,3899AAA2,363ED85E,37863A41,00000000,00000000,00000000,38BF39D2,3A41B620,32179A90,00000000,360252C6
1,1500.0,12,3C8FA697,00000000,43218180,00000000,37F4C8A4,00000000,38A71B7F,36D1831D,3777D0CE,00000000,00000000,00000000,38E0C862,3A7D6DB0,328DDCF5,00000000,3666EAB8
1,1500.0,13,3C8FA6CF,00000000,43236480,00000000,38189DE1,00000000,38B080FF,37107F62,375EC7DC,00000000,00000000,00000000,38FFC27C,3AA1CC3B,32F88349,00000000,36C41CD7
1,1500.0,14,3C8FA6C6,00000000,43215260,00000000,3835D530,00000000,38B608C8,372D1626,3742ED3E,00000000,00000000,00000000,390DCDBC,3ACACEB1,334FFDEA,00000000,37227E5F
1,1500.0,15,3C8FA61A,00000000,431CC240,00000000,3850AC36,00000000,38B7DED9,37460934,3732CC36,00000000,00000000,00000000,3919FC90,3AFADB82,33A84DC8,00000000,37837CC4
1,1500.0,16,3C8FA439,00000000,43167400,00000000,3868A016,00000000,38B7DC71,375F027C,372F1B55,00000000,00000000,00000000,39252953,3B18F973,34042298,00000000,37CE760E
1,1500.0,17,3C8FA040,00000000,430F0D40,00000000,387D271E,00000000,38B7D75C,37784C85,3729AAB1,00000000,00000000,00000000,39301B08,3B37E4FD,344853DC,00000000,381C8184
1,1500.0,18,3C8F98D7,00000000,430709A0,00000000,3886F1E6,00000000,38B7CDE0,37889C22,37238C90,00000000,00000000,00000000,393AB5B3,3B59E96B,349229C9,00000000,3864614B
1,1500.0,19,3C8F8C15,00000000,42FD53C0,00000000,388D64F1,00000000,38B7BD8B,379170B3,3726522D,00000000,00000000,00000000,3944EE7C,3B7EA05E,34CCE13A,00000000,38A00FF5
1,1500.0,20,3C8F7756,00000000,42E9AAC0,00000000,38931F4A,00000000,38B7A2FC,372EDAAB,37255405,00000000,00000000,00000000,394F539F,3B92C35A,3509C179,00000000,38D73E4E
1,1500.0,21,3C8F572B,00000000,42DA1B80,00000000,3897C1AC,00000000,38B779D1,3663187C,36A6D864,00000000,00000000,00000000,3959A8DF,3BA6FFE5,35282477,00000000,390AB37C
1,1500.0,22,3C8F275B,00000000,42CDDF80,00000000,389AE64D,00000000,38AD8A49,36412006,36691DC5,00000000,00000000,00000000,395EDFA2,3BBBAC9D,3540EA2D,00000000,392B2190
1,1500.0,23,3C8EE30F,00000000,42C12D00,00000000,389C62AB,00000000,38A11349,365D3AF9,3660E017,00000000,00000000,00000000,39628419,3BD0670A,35548361,00000000,394B3B56
1,1500.0,24,3C8E849D,00000000,42B44B80,00000000,389C2E83,00000000,389506D6,00000000,3658E3B6,00000000,38D14EE1,00000000,39660799,3BCB2CB4,3563F7B0,00000000,396BA458
1,1500.0,25,3C8E0598,00000000,42A7D040,00000000,389A0908,00000000,3889657E,00000000,3650FE5E,00000000,38FAC051,38D815FF,38FAC051,3BE34289,3576BD26,00000000,398A277C
1,1500.0,26,3C8D62EB,00000000,429B6280,00000000,389859FC,00000000,387C82EC,00000000,36492266,00000000,00000000,396CAF22,00000000,3C089D80,3585EFE6,00000000,39A2CFB6
1,1500.0,27,3C8C9905,00000000,428F3240,00000000,3896FF44,00000000,38675376,00000000,3641561B,00000000,00000000,396FD3AC,00000000,3C141482,358F4983,00000000,39BD6B63
1,1500.0,28,3C8BA26E,00000000,42835740,00000000,3894A0F4,00000000,38534112,00000000,36398DE8,00000000,00000000,3972D904,00000000,3C1FD375,35972591,00000000,39D9B00D
1,1500.0,29,3C8A79C5,00000000,426FC600,00000000,3891529A,00000000,38404B90,00000000,3631C19D,00000000,00000000,3975BF3C,00000000,3C2BD2A6,359D483B,00000000,39F73CFC
1,1500.0,30,3C8919FB,00000000,4259C880,00000000,388D26C2,00000000,382E6F9B,00000000,3629EB32,00000000,00000000,39788642,00000000,3C3809DC,35A17FD8,00000000,3A0ACCE2
1,1500.0,31,3C877E8C,00000000,4244C680,00000000,3888309C,00000000,381DA719,00000000,36220961,00000000,00000000,397B2DEF,00000000,3C4470A7,35A3A855,00000000,3A1A1EED
1,1500.0,32,3C85A3B8,00000000,4230CA00,00000000,38828248,00000000,380DE8AF,00000000,361A1C0B,00000000,00000000,397DB615,00000000,3C50FE74,35A3A836,00000000,3A29461A
1,1500.0,33,3C8386C4,00000000,421DD700,00000000,38785B08,00000000,37FE5309,00000000,36122793,00000000,00000000,39800F43,00000000,3C5DAA30,35A1716E,00000000,3A37EDD2
1,1500.0,34,3C812637,00000000,420BE980,00000000,386A865C,00000000,37E2B883,00000000,360A33AF,00000000,00000000,39813392,00000000,3C6A6A6F,359D021E,00000000,3A45BD41
1,1500.0,35,3C7D041E,00000000,41F5F400,00000000,385BA61C,00000000,37C8E623,00000000,36024BBF,00000000,00000000,398247F9,00000000,3C77354C,3596632F,00000000,3A525A89
1,1500.0,36,3C7737D1,00000000,41D5EF00,00000000,384BD7E8,00000000,37B0BE27,00000000,35F4FE0E,00000000,00000000,39834C90,00000000,3C820045,358DA6EB,00000000,3A5D6D87
1,1500.0,37,3C70EE44,00000000,41B7AB00,00000000,383B37AC,00000000,379A20E1,00000000,35E5BD73,00000000,00000000,3984418E,00000000,3C88606D,3582EB07,00000000,3A66A1FF
1,1500.0,38,3C6A31DA,00000000,419AFC00,00000000,3829DF20,00000000,3784F0A4,00000000,35D6F5FD,00000000,00000000,3985274B,00000000,3C8EB548,356CB058,00000000,3A6DAD0C
1,1500.0,39,3C63109B,00000000,417F7200,00000000,3817E5FC,00000000,37621F2F,00000000,35C89978,00000000,00000000,3985FE41,00000000,3C94F87E,35503E6A,00000000,3A724B3C
1,1500.0,40,3C5B9C27,00000000,414B6600,00000000,38056284,00000000,373CBF6A,00000000,35BA9C4D,00000000,00000000,3986C6DA,00000000,3C9B22D0,35348E59,00000000,3A781783
