case,dx,kdtop_out,prain,pmflxr_sfc,pmflxs_sfc
1,1500.0,43,398A54B0,3988FE39,00000000
2,1500.0,45,3A27BFAB,3A25FAC9,00000000
3,1500.0,45,3A286EC4,3A26A8A6,00000000
4,1500.0,46,3A3E8483,3A3D23F1,00000000
5,1500.0,44,3A282B18,3A272247,00000000
6,1500.0,45,39EAA484,39E82488,00000000
7,1500.0,45,3A2CF309,3A2B22FA,00000000
8,1500.0,50,00000000,00000000,00000000
9,1500.0,50,00000000,00000000,00000000
10,1500.0,50,00000000,00000000,00000000
11,1500.0,50,35B91BBB,35B91BBB,00000000
12,1500.0,50,00000000,00000000,00000000
13,1500.0,50,00000000,00000000,00000000
14,1500.0,50,00000000,00000000,00000000
15,1500.0,50,00000000,00000000,00000000
16,1500.0,50,00000000,00000000,00000000
17,1500.0,50,00000000,00000000,00000000
18,1500.0,50,00000000,00000000,00000000
1,4500.0,43,3A627CF9,3A604C3C,00000000
2,4500.0,45,3B0953AA,3B07E0E9,00000000
3,4500.0,45,3B09E301,3B086F3E,00000000
4,4500.0,46,3B1BF771,3B1AD6CF,00000000
5,4500.0,44,3B09AB9C,3B08D2D2,00000000
6,4500.0,45,3AC016DB,3ABE0AEF,00000000
7,4500.0,45,3B0D9597,3B0C19B1,00000000
8,4500.0,50,00000000,00000000,00000000
9,4500.0,50,00000000,00000000,00000000
10,4500.0,50,00000000,00000000,00000000
11,4500.0,50,36277BFD,36277BFD,00000000
12,4500.0,50,00000000,00000000,00000000
13,4500.0,50,00000000,00000000,00000000
14,4500.0,50,00000000,00000000,00000000
15,4500.0,50,00000000,00000000,00000000
16,4500.0,50,00000000,00000000,00000000
17,4500.0,50,00000000,00000000,00000000
18,4500.0,50,00000000,00000000,00000000
1,9000.0,43,3B2962D5,3B27BF78,00000000
2,9000.0,45,3BCD6881,3BCB3DF2,00000000
3,9000.0,45,3BCE3EE4,3BCC12D3,00000000
4,9000.0,46,3BE949EA,3BE79A32,00000000
5,9000.0,44,3BCDEC09,3BCCA7C4,00000000
6,9000.0,45,3B8FA8EE,3B8E2118,00000000
7,9000.0,45,3BD3C6C2,3BD18E82,00000000
8,9000.0,50,00000000,00000000,00000000
9,9000.0,50,00000000,00000000,00000000
10,9000.0,50,00000000,00000000,00000000
11,9000.0,50,3690D731,3690D731,00000000
12,9000.0,50,00000000,00000000,00000000
13,9000.0,50,00000000,00000000,00000000
14,9000.0,50,00000000,00000000,00000000
15,9000.0,50,00000000,00000000,00000000
16,9000.0,50,00000000,00000000,00000000
17,9000.0,50,00000000,00000000,00000000
18,9000.0,50,00000000,00000000,00000000
1,13500.0,43,3BCF3CA9,3BCD3B94,00000000
2,13500.0,45,3C7B4F00,3C78A884,00000000
3,13500.0,45,3C7C5549,3C79ACF6,00000000
4,13500.0,46,3C8EB5A8,3C8DAD8F,00000000
5,13500.0,44,3C7BEFEB,3C7A6332,00000000
6,13500.0,45,3C2FC310,3C2DE3AD,00000000
7,13500.0,45,3C818CC3,3C803129,00000000
8,13500.0,50,00000000,00000000,00000000
9,13500.0,50,00000000,00000000,00000000
10,13500.0,50,00000000,00000000,00000000
11,13500.0,50,36E2919A,36E2919A,00000000
12,13500.0,50,00000000,00000000,00000000
13,13500.0,50,00000000,00000000,00000000
14,13500.0,50,00000000,00000000,00000000
15,13500.0,50,00000000,00000000,00000000
16,13500.0,50,00000000,00000000,00000000
17,13500.0,50,00000000,00000000,00000000
18,13500.0,50,00000000,00000000,00000000
1,15000.0,43,3C092F25,3C07DB81,00000000
2,15000.0,45,3CA65BAC,3CA49A8A,00000000
3,15000.0,45,3CA70950,3CA546F5,00000000
4,15000.0,46,3CBCF035,3CBB928D,00000000
5,15000.0,44,3CA6C635,3CA5BF98,00000000
6,15000.0,45,3C68B28E,3C6637DF,00000000
7,15000.0,45,3CAB8404,3CA9B7CD,00000000
8,15000.0,50,00000000,00000000,00000000
9,15000.0,50,00000000,00000000,00000000
10,15000.0,50,00000000,00000000,00000000
11,15000.0,50,370EC24E,370EC24E,00000000
12,15000.0,50,00000000,00000000,00000000
13,15000.0,50,00000000,00000000,00000000
14,15000.0,50,00000000,00000000,00000000
15,15000.0,50,00000000,00000000,00000000
16,15000.0,50,00000000,00000000,00000000
17,15000.0,50,00000000,00000000,00000000
18,15000.0,50,00000000,00000000,00000000
1,27000.0,43,3BF22628,3BEFCEA3,00000000
2,27000.0,45,3C92D292,3C91462E,00000000
3,27000.0,45,3C936BD1,3C91DE59,00000000
4,27000.0,46,3CA6C04B,3CA58BB5,00000000
5,27000.0,44,3C93309A,3C9248D1,00000000
6,27000.0,45,3C4D5F25,3C4B2EFC,00000000
7,27000.0,45,3C975FDC,3C95C9B0,00000000
8,27000.0,50,00000000,00000000,00000000
9,27000.0,50,00000000,00000000,00000000
10,27000.0,50,00000000,00000000,00000000
11,27000.0,50,370EC24E,370EC24E,00000000
12,27000.0,50,00000000,00000000,00000000
13,27000.0,50,00000000,00000000,00000000
14,27000.0,50,00000000,00000000,00000000
15,27000.0,50,00000000,00000000,00000000
16,27000.0,50,00000000,00000000,00000000
17,27000.0,50,00000000,00000000,00000000
18,27000.0,50,00000000,00000000,00000000
