case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,ptd,pqd,puu,pvu,pud,pvd,plu,klab
1,1500.0,1,43458000,36D299B5,00000000,43458000,36D299B5,43458000,36D299B5,4225AFFB,00000000,4225AFFB,00000000,00000000,0
1,1500.0,2,4351556F,383E86F7,384D71AF,4351556F,383E86F7,4351556F,383E86F7,4225AFFB,00000000,4225AFFB,00000000,00000000,0
1,1500.0,3,434DC570,37A140AC,37B653CD,434DC570,37A140AC,434DC570,37A140AC,42181152,00000000,42181152,00000000,00000000,0
1,1500.0,4,4351677C,37CD7805,37F6A4E0,4351677C,37CD7805,4351677C,37CD7805,420D5852,00000000,420D5852,00000000,00000000,0
1,1500.0,5,4357A020,383CCCBE,3873085A,4357A020,383CCCBE,4357A020,383CCCBE,420459D0,00000000,420459D0,00000000,00000000,0
1,1500.0,6,435D2805,389BF9A4,38D6E5D1,435D2805,389BF9A4,435D2805,389BF9A4,41F92792,00000000,41F92792,00000000,00000000,0
1,1500.0,7,43622031,38EDC5E4,392ED72C,43622031,38EDC5E4,43622031,38EDC5E4,41EB6F06,00000000,41EB6F06,00000000,00000000,0
1,1500.0,8,4366A25C,392A5350,39854DDB,4366A25C,392A5350,4366A25C,392A5350,41DF22E2,00000000,41DF22E2,00000000,00000000,0
1,1500.0,9,436AC257,39686766,39C10D52,436AC257,39686766,436AC257,39686766,41D3FBC8,00000000,41D3FBC8,00000000,00000000,0
1,1500.0,10,436E8FA8,39987F8A,3A0616BC,436E8FA8,39987F8A,436E8FA8,39987F8A,41C9C61A,00000000,41C9C61A,00000000,00000000,0
1,1500.0,11,4372168E,39D2B3F2,3A340573,4372168E,39D2B3F2,4372168E,39D2B3F2,41C05B35,00000000,41C05B35,00000000,00000000,0
1,1500.0,12,437560CC,3A0F8044,3A6AEE8C,437560CC,3A0F8044,437560CC,3A0F8044,41B79D6A,00000000,41B79D6A,00000000,00000000,0
1,1500.0,13,43787648,3A3DF624,3A95AEB6,43787648,3A3DF624,43787648,3A3DF624,41AF7563,00000000,41AF7563,00000000,00000000,0
1,1500.0,14,437B5D0B,3A75904C,3ABAFE46,437B5D0B,3A75904C,437B5D0B,3A75904C,41A7D06E,00000000,41A7D06E,00000000,00000000,0
1,1500.0,15,437E18BC,3A9BD159,3AE67212,437E18BC,3A9BD159,437E18BC,3A9BD159,41A09F54,00000000,41A09F54,00000000,00000000,0
1,1500.0,16,4380586F,3AC1C7FE,3B0C4A58,4380586F,3AC1C7FE,4380586F,3AC1C7FE,4199D586,00000000,4199D586,00000000,00000000,0
1,1500.0,17,438194AA,3AECD722,3B28AD50,438194AA,3AECD722,438194AA,3AECD722,41936888,00000000,41936888,00000000,00000000,0
1,1500.0,18,4382C28B,3B0E94D6,3B483CC0,4382C28B,3B0E94D6,4382C28B,3B0E94D6,418D4F84,00000000,418D4F84,00000000,00000000,0
1,1500.0,19,4383E34E,3B2971DE,3B6AB49D,4383E34E,3B2971DE,4383E34E,3B2971DE,418782F1,00000000,418782F1,00000000,00000000,0
1,1500.0,20,4384F7F8,3B470FF4,3B87D92A,4384F7F8,3B470FF4,4384F7F8,3B470FF4,4181FC5A,00000000,4181FC5A,00000000,00000000,0
1,1500.0,21,43860164,3B677702,3B9B5B4A,43860164,3B677702,43860164,3B677702,41796C52,00000000,41796C52,00000000,00000000,0
1,1500.0,22,43870053,3B855477,3BAF93D0,43870053,3B855477,43870053,3B855477,416F570C,00000000,416F570C,00000000,00000000,0
1,1500.0,23,4387F570,3B985105,3BC42A82,4387F570,3B985105,4387F570,3B985105,4165B068,00000000,4165B068,00000000,00000000,0
1,1500.0,24,4388E07C,3BACA22B,3BD8B347,4388E07C,3BACA22B,4388E07C,3BACA22B,415C70FB,00000000,415C70FB,00000000,00000000,0
1,1500.0,25,4389C065,3BC27CAB,3BED86F4,4389C065,3BC27CAB,4389C065,3BC27CAB,4153923A,00000000,4153923A,00000000,00000000,0
1,1500.0,26,438A97AB,3BD7C3EA,3C0188A7,438A97AB,3BD7C3EA,438A97AB,3BD7C3EA,414B0E74,00000000,414B0E74,00000000,00000000,0
1,1500.0,27,438B66C5,3BECA3BE,3C0CA2B5,438B66C5,3BECA3BE,438B66C5,3BECA3BE,4142E09A,00000000,4142E09A,00000000,00000000,0
1,1500.0,28,438C2E17,3C012B6C,3C180A9E,438C2E17,3C012B6C,438C2E17,3C012B6C,413B042A,00000000,413B042A,00000000,00000000,0
