case,dx,klwmin
1,1500.0,20
2,1500.0,20
3,1500.0,20
4,1500.0,20
5,1500.0,20
6,1500.0,22
7,1500.0,20
8,1500.0,20
9,1500.0,20
10,1500.0,20
11,1500.0,20
12,1500.0,20
13,1500.0,20
14,1500.0,20
15,1500.0,49
16,1500.0,49
17,1500.0,24
18,1500.0,24
1,4500.0,20
2,4500.0,20
3,4500.0,20
4,4500.0,20
5,4500.0,20
6,4500.0,22
7,4500.0,20
8,4500.0,20
9,4500.0,20
10,4500.0,20
11,4500.0,20
12,4500.0,20
13,4500.0,20
14,4500.0,20
15,4500.0,49
16,4500.0,49
17,4500.0,24
18,4500.0,24
1,9000.0,20
2,9000.0,20
3,9000.0,20
4,9000.0,20
5,9000.0,20
6,9000.0,22
7,9000.0,20
8,9000.0,20
9,9000.0,20
10,9000.0,20
11,9000.0,20
12,9000.0,20
13,9000.0,20
14,9000.0,20
15,9000.0,49
16,9000.0,49
17,9000.0,24
18,9000.0,24
1,13500.0,20
2,13500.0,20
3,13500.0,20
4,13500.0,20
5,13500.0,20
6,13500.0,22
7,13500.0,20
8,13500.0,20
9,13500.0,20
10,13500.0,20
11,13500.0,20
12,13500.0,20
13,13500.0,20
14,13500.0,20
15,13500.0,49
16,13500.0,49
17,13500.0,24
18,13500.0,24
1,15000.0,20
2,15000.0,20
3,15000.0,20
4,15000.0,20
5,15000.0,20
6,15000.0,22
7,15000.0,20
8,15000.0,20
9,15000.0,20
10,15000.0,20
11,15000.0,20
12,15000.0,20
13,15000.0,20
14,15000.0,20
15,15000.0,49
16,15000.0,49
17,15000.0,24
18,15000.0,24
1,27000.0,20
2,27000.0,20
3,27000.0,20
4,27000.0,20
5,27000.0,20
6,27000.0,22
7,27000.0,20
8,27000.0,20
9,27000.0,20
10,27000.0,20
11,27000.0,20
12,27000.0,20
13,27000.0,20
14,27000.0,20
15,27000.0,49
16,27000.0,49
17,27000.0,24
18,27000.0,24
