case,dx,differing_words
1,1500.0,0
2,1500.0,0
3,1500.0,0
4,1500.0,0
5,1500.0,0
6,1500.0,0
7,1500.0,0
8,1500.0,0
9,1500.0,0
10,1500.0,0
11,1500.0,0
12,1500.0,0
13,1500.0,0
14,1500.0,0
15,1500.0,0
16,1500.0,0
17,1500.0,0
18,1500.0,0
1,4500.0,0
2,4500.0,0
3,4500.0,0
4,4500.0,0
5,4500.0,0
6,4500.0,0
7,4500.0,0
8,4500.0,0
9,4500.0,0
10,4500.0,0
11,4500.0,0
12,4500.0,0
13,4500.0,0
14,4500.0,0
15,4500.0,0
16,4500.0,0
17,4500.0,0
18,4500.0,0
1,9000.0,0
2,9000.0,0
3,9000.0,0
4,9000.0,0
5,9000.0,0
6,9000.0,0
7,9000.0,0
8,9000.0,0
9,9000.0,0
10,9000.0,0
11,9000.0,0
12,9000.0,0
13,9000.0,0
14,9000.0,0
15,9000.0,0
16,9000.0,0
17,9000.0,0
18,9000.0,0
1,13500.0,0
2,13500.0,0
3,13500.0,0
4,13500.0,0
5,13500.0,0
6,13500.0,0
7,13500.0,0
8,13500.0,0
9,13500.0,0
10,13500.0,0
11,13500.0,0
12,13500.0,0
13,13500.0,0
14,13500.0,0
15,13500.0,0
16,13500.0,0
17,13500.0,0
18,13500.0,0
1,15000.0,0
2,15000.0,0
3,15000.0,0
4,15000.0,0
5,15000.0,0
6,15000.0,0
7,15000.0,0
8,15000.0,0
9,15000.0,0
10,15000.0,0
11,15000.0,0
12,15000.0,0
13,15000.0,0
14,15000.0,0
15,15000.0,0
16,15000.0,0
17,15000.0,0
18,15000.0,0
1,27000.0,0
2,27000.0,0
3,27000.0,0
4,27000.0,0
5,27000.0,0
6,27000.0,0
7,27000.0,0
8,27000.0,0
9,27000.0,0
10,27000.0,0
11,27000.0,0
12,27000.0,0
13,27000.0,0
14,27000.0,0
15,27000.0,0
16,27000.0,0
17,27000.0,0
18,27000.0,0
