case,dx,k,zmfd,zmfds,zmfdq,zdmfdp,ztd,zqd,pmfdde_rate,ztenh,zqenh
1,1500.0,1,00000000,00000000,00000000,00000000,43458000,36D299B5,00000000,43458000,36D299B5
1,1500.0,2,00000000,00000000,00000000,00000000,4351556F,383E86F7,00000000,4351556F,383E86F7
1,1500.0,3,00000000,00000000,00000000,00000000,434DC570,37A140AC,00000000,4348341F,36CA9218
1,1500.0,4,00000000,00000000,00000000,00000000,4351677C,37CD7805,00000000,434E8FA2,374F2A3B
1,1500.0,5,00000000,00000000,00000000,00000000,4357A020,383CCCBE,00000000,43555F7A,37CF011D
1,1500.0,6,00000000,00000000,00000000,00000000,435D2805,389BF9A4,00000000,435B516A,38363CF2
1,1500.0,7,00000000,00000000,00000000,00000000,43622031,38EDC5E4,00000000,43622031,38EDC5E4
1,1500.0,8,00000000,00000000,00000000,00000000,4366A25C,392A5350,00000000,4366A25C,392A5350
1,1500.0,9,00000000,00000000,00000000,00000000,436AC257,39686766,00000000,436AC257,39686766
1,1500.0,10,00000000,00000000,00000000,00000000,436E8FA8,39987F8A,00000000,436E8FA8,39987F8A
1,1500.0,11,00000000,00000000,00000000,00000000,4372168E,39D2B3F2,00000000,4372168E,39D2B3F2
1,1500.0,12,00000000,00000000,00000000,00000000,437560CC,3A0F8044,00000000,437560CC,3A0F8044
1,1500.0,13,00000000,00000000,00000000,00000000,43787648,3A3DF624,00000000,43787648,3A3DF624
1,1500.0,14,00000000,00000000,00000000,00000000,437B5D0B,3A75904C,00000000,437B5D0B,3A75904C
1,1500.0,15,00000000,00000000,00000000,00000000,437E18BC,3A9BD159,00000000,437E18BC,3A9BD159
1,1500.0,16,00000000,00000000,00000000,00000000,4380586F,3AC1C7FE,00000000,4380586F,3AC1C7FE
1,1500.0,17,00000000,00000000,00000000,00000000,438194AA,3AECD722,00000000,438194AA,3AECD722
1,1500.0,18,00000000,00000000,00000000,00000000,4382C28B,3B0E94D6,00000000,4382C28B,3B0E94D6
1,1500.0,19,00000000,00000000,00000000,00000000,4383E34E,3B2971DE,00000000,4383E34E,3B2971DE
1,1500.0,20,00000000,00000000,00000000,00000000,4384F7F8,3B470FF4,00000000,4384F7F8,3B470FF4
1,1500.0,21,00000000,00000000,00000000,00000000,43860164,3B677702,00000000,43860164,3B677702
1,1500.0,22,00000000,00000000,00000000,00000000,43870053,3B855477,00000000,43870053,3B855477
1,1500.0,23,00000000,00000000,00000000,00000000,4387F570,3B985105,00000000,4387F570,3B985105
1,1500.0,24,00000000,00000000,00000000,00000000,4388E07C,3BACA22B,00000000,4388E07C,3BACA22B
1,1500.0,25,00000000,00000000,00000000,00000000,4389C065,3BC27CAB,00000000,4389C065,3BC27CAB
1,1500.0,26,00000000,00000000,00000000,00000000,438A97AB,3BD7C3EA,00000000,438A97AB,3BD7C3EA
1,1500.0,27,00000000,00000000,00000000,00000000,438B66C5,3BECA3BE,00000000,438B66C5,3BECA3BE
1,1500.0,28,00000000,00000000,00000000,00000000,438C2E17,3C012B6C,00000000,438C2E17,3C012B6C
1,1500.0,29,00000000,00000000,00000000,00000000,438CEDFC,3C0C67EE,00000000,438CEDFC,3C0C67EE
1,1500.0,30,00000000,00000000,00000000,00000000,438DA6C1,3C18008F,00000000,438DA6C1,3C18008F
1,1500.0,31,00000000,00000000,00000000,00000000,438E58AB,3C23ED6A,00000000,438E58AB,3C23ED6A
1,1500.0,32,00000000,00000000,00000000,00000000,438F03F8,3C30267C,00000000,438F03F8,3C30267C
1,1500.0,33,00000000,00000000,00000000,00000000,438FA8DD,3C3CA2D9,00000000,438FA8DD,3C3CA2D9
1,1500.0,34,00000000,00000000,00000000,00000000,43904787,3C495930,00000000,43904787,3C495930
1,1500.0,35,00000000,00000000,00000000,00000000,4390E01B,3C563F5F,00000000,4390E01B,3C563F5F
1,1500.0,36,00000000,00000000,00000000,00000000,439172BC,3C634A93,00000000,439172BC,3C634A93
1,1500.0,37,00000000,00000000,00000000,00000000,4391FF7C,3C706F3E,00000000,4391FF7C,3C706F3E
1,1500.0,38,00000000,00000000,00000000,00000000,4392866D,3C7DA0AF,00000000,4392866D,3C7DA0AF
1,1500.0,39,00000000,00000000,00000000,00000000,43930794,3C8568A8,00000000,43930794,3C8568A8
1,1500.0,40,00000000,00000000,00000000,00000000,439382F0,3C8BF911,00000000,439382F0,3C8BF911
1,1500.0,41,00000000,00000000,00000000,00000000,4393F870,3C91E7A0,00000000,4393F870,3C91E7A0
