case,dx,loddraf,idtop,ktype_closure,upbl_pre,zdhpbl
1,1500.0,1,43,1,46312590,431A5CF6
2,1500.0,1,45,1,4765CD58,4362FF6D
3,1500.0,1,45,1,4684D469,442A3F92
4,1500.0,1,46,1,46312C3A,C3E78A0A
5,1500.0,1,44,1,00000000,4362FEAB
6,1500.0,1,45,1,4684D469,43629197
7,1500.0,1,45,1,4684D4FF,4362FF44
8,1500.0,0,50,3,00000000,00000000
9,1500.0,0,50,3,00000000,00000000
10,1500.0,0,50,3,00000000,00000000
11,1500.0,0,50,2,46312590,431A5CF6
12,1500.0,0,50,3,00000000,00000000
13,1500.0,0,50,3,00000000,00000000
14,1500.0,0,50,3,00000000,00000000
15,1500.0,0,50,0,00000000,00000000
16,1500.0,0,50,3,00000000,00000000
17,1500.0,0,50,3,00000000,00000000
18,1500.0,0,50,3,00000000,00000000
1,4500.0,1,43,1,46312590,431A5CF6
2,4500.0,1,45,1,4765CD58,4362FF6D
3,4500.0,1,45,1,4684D469,442A3F92
4,4500.0,1,46,1,46312C3A,C3E78A0A
5,4500.0,1,44,1,00000000,4362FEAB
6,4500.0,1,45,1,4684D469,43629197
7,4500.0,1,45,1,4684D4FF,4362FF44
8,4500.0,0,50,3,00000000,00000000
9,4500.0,0,50,3,00000000,00000000
10,4500.0,0,50,3,00000000,00000000
11,4500.0,0,50,2,46312590,431A5CF6
12,4500.0,0,50,3,00000000,00000000
13,4500.0,0,50,3,00000000,00000000
14,4500.0,0,50,3,00000000,00000000
15,4500.0,0,50,0,00000000,00000000
16,4500.0,0,50,3,00000000,00000000
17,4500.0,0,50,3,00000000,00000000
18,4500.0,0,50,3,00000000,00000000
1,9000.0,1,43,1,46312590,431A5CF6
2,9000.0,1,45,1,4765CD58,4362FF6D
3,9000.0,1,45,1,4684D469,442A3F92
4,9000.0,1,46,1,46312C3A,C3E78A0A
5,9000.0,1,44,1,00000000,4362FEAB
6,9000.0,1,45,1,4684D469,43629197
7,9000.0,1,45,1,4684D4FF,4362FF44
8,9000.0,0,50,3,00000000,00000000
9,9000.0,0,50,3,00000000,00000000
10,9000.0,0,50,3,00000000,00000000
11,9000.0,0,50,2,46312590,431A5CF6
12,9000.0,0,50,3,00000000,00000000
13,9000.0,0,50,3,00000000,00000000
14,9000.0,0,50,3,00000000,00000000
15,9000.0,0,50,0,00000000,00000000
16,9000.0,0,50,3,00000000,00000000
17,9000.0,0,50,3,00000000,00000000
18,9000.0,0,50,3,00000000,00000000
1,13500.0,1,43,1,46312590,431A5CF6
2,13500.0,1,45,1,4765CD58,4362FF6D
3,13500.0,1,45,1,4684D469,442A3F92
4,13500.0,1,46,1,46312C3A,C3E78A0A
5,13500.0,1,44,1,00000000,4362FEAB
6,13500.0,1,45,1,4684D469,43629197
7,13500.0,1,45,1,4684D4FF,4362FF44
8,13500.0,0,50,3,00000000,00000000
9,13500.0,0,50,3,00000000,00000000
10,13500.0,0,50,3,00000000,00000000
11,13500.0,0,50,2,46312590,431A5CF6
12,13500.0,0,50,3,00000000,00000000
13,13500.0,0,50,3,00000000,00000000
14,13500.0,0,50,3,00000000,00000000
15,13500.0,0,50,0,00000000,00000000
16,13500.0,0,50,3,00000000,00000000
17,13500.0,0,50,3,00000000,00000000
18,13500.0,0,50,3,00000000,00000000
1,15000.0,1,43,1,46312590,431A5CF6
2,15000.0,1,45,1,4765CD58,4362FF6D
3,15000.0,1,45,1,4684D469,442A3F92
4,15000.0,1,46,1,46312C3A,C3E78A0A
5,15000.0,1,44,1,00000000,4362FEAB
6,15000.0,1,45,1,4684D469,43629197
7,15000.0,1,45,1,4684D4FF,4362FF44
8,15000.0,0,50,3,00000000,00000000
9,15000.0,0,50,3,00000000,00000000
10,15000.0,0,50,3,00000000,00000000
11,15000.0,0,50,2,46312590,431A5CF6
12,15000.0,0,50,3,00000000,00000000
13,15000.0,0,50,3,00000000,00000000
14,15000.0,0,50,3,00000000,00000000
15,15000.0,0,50,0,00000000,00000000
16,15000.0,0,50,3,00000000,00000000
17,15000.0,0,50,3,00000000,00000000
18,15000.0,0,50,3,00000000,00000000
1,27000.0,1,43,1,46312590,431A5CF6
2,27000.0,1,45,1,4765CD58,4362FF6D
3,27000.0,1,45,1,4684D469,442A3F92
4,27000.0,1,46,1,46312C3A,C3E78A0A
5,27000.0,1,44,1,00000000,4362FEAB
6,27000.0,1,45,1,4684D469,43629197
7,27000.0,1,45,1,4684D4FF,4362FF44
8,27000.0,0,50,3,00000000,00000000
9,27000.0,0,50,3,00000000,00000000
10,27000.0,0,50,3,00000000,00000000
11,27000.0,0,50,2,46312590,431A5CF6
12,27000.0,0,50,3,00000000,00000000
13,27000.0,0,50,3,00000000,00000000
14,27000.0,0,50,3,00000000,00000000
15,27000.0,0,50,0,00000000,00000000
16,27000.0,0,50,3,00000000,00000000
17,27000.0,0,50,3,00000000,00000000
18,27000.0,0,50,3,00000000,00000000
