case,dx,k,ztenu,ztenv,pvom,pvol,puen,pven,ptte
1,1500.0,1,00000000,00000000,00000000,00000000,4225AFFB,00000000,00000000
1,1500.0,2,00000000,00000000,B9E72D25,00000000,42181152,00000000,BA2D826B
1,1500.0,3,00000000,00000000,B8B6E335,00000000,420D5852,00000000,39715E6E
1,1500.0,4,00000000,00000000,36CDF1E4,00000000,420459D0,00000000,39811F21
1,1500.0,5,00000000,00000000,38110377,00000000,41F92792,00000000,397B1EC5
1,1500.0,6,00000000,00000000,38240ADD,00000000,41EB6F06,00000000,38E8C7E6
1,1500.0,7,00000000,00000000,38129380,00000000,41DF22E2,00000000,395CD961
1,1500.0,8,00000000,00000000,3804D449,00000000,41D3FBC8,00000000,3948C67A
1,1500.0,9,00000000,00000000,37F36853,00000000,41C9C61A,00000000,3938DE07
1,1500.0,10,00000000,00000000,37E1006F,00000000,41C05B35,00000000,392BE3ED
1,1500.0,11,00000000,00000000,37D17AC2,00000000,41B79D6A,00000000,39211108
1,1500.0,12,00000000,00000000,37C428BE,00000000,41AF7563,00000000,3918153B
1,1500.0,13,00000000,00000000,37B88996,00000000,41A7D06E,00000000,3911150B
1,1500.0,14,00000000,00000000,37AE37E7,00000000,41A09F54,00000000,390C17C1
1,1500.0,15,00000000,00000000,37A4E0F5,00000000,4199D586,00000000,3907514C
1,1500.0,16,00000000,00000000,379C44C1,00000000,41936888,00000000,390369E6
1,1500.0,17,00000000,00000000,37943084,00000000,418D4F84,00000000,39004775
1,1500.0,18,00000000,00000000,378C844E,00000000,418782F1,00000000,38FB9687
1,1500.0,19,00000000,00000000,37852F2E,00000000,4181FC5A,00000000,38F8A4AE
1,1500.0,20,00000000,00000000,377C65AF,00000000,41796C52,00000000,38F6D51C
1,1500.0,21,00000000,00000000,376F40E8,00000000,416F570C,00000000,38EB6DD1
1,1500.0,22,00000000,00000000,37633282,00000000,4165B068,00000000,38E102B4
1,1500.0,23,00000000,00000000,37585461,00000000,415C70FB,00000000,38D99427
1,1500.0,24,00000000,00000000,374E6BC5,00000000,4153923A,00000000,B88750D3
1,1500.0,25,00000000,00000000,37444A93,00000000,414B0E74,00000000,B8D3E875
1,1500.0,26,00000000,00000000,3739F877,00000000,4142E09A,00000000,38C5FC4C
1,1500.0,27,00000000,00000000,373010B5,00000000,413B042A,00000000,38C2ED7C
1,1500.0,28,00000000,00000000,37269448,00000000,41337525,00000000,38BFE153
1,1500.0,29,00000000,00000000,371D8458,00000000,412C3000,00000000,38BCCE2E
1,1500.0,30,00000000,00000000,3714E044,00000000,412531A0,00000000,38B9981E
1,1500.0,31,00000000,00000000,370CAA87,00000000,411E7743,00000000,38B638A2
1,1500.0,32,00000000,00000000,3704E2B7,00000000,4117FE88,00000000,38B2A271
1,1500.0,33,00000000,00000000,36FB0FE7,00000000,4111C562,00000000,38AECB9A
1,1500.0,34,00000000,00000000,36ED3636,00000000,410BCA14,00000000,38AAAD22
1,1500.0,35,00000000,00000000,36E0360D,00000000,41060B31,00000000,38A63500
1,1500.0,36,00000000,00000000,36D41278,00000000,41008798,00000000,38A17C5D
1,1500.0,37,00000000,00000000,36C8CB51,00000000,40F67D01,00000000,389C6857
1,1500.0,38,00000000,00000000,36BE64F2,00000000,40EC5EE6,00000000,38970856
1,1500.0,39,00000000,00000000,36B4E7F8,00000000,40E2B4BA,00000000,38915445
1,1500.0,40,00000000,00000000,36AA8426,00000000,40D97F3F,00000000,388B8A12
1,1500.0,41,00000000,00000000,36A06D0A,00000000,40D0C030,00000000,3885A154
1,1500.0,42,00000000,00000000,37230E2D,00000000,40C87A81,00000000,388B81F3
1,1500.0,43,00000000,00000000,B5CB9132,00000000,40C0B2BE,00000000,384889EA
1,1500.0,44,00000000,00000000,B4A77FA0,00000000,40B96FC3,00000000,3838E08E
1,1500.0,45,00000000,00000000,36083EC0,00000000,40B2BBCA,00000000,382E874E
1,1500.0,46,00000000,00000000,36E0F26C,00000000,40ACA69F,00000000,3831B4E9
1,1500.0,47,00000000,00000000,37966D48,00000000,40A74A69,00000000,37A6429D
1,1500.0,48,00000000,00000000,37966D49,00000000,40A2D9D6,00000000,37834666
1,1500.0,49,00000000,00000000,37966D49,00000000,40A00000,00000000,379B74F0
2,1500.0,1,00000000,00000000,00000000,00000000,41CA7C65,00000000,00000000
2,1500.0,2,00000000,00000000,B908279B,00000000,41C502AB,00000000,B9ED846C
2,1500.0,3,00000000,00000000,B5EAA92F,00000000,41C0B51F,00000000,39F9D10F
2,1500.0,4,00000000,00000000,B595AC65,00000000,41BD1924,00000000,39352682
2,1500.0,5,00000000,00000000,B51A6870,00000000,41B9FA8E,00000000,39C7831E
2,1500.0,6,00000000,00000000,B3C8F437,00000000,41B739C6,00000000,39C6C56A
2,1500.0,7,00000000,00000000,34B9D925,00000000,41B4C21C,00000000,39C5FDAF
2,1500.0,8,00000000,00000000,354A5FAB,00000000,41B2853D,00000000,39C4BD8B
2,1500.0,9,00000000,00000000,35986B38,00000000,41B078CF,00000000,39C2F6CA
