case,dx,k,ptte
1,1500.0,1,00000000
1,1500.0,2,BA2C7D45
1,1500.0,3,39722D07
1,1500.0,4,39812666
1,1500.0,5,397B70AD
1,1500.0,6,38E98135
1,1500.0,7,395D2C2B
1,1500.0,8,39491180
1,1500.0,9,393922C5
1,1500.0,10,392C2378
1,1500.0,11,39214C31
1,1500.0,12,39184CA1
1,1500.0,13,39114929
1,1500.0,14,390C48F5
1,1500.0,15,39077FDC
1,1500.0,16,39039608
1,1500.0,17,3900714F
1,1500.0,18,38FBE5E5
1,1500.0,19,38F8EFE8
1,1500.0,20,38F71C64
1,1500.0,21,38EBB162
1,1500.0,22,38E142DE
1,1500.0,23,38D9D13F
1,1500.0,24,B8871687
1,1500.0,25,B8D3B106
1,1500.0,26,38C630D1
1,1500.0,27,38C31F35
1,1500.0,28,38C0105E
1,1500.0,29,38BCFAAA
1,1500.0,30,38B9C229
1,1500.0,31,38B6605C
1,1500.0,32,38B2C7F8
1,1500.0,33,38AEEF0E
1,1500.0,34,38AACEA1
1,1500.0,35,38A654A9
1,1500.0,36,38A19A4F
1,1500.0,37,389C84B1
1,1500.0,38,38972339
1,1500.0,39,38916DD1
1,1500.0,40,388BA226
1,1500.0,41,3885B7FB
1,1500.0,42,388BAFFF
1,1500.0,43,38489849
1,1500.0,44,3838E383
1,1500.0,45,382E9A8B
1,1500.0,46,3831F470
1,1500.0,47,37A79679
1,1500.0,48,37849A42
1,1500.0,49,379CC8CC
2,1500.0,1,00000000
2,1500.0,2,B9ED58D1
2,1500.0,3,39F9D1A5
2,1500.0,4,39352742
2,1500.0,5,39C7834F
2,1500.0,6,39C6C572
2,1500.0,7,39C5FDCD
2,1500.0,8,39C4BDCC
2,1500.0,9,39C2F72C
2,1500.0,10,39BE074C
2,1500.0,11,39B8670E
2,1500.0,12,39B36081
2,1500.0,13,39AF6365
2,1500.0,14,39AC3115
2,1500.0,15,39A8E56F
2,1500.0,16,39A6123C
2,1500.0,17,39A4191D
2,1500.0,18,39A2F4C8
2,1500.0,19,39A26603
2,1500.0,20,399F1C2E
2,1500.0,21,399AC6AB
2,1500.0,22,39966BD7
2,1500.0,23,39460C8E
2,1500.0,24,B8A3975B
2,1500.0,25,B94FF623
2,1500.0,26,396A0F20
2,1500.0,27,39637EE3
2,1500.0,28,395CE2DD
2,1500.0,29,39562C43
2,1500.0,30,394F5EF4
2,1500.0,31,394873C3
2,1500.0,32,39416F23
2,1500.0,33,393A47E9
2,1500.0,34,393309E9
2,1500.0,35,392BB6F9
2,1500.0,36,39245BC3
2,1500.0,37,391D0197
2,1500.0,38,3915B25E
2,1500.0,39,390E7B50
2,1500.0,40,39077A52
2,1500.0,41,39009804
2,1500.0,42,38F3E629
2,1500.0,43,38E7431C
2,1500.0,44,38EC6FBC
2,1500.0,45,38B6F631
2,1500.0,46,37DBF890
2,1500.0,47,381AD138
2,1500.0,48,3730C0C7
2,1500.0,49,B8460E29
3,1500.0,1,00000000
3,1500.0,2,B9E67C7E
3,1500.0,3,39FBE79E
3,1500.0,4,393B6AB1
3,1500.0,5,39CC20F6
3,1500.0,6,39CC76D1
3,1500.0,7,39CCAA57
3,1500.0,8,39CC506D
3,1500.0,9,39CB5A13
3,1500.0,10,39C71F54
3,1500.0,11,39C22556
3,1500.0,12,39BDBEBF
3,1500.0,13,39BA533F
3,1500.0,14,39B7B0D9
3,1500.0,15,39B4E771
3,1500.0,16,39B29345
3,1500.0,17,39B11CDD
3,1500.0,18,39B06C8C
3,1500.0,19,39B04E81
3,1500.0,20,39AD5AA1
3,1500.0,21,39A968D1
3,1500.0,22,39A5701C
3,1500.0,23,3964CFBB
3,1500.0,24,B849310C
3,1500.0,25,B932D3DF
3,1500.0,26,39857024
3,1500.0,27,3982808C
3,1500.0,28,397F09D8
3,1500.0,29,3978FD68
3,1500.0,30,3972D0CF
3,1500.0,31,396C798A
3,1500.0,32,396602FB
3,1500.0,33,395F68E7
3,1500.0,34,3958AC40
3,1500.0,35,3951DD73
3,1500.0,36,394AEFE5
3,1500.0,37,39440665
3,1500.0,38,393D19F2
3,1500.0,39,39364BD6
