case,dx,k,t3d,qv3d,qc3d,qi3d,u3d,v3d,pcps,p8w,dz8w,rho3d,pi3d,w,qvften,thften,rthcuten,rqvcuten,rqccuten,rqicuten,rucuten,rvcuten
1,1500.0,1,4396C000,3CBCA8B6,00000000,00000000,40A00000,00000000,47C4C68E,47C54400,42322EB5,3F92F993,3F8045F2,00000000,32ABCC77,37A7C5AC,B5CC5D21,B3422223,00000000,00000000,37966667,00000000
1,1500.0,2,43969AF0,3CBA9BFC,00000000,00000000,40A2D9D6,00000000,47C386CA,47C4491D,428ABDEB,3F92344B,3F800A41,3A0991A7,32AB5205,37A74E19,B6887D9A,B32C4445,00000000,00000000,37966667,00000000
1,1500.0,3,43966139,3CB731B1,00000000,00000000,40A74A69,00000000,47C1DB71,47C2C476,42A7819D,3F9135AB,3F7F741B,3AAFE3E5,32AA9355,37A693E1,00000000,B325BBBC,00000000,00000000,37966667,00000000
1,1500.0,4,43961B8A,3CB31358,00000000,00000000,40ACA69F,00000000,47BFEC14,47C0F26C,42BE1572,3F90107A,3F7EB8F0,3B1893FD,32A9AD1D,37A5B30E,37C0F688,B34D7778,00000000,00000000,36E11112,00000000
1,1500.0,5,4395CC77,3CAE7676,00000000,00000000,40B2BBCA,00000000,47BDC730,47BEE5BD,42D17829,3F8ECC01,3F7DE7F5,3B61DF2B,32A8A7DE,37A4B3EE,37B8FACD,B316EEEF,306D07B4,00000000,36080000,00000000
1,1500.0,6,43957553,3CA9794D,00000000,00000000,40B96FC3,00000000,47BB7530,47BCA8A3,42E2ED2D,3F8D6C86,3F7D03E5,3B994628,32A787F9,37A39AC9,37CF374C,B3026667,3105BF1E,00000000,B4A66667,00000000
1,1500.0,7,439516EC,3CA43087,00000000,00000000,40C0B2BE,00000000,47B8FBC1,47BA41BE,42F32284,3F8BF4E3,3F7C0E76,3BC4E67B,32A65017,37A26A36,37F2ABEA,B362CCCE,31333A71,00000000,B5CBBBBC,00000000
1,1500.0,8,4394B1C7,3C9EAB8C,00000000,00000000,40C87A81,00000000,47B65F04,47B7B5C4,430140DA,3F8A671F,3F7B08CB,3BF3889B,32A501ED,37A123E1,384A5314,B364CCCE,315FE486,00000000,37231112,00000000
1,1500.0,9,4394463E,3C98F6C6,00000000,00000000,40D0C030,00000000,47B3A227,47B50844,4308A943,3F88C4C3,3F79F3A9,3C127B2F,32A39EA3,379FC8EB,384046A9,B351BBBC,31852B5B,00000000,36A08889,00000000
1,1500.0,10,4393D48A,3C931C3C,00000000,00000000,40D97F3F,00000000,47B0C7B3,47B23C0A,430FE39C,3F870EFC,3F78CF9A,3C2C8255,32A226FC,379E5A12,384E53D6,B35FDDDF,31983A19,00000000,36AA6667,00000000
1,1500.0,11,43935CD3,3C8CE8A3,00000000,00000000,40E2B4BA,00000000,47ADD1BE,47AF535C,431702F0,3F854753,3F779CF6,3C47C770,32A09B78,379CD7D3,385C8F23,B37C0001,31A98647,00000000,36B4CCCD,00000000
1,1500.0,12,4392DF2E,3C8610C4,00000000,00000000,40EC5EE6,00000000,47AAC205,47AC501F,431E1667,3F836F51,3F765BF3,3C643A18,329EFC5F,379B4274,3868C40F,B379BBBD,31BAA3A5,00000000,36BE6667,00000000
1,1500.0,13,43925BA7,3C7E6878,00000000,00000000,40F67D01,00000000,47A79A06,47A933EB,43252C26,3F81860B,3F750CA9,3C80E56E,329D49D2,37999A17,387761C5,B377CCCE,31C88758,00000000,36C8CCCD,00000000
1,1500.0,14,4391D23B,3C70B559,00000000,00000000,41008798,00000000,47A45B0A,47A60021,432C5064,3F7F17FD,3F73AF19,3C903567,329B83CC,3797DEB5,3881FCA8,B375BBBD,31D33397,00000000,36D44445,00000000
1,1500.0,15,439142DD,3C631607,00000000,00000000,41060B31,00000000,47A10632,47A2B5F3,43338D31,3F7B032B,3F72432C,3CA0056B,3299AA25,37961028,388862AE,B3736667,31DAAFCA,00000000,36E00001,00000000
1,1500.0,16,4390AD7A,3C559773,00000000,00000000,410BCA14,00000000,479D9C7B,479F5670,433AED57,3F76CE3F,3F70C8B8,3CB04D81,3297BC99,37942E2D,388DC256,B3710001,31DF0B64,00000000,36ED5556,00000000
1,1500.0,17,439011F4,3C48454D,00000000,00000000,4111C562,00000000,479A1ECA,479BE286,434279F2,3F7279C5,3F6F3F82,3CC10522,3295BAC7,37923866,38946041,B36E4445,31E06131,00000000,36FB3334,00000000
1,1500.0,18,438F7026,3C3B2A78,00000000,00000000,4117FE88,00000000,47968DEA,47985B0D,434A3CC1,3F6E062A,3F6DA73B,3CD222E1,3293A434,37902E5B,3899F7BE,B36AEEF0,31DED1E9,00000000,3704CCCD,00000000
1,1500.0,19,438EC7E3,3C2E5116,00000000,00000000,411E7743,00000000,4792EA95,4794C0C7,43523FD1,3F6973C4,3F6BFF85,3CE39C36,3291784D,378E0F7B,389FAD05,B3671112,31DA8720,00000000,370C8889,00000000
1,1500.0,20,438E18F6,3C21C28E,00000000,00000000,412531A0,00000000,478F3572,47911463,435A8D35,3F64C2D2,3F6A47ED,3CF56544,328F365E,378BDB18,38A457C6,B362999A,31D3B580,00000000,3714CCCD,00000000
1,1500.0,21,438D6320,3C15878C,00000000,00000000,412C3000,00000000,478B6F1C,478D5682,436330E6,3F5FF384,3F687FEE,3D03B844,328CDD9E,3789906D,38AA4CC3,B35D999A,31CA99F9,00000000,371D999A,00000000
1,1500.0,22,438CA61A,3C09A834,00000000,00000000,41337525,00000000,4787981E,478987B5,436C3538,3F5B05F1,3F66A6F0,3D0CD754,328A6D20,37872E91,38AF3738,B357CCCE,31BF7AE9,00000000,3726AAAB,00000000
1,1500.0,23,438BE194,3BFC584D,00000000,00000000,413B042A,00000000,4783B0FB,4785A886,4375A8AF,3F55FA22,3F64BC45,3D1606F0,3287E3D7,3784B480,38B5758A,B3518001,31B2A829,00000000,37300001,00000000
1,1500.0,24,438B1530,3BE63474,00000000,00000000,4142E09A,00000000,477F7458,4781B970,437F98DB,3F50D015,3F62BF27,3D1F3CF2,32854094,37822110,38BAA9DC,B34A6EF0,31A479EE,00000000,3739DDDF,00000000
1,1500.0,25,438A4088,3BD0F204,00000000,00000000,414B0E74,00000000,47776842,477B75D0,43850AFE,3F4B87AB,3F60AEB7,3D286D9D,328281FF,377EE5E6,B90A8C9F,B350B334,31954E31,00000000,37444445,00000000
1,1500.0,26,43896326,3BBB527F,00000000,00000000,4153923A,00000000,476F3E84,47735AB4,438A9890,3F4621F5,3F5E89FA,3D318B62,327F4D2D,3779515E,B8BF6B83,B357AAAB,31880736,00000000,374E6667,00000000
1,1500.0,27,43887C86,3BA529FB,00000000,00000000,415C70FB,00000000,4766F7E1,476B2254,43907EFB,3F409ECC,3F5C4FD2,3D3A8691,3279594A,37738132,38DA24E9,B3473BBC,31762A6E,2E81C958,37584445,00000000
1,1500.0,28,43878C16,3B907571,00000000,00000000,4165B068,00000000,475E9510,4762CD6E,4396CBBE,3F3AFC05,3F59FEFF,3D434CF6,3273248A,376D71AF,38E53AD6,B3396EF0,3139C10B,3019DC01,37633334,00000000
1,1500.0,29,43869129,3B7A7533,00000000,00000000,416F570C,00000000,475616BC,475A5CB1,439D8C74,3F35394F,3F579615,3D4BC991,326CAA86,37671E86,38F5B99A,B32B8001,310358D5,30769BC0,376F3334,00000000
1,1500.0,30,43858B00,3B56FB14,00000000,00000000,41796C52,00000000,474D7D88,4751D0C6,43A4D174,3F2F5639,3F551379,3D53E3FE,3265E642,376082DC,39035BC2,B31DB334,30A935BB,308F3CA8,377C4445,00000000
1,1500.0,31,438478BE,3B367FBC,00000000,00000000,4181FC5A,00000000,4744CA0D,47492A4A,43ACADF5,3F295246,3F527553,3D5B7FDD,325ED210,37599923,3906F044,B30FFBBC,303DC04D,3086C66C,37851112,00000000
1,1500.0,32,43835967,3B1901E9,00000000,00000000,418782F1,00000000,473BFCDA,474069D0,43B538FE,3F232CD3,3F4FB98D,3D627C18,32576770,37525B03,390B57E5,B3025556,2FC09293,3063B444,378C8889,00000000
1,1500.0,33,43822BD9,3AFCF6E5,00000000,00000000,418D4F84,00000000,47331678,47378FE4,43BE8DB6,3F1CE528,3F4CDDBC,3D68B20D,324F9EDF,374AC125,39109EB6,B2E9A223,2F2C2D04,3030912E,37944445,00000000
1,1500.0,34,4380EEC4,3ACDC1F6,00000000,00000000,41936888,00000000,472A1768,472E9D0C,43C8CE0D,3F167A63,3F49DF18,3D6DF47C,32476FB6,3742C317,39177FED,B2CF3334,2E80B07F,2FFE7A8E,379C4445,00000000
1,1500.0,35,437F4142,3AA44373,00000000,00000000,4199D586,00000000,47210026,472591C4,43D42241,3F0FEB78,3F46BA63,3D720E47,323ECFD7,373A56F8,391F6472,B2B5A223,2D8DDCC7,2FABD268,37A4CCCD,00000000
1,1500.0,36,437C7F46,3A804E18,00000000,00000000,41A09F54,00000000,4717D12A,471C6E89,43E0BE84,3F093735,3F436BD0,3D74C0E2,3235B367,37317132,39291384,B29CF778,2C12189D,2F5ACAA4,37AE2223,00000000
1,1500.0,37,43799354,3A435170,00000000,00000000,41A7D06E,00000000,470E8AE0,471333CA,43EEE2DA,3F025C1C,3F3FEEDC,3D75C265,322C0C50,37280406,39339E43,B2830CCD,00000000,2F02CB55,37B88889,00000000
1,1500.0,38,43767850,3A101AAC,00000000,00000000,41AF7563,00000000,47052DB5,4709E1F6,43FEE2E4,3EF6B0E0,3F3C3E26,3D74BB33,3221C9BC,371DFF01,3941A805,B2593334,00000000,2E93EBD5,37C44445,00000000
1,1500.0,39,4373280D,39CCA41F,00000000,00000000,41B79D6A,00000000,46F7741C,47007974,44089586,3EE85427,3F385329,3D7142FD,3216D73B,37134E30,39531B07,B230D778,00000000,2E1CA0D9,37D1999A,00000000
1,1500.0,40,436F9AF3,398A6E89,00000000,00000000,41C05B35,00000000,46E46098,46EDF550,44132646,3ED99CF1,3F3425E1,3D6ADD0E,320B1BB8,3707D911,3968AC87,B205C000,00000000,2D981D05,37E11112,00000000
1,1500.0,41,436BC786,39358FF4,00000000,00000000,41C9C61A,00000000,46D1219A,46DACBE0,441F86C6,3ECA84D2,3F2FAC53,3D60F3A5,31FCEFBA,36F7021C,398135AD,B1A55DDE,00000000,2D034D47,37F37778,00000000
1,1500.0,42,4367A1B7,3902563E,00000000,00000000,41D3FBC8,00000000,46BDB7DA,46C77754,442E42E8,3EBB03CF,3F2AD9C8,3D52D227,31E187AF,36DC3E81,39917174,B18C4000,00000000,2C315A93,3804CCCD,00000000
1,1500.0,43,436319D4,38B23EF0,00000000,00000000,41DF22E2,00000000,46AA2402,46B3F860,444025AE,3EAB1104,3F259DB1,3D3F9DF1,31C39797,36BF0209,39A65277,B1667BBD,00000000,2B4C65A0,38128889,00000000
1,1500.0,44,435E1AE6,3865051B,00000000,00000000,41EB6F06,00000000,469666B6,46A04FA4,44566398,3E9A9FB6,3F1FE1DD,3D264DC9,31A294DD,369EC560,3932E7AC,B1A2F089,00000000,2A410E05,38240001,00000000
1,1500.0,45,435887ED,3807791C,00000000,00000000,41F92792,00000000,46828094,468C7DC8,4472EC58,3E899F35,3F198776,3D05A0CB,317B7FE3,36759AE3,39CE8A2B,B0A25556,00000000,31097438,38111112,00000000
1,1500.0,46,43523707,378F12E0,00000000,00000000,420459D0,00000000,465CE468,467106C0,448C88AE,3E6FF1BA,3F1261A1,3CB82DF3,3128081C,362417EB,39DF9ED7,B044C667,00000000,31C9DCDA,36CEEEF0,00000000
1,1500.0,47,434AE83E,37003036,00000000,00000000,420D5852,00000000,46347860,4648C210,44A78A9A,3E4B18E7,3F0A2AFD,3C1FDAE7,308EEA3E,358B90C0,39DF538A,AFC57778,00000000,324211D3,B8B6EEF0,00000000
1,1500.0,48,43458000,3694C46E,00000000,00000000,42181152,00000000,460BBE28,46202EB0,44D4CF13,3E2191C6,3F006E70,00000000,00000000,00000000,BAABE32A,32C23F2B,00000000,00000000,B9E72AAB,00000000
1,1500.0,49,43458000,36D29A0C,00000000,00000000,4225AFFB,00000000,45C56DA0,45EE9B40,4518E2FD,3DE443BB,3EE89483,00000000,00000000,00000000,00000000,A8088889,00000000,00000000,00000000,00000000
