case,dx,ldcum,zdhpbl,upbl,zmfub
1,1500.0,1,431A5CF6,46312590,3C0987C2
2,1500.0,1,4362FF6D,4765CD58,3F158E39
3,1500.0,1,442A3F92,4684D469,3F158E39
4,1500.0,1,C3E78A0A,46312C3A,3F08EBA5
5,1500.0,1,4362FEAB,00000000,3F158E39
6,1500.0,1,43629197,4684D469,3F158E39
7,1500.0,1,4362FF44,4684D4FF,3F158E39
8,1500.0,0,00000000,00000000,00000000
9,1500.0,0,00000000,00000000,00000000
10,1500.0,0,00000000,00000000,00000000
11,1500.0,1,431A5CF6,46312590,3C0987C2
12,1500.0,0,00000000,00000000,00000000
13,1500.0,0,00000000,00000000,00000000
14,1500.0,0,00000000,00000000,00000000
15,1500.0,0,00000000,00000000,00000000
16,1500.0,0,00000000,00000000,00000000
17,1500.0,0,00000000,00000000,00000000
18,1500.0,0,00000000,00000000,00000000
1,4500.0,1,431A5CF6,46312590,3C0987C2
2,4500.0,1,4362FF6D,4765CD58,3F158E39
3,4500.0,1,442A3F92,4684D469,3F158E39
4,4500.0,1,C3E78A0A,46312C3A,3F08EBA5
5,4500.0,1,4362FEAB,00000000,3F158E39
6,4500.0,1,43629197,4684D469,3F158E39
7,4500.0,1,4362FF44,4684D4FF,3F158E39
8,4500.0,0,00000000,00000000,00000000
9,4500.0,0,00000000,00000000,00000000
10,4500.0,0,00000000,00000000,00000000
11,4500.0,1,431A5CF6,46312590,3C0987C2
12,4500.0,0,00000000,00000000,00000000
13,4500.0,0,00000000,00000000,00000000
14,4500.0,0,00000000,00000000,00000000
15,4500.0,0,00000000,00000000,00000000
16,4500.0,0,00000000,00000000,00000000
17,4500.0,0,00000000,00000000,00000000
18,4500.0,0,00000000,00000000,00000000
1,9000.0,1,431A5CF6,46312590,3C0987C2
2,9000.0,1,4362FF6D,4765CD58,3F158E39
3,9000.0,1,442A3F92,4684D469,3F158E39
4,9000.0,1,C3E78A0A,46312C3A,3F08EBA5
5,9000.0,1,4362FEAB,00000000,3F158E39
6,9000.0,1,43629197,4684D469,3F158E39
7,9000.0,1,4362FF44,4684D4FF,3F158E39
8,9000.0,0,00000000,00000000,00000000
9,9000.0,0,00000000,00000000,00000000
10,9000.0,0,00000000,00000000,00000000
11,9000.0,1,431A5CF6,46312590,3C0987C2
12,9000.0,0,00000000,00000000,00000000
13,9000.0,0,00000000,00000000,00000000
14,9000.0,0,00000000,00000000,00000000
15,9000.0,0,00000000,00000000,00000000
16,9000.0,0,00000000,00000000,00000000
17,9000.0,0,00000000,00000000,00000000
18,9000.0,0,00000000,00000000,00000000
1,13500.0,1,431A5CF6,46312590,3C0987C2
2,13500.0,1,4362FF6D,4765CD58,3F158E39
3,13500.0,1,442A3F92,4684D469,3F158E39
4,13500.0,1,C3E78A0A,46312C3A,3F08EBA5
5,13500.0,1,4362FEAB,00000000,3F158E39
6,13500.0,1,43629197,4684D469,3F158E39
7,13500.0,1,4362FF44,4684D4FF,3F158E39
8,13500.0,0,00000000,00000000,00000000
9,13500.0,0,00000000,00000000,00000000
10,13500.0,0,00000000,00000000,00000000
11,13500.0,1,431A5CF6,46312590,3C0987C2
12,13500.0,0,00000000,00000000,00000000
13,13500.0,0,00000000,00000000,00000000
14,13500.0,0,00000000,00000000,00000000
15,13500.0,0,00000000,00000000,00000000
16,13500.0,0,00000000,00000000,00000000
17,13500.0,0,00000000,00000000,00000000
18,13500.0,0,00000000,00000000,00000000
1,15000.0,1,431A5CF6,46312590,3C0987C2
2,15000.0,1,4362FF6D,4765CD58,3F158E39
3,15000.0,1,442A3F92,4684D469,3F158E39
4,15000.0,1,C3E78A0A,46312C3A,3F08EBA5
5,15000.0,1,4362FEAB,00000000,3F158E39
6,15000.0,1,43629197,4684D469,3F158E39
7,15000.0,1,4362FF44,4684D4FF,3F158E39
8,15000.0,0,00000000,00000000,00000000
9,15000.0,0,00000000,00000000,00000000
10,15000.0,0,00000000,00000000,00000000
11,15000.0,1,431A5CF6,46312590,3C0987C2
12,15000.0,0,00000000,00000000,00000000
13,15000.0,0,00000000,00000000,00000000
14,15000.0,0,00000000,00000000,00000000
15,15000.0,0,00000000,00000000,00000000
16,15000.0,0,00000000,00000000,00000000
17,15000.0,0,00000000,00000000,00000000
18,15000.0,0,00000000,00000000,00000000
1,27000.0,1,431A5CF6,46312590,3C0987C2
2,27000.0,1,4362FF6D,4765CD58,3F158E39
3,27000.0,1,442A3F92,4684D469,3F158E39
4,27000.0,1,C3E78A0A,46312C3A,3F08EBA5
5,27000.0,1,4362FEAB,00000000,3F158E39
6,27000.0,1,43629197,4684D469,3F158E39
7,27000.0,1,4362FF44,4684D4FF,3F158E39
8,27000.0,0,00000000,00000000,00000000
9,27000.0,0,00000000,00000000,00000000
10,27000.0,0,00000000,00000000,00000000
11,27000.0,1,431A5CF6,46312590,3C0987C2
12,27000.0,0,00000000,00000000,00000000
13,27000.0,0,00000000,00000000,00000000
14,27000.0,0,00000000,00000000,00000000
15,27000.0,0,00000000,00000000,00000000
16,27000.0,0,00000000,00000000,00000000
17,27000.0,0,00000000,00000000,00000000
18,27000.0,0,00000000,00000000,00000000
