case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,pdmfup,plrain,klab
1,1500.0,1,43458000,36D299B5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,2,4351556F,383E86F7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,3,434DC570,37A140AC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,4,4351677C,37CD7805,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,5,4357A020,383CCCBE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,6,435D2805,389BF9A4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,7,43622031,38EDC5E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,8,4366A25C,392A5350,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,9,436AC257,39686766,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,10,436E8FA8,39987F8A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,11,4372168E,39D2B3F2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,12,437560CC,3A0F8044,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,13,43787648,3A3DF624,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,14,437B5D0B,3A75904C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,15,437E18BC,3A9BD159,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,16,4380586F,3AC1C7FE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,17,438194AA,3AECD722,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,18,4382C28B,3B0E94D6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,19,4383E34E,3B2971DE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,20,4384F7F8,3B470FF4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,21,43860164,3B677702,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,22,43870053,3B855477,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,23,4387F570,3B985105,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,24,4388E07C,3BACA22B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,25,4389C065,3BC27CAB,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,26,438A97AB,3BD7C3EA,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,27,438B66C5,3BECA3BE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,28,438C2E17,3C012B6C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,29,438CEDFC,3C0C67EE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,30,438DA6C1,3C18008F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,31,438E58AB,3C23ED6A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,32,438F03F8,3C30267C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,33,438FA8DD,3C3CA2D9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,34,43904787,3C495930,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,35,4390E01B,3C563F5F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,36,439172BC,3C634A93,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,37,4391FF7C,3C706F3E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,38,4392866D,3C7DA0AF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,39,43930794,3C8568A8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,40,439382F0,3C8BF911,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,41,4393F870,3C91E7A0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,42,439467F8,3C977D49,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,43,4394D15B,3C9CEBA9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,44,43953459,3CA2291B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,45,4395908F,3CA72989,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
1,1500.0,46,4395B61A,3CB44622,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
1,1500.0,47,43961CDA,3CB6E18D,322BCC77,3C0987C2,451F3C3E,39447F60,2EB8970D,00000000,00000000,2
1,1500.0,48,43967AD7,3CB9DE12,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
1,1500.0,49,4396DBED,3CBE633B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
2,1500.0,1,43468000,36F520CD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
2,1500.0,2,432C228A,339C118B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
2,1500.0,3,433CD77E,35BC8168,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,4,4349F33D,3723773A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,5,4354E13E,3827429F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,6,435E2EA1,38F4C0DF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,7,4366266A,398D6817,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,8,436CF6F8,3A08D485,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,9,4372C696,3A66ED10,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,10,4377BB21,3AAF511D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,11,437BF742,3AF59E9E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,12,437F95C2,3B226F43,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,13,43815C1F,3B4CFAB4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,14,4382BDEB,3B791B18,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,15,4383FB3D,3B92EF30,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,16,43851C46,3BA95083,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,17,43862740,3BBF7BDB,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,18,438720FC,3BD54D88,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,19,43880E23,3BEAC911,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,20,4388F1CF,3BFFF863,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,21,4389C98C,3C0A8D82,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,22,438A956C,3C151742,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,23,438B5637,3C1F8CFE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,24,438C0D3E,3C29F1F7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,25,438CBBA5,3C344AAE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,26,438D626D,3C3E9CC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,27,438E0285,3C48F03C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,28,438E9CB2,3C534C65,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,29,438F318D,3C5DB691,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,30,438FC18F,3C6832AF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,31,43904D15,3C72C30D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,32,4390D460,3C7D6802,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,33,43915799,3C840FE2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,34,4391D6D3,3C8972E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,35,43925209,3C8ED97B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,36,4392C920,3C943E56,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,37,43933BEA,3C999A87,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,38,4393AA20,3C9EE507,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,39,43941365,3CA412A0,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,40,43947745,3CA915B2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,41,4394D588,3CADE50C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,42,43952E23,3CB27B73,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,43,439580B9,3CB6CD21,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,44,4395CCB4,3CBAC9AE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,45,4396116A,3CBE5F78,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
2,1500.0,46,43964E28,3CC17CB2,37E1E800,3F158E39,482DEB1B,3C621224,3783F989,00000000,00000000,2
2,1500.0,47,4396B150,3CC2DB43,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
2,1500.0,48,43971C61,3CC33D97,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
2,1500.0,49,43972408,3CC7B8C5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,1
3,1500.0,1,43468000,36F520CD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
3,1500.0,2,432C3572,339E8FCF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0
3,1500.0,3,433CEA62,35BEFB4B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,4,434A060E,372552FE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,5,4354F3D4,3828F14C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,6,435E40BE,38F6F2CD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,7,436637B8,398E883F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,8,436D072A,3A09CA2D,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
3,1500.0,9,4372D583,3A685863,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
