case,dx,ktype,kcbot,pmfub
1,1500.0,2,47,3C0987C2
2,1500.0,1,46,3F158E39
3,1500.0,1,46,3F158E39
4,1500.0,1,47,3F08EBA5
5,1500.0,1,46,3F158E39
6,1500.0,1,46,3F158E39
7,1500.0,1,46,3F158E39
8,1500.0,3,34,3BB211F3
9,1500.0,3,38,3B798E49
10,1500.0,3,35,3BA4E4A3
11,1500.0,2,47,3C0987C2
12,1500.0,3,21,3D109FA5
13,1500.0,3,22,3D0F34EF
14,1500.0,3,22,3D0F86FA
15,1500.0,0,-1,00000000
16,1500.0,3,18,2EDBE6FF
17,1500.0,3,18,3D2C5034
18,1500.0,3,13,3CBF39FA
1,4500.0,2,47,3C0987C2
2,4500.0,1,46,3F158E39
3,4500.0,1,46,3F158E39
4,4500.0,1,47,3F08EBA5
5,4500.0,1,46,3F158E39
6,4500.0,1,46,3F158E39
7,4500.0,1,46,3F158E39
8,4500.0,3,34,3BB211F3
9,4500.0,3,38,3B798E49
10,4500.0,3,35,3BA4E4A3
11,4500.0,2,47,3C0987C2
12,4500.0,3,21,3D109FA5
13,4500.0,3,22,3D0F34EF
14,4500.0,3,22,3D0F86FA
15,4500.0,0,-1,00000000
16,4500.0,3,18,2EDBE6FF
17,4500.0,3,18,3D2C5034
18,4500.0,3,13,3CBF39FA
1,9000.0,2,47,3C0987C2
2,9000.0,1,46,3F158E39
3,9000.0,1,46,3F158E39
4,9000.0,1,47,3F08EBA5
5,9000.0,1,46,3F158E39
6,9000.0,1,46,3F158E39
7,9000.0,1,46,3F158E39
8,9000.0,3,34,3BB211F3
9,9000.0,3,38,3B798E49
10,9000.0,3,35,3BA4E4A3
11,9000.0,2,47,3C0987C2
12,9000.0,3,21,3D109FA5
13,9000.0,3,22,3D0F34EF
14,9000.0,3,22,3D0F86FA
15,9000.0,0,-1,00000000
16,9000.0,3,18,2EDBE6FF
17,9000.0,3,18,3D2C5034
18,9000.0,3,13,3CBF39FA
1,13500.0,2,47,3C0987C2
2,13500.0,1,46,3F158E39
3,13500.0,1,46,3F158E39
4,13500.0,1,47,3F08EBA5
5,13500.0,1,46,3F158E39
6,13500.0,1,46,3F158E39
7,13500.0,1,46,3F158E39
8,13500.0,3,34,3BB211F3
9,13500.0,3,38,3B798E49
10,13500.0,3,35,3BA4E4A3
11,13500.0,2,47,3C0987C2
12,13500.0,3,21,3D109FA5
13,13500.0,3,22,3D0F34EF
14,13500.0,3,22,3D0F86FA
15,13500.0,0,-1,00000000
16,13500.0,3,18,2EDBE6FF
17,13500.0,3,18,3D2C5034
18,13500.0,3,13,3CBF39FA
1,15000.0,2,47,3C0987C2
2,15000.0,1,46,3F158E39
3,15000.0,1,46,3F158E39
4,15000.0,1,47,3F08EBA5
5,15000.0,1,46,3F158E39
6,15000.0,1,46,3F158E39
7,15000.0,1,46,3F158E39
8,15000.0,3,34,3BB211F3
9,15000.0,3,38,3B798E49
10,15000.0,3,35,3BA4E4A3
11,15000.0,2,47,3C0987C2
12,15000.0,3,21,3D109FA5
13,15000.0,3,22,3D0F34EF
14,15000.0,3,22,3D0F86FA
15,15000.0,0,-1,00000000
16,15000.0,3,18,2EDBE6FF
17,15000.0,3,18,3D2C5034
18,15000.0,3,13,3CBF39FA
1,27000.0,2,47,3C0987C2
2,27000.0,1,46,3F158E39
3,27000.0,1,46,3F158E39
4,27000.0,1,47,3F08EBA5
5,27000.0,1,46,3F158E39
6,27000.0,1,46,3F158E39
7,27000.0,1,46,3F158E39
8,27000.0,3,34,3BB211F3
9,27000.0,3,38,3B798E49
10,27000.0,3,35,3BA4E4A3
11,27000.0,2,47,3C0987C2
12,27000.0,3,21,3D109FA5
13,27000.0,3,22,3D0F34EF
14,27000.0,3,22,3D0F86FA
15,27000.0,0,-1,00000000
16,27000.0,3,18,2EDBE6FF
17,27000.0,3,18,3D2C5034
18,27000.0,3,13,3CBF39FA
