case,dx,k,pmfu,pmfd,puen,pven,puu,pvu,pud,pvd,pmfude_rate
1,1500.0,1,00000000,00000000,4225AFFB,00000000,4225AFFB,00000000,4225AFFB,00000000,00000000
1,1500.0,2,00000000,00000000,42181152,00000000,4225AFFB,00000000,4225AFFB,00000000,3C4A5AF3
1,1500.0,3,3C4A5AF3,00000000,420D5852,00000000,42181152,00000000,42181152,00000000,3B6E8874
1,1500.0,4,3C82FE88,00000000,420459D0,00000000,420D5852,00000000,420D5852,00000000,3AA30525
1,1500.0,5,3C8D2EDA,00000000,41F92792,00000000,420459D0,00000000,420459D0,00000000,399DC1AC
1,1500.0,6,3C8FA5DE,00000000,41EB6F06,00000000,41F92792,00000000,41F92792,00000000,32A8388F
1,1500.0,7,3C8FA5E0,00000000,41DF22E2,00000000,41EB6F06,00000000,41EB6F06,00000000,338EFDFF
1,1500.0,8,3C8FA5E3,00000000,41D3FBC8,00000000,41DF22E2,00000000,41DF22E2,00000000,34508056
1,1500.0,9,3C8FA5F0,00000000,41C9C61A,00000000,41D3FBC8,00000000,41D3FBC8,00000000,35065CDE
1,1500.0,10,3C8FA615,00000000,41C05B35,00000000,41C9C61A,00000000,41C9C61A,00000000,358AE09A
1,1500.0,11,3C8FA650,00000000,41B79D6A,00000000,41C05B35,00000000,41C05B35,00000000,360252C6
1,1500.0,12,3C8FA697,00000000,41AF7563,00000000,41B79D6A,00000000,41B79D6A,00000000,3666EAB8
1,1500.0,13,3C8FA6CF,00000000,41A7D06E,00000000,41AF7563,00000000,41AF7563,00000000,36C41CD7
1,1500.0,14,3C8FA6C6,00000000,41A09F54,00000000,41A7D06E,00000000,41A7D06E,00000000,37227E5F
1,1500.0,15,3C8FA61A,00000000,4199D586,00000000,41A09F54,00000000,41A09F54,00000000,37837CC4
1,1500.0,16,3C8FA439,00000000,41936888,00000000,4199D586,00000000,4199D586,00000000,37CE760E
1,1500.0,17,3C8FA040,00000000,418D4F84,00000000,41936888,00000000,41936888,00000000,381C8184
1,1500.0,18,3C8F98D7,00000000,418782F1,00000000,418D4F84,00000000,418D4F84,00000000,3864614B
1,1500.0,19,3C8F8C15,00000000,4181FC5A,00000000,418782F1,00000000,418782F1,00000000,38A00FF5
1,1500.0,20,3C8F7756,00000000,41796C52,00000000,4181FC5A,00000000,4181FC5A,00000000,38D73E4E
1,1500.0,21,3C8F572B,00000000,416F570C,00000000,41796C52,00000000,41796C52,00000000,390AB37C
