case,dx,ldcum,ktype,kcbot,kctop,kdpl,kdtop
1,1500.0,1,1,47,3,49,43
2,1500.0,1,1,46,3,48,45
3,1500.0,1,1,46,3,48,45
4,1500.0,1,1,47,3,48,46
5,1500.0,1,1,46,3,48,44
6,1500.0,1,1,46,3,48,45
7,1500.0,1,1,46,3,48,45
8,1500.0,0,0,34,-1,48,50
9,1500.0,0,0,38,-1,48,50
10,1500.0,0,0,35,-1,48,50
11,1500.0,1,2,47,37,49,50
12,1500.0,0,0,21,-1,48,50
13,1500.0,0,0,22,-1,48,50
14,1500.0,0,0,22,-1,48,50
15,1500.0,0,0,-1,-1,48,50
16,1500.0,0,0,18,-1,48,50
17,1500.0,1,3,41,41,48,50
18,1500.0,1,3,35,35,48,50
1,4500.0,1,1,47,3,49,43
2,4500.0,1,1,46,3,48,45
3,4500.0,1,1,46,3,48,45
4,4500.0,1,1,47,3,48,46
5,4500.0,1,1,46,3,48,44
6,4500.0,1,1,46,3,48,45
7,4500.0,1,1,46,3,48,45
8,4500.0,0,0,34,-1,48,50
9,4500.0,0,0,38,-1,48,50
10,4500.0,0,0,35,-1,48,50
11,4500.0,1,2,47,37,49,50
12,4500.0,0,0,21,-1,48,50
13,4500.0,0,0,22,-1,48,50
14,4500.0,0,0,22,-1,48,50
15,4500.0,0,0,-1,-1,48,50
16,4500.0,0,0,18,-1,48,50
17,4500.0,1,3,41,41,48,50
18,4500.0,1,3,35,35,48,50
1,9000.0,1,1,47,3,49,43
2,9000.0,1,1,46,3,48,45
3,9000.0,1,1,46,3,48,45
4,9000.0,1,1,47,3,48,46
5,9000.0,1,1,46,3,48,44
6,9000.0,1,1,46,3,48,45
7,9000.0,1,1,46,3,48,45
8,9000.0,0,0,34,-1,48,50
9,9000.0,0,0,38,-1,48,50
10,9000.0,0,0,35,-1,48,50
11,9000.0,1,2,47,37,49,50
12,9000.0,0,0,21,-1,48,50
13,9000.0,0,0,22,-1,48,50
14,9000.0,0,0,22,-1,48,50
15,9000.0,0,0,-1,-1,48,50
16,9000.0,0,0,18,-1,48,50
17,9000.0,1,3,41,41,48,50
18,9000.0,1,3,35,35,48,50
1,13500.0,1,1,47,3,49,43
2,13500.0,1,1,46,3,48,45
3,13500.0,1,1,46,3,48,45
4,13500.0,1,1,47,3,48,46
5,13500.0,1,1,46,3,48,44
6,13500.0,1,1,46,3,48,45
7,13500.0,1,1,46,3,48,45
8,13500.0,0,0,34,-1,48,50
9,13500.0,0,0,38,-1,48,50
10,13500.0,0,0,35,-1,48,50
11,13500.0,1,2,47,37,49,50
12,13500.0,0,0,21,-1,48,50
13,13500.0,0,0,22,-1,48,50
14,13500.0,0,0,22,-1,48,50
15,13500.0,0,0,-1,-1,48,50
16,13500.0,0,0,18,-1,48,50
17,13500.0,1,3,41,41,48,50
18,13500.0,1,3,35,35,48,50
1,15000.0,1,1,47,3,49,43
2,15000.0,1,1,46,3,48,45
3,15000.0,1,1,46,3,48,45
4,15000.0,1,1,47,3,48,46
5,15000.0,1,1,46,3,48,44
6,15000.0,1,1,46,3,48,45
7,15000.0,1,1,46,3,48,45
8,15000.0,0,0,34,-1,48,50
9,15000.0,0,0,38,-1,48,50
10,15000.0,0,0,35,-1,48,50
11,15000.0,1,2,47,37,49,50
12,15000.0,0,0,21,-1,48,50
13,15000.0,0,0,22,-1,48,50
14,15000.0,0,0,22,-1,48,50
15,15000.0,0,0,-1,-1,48,50
16,15000.0,0,0,18,-1,48,50
17,15000.0,1,3,41,41,48,50
18,15000.0,1,3,35,35,48,50
1,27000.0,1,1,47,3,49,43
2,27000.0,1,1,46,3,48,45
3,27000.0,1,1,46,3,48,45
4,27000.0,1,1,47,3,48,46
5,27000.0,1,1,46,3,48,44
6,27000.0,1,1,46,3,48,45
7,27000.0,1,1,46,3,48,45
8,27000.0,0,0,34,-1,48,50
9,27000.0,0,0,38,-1,48,50
10,27000.0,0,0,35,-1,48,50
11,27000.0,1,2,47,37,49,50
12,27000.0,0,0,21,-1,48,50
13,27000.0,0,0,22,-1,48,50
14,27000.0,0,0,22,-1,48,50
15,27000.0,0,0,-1,-1,48,50
16,27000.0,0,0,18,-1,48,50
17,27000.0,1,3,41,41,48,50
18,27000.0,1,3,35,35,48,50
