case,dx,k,pmfu,pmfd,paph
1,1500.0,1,00000000,00000000,459C4000
1,1500.0,2,00000000,00000000,45EE9B40
1,1500.0,3,3C4A5AF3,00000000,46202EB0
1,1500.0,4,3C82FE88,00000000,4648C210
1,1500.0,5,3C8D2EDA,00000000,467106C0
1,1500.0,6,3C8FA5DE,00000000,468C7DC8
1,1500.0,7,3C8FA5E0,00000000,46A04FA4
1,1500.0,8,3C8FA5E3,00000000,46B3F860
1,1500.0,9,3C8FA5F0,00000000,46C77754
1,1500.0,10,3C8FA615,00000000,46DACBE0
1,1500.0,11,3C8FA650,00000000,46EDF550
1,1500.0,12,3C8FA697,00000000,47007974
1,1500.0,13,3C8FA6CF,00000000,4709E1F6
1,1500.0,14,3C8FA6C6,00000000,471333CA
1,1500.0,15,3C8FA61A,00000000,471C6E89
1,1500.0,16,3C8FA439,00000000,472591C4
1,1500.0,17,3C8FA040,00000000,472E9D0C
1,1500.0,18,3C8F98D7,00000000,47378FE4
1,1500.0,19,3C8F8C15,00000000,474069D0
1,1500.0,20,3C8F7756,00000000,47492A4A
1,1500.0,21,3C8F572B,00000000,4751D0C6
1,1500.0,22,3C8F275B,00000000,475A5CB1
1,1500.0,23,3C8EE30F,00000000,4762CD6E
1,1500.0,24,3C8E849D,00000000,476B2254
1,1500.0,25,3C8E0598,00000000,47735AB4
1,1500.0,26,3C8D62EB,00000000,477B75D0
1,1500.0,27,3C8C9905,00000000,4781B970
1,1500.0,28,3C8BA26E,00000000,4785A886
1,1500.0,29,3C8A79C5,00000000,478987B5
1,1500.0,30,3C8919FB,00000000,478D5682
1,1500.0,31,3C877E8C,00000000,47911463
1,1500.0,32,3C85A3B8,00000000,4794C0C7
1,1500.0,33,3C8386C4,00000000,47985B0D
1,1500.0,34,3C812637,00000000,479BE286
1,1500.0,35,3C7D041E,00000000,479F5670
1,1500.0,36,3C7737D1,00000000,47A2B5F3
1,1500.0,37,3C70EE44,00000000,47A60021
1,1500.0,38,3C6A31DA,00000000,47A933EB
1,1500.0,39,3C63109B,00000000,47AC501F
1,1500.0,40,3C5B9C27,00000000,47AF535C
1,1500.0,41,3C53EB69,00000000,47B23C0A
1,1500.0,42,3C4C1666,00000000,47B50844
1,1500.0,43,3C443706,BB503DCD,47B7B5C4
1,1500.0,44,3C3C69EB,BB503DCD,47BA41BE
1,1500.0,45,3C34CEB8,BB22CE89,47BCA8A3
1,1500.0,46,3C2D88D5,BAF0EBA2,47BEE5BD
1,1500.0,47,3C2D88D5,BAA361F0,47C0F26C
1,1500.0,48,3BC8C47D,BA3D05BC,47C2C476
1,1500.0,49,3B1D84F8,B9944DE3,47C4491D
2,1500.0,1,00000000,00000000,459C4000
2,1500.0,2,00000000,00000000,45EE9B40
2,1500.0,3,3C8FDFC8,00000000,46202EB0
2,1500.0,4,3C9FEABC,00000000,4648C210
2,1500.0,5,3CAF42A3,00000000,467106C0
2,1500.0,6,3CBE1E45,00000000,468C7DC8
2,1500.0,7,3CCC9D19,00000000,46A04FA4
2,1500.0,8,3CDAD2D1,00000000,46B3F860
2,1500.0,9,3CE8CC63,00000000,46C77754
2,1500.0,10,3CF6928A,00000000,46DACBE0
2,1500.0,11,3D01BD89,00000000,46EDF550
2,1500.0,12,3D07B89F,00000000,47007974
2,1500.0,13,3D0D49CA,00000000,4709E1F6
