case,dx,k,rthcuten,rqvcuten,rqccuten,rqicuten,rucuten,rvcuten
1,1500.0,1,B5CC5D21,B3422223,00000000,00000000,37966667,00000000
1,1500.0,2,B6887D9A,B32C4445,00000000,00000000,37966667,00000000
1,1500.0,3,00000000,B325BBBC,00000000,00000000,37966667,00000000
1,1500.0,4,37C0F688,B34D7778,00000000,00000000,36E11112,00000000
1,1500.0,5,37B8FACD,B316EEEF,306D07B4,00000000,36080000,00000000
1,1500.0,6,37CF374C,B3026667,3105BF1E,00000000,B4A66667,00000000
1,1500.0,7,37F2ABEA,B362CCCE,31333A71,00000000,B5CBBBBC,00000000
1,1500.0,8,384A5314,B364CCCE,315FE486,00000000,37231112,00000000
1,1500.0,9,384046A9,B351BBBC,31852B5B,00000000,36A08889,00000000
1,1500.0,10,384E53D6,B35FDDDF,31983A19,00000000,36AA6667,00000000
1,1500.0,11,385C8F23,B37C0001,31A98647,00000000,36B4CCCD,00000000
1,1500.0,12,3868C40F,B379BBBD,31BAA3A5,00000000,36BE6667,00000000
1,1500.0,13,387761C5,B377CCCE,31C88758,00000000,36C8CCCD,00000000
1,1500.0,14,3881FCA8,B375BBBD,31D33397,00000000,36D44445,00000000
1,1500.0,15,388862AE,B3736667,31DAAFCA,00000000,36E00001,00000000
1,1500.0,16,388DC256,B3710001,31DF0B64,00000000,36ED5556,00000000
1,1500.0,17,38946041,B36E4445,31E06131,00000000,36FB3334,00000000
1,1500.0,18,3899F7BE,B36AEEF0,31DED1E9,00000000,3704CCCD,00000000
1,1500.0,19,389FAD05,B3671112,31DA8720,00000000,370C8889,00000000
1,1500.0,20,38A457C6,B362999A,31D3B580,00000000,3714CCCD,00000000
1,1500.0,21,38AA4CC3,B35D999A,31CA99F9,00000000,371D999A,00000000
1,1500.0,22,38AF3738,B357CCCE,31BF7AE9,00000000,3726AAAB,00000000
1,1500.0,23,38B5758A,B3518001,31B2A829,00000000,37300001,00000000
1,1500.0,24,38BAA9DC,B34A6EF0,31A479EE,00000000,3739DDDF,00000000
1,1500.0,25,B90A8C9F,B350B334,31954E31,00000000,37444445,00000000
1,1500.0,26,B8BF6B83,B357AAAB,31880736,00000000,374E6667,00000000
1,1500.0,27,38DA24E9,B3473BBC,31762A6E,2E81C958,37584445,00000000
1,1500.0,28,38E53AD6,B3396EF0,3139C10B,3019DC01,37633334,00000000
1,1500.0,29,38F5B99A,B32B8001,310358D5,30769BC0,376F3334,00000000
1,1500.0,30,39035BC2,B31DB334,30A935BB,308F3CA8,377C4445,00000000
1,1500.0,31,3906F044,B30FFBBC,303DC04D,3086C66C,37851112,00000000
1,1500.0,32,390B57E5,B3025556,2FC09293,3063B444,378C8889,00000000
1,1500.0,33,39109EB6,B2E9A223,2F2C2D04,3030912E,37944445,00000000
1,1500.0,34,39177FED,B2CF3334,2E80B07F,2FFE7A8E,379C4445,00000000
1,1500.0,35,391F6472,B2B5A223,2D8DDCC7,2FABD268,37A4CCCD,00000000
1,1500.0,36,39291384,B29CF778,2C12189D,2F5ACAA4,37AE2223,00000000
1,1500.0,37,39339E43,B2830CCD,00000000,2F02CB55,37B88889,00000000
1,1500.0,38,3941A805,B2593334,00000000,2E93EBD5,37C44445,00000000
1,1500.0,39,39531B07,B230D778,00000000,2E1CA0D9,37D1999A,00000000
1,1500.0,40,3968AC87,B205C000,00000000,2D981D05,37E11112,00000000
1,1500.0,41,398135AD,B1A55DDE,00000000,2D034D47,37F37778,00000000
1,1500.0,42,39917174,B18C4000,00000000,2C315A93,3804CCCD,00000000
1,1500.0,43,39A65277,B1667BBD,00000000,2B4C65A0,38128889,00000000
1,1500.0,44,3932E7AC,B1A2F089,00000000,2A410E05,38240001,00000000
1,1500.0,45,39CE8A2B,B0A25556,00000000,31097438,38111112,00000000
1,1500.0,46,39DF9ED7,B044C667,00000000,31C9DCDA,36CEEEF0,00000000
1,1500.0,47,39DF538A,AFC57778,00000000,324211D3,B8B6EEF0,00000000
1,1500.0,48,BAABE32A,32C23F2B,00000000,00000000,B9E72AAB,00000000
1,1500.0,49,00000000,A8088889,00000000,00000000,00000000,00000000
2,1500.0,1,B88C8007,B40A8889,00000000,00000000,36BBBBBC,00000000
2,1500.0,2,B7198D4D,B32D1112,00000000,00000000,36BBBBBC,00000000
2,1500.0,3,37916083,B37BDDDF,00000000,00000000,36BBBBBC,00000000
2,1500.0,4,36DEFABF,B3680001,00000000,00000000,36BBBBBC,00000000
2,1500.0,5,388F0960,B419E667,2E06AED8,00000000,35D55556,00000000
2,1500.0,6,38C580B5,B4243BBC,2FB2BC61,00000000,369CCCCD,00000000
2,1500.0,7,38C1EBAA,B4268001,301FBB5C,00000000,366AAAAB,00000000
2,1500.0,8,38CFC36A,B42C6667,30699DCE,00000000,36777778,00000000
2,1500.0,9,38DEDD89,B431BBBC,309DB2FF,00000000,36822223,00000000
2,1500.0,10,38EE2794,B43D8889,30CBC00F,00000000,36888889,00000000
2,1500.0,11,38FDA49C,B4506667,310020BC,00000000,368EEEEF,00000000
2,1500.0,12,390739D3,B4521112,311E776B,00000000,36955556,00000000
2,1500.0,13,390FBFBB,B4528889,31409DAB,00000000,369BBBBC,00000000
2,1500.0,14,3918F573,B451C445,3166E265,00000000,36A11112,00000000
2,1500.0,15,3921BF14,B44FC889,3188C91C,00000000,36A66667,00000000
2,1500.0,16,392AAD90,B44C8001,31A07D93,00000000,36ABBBBC,00000000
2,1500.0,17,3933C362,B4480445,31BAB744,00000000,36B00001,00000000
2,1500.0,18,393D033D,B442599A,31D79F02,00000000,36B44445,00000000
2,1500.0,19,39467011,B43BAAAB,31F75F48,00000000,36B77778,00000000
2,1500.0,20,394F77E2,B433F778,320D123C,00000000,36BAAAAB,00000000
2,1500.0,21,3958B11F,B42B6AAB,32200EA9,00000000,36BCCCCD,00000000
2,1500.0,22,3962B704,B4222EEF,3234BDA9,00000000,36BEEEF0,00000000
2,1500.0,23,396BC70A,B4185DDE,324B3994,00000000,36C00001,00000000
2,1500.0,24,3975AC5D,B40E199A,32639EBA,00000000,36C00001,00000000
2,1500.0,25,B97F38F0,B4105112,327E0BD4,00000000,36C00001,00000000
2,1500.0,26,B8E08CE3,B40FECCD,328D8C19,00000000,36BEEEF0,00000000
2,1500.0,27,3954910F,B3FEEAAC,32954F82,00000000,36BCCCCD,00000000
2,1500.0,28,39A7D9F2,B3DFC889,328D6746,30FCAAD5,36B9999A,00000000
2,1500.0,29,39AF1C59,B3C2C889,32751D16,31A82340,36B66667,00000000
2,1500.0,30,39B69EC8,B3A6F99A,324D4995,3209C8D8,36B22223,00000000
2,1500.0,31,39BD6ED6,B38CE000,3224C9EC,323F8394,36ACCCCD,00000000
2,1500.0,32,39C09541,B3696AAB,31FA3CB0,327416CA,36A77778,00000000
2,1500.0,33,39C54506,B33D2223,31AFA9A2,329332FA,36A11112,00000000
2,1500.0,34,39CAE6C2,B3150667,315A5A5C,32AAB098,369AAAAB,00000000
2,1500.0,35,39D23BA7,B2E15DDF,30D9FD14,32BFFB29,36922223,00000000
2,1500.0,36,39DA54F7,B2A1CCCD,3001101C,32D279BA,36877778,00000000
2,1500.0,37,39E2EC71,B24ED556,2C2CC29C,32E15920,36755556,00000000
2,1500.0,38,39ED2CB2,B1E10001,00000000,32EE6B23,36555556,00000000
2,1500.0,39,39F9CEEA,B1320889,00000000,32FAAA71,362EEEF0,00000000
2,1500.0,40,3A041034,309D1112,00000000,33010E6A,35FBBBBD,00000000
2,1500.0,41,3A0B3754,318D1112,00000000,32FEEA29,3599999A,00000000
2,1500.0,42,3A10D804,31125DDE,00000000,32E801A3,354CCCCE,00000000
2,1500.0,43,3A16C2FA,2FF82223,00000000,32CE2AC7,34BBBBBC,00000000
2,1500.0,44,3A1D2103,B0454001,00000000,32B089F1,B3CCCCCE,00000000
2,1500.0,45,3A24BE1F,B0AE6CCD,00000000,328F93C0,B519999A,00000000
2,1500.0,46,399C3B2F,B11B1223,00000000,325ABB86,B5955556,00000000
2,1500.0,47,3A66FC12,AFB6F99A,00000000,321A3909,B5EAAAAB,00000000
2,1500.0,48,BA6C8941,33505C56,00000000,00000000,B9082AAB,00000000
2,1500.0,49,00000000,28088889,00000000,00000000,00000000,00000000
3,1500.0,1,B88C8007,B40AEEEF,00000000,00000000,37EBCCCE,00000000
3,1500.0,2,B7198D4D,B32D7778,00000000,00000000,37EBCCCE,00000000
3,1500.0,3,37916083,B37C6667,00000000,00000000,37EBCCCE,00000000
3,1500.0,4,36DEFABF,B368AAAB,00000000,00000000,37EBCCCE,00000000
3,1500.0,5,388F0960,B41A4CCD,2E070CDC,00000000,37057778,00000000
3,1500.0,6,38C694FF,B424AAAB,2FB33925,00000000,37C4999A,00000000
3,1500.0,7,38C30101,B426F778,30202ADC,00000000,3793999A,00000000
3,1500.0,8,38D0D9E3,B42CDDDE,306A40E2,00000000,379B6667,00000000
3,1500.0,9,38DFF536,B4323334,309E2115,00000000,37A37778,00000000
3,1500.0,10,38EF4088,B43D4CCD,30CC4E49,00000000,37AB8889,00000000
3,1500.0,11,38FFD93E,B44EB334,31007275,00000000,37B38889,00000000
3,1500.0,12,3907C7B3,B4508889,311EBEB3,00000000,37BB6667,00000000
3,1500.0,13,3910DD00,B4510889,3140D15D,00000000,37C30001,00000000
3,1500.0,14,391984E2,B4506EF0,3166F56B,00000000,37CA4445,00000000
3,1500.0,15,39224F5A,B44E8889,3188BA5D,00000000,37D11112,00000000
3,1500.0,16,392B3EB9,B44B6223,31A04CBE,00000000,37D75556,00000000
3,1500.0,17,39345579,B4470CCD,31BA577F,00000000,37DCEEF0,00000000
3,1500.0,18,393D9650,B4418889,31D70181,00000000,37E1DDDF,00000000
3,1500.0,19,3947042B,B43B0445,31F672D0,00000000,37E64445,00000000
3,1500.0,20,39500D13,B4338001,320C6A48,00000000,37E9DDDF,00000000
3,1500.0,21,39594775,B42B2667,321F29EF,00000000,37ECAAAB,00000000
3,1500.0,22,3962B704,B4221DDE,32338EED,00000000,37EEEEF0,00000000
3,1500.0,23,396C5FD9,B4187778,3249B258,00000000,37F06667,00000000
3,1500.0,24,39764682,B40E6CCD,3261AEF2,00000000,37F13334,00000000
3,1500.0,25,B9812161,B411EEEF,327BA21D,00000000,37F15556,00000000
3,1500.0,26,B8DF52C3,B412A223,328BCC58,00000000,37F02223,00000000
3,1500.0,27,39552FB5,B401EAAB,32939DC6,00000000,37ED3334,00000000
3,1500.0,28,39A82A1C,B3E43334,328BEDF2,30FA36F6,37E95556,00000000
3,1500.0,29,39AF6D69,B3C6B778,3272C7A0,31A697CB,37E4AAAB,00000000
3,1500.0,30,39B6F0CC,B3AA7112,324B80E2,32089F49,37DF5556,00000000
3,1500.0,31,39BDC1E0,B38FE445,32237CF8,323E0B93,37D95556,00000000
3,1500.0,32,39C13D84,B36E9112,31F874B8,32726829,37D2AAAB,00000000
3,1500.0,33,39C59A55,B3417778,31AE8CFC,32924D57,37CAEEF0,00000000
3,1500.0,34,39CB3D55,B3189556,315924E6,32A9CAEB,37C1DDDF,00000000
3,1500.0,35,39D29398,B2E70445,30D8F589,32BF256F,37B77778,00000000
3,1500.0,36,39DADB1B,B2A61112,30008AD2,32D1C4E6,37AAEEF0,00000000
3,1500.0,37,39E3A28D,B254B778,2C2ABE13,32E0D6E0,379AEEEF,00000000
3,1500.0,38,39EDE660,B1E84445,00000000,32EE2986,3786AAAB,00000000
3,1500.0,39,39FA8C8A,B138C445,00000000,32FAD4A7,375C4445,00000000
3,1500.0,40,3A047137,309EEEEF,00000000,33015EA5,371EEEEF,00000000
3,1500.0,41,3A0BCC8D,31909778,00000000,32FFEBD7,36BDDDDF,00000000
3,1500.0,42,3A1157E0,3117F778,00000000,32E8FFA4,367BBBBD,00000000
3,1500.0,43,3A1746E2,300C6EEF,00000000,32CF226F,35E22223,00000000
3,1500.0,44,3A1DC4F9,B03AEEF0,00000000,32B176A9,B5088889,00000000
3,1500.0,45,3A2568DE,B0ABC667,00000000,32906A23,B6444445,00000000
3,1500.0,46,399D65A8,B11ABCCD,00000000,325C20FE,B6BDDDDF,00000000
3,1500.0,47,3A67F90A,AFB59556,00000000,321B4618,B7144445,00000000
3,1500.0,48,BA65C24E,3351DD05,00000000,00000000,BA2AB334,00000000
3,1500.0,49,00000000,28088889,00000000,00000000,00000000,00000000
4,1500.0,1,B8D922F3,B410DDDE,00000000,00000000,37C46667,00000000
4,1500.0,2,B83DCEAA,B20C4445,00000000,00000000,37C46667,00000000
4,1500.0,3,B62B0822,B3255556,00000000,00000000,37C46667,00000000
4,1500.0,4,388FA676,B429AAAB,285BB558,00000000,36BFBBBC,00000000
4,1500.0,5,38DFB245,B43A6EF0,2F3DD674,00000000,37D06667,00000000
4,1500.0,6,38D15FE0,B43D6667,2FFC3418,00000000,37A1DDDE,00000000
4,1500.0,7,38DF2BD1,B4440001,304D2381,00000000,37A95556,00000000
4,1500.0,8,38EE3886,B449F778,3091427B,00000000,37B15556,00000000
4,1500.0,9,38FD746A,B44F2223,30C0D6A0,00000000,37B98889,00000000
4,1500.0,10,3906FDA8,B45B2AAB,30F638E0,00000000,37C1BBBC,00000000
4,1500.0,11,390F5D0A,B46DD556,3119542E,00000000,37C9DDDF,00000000
4,1500.0,12,391867FD,B46EDDDF,313BF349,00000000,37D1DDDF,00000000
4,1500.0,13,39210568,B46EA223,3162A9DB,00000000,37D98889,00000000
4,1500.0,14,392A53E5,B46D0889,3186E357,00000000,37E0CCCE,00000000
4,1500.0,15,3933C7E5,B46A2223,319ECC07,00000000,37E7999A,00000000
4,1500.0,16,393D63E3,B465E223,31B93820,00000000,37EDDDDF,00000000
4,1500.0,17,39472A8D,B4606667,31D64FF7,00000000,37F3999A,00000000
4,1500.0,18,39508BBF,B459B334,31F63EE6,00000000,37F88889,00000000
4,1500.0,19,395A1BA3,B451E223,320C98A7,00000000,37FCCCCE,00000000
4,1500.0,20,3963DD8E,B4491112,321FAAE9,00000000,38003334,00000000
4,1500.0,21,396DD522,B43F6223,32346F09,00000000,3801AAAB,00000000
4,1500.0,22,39780662,B4350001,324AFF98,00000000,3802BBBC,00000000
4,1500.0,23,39813ADE,B42A1112,32637966,00000000,38037778,00000000
4,1500.0,24,39869410,B41EA667,327DFC08,00000000,3803CCCD,00000000
4,1500.0,25,B977EE2A,B4235556,328D5458,00000000,3803DDDE,00000000
4,1500.0,26,B9182783,B4238889,329617BC,00000000,38032223,00000000
4,1500.0,27,394E5E8E,B410E445,329E92FA,00000000,38018889,00000000
4,1500.0,28,39B822AB,B3FD4889,329A204E,30D2B605,37FECCCE,00000000
4,1500.0,29,39BFE4BC,B3DC2EF0,328629E6,31A58D8A,37F9BBBD,00000000
4,1500.0,30,39C83DD3,B3BC4223,3261CA7A,320CD989,37F40001,00000000
4,1500.0,31,39D0E52F,B39E4667,32363D92,32473C2C,37ED5556,00000000
4,1500.0,32,39D5F1D2,B3828445,320B4F7E,32805517,37E5DDDF,00000000
4,1500.0,33,39DA9898,B3523334,31C563DA,329BF6C2,37DD999A,00000000
4,1500.0,34,39E08B52,B3245556,3178CE6A,32B5EF7B,37D40001,00000000
4,1500.0,35,39E837D9,B2F54CCE,30FED4E9,32CDAACF,37C88889,00000000
4,1500.0,36,39F16343,B2ABB778,30219A64,32E283C9,37BAAAAB,00000000
4,1500.0,37,39FB1C1D,B251599A,2D49BBF7,32F39745,37A95556,00000000
4,1500.0,38,3A0347B6,B1C4EEF0,00000000,33012AF4,37933334,00000000
4,1500.0,39,3A0A3CB4,B0963334,00000000,330999D4,37708889,00000000
4,1500.0,40,3A125E5B,3165DDDF,00000000,330F9CD6,372D5556,00000000
4,1500.0,41,3A1ADB78,31E1C445,00000000,330F9EF5,36D00001,00000000
4,1500.0,42,3A21869C,318B6889,00000000,3303A113,368AAAAB,00000000
4,1500.0,43,3A2896D7,30FC4001,00000000,32EBEE22,36000000,00000000
4,1500.0,44,3A3057D5,2F042223,00000000,32CC61C4,B5088889,00000000
4,1500.0,45,3A396B3B,B071CCCE,00000000,32A85E3B,B6511112,00000000
4,1500.0,46,3A458114,B09FD99A,00000000,3281D015,B6CCCCCE,00000000
4,1500.0,47,3A1633A8,B0BE7001,00000000,3238C297,B7200001,00000000
4,1500.0,48,BA38FA02,337B1909,00000000,00000000,BA389556,00000000
4,1500.0,49,00000000,00000000,00000000,00000000,00000000,00000000
5,1500.0,1,369945D9,B3C06667,00000000,00000000,37FBEEF0,00000000
5,1500.0,2,B6087D9A,B3A2EEEF,00000000,00000000,37FBEEF0,00000000
