case,dx,raincv,pratec
1,1500.0,3C806E55,3988FE39
2,1500.0,3D1C6E3F,3A26DBFF
3,1500.0,3D1D11D1,3A278A79
4,1500.0,3D31A735,3A3D7F27
5,1500.0,3D1CB023,3A272247
6,1500.0,3CDACC9C,39E962C9
7,1500.0,3D214923,3A2C09BF
8,1500.0,00000000,00000000
9,1500.0,00000000,00000000
10,1500.0,00000000,00000000
11,1500.0,38AD89FF,35B91BBB
12,1500.0,00000000,00000000
13,1500.0,00000000,00000000
14,1500.0,00000000,00000000
15,1500.0,00000000,00000000
16,1500.0,00000000,00000000
17,1500.0,00000000,00000000
18,1500.0,00000000,00000000
1,4500.0,3D524778,3A604C3C
2,4500.0,3E000FB3,3B089947
3,4500.0,3E00959B,3B09281D
4,4500.0,3E116F62,3B1B217A
5,4500.0,3E0045A5,3B08D2D2
6,4500.0,3DB31E81,3ABF0F79
7,4500.0,3E040932,3B0CD69C
8,4500.0,00000000,00000000
9,4500.0,00000000,00000000
10,4500.0,00000000,00000000
11,4500.0,391D043D,36277BFD
12,4500.0,00000000,00000000
13,4500.0,00000000,00000000
14,4500.0,00000000,00000000
15,4500.0,00000000,00000000
16,4500.0,00000000,00000000
17,4500.0,00000000,00000000
18,4500.0,00000000,00000000
1,9000.0,3E1D4380,3B27BF77
2,9000.0,3EBF8C9C,3BCC51B7
3,9000.0,3EC054E3,3BCD2759
4,9000.0,3ED98944,3BE809E2
5,9000.0,3EBFDD48,3BCCA7C4
6,9000.0,3E85F5B3,3B8EE3F2
7,9000.0,3EC57E84,3BD2A915
8,9000.0,00000000,00000000
9,9000.0,00000000,00000000
10,9000.0,00000000,00000000
11,9000.0,3987C9BE,3690D731
12,9000.0,00000000,00000000
13,9000.0,00000000,00000000
14,9000.0,00000000,00000000
15,9000.0,00000000,00000000
16,9000.0,00000000,00000000
17,9000.0,00000000,00000000
18,9000.0,00000000,00000000
1,13500.0,3EC067DB,3BCD3B94
2,13500.0,3F6A5A4A,3C79F9E9
3,13500.0,3F6B4F53,3C7AFF47
4,13500.0,3F8512C4,3C8DF1E2
5,13500.0,3F6ABCFF,3C7A6332
6,13500.0,3F23E4F1,3C2ED212
7,13500.0,3F71A049,3C80DE05
8,13500.0,00000000,00000000
9,13500.0,00000000,00000000
10,13500.0,00000000,00000000
11,13500.0,39D46880,36E2919A
12,13500.0,00000000,00000000
13,13500.0,00000000,00000000
14,13500.0,00000000,00000000
15,13500.0,00000000,00000000
16,13500.0,00000000,00000000
17,13500.0,00000000,00000000
18,13500.0,00000000,00000000
1,15000.0,3EFEBB92,3C07DB81
2,15000.0,3F9B2244,3CA579E2
3,15000.0,3F9BC47A,3CA626E9
4,15000.0,3FB02E31,3CBBED01
5,15000.0,3F9B639E,3CA5BF97
6,15000.0,3F58FC45,3C67737D
7,15000.0,3F9FF2DE,3CAA9CA9
8,15000.0,00000000,00000000
9,15000.0,00000000,00000000
10,15000.0,00000000,00000000
11,15000.0,3A05D629,370EC24E
12,15000.0,00000000,00000000
13,15000.0,00000000,00000000
14,15000.0,00000000,00000000
15,15000.0,00000000,00000000
16,15000.0,00000000,00000000
17,15000.0,00000000,00000000
18,15000.0,00000000,00000000
1,27000.0,3EE0D1B9,3BEFCEA3
2,27000.0,3F88EA97,3C920B4C
3,27000.0,3F8979C1,3C92A401
4,27000.0,3F9B7DD1,3CA5DB8A
5,27000.0,3F892444,3C9248D1
6,27000.0,3F3F8131,3C4C458A
7,27000.0,3F8D2A70,3C9693AB
8,27000.0,00000000,00000000
9,27000.0,00000000,00000000
10,27000.0,00000000,00000000
11,27000.0,3A05D629,370EC24E
12,27000.0,00000000,00000000
13,27000.0,00000000,00000000
14,27000.0,00000000,00000000
15,27000.0,00000000,00000000
16,27000.0,00000000,00000000
17,27000.0,00000000,00000000
18,27000.0,00000000,00000000
