case,dx,k,pcte,ztp1,ptte,ztt,pqte,zqq,zqp1,qcf,qif,uf,vf,pvom,pvol
1,1500.0,1,00000000,43458000,00000000,00000000,00000000,00000000,36D299B5,00000000,00000000,4225AFFB,00000000,00000000,00000000
1,1500.0,2,00000000,43458000,BA2C7D45,00000000,32C23EA6,00000000,3694C443,00000000,00000000,42181152,00000000,B9E72D25,00000000
1,1500.0,3,324211D2,434AE83E,39722D07,358B90C0,303B18F5,308EEA3E,37002FF6,00000000,00000000,420D5852,00000000,B8B6E335,00000000
1,1500.0,4,31C9DCDA,43523707,39812666,362417EB,30EDADBF,3128081C,378F1240,00000000,00000000,420459D0,00000000,36CDF1E4,00000000
1,1500.0,5,31097438,435887ED,397B70AD,36759AE3,312A567A,317B7FE3,380777FD,00000000,00000000,41F92792,00000000,38110377,00000000
1,1500.0,6,2A410E04,435E1AE6,38E98135,369EC560,AD2F0600,31A294DD,386501E8,00000000,00000000,41EB6F06,00000000,38240ADD,00000000
1,1500.0,7,2B4C659F,436319D4,395D2C2B,36BF0209,3120BDBC,31C39797,38B23B0F,00000000,00000000,41DF22E2,00000000,38129380,00000000
1,1500.0,8,2C315A92,4367A1B7,39491180,36DC3E81,312AA486,31E187AF,39025218,00000000,00000000,41D3FBC8,00000000,3804D449,00000000
1,1500.0,9,2D034D47,436BC786,393922C5,36F7021C,312F3DA0,31FCEFBA,393587E9,00000000,00000000,41C9C61A,00000000,37F36853,00000000
1,1500.0,10,2D981D04,436F9AF3,392C2378,3707D911,2FADDFC0,320B1BB8,398A652E,00000000,00000000,41C05B35,00000000,37E1006F,00000000
1,1500.0,11,2E1CA0D9,4373280D,39214C31,37134E30,B0CEED70,3216D73B,39CC8FAF,00000000,00000000,41B79D6A,00000000,37D17AC2,00000000
1,1500.0,12,2E93EBD4,43767850,39184CA1,371DFF01,B15CBCC4,3221C9BC,3A100668,00000000,00000000,41AF7563,00000000,37C428BE,00000000
1,1500.0,13,2F02CB54,43799354,39114929,37280406,B1B35634,322C0C50,3A432C36,00000000,00000000,41A7D06E,00000000,37B88996,00000000
