case,dx,k,pqc,pqi,pt,pqv,pu,pv
1,1500.0,1,00000000,00000000,43458000,36D29A0B,4225AFFB,00000000
1,1500.0,2,00000000,00000000,434575E5,36C24B3C,4217F63B,00000000
1,1500.0,3,00000000,3535F0B5,434AEBC6,36FFA74C,420D52F6,00000000
1,1500.0,4,00000000,34BD3F0C,43523AC6,378EB6A3,42045A31,00000000
1,1500.0,5,00000000,3400DCF4,43588B8E,38072D04,41F92BD2,00000000
1,1500.0,6,00000000,2D34FD24,435E1C89,3863D398,41EB73D4,00000000
1,1500.0,7,00000000,2E3F9F45,43631CFB,38B1D2E6,41DF272D,00000000
1,1500.0,8,00000000,2F2644E9,4367A48F,39021480,41D3FFAC,00000000
1,1500.0,9,00000000,2FF630E5,436BCA1F,39354270,41C9C9AB,00000000
1,1500.0,10,00000000,308E9B34,436F9D59,398A2FD7,41C05E81,00000000
1,1500.0,11,00000000,3112D6CB,43732A47,39CC513A,41B7A07C,00000000
1,1500.0,12,00000000,318AAD17,43767A66,3A0FE7C4,41AF7843,00000000
1,1500.0,13,00000000,31F53D3E,4379954D,3A431402,41A7D322,00000000
1,1500.0,14,2F08F713,324D1DF9,437C812A,3A80294E,41A0A1E1,00000000
1,1500.0,15,3084FEFA,32A11541,437F4312,3AA418E1,4199D7F0,00000000
1,1500.0,16,31714AEE,32EE92E4,4380EFA4,3ACD9166,41936AD2,00000000
1,1500.0,17,32216A33,3325881B,43822CB2,3AFCC023,418D51B0,00000000
1,1500.0,18,32B48969,335578FF,43835A3B,3B18E35D,41878500,00000000
1,1500.0,19,3331E448,337CB409,4384798E,3B365DFD,4181FE4D,00000000
1,1500.0,20,339EA25F,338648DD,43858BCD,3B56D61E,41797004,00000000
1,1500.0,21,33F6468F,33673203,438691EB,3B7A4D01,416F5A8D,00000000
1,1500.0,22,342E24FA,33103E40,43878CCD,3B905FB6,4165B3BC,00000000
1,1500.0,23,3466C7C6,31735985,43887D36,3BA512A2,415C7426,00000000
1,1500.0,24,347F0D85,00000000,4389628A,3BBB3939,41539540,00000000
1,1500.0,25,348BF94D,00000000,438A3FA4,3BD0D98F,414B1154,00000000
1,1500.0,26,349A324F,00000000,438B15CB,3BE61CBB,4142E353,00000000
1,1500.0,27,34A77DA6,00000000,438BE22C,3BFC3FC0,413B06BE,00000000
1,1500.0,28,34B3833A,00000000,438CA6AE,3C099B8F,41337796,00000000
1,1500.0,29,34BDF059,00000000,438D63B1,3C157A90,412C324F,00000000
1,1500.0,30,34C67A27,00000000,438E1983,3C21B547,412533CE,00000000
1,1500.0,31,34CCDEAD,00000000,438EC86D,3C2E438C,411E7952,00000000
1,1500.0,32,34D0E4CA,00000000,438F70AC,3C3B1CB4,4118007A,00000000
1,1500.0,33,34D25B1D,00000000,43901276,3C483757,4111C739,00000000
1,1500.0,34,34D11AAD,00000000,4390ADF7,3C558954,410BCBD1,00000000
1,1500.0,35,34CD04CD,00000000,43914356,3C6307C4,41060CD5,00000000
1,1500.0,36,34C6005D,00000000,4391D2AF,3C70A6F3,41008926,00000000
1,1500.0,37,34BBFEE2,00000000,43925C16,3C7E59F3,40F67FF2,00000000
1,1500.0,38,34AEF96A,00000000,4392DF97,3C860973,40EC61B0,00000000
1,1500.0,39,349EEDE2,00000000,43935D37,3C8CE141,40E2B760,00000000
1,1500.0,40,348EB677,00000000,4393D4E8,3C9315AD,40D981BE,00000000
1,1500.0,41,3479B149,00000000,43944696,3C98F0A1,40D0C28A,00000000
1,1500.0,42,3451E63D,00000000,4394B224,3C9EA4D8,40C87F48,00000000
1,1500.0,43,342806C9,00000000,43951724,3CA429E2,40C0B1FF,00000000
1,1500.0,44,33FAC658,00000000,43957583,3CA9757B,40B96F9C,00000000
1,1500.0,45,335E3738,00000000,4395CCA2,3CAE720A,40B2BCC9,00000000
1,1500.0,46,00000000,00000000,43961BB7,3CB30D53,40ACA9EB,00000000
1,1500.0,47,00000000,00000000,43966139,3CB72CD6,40A75339,00000000
1,1500.0,48,00000000,00000000,43969AE8,3CBA96F0,40A2E2A6,00000000
1,1500.0,49,00000000,00000000,4396BFFD,3CBCA306,40A008D0,00000000
2,1500.0,1,00000000,00000000,43468000,36F52143,41CA7C65,00000000
2,1500.0,2,00000000,00000000,4346790C,370769CA,41C4F2B6,00000000
2,1500.0,3,00000000,35109578,434B9767,370C6F88,41C0B4E8,00000000
2,1500.0,4,00000000,354D0FCD,4352E78C,379B4E2A,41BD1901,00000000
2,1500.0,5,00000000,35869A84,435940D9,38134E2D,41B9FA7C,00000000
2,1500.0,6,00000000,35A58151,435ED866,3878AEDC,41B739C3,00000000
2,1500.0,7,00000000,35C1481A,4363DB6F,38C14A67,41B4C227,00000000
2,1500.0,8,00000000,35D98188,43686706,390D2524,41B28555,00000000
