case,dx,zprecc
1,1500.0,3C806E55
2,1500.0,3D1C6E3F
3,1500.0,3D1D11D1
4,1500.0,3D31A735
5,1500.0,3D1CB023
6,1500.0,3CDACC9C
7,1500.0,3D214923
8,1500.0,00000000
9,1500.0,00000000
10,1500.0,00000000
11,1500.0,38AD89FF
12,1500.0,00000000
13,1500.0,00000000
14,1500.0,00000000
15,1500.0,00000000
16,1500.0,00000000
17,1500.0,00000000
18,1500.0,00000000
1,4500.0,3D524778
2,4500.0,3E000FB3
3,4500.0,3E00959B
4,4500.0,3E116F62
5,4500.0,3E0045A5
6,4500.0,3DB31E81
7,4500.0,3E040932
8,4500.0,00000000
9,4500.0,00000000
10,4500.0,00000000
11,4500.0,391D043D
12,4500.0,00000000
13,4500.0,00000000
14,4500.0,00000000
15,4500.0,00000000
16,4500.0,00000000
17,4500.0,00000000
18,4500.0,00000000
1,9000.0,3E1D4380
2,9000.0,3EBF8C9C
3,9000.0,3EC054E3
4,9000.0,3ED98944
5,9000.0,3EBFDD48
6,9000.0,3E85F5B3
7,9000.0,3EC57E84
8,9000.0,00000000
9,9000.0,00000000
10,9000.0,00000000
11,9000.0,3987C9BE
12,9000.0,00000000
13,9000.0,00000000
14,9000.0,00000000
15,9000.0,00000000
16,9000.0,00000000
17,9000.0,00000000
18,9000.0,00000000
1,13500.0,3EC067DB
2,13500.0,3F6A5A4A
3,13500.0,3F6B4F53
4,13500.0,3F8512C4
5,13500.0,3F6ABCFF
6,13500.0,3F23E4F1
7,13500.0,3F71A049
8,13500.0,00000000
9,13500.0,00000000
10,13500.0,00000000
11,13500.0,39D46880
12,13500.0,00000000
13,13500.0,00000000
14,13500.0,00000000
15,13500.0,00000000
16,13500.0,00000000
17,13500.0,00000000
18,13500.0,00000000
1,15000.0,3EFEBB92
2,15000.0,3F9B2244
3,15000.0,3F9BC47A
4,15000.0,3FB02E31
5,15000.0,3F9B639E
6,15000.0,3F58FC45
7,15000.0,3F9FF2DE
8,15000.0,00000000
9,15000.0,00000000
10,15000.0,00000000
11,15000.0,3A05D629
12,15000.0,00000000
13,15000.0,00000000
14,15000.0,00000000
15,15000.0,00000000
16,15000.0,00000000
17,15000.0,00000000
18,15000.0,00000000
1,27000.0,3EE0D1B9
2,27000.0,3F88EA97
3,27000.0,3F8979C1
4,27000.0,3F9B7DD1
5,27000.0,3F892444
6,27000.0,3F3F8131
7,27000.0,3F8D2A70
8,27000.0,00000000
9,27000.0,00000000
10,27000.0,00000000
11,27000.0,3A05D629
12,27000.0,00000000
13,27000.0,00000000
14,27000.0,00000000
15,27000.0,00000000
16,27000.0,00000000
17,27000.0,00000000
18,27000.0,00000000
