case,dx,k,t3d,qv3d,qc3d,qi3d,u3d,v3d,pcps,dz8w,rho3d,pi3d,qvften,thften,p8w,w
1,1500.0,1,4396C000,3CBCA8B6,00000000,00000000,40A00000,00000000,47C4C68E,42322EB5,3F92F993,3F8045F2,32ABCC77,37A7C5AC,47C54400,00000000
1,1500.0,2,43969AF0,3CBA9BFC,00000000,00000000,40A2D9D6,00000000,47C386CA,428ABDEB,3F92344B,3F800A41,32AB5205,37A74E19,47C4491D,3A0991A7
1,1500.0,3,43966139,3CB731B1,00000000,00000000,40A74A69,00000000,47C1DB71,42A7819D,3F9135AB,3F7F741B,32AA9355,37A693E1,47C2C476,3AAFE3E5
1,1500.0,4,43961B8A,3CB31358,00000000,00000000,40ACA69F,00000000,47BFEC14,42BE1572,3F90107A,3F7EB8F0,32A9AD1D,37A5B30E,47C0F26C,3B1893FD
1,1500.0,5,4395CC77,3CAE7676,00000000,00000000,40B2BBCA,00000000,47BDC730,42D17829,3F8ECC01,3F7DE7F5,32A8A7DE,37A4B3EE,47BEE5BD,3B61DF2B
1,1500.0,6,43957553,3CA9794D,00000000,00000000,40B96FC3,00000000,47BB7530,42E2ED2D,3F8D6C86,3F7D03E5,32A787F9,37A39AC9,47BCA8A3,3B994628
1,1500.0,7,439516EC,3CA43087,00000000,00000000,40C0B2BE,00000000,47B8FBC1,42F32284,3F8BF4E3,3F7C0E76,32A65017,37A26A36,47BA41BE,3BC4E67B
1,1500.0,8,4394B1C7,3C9EAB8C,00000000,00000000,40C87A81,00000000,47B65F04,430140DA,3F8A671F,3F7B08CB,32A501ED,37A123E1,47B7B5C4,3BF3889B
1,1500.0,9,4394463E,3C98F6C6,00000000,00000000,40D0C030,00000000,47B3A227,4308A943,3F88C4C3,3F79F3A9,32A39EA3,379FC8EB,47B50844,3C127B2F
1,1500.0,10,4393D48A,3C931C3C,00000000,00000000,40D97F3F,00000000,47B0C7B3,430FE39C,3F870EFC,3F78CF9A,32A226FC,379E5A12,47B23C0A,3C2C8255
1,1500.0,11,43935CD3,3C8CE8A3,00000000,00000000,40E2B4BA,00000000,47ADD1BE,431702F0,3F854753,3F779CF6,32A09B78,379CD7D3,47AF535C,3C47C770
1,1500.0,12,4392DF2E,3C8610C4,00000000,00000000,40EC5EE6,00000000,47AAC205,431E1667,3F836F51,3F765BF3,329EFC5F,379B4274,47AC501F,3C643A18
1,1500.0,13,43925BA7,3C7E6878,00000000,00000000,40F67D01,00000000,47A79A06,43252C26,3F81860B,3F750CA9,329D49D2,37999A17,47A933EB,3C80E56E
1,1500.0,14,4391D23B,3C70B559,00000000,00000000,41008798,00000000,47A45B0A,432C5064,3F7F17FD,3F73AF19,329B83CC,3797DEB5,47A60021,3C903567
1,1500.0,15,439142DD,3C631607,00000000,00000000,41060B31,00000000,47A10632,43338D31,3F7B032B,3F72432C,3299AA25,37961028,47A2B5F3,3CA0056B
1,1500.0,16,4390AD7A,3C559773,00000000,00000000,410BCA14,00000000,479D9C7B,433AED57,3F76CE3F,3F70C8B8,3297BC99,37942E2D,479F5670,3CB04D81
1,1500.0,17,439011F4,3C48454D,00000000,00000000,4111C562,00000000,479A1ECA,434279F2,3F7279C5,3F6F3F82,3295BAC7,37923866,479BE286,3CC10522
1,1500.0,18,438F7026,3C3B2A78,00000000,00000000,4117FE88,00000000,47968DEA,434A3CC1,3F6E062A,3F6DA73B,3293A434,37902E5B,47985B0D,3CD222E1
1,1500.0,19,438EC7E3,3C2E5116,00000000,00000000,411E7743,00000000,4792EA95,43523FD1,3F6973C4,3F6BFF85,3291784D,378E0F7B,4794C0C7,3CE39C36
1,1500.0,20,438E18F6,3C21C28E,00000000,00000000,412531A0,00000000,478F3572,435A8D35,3F64C2D2,3F6A47ED,328F365E,378BDB18,47911463,3CF56544
1,1500.0,21,438D6320,3C15878C,00000000,00000000,412C3000,00000000,478B6F1C,436330E6,3F5FF384,3F687FEE,328CDD9E,3789906D,478D5682,3D03B844
1,1500.0,22,438CA61A,3C09A834,00000000,00000000,41337525,00000000,4787981E,436C3538,3F5B05F1,3F66A6F0,328A6D20,37872E91,478987B5,3D0CD754
1,1500.0,23,438BE194,3BFC584D,00000000,00000000,413B042A,00000000,4783B0FB,4375A8AF,3F55FA22,3F64BC45,3287E3D7,3784B480,4785A886,3D1606F0
1,1500.0,24,438B1530,3BE63474,00000000,00000000,4142E09A,00000000,477F7458,437F98DB,3F50D015,3F62BF27,32854094,37822110,4781B970,3D1F3CF2
1,1500.0,25,438A4088,3BD0F204,00000000,00000000,414B0E74,00000000,47776842,43850AFE,3F4B87AB,3F60AEB7,328281FF,377EE5E6,477B75D0,3D286D9D
