case,dx,k,prsl,ghtl,omg,tf,qvf,qcf,qif,uf,vf,qvftenz,thftenz,prsi,ghti
1,1500.0,1,45C56DA0,4697D40B,80000000,43458000,36D29A0C,00000000,00000000,4225AFFB,00000000,00000000,00000000,459C4000,46A1623B
1,1500.0,2,460BBE28,46879F62,80000000,43458000,3694C46E,00000000,00000000,42181152,00000000,00000000,00000000,45EE9B40,468E45DB
1,1500.0,3,46347860,4677792A,BC1B8399,434AE83E,37003036,00000000,00000000,420D5852,00000000,308EEA3E,358B90C0,46202EB0,4680F8EA
1,1500.0,4,465CE468,466437F5,BD17C652,43523707,378F12E0,00000000,00000000,420459D0,00000000,3128081C,362417EB,4648C210,466D0080
1,1500.0,5,46828094,4653D807,BD94CBE3,435887ED,3807791C,00000000,00000000,41F92792,00000000,317B7FE3,36759AE3,467106C0,465B6F6A
1,1500.0,6,469666B6,46458D88,BDDE255B,435E1AE6,3865051B,00000000,00000000,41EB6F06,00000000,31A294DD,369EC560,468C7DC8,464C40A4
1,1500.0,7,46AA2402,4638D93E,BE12A492,436319D4,38B23EF0,00000000,00000000,41DF22E2,00000000,31C39797,36BF0209,46A04FA4,463EDA6B
1,1500.0,8,46BDB7DA,462D65F8,BE3440EF,4367A1B7,3902563E,00000000,00000000,41D3FBC8,00000000,31E187AF,36DC3E81,46B3F860,4632D810
1,1500.0,9,46D1219A,4622F7AB,BE535D9D,436BC786,39358FF4,00000000,00000000,41C9C61A,00000000,31FCEFBA,36F7021C,46C77754,4627F3E1
1,1500.0,10,46E46098,46196243,BE6FA665,436F9AF3,398A6E89,00000000,00000000,41C05B35,00000000,320B1BB8,3707D911,46DACBE0,461DFB75
1,1500.0,11,46F7741C,46108465,BE847732,4373280D,39CCA41F,00000000,00000000,41B79D6A,00000000,3216D73B,37134E30,46EDF550,4614C911
1,1500.0,12,47052DB5,4608442E,BE8F91CB,43767850,3A101AAC,00000000,00000000,41AF7563,00000000,3221C9BC,371DFF01,47007974,460C3FB9
1,1500.0,13,470E8AE0,46008D16,BE99235F,43799354,3A435170,00000000,00000000,41A7D06E,00000000,322C0C50,37280406,4709E1F6,460448A2
1,1500.0,14,4717D12A,45F29D22,BEA13304,437C7F46,3A804E18,00000000,00000000,41A09F54,00000000,3235B367,37317132,471333CA,45F9A316
1,1500.0,15,47210026,45E4F61C,BEA7CC73,437F4142,3AA44373,00000000,00000000,4199D586,00000000,323ECFD7,373A56F8,471C6E89,45EB972E
1,1500.0,16,472A1768,45D80E9A,BEACFEB2,4380EEC4,3ACDC1F6,00000000,00000000,41936888,00000000,32476FB6,3742C317,472591C4,45DE550A
1,1500.0,17,47331678,45CBD3BC,BEB0DADB,43822BD9,3AFCF6E5,00000000,00000000,418D4F84,00000000,324F9EDF,374AC125,472E9D0C,45D1C829
1,1500.0,18,473BFCDA,45C03586,BEB3737C,43835967,3B1901E9,00000000,00000000,418782F1,00000000,32576770,37525B03,47378FE4,45C5DF4E
1,1500.0,19,4744CA0D,45B5264E,BEB4DBEE,438478BE,3B367FBC,00000000,00000000,4181FC5A,00000000,325ED210,37599923,474069D0,45BA8BBE
1,1500.0,20,474D7D88,45AA9A54,BEB527E5,43858B00,3B56FB14,00000000,00000000,41796C52,00000000,3265E642,376082DC,47492A4A,45AFC0DF
1,1500.0,21,475616BC,45A08764,BEB46B2E,43869129,3B7A7533,00000000,00000000,416F570C,00000000,326CAA86,37671E86,4751D0C6,45A573C8
1,1500.0,22,475E9510,4596E4A3,BEB2B962,43878C16,3B907571,00000000,00000000,4165B068,00000000,3273248A,376D71AF,475A5CB1,459B9B01
1,1500.0,23,4766F7E1,458DAA4D,BEB025CF,43887C86,3BA529FB,00000000,00000000,415C70FB,00000000,3279594A,37738132,4762CD6E,45922E45
1,1500.0,24,476F3E84,4584D190,BEACC345,43896326,3BBB527F,00000000,00000000,4153923A,00000000,327F4D2D,3779515E,476B2254,45892655
1,1500.0,25,47776842,4578A8E8,BEA8A5B0,438A4088,3BD0F204,00000000,00000000,414B0E74,00000000,328281FF,377EE5E6,47735AB4,45807CCC
1,1500.0,26,477F7458,45685B72,BEA3DE93,438B1530,3BE63474,00000000,00000000,4142E09A,00000000,32854094,37822110,477B75D0,45705839
1,1500.0,27,4783B0FB,4558B166,BE9E7DF4,438BE194,3BFC584D,00000000,00000000,413B042A,00000000,3287E3D7,3784B480,4781B970,45605EAB
1,1500.0,28,4787981E,4549A276,BE98944A,438CA61A,3C09A834,00000000,00000000,41337525,00000000,328A6D20,37872E91,4785A886,45510420
1,1500.0,29,478B6F1C,453B2745,BE92315E,438D6320,3C15878C,00000000,00000000,412C3000,00000000,328CDD9E,3789906D,478987B5,454240CC
1,1500.0,30,478F3572,452D3954,BE8B6462,438E18F6,3C21C28E,00000000,00000000,412531A0,00000000,328F365E,378BDB18,478D5682,45340DBE
1,1500.0,31,4792EA95,451FD2EC,BE843BEF,438EC7E3,3C2E5116,00000000,00000000,411E7743,00000000,3291784D,378E0F7B,47911463,452664EB
1,1500.0,32,47968DEA,4512EF08,BE798C12,438F7026,3C3B2A78,00000000,00000000,4117FE88,00000000,3293A434,37902E5B,4794C0C7,451940EE
1,1500.0,33,479A1ECA,45068952,BE6A2066,439011F4,3C48454D,00000000,00000000,4111C562,00000000,3295BAC7,37923866,47985B0D,450C9D22
1,1500.0,34,479D9C7B,44F53C31,BE5A4EEF,4390AD7A,3C559773,00000000,00000000,410BCA14,00000000,3297BC99,37942E2D,479BE286,45007583
1,1500.0,35,47A10632,44DE5489,BE4A30E9,439142DD,3C631607,00000000,00000000,41060B31,00000000,3299AA25,37961028,479F5670,44E98D5C
1,1500.0,36,47A45B0A,44C856B0,BE39DEDA,4391D23B,3C70B559,00000000,00000000,41008798,00000000,329B83CC,3797DEB5,47A2B5F3,44D31BB6
1,1500.0,37,47A79A06,44B33EE8,BE2970C7,43925BA7,3C7E6878,00000000,00000000,40F67D01,00000000,329D49D2,37999A17,47A60021,44BD91AA
1,1500.0,38,47AAC205,449F0ABE,BE18FE59,4392DF2E,3C8610C4,00000000,00000000,40EC5EE6,00000000,329EFC5F,379B4274,47A933EB,44A8EC25
1,1500.0,39,47ADD1BE,448BB929,BE089F22,43935CD3,3C8CE8A3,00000000,00000000,40E2B4BA,00000000,32A09B78,379CD7D3,47AC501F,44952958
1,1500.0,40,47B0C7B3,44729580,BDF0D8B4,4393D48A,3C931C3C,00000000,00000000,40D97F3F,00000000,32A226FC,379E5A12,47AF535C,448248FA
1,1500.0,41,47B3A227,444F83E4,BDD0FAAA,4394463E,3C98F6C6,00000000,00000000,40D0C030,00000000,32A39EA3,379FC8EB,47B23C0A,4460990D
1,1500.0,42,47B65F04,442E46A1,BDB1D619,4394B1C7,3C9EAB8C,00000000,00000000,40C87A81,00000000,32A501ED,37A123E1,47B50844,443E6EBC
1,1500.0,43,47B8FBC1,440EEC5E,BD93A207,439516EC,3CA43087,00000000,00000000,40C0B2BE,00000000,32A65017,37A26A36,47B7B5C4,441E1E86
