case,dx,slimsk,dx_hv,hfx_hv,qfx_hv,delt
1,1500.0,0,44BB8000,43340000,399D4952,42700000
2,1500.0,0,44BB8000,437A0000,39D1B717,42700000
3,1500.0,0,44BB8000,43820000,39DC3372,42700000
4,1500.0,0,44BB8000,43870000,39E6AFCD,42700000
5,1500.0,1,44BB8000,43A00000,39BCBE62,42700000
6,1500.0,0,44BB8000,437F0000,39D6F545,42700000
7,1500.0,0,44BB8000,43848000,39E1719F,42700000
8,1500.0,0,44BB8000,430C0000,399D4952,42700000
9,1500.0,0,44BB8000,42F00000,397BA882,42700000
10,1500.0,1,44BB8000,43AF0000,3988509C,42700000
11,1500.0,0,44BB8000,43340000,399D4952,42700000
12,1500.0,0,44BB8000,41F00000,3827C5AC,42700000
13,1500.0,0,44BB8000,41C80000,37FBA882,42700000
14,1500.0,1,44BB8000,42340000,3827C5AC,42700000
15,1500.0,0,44BB8000,40A00000,358637BD,42700000
16,1500.0,0,44BB8000,00000000,00000000,42700000
17,1500.0,1,44BB8000,C1A00000,358637BD,42700000
18,1500.0,0,44BB8000,42200000,387BA882,42700000
1,4500.0,0,458CA000,43340000,399D4952,42700000
2,4500.0,0,458CA000,437A0000,39D1B717,42700000
3,4500.0,0,458CA000,43820000,39DC3372,42700000
4,4500.0,0,458CA000,43870000,39E6AFCD,42700000
5,4500.0,1,458CA000,43A00000,39BCBE62,42700000
6,4500.0,0,458CA000,437F0000,39D6F545,42700000
7,4500.0,0,458CA000,43848000,39E1719F,42700000
8,4500.0,0,458CA000,430C0000,399D4952,42700000
9,4500.0,0,458CA000,42F00000,397BA882,42700000
10,4500.0,1,458CA000,43AF0000,3988509C,42700000
11,4500.0,0,458CA000,43340000,399D4952,42700000
12,4500.0,0,458CA000,41F00000,3827C5AC,42700000
13,4500.0,0,458CA000,41C80000,37FBA882,42700000
14,4500.0,1,458CA000,42340000,3827C5AC,42700000
15,4500.0,0,458CA000,40A00000,358637BD,42700000
16,4500.0,0,458CA000,00000000,00000000,42700000
17,4500.0,1,458CA000,C1A00000,358637BD,42700000
18,4500.0,0,458CA000,42200000,387BA882,42700000
1,9000.0,0,460CA000,43340000,399D4952,42700000
2,9000.0,0,460CA000,437A0000,39D1B717,42700000
3,9000.0,0,460CA000,43820000,39DC3372,42700000
4,9000.0,0,460CA000,43870000,39E6AFCD,42700000
5,9000.0,1,460CA000,43A00000,39BCBE62,42700000
6,9000.0,0,460CA000,437F0000,39D6F545,42700000
7,9000.0,0,460CA000,43848000,39E1719F,42700000
8,9000.0,0,460CA000,430C0000,399D4952,42700000
9,9000.0,0,460CA000,42F00000,397BA882,42700000
10,9000.0,1,460CA000,43AF0000,3988509C,42700000
11,9000.0,0,460CA000,43340000,399D4952,42700000
12,9000.0,0,460CA000,41F00000,3827C5AC,42700000
13,9000.0,0,460CA000,41C80000,37FBA882,42700000
14,9000.0,1,460CA000,42340000,3827C5AC,42700000
15,9000.0,0,460CA000,40A00000,358637BD,42700000
16,9000.0,0,460CA000,00000000,00000000,42700000
17,9000.0,1,460CA000,C1A00000,358637BD,42700000
18,9000.0,0,460CA000,42200000,387BA882,42700000
1,13500.0,0,4652F000,43340000,399D4952,42700000
2,13500.0,0,4652F000,437A0000,39D1B717,42700000
3,13500.0,0,4652F000,43820000,39DC3372,42700000
4,13500.0,0,4652F000,43870000,39E6AFCD,42700000
